hgnc_symbol,ensembl_id,chromosome,tier,source,gvc_causal,agora_risk_score,disgenet_gda_score,evidence_types
ABCA1,ENSG00000165029,9,1,gvc|gwas_catalog,confirmed,NA,NA,NA
ABCA7,ENSG00000064687,19,1,gvc|gwas_catalog,confirmed,NA,NA,NA
ABI3,ENSG00000108798,17,1,gvc|gwas_catalog,confirmed,NA,NA,NA
ACE,ENSG00000159640,17,1,gvc|agora|gwas_catalog,ambiguous,3,NA,Genetics|Metabolomics|Protein
ADAM17,ENSG00000151694,2,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
ADAMTS1,ENSG00000154734,21,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
ANK3,ENSG00000151150,10,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
ANKH,ENSG00000154122,5,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
APH1B,ENSG00000138613,15,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
APP,ENSG00000142192,21,1,gvc|gwas_catalog,confirmed,NA,NA,NA
ATP8B4,ENSG00000104043,15,1,gvc,confirmed,NA,NA,NA
BCKDK,ENSG00000103507,16,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
BIN1,ENSG00000136717,2,1,gvc|agora|gwas_catalog,confirmed,4,NA,Genetics|Metabolomics|Protein|RNA
BLNK,ENSG00000095585,10,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
CASS4,ENSG00000087589,20,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
CD2AP,ENSG00000198087,6,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
CLNK,ENSG00000109684,4,1,gvc,ambiguous,NA,NA,NA
CLU,ENSG00000120885,8,1,gvc|agora|gwas_catalog,ambiguous,4,NA,Clinical|Genetics|Metabolomics|Protein|RNA
COX7C,ENSG00000127184,5,1,gvc,ambiguous,NA,NA,NA
CR1,ENSG00000203710,1,1,gvc|gwas_catalog,confirmed,NA,NA,NA
CTSB,ENSG00000164733,8,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
CTSH,ENSG00000103811,15,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
DOC2A,ENSG00000149927,16,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
EED,ENSG00000074266,11,1,gvc,ambiguous,NA,NA,NA
EPDR1,ENSG00000086289,7,1,gvc,ambiguous,NA,NA,NA
EPHA1,ENSG00000146904,7,1,gvc|agora|gwas_catalog,confirmed,2,NA,Genetics|Metabolomics|RNA
FERMT2,ENSG00000073712,14,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
FOXF1,ENSG00000103241,16,1,gvc,ambiguous,NA,NA,NA
GRN,ENSG00000030582,17,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
HLA-DQA1,ENSG00000196735,6,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
HS3ST5,ENSG00000249853,6,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
ICA1,ENSG00000003147,7,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
IDUA,ENSG00000127415,4,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
IL34,ENSG00000157368,16,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
INPP5D,ENSG00000168918,2,1,gvc|agora|gwas_catalog,ambiguous,4,NA,Genetics|Metabolomics|RNA
JAZF1,ENSG00000153814,7,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
KLF16,ENSG00000129911,19,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
LILRB2,ENSG00000131042,19,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
MAF,ENSG00000178573,16,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
MINDY2,ENSG00000128923,15,1,gvc,ambiguous,NA,NA,NA
MME,ENSG00000196549,3,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
MS4A4A,ENSG00000110079,11,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
MYO15A,ENSG00000091536,17,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
NCK2,ENSG00000071051,2,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
PLCG2,ENSG00000197943,16,1,gvc|gwas_catalog,confirmed,NA,NA,NA
PLEKHA1,ENSG00000107679,10,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
PRDM7,ENSG00000126856,16,1,gvc,ambiguous,NA,NA,NA
PRKD3,ENSG00000115825,2,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
PSEN1,ENSG00000080815,14,1,gvc,confirmed,NA,NA,NA
PSEN2,ENSG00000143801,1,1,gvc,confirmed,NA,NA,NA
PTK2B,ENSG00000120899,8,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
RASGEF1C,ENSG00000146090,5,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
RBCK1,ENSG00000125826,20,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
RHOH,ENSG00000168421,4,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
SCIMP,ENSG00000161929,17,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
SEC61G,ENSG00000132432,7,1,gvc,ambiguous,NA,NA,NA
SHARPIN,ENSG00000179526,8,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
SIGLEC11,ENSG00000161640,19,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
SLC24A4,ENSG00000140090,14,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
SLC2A4RG,ENSG00000125520,20,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
SNX1,ENSG00000028528,15,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
SORL1,ENSG00000137642,11,1,gvc|gwas_catalog,confirmed,NA,NA,NA
SORT1,ENSG00000134243,1,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
SPDYE3,ENSG00000214300,7,1,gvc,ambiguous,NA,NA,NA
SPI1,ENSG00000066336,11,1,gvc|gwas_catalog,confirmed,NA,NA,NA
SPPL2A,ENSG00000138600,15,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
TMEM106B,ENSG00000106460,7,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
TNIP1,ENSG00000145901,5,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
TPCN1,ENSG00000186815,12,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
TREM2,ENSG00000095970,6,1,gvc|gwas_catalog,confirmed,NA,NA,NA
TREML2,ENSG00000112195,6,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
TSPAN14,ENSG00000108219,10,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
TSPOAP1,ENSG00000005379,17,1,gvc,ambiguous,NA,NA,NA
UMAD1,ENSG00000219545,7,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
UNC5CL,ENSG00000124602,6,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
USP6NL,ENSG00000148429,10,1,gvc,ambiguous,NA,NA,NA
WDR12,ENSG00000138442,2,1,gvc|gwas_catalog,ambiguous,NA,NA,NA
