gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
ABCA1,110,True,True,True,True,4,True,1.0303962813488823,up
ABCG4,104,True,True,True,True,4,True,-0.0034218903893797523,down
ACTL6B,130,True,True,True,True,4,True,-0.2379465493189672,down
ACTR1B,62,True,True,True,True,4,True,-0.29086667031482466,down
ACTR6,59,True,True,True,True,4,True,0.1493021103168554,up
ADAP2,19,True,True,True,True,4,True,0.810874537025375,up
ALDOC,59,True,True,True,True,4,True,0.10329543835260384,up
APBA2,35,True,True,True,True,4,True,-0.1120479988772356,down
ARMCX5,171,True,True,True,True,4,True,0.011399118847922404,up
ASB13,131,True,True,True,True,4,True,-0.17072924352405097,down
ATG16L1,85,True,True,True,True,4,True,0.06154053981592256,up
ATP1A1,105,True,True,True,True,4,True,-0.309459256297103,down
ATP2B2,106,True,True,True,True,4,True,-0.16134065081453564,down
ATP5F1A,171,True,True,True,True,4,True,0.1947665866426466,up
ATP5F1B,153,True,True,True,True,4,True,0.027658698790912872,up
ATP6V1E1,131,True,True,True,True,4,True,-0.1265443800908308,down
ATRNL1,80,True,True,True,True,4,True,-0.4746903840451253,down
ATXN7,13,True,True,True,True,4,True,0.22318459969858617,up
AVPI1,129,True,True,True,True,4,True,-0.13640140775348972,down
BMP7,13,True,True,True,True,4,True,0.3518051773442539,up
BST2,110,True,True,True,True,4,True,0.8618405843978599,up
BTG3,22,True,True,True,True,4,True,0.6628301135918057,up
C1QC,165,True,True,True,True,4,True,0.9826890784487089,up
CAMTA1,178,True,True,True,True,4,True,-0.013083650620616302,down
CCDC25,63,True,True,True,True,4,True,0.030463513065308295,up
CD14,111,True,True,True,True,4,True,1.1477238826406753,up
CD84,22,True,True,True,True,4,True,0.5509844205519027,up
CDCA5,129,True,True,True,True,4,True,-0.12630897912811845,down
CEND1,86,True,True,True,True,4,True,-0.11701121777224739,down
CHCHD4,61,True,True,True,True,4,True,0.1450409177934834,up
CHST11,14,True,True,True,True,4,True,0.4350553611027501,up
CNTNAP1,172,True,True,True,True,4,True,-0.05267955000853005,down
COPG1,128,True,True,True,True,4,True,-0.06594249739109603,down
COQ3,171,True,True,True,True,4,True,0.05307464503480378,up
COQ6,59,True,True,True,True,4,True,0.22799511741647382,up
CORO2A,62,True,True,True,True,4,True,-0.23940610817364436,down
COX7A1,128,True,True,True,True,4,True,-0.1503866685172325,down
CPLX2,80,True,True,True,True,4,True,-0.3378172958920261,down
CPNE3,19,True,True,True,True,4,True,0.6024400145533623,up
CXCL16,154,True,True,True,True,4,True,0.9764846260139954,up
DDAH2,13,True,True,True,True,4,True,0.49689415280044996,up
DDX24,104,True,True,True,True,4,True,0.07932843486756447,up
DEPDC5,178,True,True,True,True,4,True,0.018321273074113797,up
DHX35,63,True,True,True,True,4,True,0.08035342943062036,up
DPP10,105,True,True,True,True,4,True,-0.24350988825275235,down
DPP8,178,True,True,True,True,4,True,0.01739966438109075,up
DTNA,57,True,True,True,True,4,True,0.6668572213037116,up
DYNLT1,19,True,True,True,True,4,True,0.6837544287618078,up
DYNLT5,105,True,True,True,True,4,True,-0.293883305684631,down
ENO2,171,True,True,True,True,4,True,-0.038356628694890205,down
ENTPD6,153,True,True,True,True,4,True,0.04545947396596558,up
EPB41L2,13,True,True,True,True,4,True,0.4218036203881228,up
EPB41L3,85,True,True,True,True,4,True,0.06285621916242452,up
FAHD2B,171,True,True,True,True,4,True,0.08721153122710164,up
FAM131B,81,True,True,True,True,4,True,-0.3684301430276194,down
FAM234B,173,True,True,True,True,4,True,-0.05548483243185073,down
FAM81A,35,True,True,True,True,4,True,-0.4250624316137929,down
FBLN7,105,True,True,True,True,4,True,-0.3198650698560505,down
FBXL15,85,True,True,True,True,4,True,0.0735807901398348,up
FH,61,True,True,True,True,4,True,0.130909427414409,up
GABRG2,106,True,True,True,True,4,True,-0.16936471500584074,down
GLMN,128,True,True,True,True,4,True,-0.08220995780828311,down
GLS2,35,True,True,True,True,4,True,-0.21304010621317845,down
GMPR2,61,True,True,True,True,4,True,0.12077998543521318,up
GNG5,22,True,True,True,True,4,True,0.7316728136854976,up
GOT1,105,True,True,True,True,4,True,-0.2875157093865062,down
GPRASP2,171,True,True,True,True,4,True,0.007095836022115165,up
H2AC20,7,True,True,True,True,4,True,0.5451325989539498,up
H2BC21,19,True,True,True,True,4,True,0.6956560608268275,up
HAGH,63,True,True,True,True,4,True,0.11614116706640913,up
HMG20A,63,True,True,True,True,4,True,0.10982404217533788,up
HSPA5,22,True,True,True,True,4,True,0.6721930727006488,up
HYLS1,129,True,True,True,True,4,True,-0.07538066273238304,down
ICA1,35,True,True,True,True,4,True,-0.11350185608173557,down
IDH1,19,True,True,True,True,4,True,0.6080770177215363,up
IDH3A,62,True,True,True,True,4,True,-0.006092816571589961,down
IDH3B,171,True,True,True,True,4,True,0.17470381856409625,up
IDH3G,61,True,True,True,True,4,True,0.059452049375725124,up
IFRD1,3,True,True,True,True,4,True,0.5781066609016818,up
ITPR1,105,True,True,True,True,4,True,-0.2830043346949604,down
JUN,22,True,True,True,True,4,True,0.8364571547687726,up
KAT7,153,True,True,True,True,4,True,0.03358587585657791,up
KLHDC2,61,True,True,True,True,4,True,0.05850475812597159,up
KLHDC9,128,True,True,True,True,4,True,-0.05966134445221464,down
LAPTM5,110,True,True,True,True,4,True,0.9794614741212201,up
LPCAT4,128,True,True,True,True,4,True,-0.08674649331465704,down
LRRC20,153,True,True,True,True,4,True,-0.007936740756374702,down
MAGEE1,60,True,True,True,True,4,True,-0.007932064620318554,down
MCL1,13,True,True,True,True,4,True,0.5001134507050479,up
MGST1,181,True,True,True,True,4,True,0.7473631271434336,up
MPP1,104,True,True,True,True,4,True,-0.03525773929272239,down
MRPL2,61,True,True,True,True,4,True,0.01698690610955067,up
MSN,110,True,True,True,True,4,True,1.0410114232284824,up
NCKIPSD,178,True,True,True,True,4,True,0.006878943084226208,up
NDRG3,105,True,True,True,True,4,True,-0.265287398854855,down
NEFH,62,True,True,True,True,4,True,-0.4452999572505589,down
NEK6,22,True,True,True,True,4,True,0.6437928519309134,up
NFE2L2,176,True,True,True,True,4,True,0.5918654191296433,up
NFS1,35,True,True,True,True,4,True,-0.09896786645623361,down
NIF3L1,171,True,True,True,True,4,True,0.16541074371756018,up
NOMO1,106,True,True,True,True,4,True,-0.19810629338164767,down
NSG1,130,True,True,True,True,4,True,-0.31582539262924936,down
NTAQ1,153,True,True,True,True,4,True,0.009263663334826125,up
OGDHL,62,True,True,True,True,4,True,-0.24996284318795473,down
OLA1,62,True,True,True,True,4,True,-0.08017067534396431,down
ORC2,104,True,True,True,True,4,True,0.029156147435932016,up
P3H2,22,True,True,True,True,4,True,0.583920629222163,up
P4HA1,3,True,True,True,True,4,True,0.6556598983712033,up
PARL,63,True,True,True,True,4,True,0.13156070163014233,up
PARN,63,True,True,True,True,4,True,0.0075917023313119,up
PARP2,171,True,True,True,True,4,True,0.14883119183640847,up
PDIA6,13,True,True,True,True,4,True,0.35106195526297945,up
PDYN,111,True,True,True,True,4,True,1.1875014001219033,up
PEA15,7,True,True,True,True,4,True,0.40419124156623926,up
PELI3,81,True,True,True,True,4,True,-0.38914076473007836,down
PFKM,171,True,True,True,True,4,True,0.11470143048123423,up
PFKP,172,True,True,True,True,4,True,-0.02341682443697124,down
PIGZ,178,True,True,True,True,4,True,0.014437053530115188,up
