gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
P4HA1,3,0.5611558003966615,0.15341629281171218,0.0002544561480371954,0.4768997848576068,0.08538156234351035,2.3301200886616903e-08,46.840148667656564,0.03345641457143199,3.7622377600276753,3,up
UGDH,3,0.49984970542269136,0.20784883614890334,0.016178161201724807,0.3223793647917089,0.06384198541292395,4.426317676884929e-07,78.81430938895349,0.08679882046003413,9.440334217649585,3,up
SLC25A3,4,-0.20235144601983748,0.196288713253157,0.30259390129687047,-0.24342162713806625,0.06328976970243327,0.00011999080279230589,74.08746022205311,0.07202358322315588,7.7182708338845245,3,down
TRMT11,4,-0.23582230187155157,0.16786914674510978,0.160081247212294,-0.2742017898704834,0.07090401292770512,0.00011008073663123597,65.05390354563764,0.047446856287138225,5.723099867854733,3,down
H2AC20,7,0.4055555770272989,0.07918285698800935,3.026972568564008e-07,0.4055555770272989,0.07918285698800935,3.026972568564008e-07,0.0,0.0,1.3517899794179569,3,up
PITPNC1,7,0.3616496210626083,0.06879471636150039,1.464729429201326e-07,0.3616496210626083,0.06879471636150039,1.464729429201326e-07,0.0,0.0,0.9038790351294351,3,up
PPP1R14B,7,0.4634165479847965,0.15493142212284836,0.0027796756596684805,0.3799394327716377,0.06837738367219856,2.752261868216096e-08,61.82326761675444,0.04099959644103625,5.238793042638008,3,up
SEC14L2,7,0.3757332539347238,0.16994177951527883,0.027039105488714802,0.2791392934260246,0.06160330026429142,5.863867683745718e-06,71.40867601003485,0.05435450174567804,6.995129014318998,3,up
ANKRD29,8,-0.3495120025863473,0.1589830324077771,0.027918954875689208,-0.38141727766541467,0.08919864525667491,1.9024415811464937e-05,53.918202413510876,0.037241039499083466,4.3401084696105405,3,down
ATP6AP1L,8,-0.051916581836731514,0.2207931193794001,0.8141025771037841,-0.0744223191726559,0.061948516792245244,0.22961253017398164,89.56406908175136,0.1297061261903197,19.16455767738676,3,down
SLC33A2,8,-0.3007918946578403,0.09540632651076687,0.0016174258971947658,-0.29537171611334134,0.06718284944310395,1.0999287935471282e-05,30.405759641571017,0.008850232442179036,2.8738010354010104,3,down
HMGB3,9,-0.1710215276782514,0.1294673655432947,0.18651388677265734,-0.16365392065074308,0.044024587345204626,0.0002013393541115255,65.04079379184289,0.028527344322229333,5.720953696978782,3,down
DDAH2,13,0.47457886363335416,0.21281166985426395,0.025744685359567834,0.29906209012715224,0.05867527385045167,3.452578915611092e-07,81.469636877937,0.10273429345994985,10.793096642659528,3,up
EPB41L2,13,0.30641290727314513,0.05659971102423574,6.174134670826672e-08,0.30641290727314513,0.05659971102423574,6.174134670826672e-08,0.0,0.0,1.6030563360961105,3,up
MCL1,13,0.5109213316793185,0.17000896378769395,0.0026535292457075025,0.45644642266877483,0.08353500824486432,4.651738215505863e-08,61.17887973680328,0.04908978184299928,5.151834842581923,3,up
PDIA6,13,0.30044796276891567,0.09707184097461599,0.001967403479138108,0.24380337504005983,0.0466577797870009,1.7382306023814155e-07,43.52799004513383,0.012873269542914043,3.5415775029053327,3,up
SBF2,14,0.21681822606531664,0.04484514529127555,1.3326585766326572e-06,0.20867488683800242,0.034806435418080706,2.0311499271599873e-09,20.145159658523557,0.0014526229295445206,2.504544485278,3,up
SERF2,14,0.2776037905053082,0.04989809263621016,2.645459477457629e-08,0.2776037905053082,0.04989809263621016,2.645459477457629e-08,0.0,0.0,1.6844971851592638,3,up
ADAP2,19,0.7193333369004224,0.2874249930298376,0.012325625827778604,0.48019473463832246,0.09209536825467703,1.8470883518888046e-07,84.04245795867304,0.19148127090371425,12.533258535809487,3,up
DYNLT1,19,0.39783261511149026,0.11502947495272209,0.0005431366000076706,0.34313568720807386,0.054633762552732515,3.371545891942936e-10,59.260018293572095,0.020604722440322885,4.9091823712931175,3,up
H2BC21,19,0.5707261163715506,0.09106356000720726,3.6727222313583367e-10,0.5707261163715506,0.09106356000720726,3.6727222313583367e-10,0.0,0.0,1.9954870855296947,3,up
PLXDC2,19,0.47401296582482366,0.07378837047833747,1.3278090216466033e-10,0.4739851342438173,0.07364476076698694,1.2258130891787826e-10,0.20665674329691078,4.363748732585512e-05,2.0041416939557846,3,up
HSPA5,22,0.4863766420148895,0.25123765471395604,0.05287718704111549,0.2017875585517811,0.04152467445910853,1.1770544343811007e-06,72.02905483201596,0.12174237692792643,7.150276788963248,3,up
JUN,22,0.5832455427948346,0.13515229225535272,1.5926432056428533e-05,0.5233883491798413,0.07999168341152908,6.028289160759287e-11,27.26778137807937,0.018938535523266707,2.7498129960760247,3,up
SDF2L1,22,0.621294879989813,0.2700857990622433,0.021427767781442224,0.42681327331863905,0.0731802575374554,5.4650345906246645e-09,72.27363225275687,0.14514039952047703,7.213350187923055,3,up
SFMBT2,22,0.5058078276952023,0.0753185112936343,1.873138280150051e-11,0.5140022753804081,0.06304986612916308,3.570272708472259e-16,16.237843346924365,0.003296841504517017,2.3877131152240487,3,up
SOX4,22,0.6129473238779073,0.22299368766220898,0.005982837613816586,0.4136277352948578,0.07155588096573318,7.448533990033188e-09,65.82734628451817,0.09207684106879903,5.852632975629591,3,up
ABCA5,23,-0.2645421303697093,0.1613142690122051,0.10102227319746702,-0.2513075321218452,0.06675434205984666,0.00016677454528111102,59.20831625253188,0.04311820126778183,4.902960153303642,3,down
GALNT17,23,-0.132180551974612,0.15812542202009228,0.40319866773158486,-0.18225176477446298,0.05336611672789418,0.0006375360088637835,74.94658457969828,0.05278541478567972,7.98294350868954,3,down
LIN7B,23,-0.2684338983313289,0.06673368109992937,5.759220792288286e-05,-0.2684338983313289,0.06673368109992937,5.759220792288286e-05,0.0,0.0,1.4061734032356343,3,down
RNF41,23,-0.2850478425142204,0.12215565490995631,0.01962293896808182,-0.27752732992078616,0.07011898156155519,7.559619699018218e-05,43.870268867984855,0.019513371763219583,3.5631740250030246,3,down
HK2,27,0.569277776099008,0.2452957706561486,0.020298663781935344,0.3050022172356784,0.0673625887001874,5.960979199203263e-06,78.32416366338555,0.13824441440918922,9.226864278457548,3,up
WSCD1,27,0.5132398745143435,0.19168199350944767,0.007416075806046773,0.375324245728781,0.08475996792304177,9.507393964053392e-06,64.52350762182733,0.0666167115641276,5.637535917250162,3,up
ANO6,28,0.611289222257508,0.27618010650217806,0.0268720324784858,0.30054912937654676,0.07283059706696356,3.680256309020233e-05,82.70269767878553,0.1825494597363381,11.562496641728213,3,up
CTSH,28,0.5060873673507265,0.10142327018269699,6.04247692527262e-07,0.5060873673507265,0.10142327018269699,6.04247692527262e-07,0.0,0.0,1.86417898051581,3,up
GNA12,28,0.531542618153954,0.16786612749589205,0.0015430264718109613,0.4438020790391849,0.09727330783673382,5.0566388168561786e-06,38.476586701381855,0.035067835237117616,3.250794929553951,3,up
LHX2,28,0.4498126786271957,0.16149510532791717,0.0053477849956343046,0.3497182509687301,0.07651302471389163,4.860926268756015e-06,51.97921284019308,0.03898737116761469,4.164863006814654,3,up
MAPKAPK3,28,0.520544181342987,0.17380985622777534,0.0027452943019813493,0.43841549634549953,0.0948372544721594,3.785593540249749e-06,53.42003578503679,0.04516562702569604,4.29369157685511,3,up
PTPN1,28,0.3005139284809957,0.13301171235513629,0.023864465052792813,0.20197222096627684,0.044042571356723924,4.521630388997417e-06,72.19094322703296,0.031372928360755,7.191901603596223,3,up
ERBB2,31,0.5309751768974099,0.19450907100920575,0.006336849525823325,0.3920439322850283,0.08304028193778688,2.3453843998990254e-06,61.88056189068446,0.06513806152739986,5.246667052815883,3,up
IRF8,31,0.5971711696319159,0.2740326455816396,0.0293170230302643,0.5276925169260749,0.13566021864117805,0.00010032261085615438,71.85948770651632,0.15706042924278382,7.107191152533236,3,up
LCMT1,32,-0.17595349005533054,0.15655584534790792,0.2610544337898325,-0.20646470626408164,0.045384310019131256,5.3836697380146816e-06,78.42696405723649,0.0461202452029964,9.270832372904302,3,down
TCEAL2,32,-0.1293455443776197,0.22010446347534218,0.5567637155604803,-0.20490532369422162,0.05275726438480029,0.0001027830985615583,80.0372146096504,0.09509452095838083,10.018641992548993,3,down
CACHD1,34,0.5071109707354572,0.1485767777054436,0.0006422270529795607,0.4456443449544686,0.08548127802243033,1.8545437002054328e-07,49.09918495115365,0.030771805530382966,3.9292101670292006,3,up
EHD4,34,0.5929292762339814,0.26279134046897895,0.02405347490573062,0.323888368479755,0.07017843753966634,3.9269421535190656e-06,79.55159154587669,0.14710298552439327,9.780712295957247,3,up
LYN,34,0.6730331029038609,0.17915324688297218,0.00017213759356775885,0.6234394208603135,0.1309185480956178,1.9164526079588183e-06,29.4494194470108,0.030599614125993064,2.8348455594888238,3,up
PALLD,34,0.707115752847969,0.19767169644161375,0.000347263810074865,0.6213976614025974,0.11828350571035587,1.4926813632942538e-07,46.78406721006235,0.05375668789125618,3.7582729365934755,3,up
RAB31,34,0.5348923397566357,0.18055778239254527,0.00305207208659712,0.46875546127116485,0.09974629070540157,2.6082779681577614e-06,54.10313970484331,0.047880595800971926,4.357596548300389,3,up
SLC15A3,34,0.7262446050335277,0.2587736349923195,0.005008507605912885,0.5232070248128942,0.10272112536575133,3.515677204238639e-07,70.6230821874703,0.13299395523473367,6.8080661584823225,3,up
SP110,34,0.783156264143241,0.2885601528635638,0.006647337817150641,0.5571995090352764,0.11228388537930635,6.962116957808831e-07,67.80118086501965,0.1579983388732225,6.21140791410958,3,up
FAM81A,35,-0.5122264303460825,0.15500188895581915,0.000950963037822941,-0.47641535014475006,0.08672867560276432,3.947826625255001e-08,30.338871097268584,0.02703727248152256,2.871041614603492,3,down
GLS2,35,-0.42531613271376717,0.18477614841976428,0.02134694386278491,-0.5201948251246957,0.07391096066699794,1.9483922606547443e-12,76.22631978327415,0.06696917574968704,8.412664685347753,3,down
ICA1,35,-0.3692801069320869,0.19581179916418126,0.05930937117360964,-0.40495155820318735,0.07485820766592882,6.317227805857447e-08,64.2756108767235,0.06701301209013559,5.598416233510584,3,down
NFS1,35,-0.21350492887176728,0.16605359300783396,0.1985271260674525,-0.21430629352284197,0.04031541639787037,1.0622441888306723e-07,86.71974869489163,0.06030622870296465,15.059955975612306,3,down
UQCRC1,35,-0.35051263452907677,0.17168414435186338,0.0411899037977457,-0.3354498477782307,0.05778528853362363,6.432448148694325e-09,69.85257683539858,0.052850426322207614,6.634066165722466,3,down
IFITM3,38,0.8655877224711545,0.19819768108555635,1.257948277473013e-05,0.8550506246359679,0.1900502751984741,6.8249469269188815e-06,3.7613100272124833,0.006042999907733961,2.0781662765417117,3,up
NQO1,38,1.0434680244661934,0.2940114421395862,0.0003865901237807156,0.9113770548784045,0.1933282924981117,2.4273115865759065e-06,38.35965800226012,0.10586043299911328,3.2446283313504853,3,up
TIMP1,38,1.1720372466929423,0.3841065800749409,0.0022782742303123216,0.9063081120962772,0.18568648441621616,1.0562888808849259e-06,60.14893818991362,0.2662090025937743,5.018686853392189,3,up
PDIA5,45,0.540064906958656,0.13928673147085205,0.00010559572414438693,0.540064906958656,0.13928673147085205,0.00010559572414438693,0.0,0.0,0.5557895678764839,2,up
SEC61A1,45,0.3646547512823703,0.1391004687828574,0.008753845900991732,0.2865222667832202,0.06977373674487201,4.0178873734487905e-05,45.97217456392318,0.02655863524343584,3.701796220479586,3,up
DOK1,55,0.47653429267899966,0.1765815113990788,0.006961827833409475,0.4088348289026166,0.08532274222811907,1.6543353852747488e-06,67.04831106631578,0.0432971663880121,3.0347458123087874,2,up
MAPKAPK2,55,0.4851413515576027,0.3295214410239354,0.14095058644365926,0.22487040107105158,0.05838095829061324,0.0001172640430613881,82.25903899886472,0.25593190938645827,11.273346465684781,3,up
DTNA,57,0.5019579389204843,0.0900004238370452,2.443026101426661e-08,0.5019579389204843,0.0900004238370452,2.443026101426661e-08,0.0,0.0,1.3495506280270335,3,up
SLC16A3,57,0.7473404803104098,0.3081783670162237,0.015307300330256941,0.6382467325796625,0.117301733761284,5.296203414591989e-08,67.93456287278799,0.1911715055221615,6.23724539311744,3,up
TRAF3IP2,57,0.6452008943771543,0.25765447032967814,0.012275210628581211,0.4724425853071465,0.09017879985417979,1.6148927035095486e-07,76.7211194167091,0.13304279361631538,8.591478412564044,3,up
YBX1,57,0.5303769139681916,0.1404063481245647,0.0001584470374915216,0.4801157941862546,0.08399490041685437,1.0905353304544399e-08,43.979446109571576,0.025591225659360433,3.5701182175239374,3,up
SLC16A14,58,-0.2798336977833414,0.2248248287459608,0.21325147785229537,-0.3037792576039036,0.07164938724834868,2.2371644185427104e-05,76.47936555167345,0.10523782628447066,8.50317198880788,3,down
SLC35B4,58,-0.2982199181275915,0.13657106732539762,0.028989857383209233,-0.26601789780151147,0.05868909403134009,5.824463903929229e-06,59.39319941200553,0.030342143449068357,4.925283378743476,3,down
SNAP25,58,-0.18207793007093254,0.39693906257855605,0.6464460277659263,0.065150529453664,0.028575989604232657,0.02261334862918574,89.45647729007219,0.39955331744675865,18.96899219571837,3,down
ALDOC,59,-0.23033448609351015,0.19381183429866874,0.23465858197084422,-0.2146685494437835,0.047159732709976435,5.315201840625218e-06,82.92710668285002,0.07363960604546962,11.714476057733993,3,down
SPOCK2,59,-0.21359058897795202,0.17754338747946188,0.22896347455496713,-0.26651338300369554,0.0561378730033731,2.059675894188338e-06,81.04596714128579,0.06113958929326341,10.551844111004007,3,down
TRIM44,59,-0.16033319343607386,0.09659366401319391,0.09694004880633698,-0.17911087015952726,0.035743350756436525,5.414051814454617e-07,75.28235354253742,0.016761326936610345,8.091385251592893,3,down
PRC1,60,-0.27165991684209023,0.15664571275576758,0.08287703018558665,-0.31576384139390035,0.060093227491066825,1.4837377950308036e-07,66.74583506432646,0.042760483831800464,6.014284237384327,3,down
