gene,cluster_id,max_level_survived,mean_log2fc,direction
APOC1,9,4,0.9050275732561341,up
CEBPD,9,3,0.9232671110491425,up
TENT5A,9,4,0.9245226025905126,up
DEPP1,10,3,0.9225597113104563,up
GADD45B,10,3,0.9788752058400059,up
VIM,10,3,1.0546074237330838,up
ACTL6A,12,3,0.6932162256594193,up
HK2,12,3,0.6210254029115868,up
WSCD1,12,3,0.6184854627492665,up
ANO6,13,4,0.6704436830014285,up
CTSH,13,4,0.6927910475824574,up
GNA12,13,4,0.7174568342790835,up
LHX2,13,4,0.6756608768470093,up
MAPKAPK3,13,3,0.7311594422895263,up
PLCE1,13,4,0.5356103967630004,up
PSME2,13,3,0.6445849969985433,up
PTPN1,13,4,0.5690167313474902,up
TIPARP,13,3,0.7934150897346082,up
CCDC25,14,4,0.030463513065308295,up
DHX35,14,4,0.08035342943062036,up
HAGH,14,4,0.11614116706640913,up
HMG20A,14,4,0.10982404217533788,up
PARL,14,4,0.13156070163014233,up
PARN,14,4,0.0075917023313119,up
DDX1,17,4,0.11901865397295157,up
MRPL22,17,4,0.1544416072990941,up
URGCP,17,4,0.13536741439674196,up
WDR54,17,4,0.1626345488140218,up
ANAPC5,18,4,0.10419824206598587,up
ME3,18,4,0.08339448509201326,up
TTC19,18,4,0.09598446619429464,up
UBE4A,18,4,0.11337893235268807,up
BIRC3,19,3,0.6460018931797167,up
PARP14,19,3,0.6142375235893048,up
PTAFR,19,3,0.640669942324903,up
ERBB2,20,4,0.6547749631817742,up
HSPD1,20,4,0.6412061539203403,up
IRF8,20,4,0.6559084880114144,up
APBA2,21,4,-0.1120479988772356,down
FAM81A,21,4,-0.4250624316137929,down
GLS2,21,4,-0.21304010621317845,down
ICA1,21,4,-0.11350185608173557,down
NFS1,21,4,-0.09896786645623361,down
PVALB,21,4,-0.7894449026791704,down
STAT4,21,4,-0.7575707254129714,down
UQCRC1,21,4,-0.10704644567286348,down
GLS,22,2,-0.08187177438215236,down
NPTN,22,2,-0.07054808201313634,down
RPH3A,22,2,-0.26034159646507266,down
ACTR1B,27,4,-0.29086667031482466,down
IDH3A,27,4,-0.006092816571589961,down
NEFH,27,4,-0.4452999572505589,down
OGDHL,27,4,-0.24996284318795473,down
OLA1,27,4,-0.08017067534396431,down
PYGB,27,4,-0.06143228788118756,down
CORO2A,28,4,-0.23940610817364436,down
SLC25A12,28,4,-0.13393152641041764,down
TARBP1,28,4,-0.20389089302523603,down
VAMP1,28,4,-0.313094602301879,down
ELF1,32,4,0.5847911392275088,up
HEY2,32,4,0.5948938728413189,up
MANF,32,4,0.6389588429198407,up
NECAP2,32,4,0.5490313181766936,up
PLOD1,32,4,0.5724559453656667,up
PTPN13,32,4,0.6416903849460512,up
DTX2,33,4,0.6836233822783832,up
LPP,33,4,0.7580722549709517,up
MGST1,33,4,0.7473631271434336,up
NFKBIZ,33,4,0.7049222103039999,up
SOX2,33,4,0.6883872366844193,up
DNAJB1,34,4,1.1009004077606257,up
NBPF9,34,4,1.1632490453589632,up
S100A10,34,4,0.9743986319127096,up
S100A8,34,4,1.0868930479508583,up
ABCA5,35,3,-0.10462064632660766,down
GALNT17,35,3,-0.05504723794941935,down
LIN7B,35,3,-0.08337552770471879,down
RNF41,35,3,-0.11038389507974362,down
ADAP2,44,4,0.810874537025375,up
CPNE3,44,4,0.6024400145533623,up
DYNLT1,44,4,0.6837544287618078,up
H2BC21,44,4,0.6956560608268275,up
IDH1,44,4,0.6080770177215363,up
PLXDC2,44,4,0.6773891119759394,up
SRGN,44,4,0.9915227039483142,up
ANXA5,47,3,0.6777530568798231,up
B2M,47,3,0.7073031081328951,up
NIBAN2,47,3,0.6718475564007331,up
TXNIP,47,3,0.7214544982694329,up
H2AC20,48,4,0.5451325989539498,up
PEA15,48,4,0.40419124156623926,up
PITPNC1,48,4,0.5301512664524898,up
PPP1R14B,48,4,0.4919606342237772,up
RPL36,48,4,0.3796291941152046,up
SEC14L2,48,4,0.38761818404901377,up
ARHGAP45,49,4,0.6088935478746476,up
COLGALT1,49,4,0.598030568229681,up
NFE2L2,49,4,0.5918654191296433,up
RPL39,49,4,0.5577334728739993,up
SIPA1,49,4,0.5899112275198234,up
CYC1,51,4,0.056569712233887515,up
DOP1A,51,4,0.07700143262975523,up
MTMR7,51,4,0.04376659152798782,up
SUV39H1,51,4,0.03736180546319012,up
TTC13,51,4,0.05619382110555726,up
GOT2,52,4,0.025367868374810715,up
HACL1,52,4,0.024693570098906232,up
PIK3R4,52,4,0.027992179599166295,up
SLC35B3,52,4,0.03417729024972135,up
C1QB,53,4,1.2419780277641732,up
CDKN1A,53,3,1.3171104542010474,up
GBP2,53,4,1.0918681026386914,up
IFITM3,53,3,1.0752152689345922,up
NQO1,53,3,1.2106474696273166,up
TIMP1,53,4,1.2910273915413155,up
YBX3,53,4,1.1938554767287959,up
PABPC4,57,3,0.5174941405933916,up
RFXANK,57,3,0.5088781786193805,up
RPS16,57,3,0.510268931329526,up
CHSY1,59,4,0.5153773718276226,up
DOK1,59,4,0.509805998347024,up
FAM111A,59,4,0.5085993347332718,up
MAPKAPK2,59,4,0.4883339900103964,up
UBE2L6,59,4,0.48313692622570237,up
IFRD1,64,4,0.5781066609016818,up
P4HA1,64,4,0.6556598983712033,up
RPLP1,64,4,0.7138658784567312,up
SEC11A,64,4,0.5225412215647266,up
SLA,64,4,0.6587424625623977,up
UGDH,64,4,0.6406781414493237,up
ATXN7,68,4,0.22318459969858617,up
BMP7,68,4,0.3518051773442539,up
DDAH2,68,4,0.49689415280044996,up
EPB41L2,68,4,0.4218036203881228,up
MCL1,68,4,0.5001134507050479,up
PDIA6,68,4,0.35106195526297945,up
RPS2,68,4,0.4939463294791393,up
CHST11,69,4,0.4350553611027501,up
SBF2,69,4,0.3746706556395374,up
SERF2,69,4,0.3414513000859552,up
C1QC,70,4,0.9826890784487089,up
LIMS1,70,4,0.8534256481104914,up
PARP9,70,4,0.8872580623238547,up
RHBDF2,70,4,0.823578189508833,up
RHPN2,70,4,0.9000262380802789,up
