gene,cluster_id,status,discovery_direction,n_same_tissue_concordant,n_same_tissue_discordant,n_cross_tissue_concordant,reason
APOC1,9,survived,up,1,0,0,Same-tissue replication: 1/3 concordant. Cross-tissue: 0/0 concordant.
CEBPD,9,eliminated,up,1,2,0,"Significant opposite direction in same-tissue dataset(s): ['GSE102741', 'GSE18123']. Discovery direction: up."
TENT5A,9,survived,up,1,0,0,Same-tissue replication: 1/4 concordant. Cross-tissue: 0/0 concordant.
DEPP1,10,survived,up,0,0,0,Same-tissue replication: 0/3 concordant. Cross-tissue: 0/0 concordant.
GADD45B,10,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE102741']. Discovery direction: up.
VIM,10,survived,up,1,0,0,Same-tissue replication: 1/4 concordant. Cross-tissue: 0/0 concordant.
ACTL6A,12,eliminated,up,3,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
HK2,12,survived,up,1,0,0,Same-tissue replication: 1/4 concordant. Cross-tissue: 0/0 concordant.
WSCD1,12,survived,up,1,0,0,Same-tissue replication: 1/3 concordant. Cross-tissue: 0/0 concordant.
ANO6,13,survived,up,3,0,0,Same-tissue replication: 3/4 concordant. Cross-tissue: 0/0 concordant.
CTSH,13,survived,up,2,0,0,Same-tissue replication: 2/4 concordant. Cross-tissue: 0/0 concordant.
GNA12,13,survived,up,3,0,0,Same-tissue replication: 3/4 concordant. Cross-tissue: 0/0 concordant.
LHX2,13,survived,up,1,0,0,Same-tissue replication: 1/3 concordant. Cross-tissue: 0/0 concordant.
MAPKAPK3,13,survived,up,1,0,0,Same-tissue replication: 1/4 concordant. Cross-tissue: 0/0 concordant.
PLCE1,13,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE18123']. Discovery direction: up.
PSME2,13,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE42133']. Discovery direction: up.
PTPN1,13,survived,up,1,0,0,Same-tissue replication: 1/4 concordant. Cross-tissue: 0/0 concordant.
TIPARP,13,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
CCDC25,14,eliminated,up,3,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
DHX35,14,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
HAGH,14,survived,up,2,0,0,Same-tissue replication: 2/4 concordant. Cross-tissue: 0/0 concordant.
HMG20A,14,eliminated,up,3,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
PARL,14,eliminated,up,3,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
PARN,14,survived,up,2,0,0,Same-tissue replication: 2/4 concordant. Cross-tissue: 0/0 concordant.
DDX1,17,eliminated,up,3,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
MRPL22,17,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
URGCP,17,survived,up,2,0,0,Same-tissue replication: 2/3 concordant. Cross-tissue: 0/0 concordant.
WDR54,17,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
ANAPC5,18,survived,up,3,0,0,Same-tissue replication: 3/4 concordant. Cross-tissue: 0/0 concordant.
ME3,18,survived,up,2,0,0,Same-tissue replication: 2/4 concordant. Cross-tissue: 0/0 concordant.
TTC19,18,eliminated,up,3,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
UBE4A,18,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
BIRC3,19,eliminated,up,2,2,0,"Significant opposite direction in same-tissue dataset(s): ['GSE26415', 'GSE42133']. Discovery direction: up."
PARP14,19,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE42133']. Discovery direction: up.
PTAFR,19,survived,up,1,0,0,Same-tissue replication: 1/4 concordant. Cross-tissue: 0/0 concordant.
