gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
AAMDC,2,2,0.4441409089909816,0.4441409089909816,True
AARS1,3,2,0.0837317797936364,-0.24757447404502608,True
AASDHPPT,3,2,0.11681954228952425,0.26048552698556815,False
ABCA1,3,3,1.0303962813488823,1.0303962813488823,True
ABCA5,3,2,-0.10462064632660766,-0.3687699603956238,True
ABCC8,3,2,0.11057940621420759,-0.3326503317797811,True
ABCF2,3,2,0.15447308823022934,-0.14024048066022976,True
ABCG4,3,2,-0.0034218903893797523,-0.441495743368828,True
ABHD10,3,2,0.008843471762017016,-0.35284120693793364,True
ABHD14A,3,2,-0.1370843502922532,-0.4189289748190872,True
ABI3BP,3,2,0.4284768250109631,0.29390399251676375,True
ABLIM2,3,2,-0.07471529322286674,-0.35725888236088865,True
ABT1,2,2,0.047309863894559934,0.047309863894559934,False
ABTB1,3,2,-0.08193093619117302,-0.247803329799134,True
ACAA2,3,2,0.5701242001037542,0.3448164238638385,True
ACADM,3,2,0.27170721212111165,0.3810527724989754,False
ACBD6,3,2,0.2388158493966186,0.16337336626616716,False
ACKR3,3,2,0.7410150245118055,0.9721343968093741,True
ACLY,3,2,-0.004484885809058407,-0.24147918320017592,True
ACOT7,3,2,-0.08554655006716445,-0.37553320150899117,True
ACOX2,3,2,0.5584334593909389,0.3709671359110104,True
ACOX3,3,2,0.2350515627924755,0.37250494444416216,True
ACTA2,3,2,0.404793403700974,0.5883379935825976,False
ACTL6A,3,3,0.6932162256594193,0.6932162256594193,True
ACTL6B,3,2,-0.2379465493189672,-0.5014298500035088,True
ACTR1B,3,2,-0.29086667031482466,-0.5387780190170117,True
ACTR6,3,2,0.1493021103168554,-0.3555935825449845,True
ADA,3,3,0.7633016109554941,0.7633016109554941,True
ADAMTS9,2,2,1.2482507363940039,1.2482507363940039,True
ADAMTSL3,2,2,0.40572116979466655,0.40572116979466655,True
ADAP2,3,3,0.810874537025375,0.810874537025375,True
ADCY1,3,3,0.1251204430769981,0.1251204430769981,False
ADCY7,3,2,0.33340274275642007,0.28048129143160727,True
ADD1,3,2,0.29522323236047104,0.4624527710727575,False
ADGRG1,3,2,0.7868281546738611,0.6273155272416382,True
ADPRH,2,2,0.2900534858198429,0.2900534858198429,True
ADSS2,3,2,0.005155545364091611,-0.4350261428739599,True
AEBP1,3,3,0.7753471146596578,0.7753471146596578,True
