gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
AAMDC,0.6195619987432466,0.4296244815741749,0.0,1.0,0.0
AARS1,0.42578036055008767,0.32126579353517365,0.0,0.33333333333333326,0.0
AASDHPPT,0.5681115876915281,0.26687826209095167,0.0,0.33333333333333326,0.0
ABCA1,0.7837993848722471,0.42034944949097874,1.0,1.0,0.0
ABCA5,0.39182787017239007,0.17419078432820642,0.0,0.33333333333333326,0.0
ABCC8,0.4019466574305045,0.020449626363432664,0.0,0.33333333333333326,0.0
ABCF2,0.4558496022960628,0.13731187184258997,0.0,0.33333333333333326,0.0
ABCG4,0.3714539971762852,0.47339921424934267,0.0,0.33333333333333326,0.0
ABHD10,0.3962902545794829,0.1701966262918289,0.0,0.33333333333333326,0.0
ABHD14A,0.3777759982269211,0.45424016938039635,0.0,0.33333333333333326,0.0
ABI3BP,0.5774736535864825,0.05583422211212688,0.0,1.0,0.0
ABLIM2,0.3950526583058414,0.0725858718070284,0.0,0.33333333333333326,0.0
ABT1,0.5083911734434355,0.1343910234880226,0.0,0.0,0.0
ABTB1,0.425716247413343,0.07847722910695194,0.0,0.33333333333333326,0.0
ACAA2,0.5917365926403033,0.15431531204270518,0.0,1.0,0.0
ACADM,0.6018880786023985,0.048023285754446116,0.0,0.33333333333333326,0.0
ACBD6,0.5409059565111338,0.2793505386941748,0.0,0.33333333333333326,0.0
ACKR3,0.7674775222866078,0.23613872982910938,0.0,1.0,0.0
ACLY,0.42748793489951825,0.2324418197772724,0.0,0.33333333333333326,0.0
ACOT7,0.38993317189823673,0.1439587787322216,0.0,0.33333333333333326,0.0
ACOX2,0.599062622890168,0.19796469381818665,0.0,1.0,0.0
ACOX3,0.5994934345564832,0.09710144675227841,0.0,0.33333333333333326,0.0
ACTA2,0.6599583061843177,0.054134299873770206,0.0,0.33333333333333326,0.0
ACTL6A,0.6893395750140595,0.19686495751827898,1.0,1.0,0.0
ACTL6B,0.35466366743641975,0.47786473895036424,0.0,0.33333333333333326,0.0
ACTR1B,0.3442007088953129,0.7758442826645894,0.0,0.33333333333333326,0.0
ACTR6,0.3955191862078122,0.4251661289771087,0.0,0.33333333333333326,0.0
ADA,0.7089737498627706,0.10533638736559779,1.0,1.0,0.0
ADAMTS9,0.8448305462742539,0.3580532420837625,0.0,1.0,0.0
ADAMTSL3,0.6087988435742249,0.14073294337559522,0.0,1.0,0.0
ADAP2,0.7223011382273339,0.5000829643225287,1.0,1.0,0.0
ADCY1,0.5301895342613653,0.29204173079334966,1.0,0.33333333333333326,0.0
ADCY7,0.5737133309609507,0.09331472791787766,0.0,1.0,0.0
ADD1,0.6246920026720286,0.24219484285537854,0.0,0.33333333333333326,0.0
ADGRG1,0.6708777255154686,0.14527865297615986,0.0,1.0,0.0
ADPRH,0.5763949476419536,0.18656648611560314,0.0,1.0,0.0
ADSS2,0.3732664330611838,0.3982884701063746,0.0,0.33333333333333326,0.0
AEBP1,0.7123482554728809,0.30537316342221504,1.0,1.0,0.0
AEN,0.5987644854057819,0.16409963777301154,0.0,1.0,0.0
AFG3L2,0.4058471184931895,0.523579109638499,0.0,0.33333333333333326,0.0
AFTPH,0.4074024397299317,0.09786710228513636,0.0,0.33333333333333326,0.0
AGGF1,0.424747937532174,0.1412444722439539,0.0,0.33333333333333326,0.0
AGK,0.41264534470082703,0.2741371127879582,0.0,0.33333333333333326,0.0
AIFM1,0.4629685038695731,0.154453124259534,0.0,0.33333333333333326,0.0
AIG1,0.48114958784504547,0.12094143099519397,0.0,0.33333333333333326,0.0
AK2,0.5626921658187706,0.07603754458010704,0.0,1.0,0.0
AK4,0.5754749453116578,0.17722810649961585,0.0,1.0,0.0
AKAP1,0.4576476069270505,0.03649768769590583,0.0,0.33333333333333326,0.0
AKAP11,0.41257207887275266,0.17085297093868346,0.0,0.33333333333333326,0.0
AKIP1,0.6290484697919102,0.3575438075436102,0.0,0.33333333333333326,0.0
AKNA,0.5926200898382884,0.12282057182392736,0.0,1.0,0.0
AKR1B1,0.43838190889125,0.0950284392587933,0.0,0.33333333333333326,0.0
AKR1C2,0.398929114308066,0.09922903640539397,0.0,0.33333333333333326,0.0
ALDH1A2,0.6462602618949674,0.07744119389532156,1.0,0.33333333333333326,0.0
ALDOC,0.40014508113194003,0.4157086169329547,0.0,0.33333333333333326,0.0
ALG5,0.5757827069593309,0.3062162315529137,0.0,0.33333333333333326,0.0
ALPK1,0.7667995828430221,0.28547730764908125,0.0,1.0,0.0
AMMECR1L,0.6860038699257124,0.17222568579376016,0.0,1.0,0.0
AMPH,0.3341861018772737,0.11201552730618622,0.0,0.33333333333333326,0.0
AMY2B,0.4103387892384942,0.2190995160241794,0.0,0.33333333333333326,0.0
AMZ2,0.6607819468151058,0.1618762720164475,0.0,0.33333333333333326,0.0
ANAPC5,0.4053762150836718,0.29249679234866804,0.0,0.33333333333333326,0.0
ANGPT2,0.7611434159465325,0.10050781428408162,0.0,1.0,0.0
ANGPTL4,0.7502269502592682,0.08672284321957129,0.0,1.0,0.0
ANK3,0.42414055106626847,0.3093525763169404,0.0,0.33333333333333326,0.0
ANKFN1,0.6446016260457579,0.09112385535810498,0.0,1.0,0.0
ANKFY1,0.5400090726907557,0.0325050084547612,0.0,1.0,0.0
ANKMY2,0.3773538513472958,0.39525636745215087,0.0,0.33333333333333326,0.0
ANKRD29,0.37558535132522736,0.2301020464644149,0.0,0.33333333333333326,0.0
ANKRD34A,0.5912548354649105,0.009866511960467351,0.0,0.0,0.0
ANKRD37,0.7363947620747565,0.20250215271032984,0.0,1.0,0.0
ANO6,0.6829599270688015,0.2676431057152944,1.0,1.0,0.0
ANP32B,0.7293097941597085,0.08810475334069645,0.0,1.0,0.0
ANTXR1,0.7122464455806774,0.18419800985554835,0.0,1.0,0.0
ANXA2,0.7453407792671226,0.16232840731071402,0.0,1.0,0.0
ANXA5,0.6371617948112156,0.20387688138264795,0.0,1.0,0.0
ANXA6,0.337011024094455,0.3778678751181524,0.0,0.33333333333333326,0.0
ANXA7,0.5498732870906081,0.2838877227985408,1.0,0.33333333333333326,0.0
AP3M1,0.5409031111947119,0.047298323096183786,0.0,1.0,0.0
AP3M2,0.5885024296890972,0.3218554543033746,0.0,0.33333333333333326,0.0
APBA2,0.42102564446028246,0.5455433221233483,0.0,0.33333333333333326,0.0
APBB1IP,0.7046820436354255,0.8388060026904605,1.0,1.0,0.0
APEX1,0.44171049400195883,0.0888483892451895,0.0,0.33333333333333326,0.0
APIP,0.5225158773538578,0.027232148551126285,0.0,0.33333333333333326,0.0
APOC1,0.7486777810621031,0.25624649899871615,0.0,1.0,0.0
APOE,0.7222666038328429,0.1692594786384189,1.0,1.0,0.0
APP,0.3770452997448205,0.22762971447311475,0.0,0.33333333333333326,0.0
ARAF,0.6400336307421476,0.206630557669905,0.0,1.0,0.0
ARAP1,0.5692169482576555,0.06630450621815247,0.0,1.0,0.0
ARFGAP2,0.5935376750219485,0.07953384866163077,0.0,0.33333333333333326,0.0
ARFIP2,0.5648381312448398,0.3382807460894004,0.0,0.33333333333333326,0.0
ARHGAP26,0.40819995328918685,0.3471773648560906,0.0,0.33333333333333326,0.0
ARHGAP27,0.6804250251885299,0.02364019326600525,0.0,1.0,0.0
ARHGAP30,0.7856010858218226,0.3186992312956099,0.0,1.0,0.0
ARHGAP4,0.6302077981735069,0.04022712765671085,0.0,0.33333333333333326,0.0
ARHGAP45,0.6657168726154975,0.34067608978149955,0.0,1.0,0.0
ARHGDIB,0.7721214985594608,0.04324177054552711,0.0,1.0,0.0
ARHGEF3,0.6620254744950156,0.06857973608776556,0.0,0.33333333333333326,0.0
ARID3A,0.7337061952696545,0.0783309652137979,0.0,1.0,0.0
ARID4B,0.7083833416000768,0.11308317109118345,0.0,1.0,0.0
ARL1,0.4118006638802838,0.12342870932288706,0.0,0.33333333333333326,0.0
ARL3,0.42905964987855943,0.21468132376183674,0.0,0.33333333333333326,0.0
ARL8B,0.6021710326764188,0.06820955238456952,0.0,0.33333333333333326,0.0
ARMC8,0.4024013455211174,0.19010202968490092,0.0,0.33333333333333326,0.0
ARMCX3,0.40663605330234687,0.12336240810147349,0.0,0.33333333333333326,0.0
ARMCX5,0.4983309041845226,0.5449433689715912,1.0,0.33333333333333326,0.0
ARNT,0.5093291849020865,0.08663266855002541,0.0,0.0,0.0
ARRDC4,0.6844697536436806,0.4185310256604767,0.0,1.0,0.0
ARSG,0.3994145253751258,0.39194778253060547,0.0,1.0,0.0
ASAP3,0.5998633954510835,0.1631312797941628,0.0,1.0,0.0
ASB13,0.3401629335851487,0.4431219181061059,0.0,0.33333333333333326,0.0
ASB8,0.552710808871992,0.5896539633548749,0.0,0.33333333333333326,0.0
ASCC2,0.5890800158407111,0.11666891992606251,0.0,1.0,0.0
ASH2L,0.3899617513019343,0.5505190018659337,0.0,0.33333333333333326,0.0
ASNS,0.43030346238396083,0.037292580616985864,0.0,0.33333333333333326,0.0
ASXL2,0.5508861356784998,0.24758766709174468,0.0,1.0,0.0
ATAD1,0.4075586974513869,0.15542945986289464,0.0,0.33333333333333326,0.0
ATF5,0.6024613350211803,0.20024438606649125,0.0,1.0,0.0
ATF7IP2,0.7548067852027889,0.16949261016107928,0.0,1.0,0.0
ATG16L1,0.4221267212018847,0.37909467724813617,0.0,0.33333333333333326,0.0
ATIC,0.6589108693374375,0.03359258825966355,0.0,0.33333333333333326,0.0
ATP1A1,0.3085073849570327,0.3996907934771425,0.0,0.33333333333333326,0.0
ATP2B1,0.5451794154094809,0.25559454279232824,0.0,0.33333333333333326,0.0
ATP2B2,0.34611704063770876,0.3798317515536256,0.0,0.33333333333333326,0.0
ATP2B3,0.3971513812167315,0.2677511482236835,0.0,0.33333333333333326,0.0
ATP5F1A,0.5497006570800473,0.4607633731346484,1.0,0.33333333333333326,0.0
ATP5F1B,0.37550925846073596,0.35760090520918564,0.0,0.33333333333333326,0.0
ATP5MC1,0.4073935017794117,0.4016425628947454,0.0,0.33333333333333326,0.0
ATP5PD,0.4148352975667777,0.1531608538348378,0.0,0.33333333333333326,0.0
ATP5PF,0.6390423801514842,0.022626202040470302,0.0,0.33333333333333326,0.0
ATP5PO,0.6134277282478579,0.15294769166350666,0.0,0.33333333333333326,0.0
ATP6AP1,0.4090609054386051,0.3452414267795741,0.0,0.33333333333333326,0.0
ATP6AP2,0.580424336642646,0.21969675270563038,0.0,0.33333333333333326,0.0
ATP6V0D1,0.4008402843645164,0.16983689875330793,0.0,0.33333333333333326,0.0
