gene,cluster_id
AAMDC,20
AARS1,12
AASDHPPT,94
ABCA1,69
ABCA5,72
ABCC8,102
ABCF2,76
ABCG4,156
ABHD10,75
ABHD14A,156
ABI3BP,148
ABLIM2,104
ABT1,25
ABTB1,105
ACAA2,176
ACADM,136
ACBD6,94
ACKR3,61
ACLY,39
ACOT7,147
ACOX2,121
ACOX3,13
ACTA2,64
ACTL6A,2
ACTL6B,156
ACTR1B,155
ACTR6,169
ADA,4
ADAMTS9,6
ADAMTSL3,177
ADAP2,42
ADCY1,84
ADCY7,41
ADD1,128
ADGRG1,173
ADPRH,174
ADSS2,156
AEBP1,71
AEN,176
AFG3L2,141
AFTPH,28
AGGF1,116
AGK,16
AIFM1,76
AIG1,17
AK2,149
AK4,174
AKAP1,106
AKAP11,100
AKIP1,131
AKNA,110
AKR1B1,24
AKR1C2,28
ALDH1A2,86
ALDOC,169
ALG5,130
ALPK1,43
AMMECR1L,163
AMPH,135
AMY2B,45
AMZ2,66
ANAPC5,31
ANGPT2,10
ANGPTL4,10
ANK3,12
ANKFN1,119
ANKFY1,108
ANKMY2,156
ANKRD29,30
ANKRD34A,26
ANKRD37,83
ANO6,97
ANP32B,47
ANTXR1,63
ANXA2,83
ANXA5,49
ANXA6,144
ANXA7,84
AP3M1,108
AP3M2,130
APBA2,142
APBB1IP,42
APEX1,24
APIP,122
APOC1,61
APOE,2
APP,30
ARAF,49
ARAP1,149
ARFGAP2,123
ARFIP2,130
ARHGAP26,160
ARHGAP27,58
ARHGAP30,43
ARHGAP4,60
ARHGAP45,87
ARHGDIB,48
ARHGEF3,64
ARID3A,47
ARID4B,33
ARL1,146
ARL3,56
ARL8B,112
ARMC8,74
ARMCX3,146
ARMCX5,89
ARNT,26
ARRDC4,124
ARSG,35
ASAP3,176
ASB13,143
ASB8,140
ASCC2,110
ASH2L,142
ASNS,102
ASXL2,165
ATAD1,101
ATF5,121
ATF7IP2,83
ATG16L1,158
ATIC,1
ATP1A1,144
ATP2B1,94
ATP2B2,144
ATP2B3,16
ATP5F1A,89
ATP5F1B,157
ATP5MC1,170
ATP5PD,101
ATP5PF,60
ATP5PO,65
ATP6AP1,160
ATP6AP2,126
ATP6V0D1,75
ATP6V0E1,163
ATP6V1A,132
ATP6V1B2,114
ATP6V1C1,9
ATP6V1D,128
ATP6V1E1,156
ATPAF1,84
ATRNL1,35
ATXN7,22
ATXN7L1,41
AUH,35
AVIL,-1
AVPI1,156
AZIN1,64
B2M,82
B3GALNT1,112
B3GNT5,125
B4GALT1,163
B4GALT6,144
BAALC,63
BAG3,70
BAHD1,150
BANF1,174
BAX,110
BAZ2A,79
BBS7,73
BCAR3,58
BEND6,9
BEX1,126
BEX2,68
BEX3,140
BEX5,171
BIN2,124
BIN3,67
BIRC3,82
BLMH,126
BLVRA,89
BMERB1,8
BMP7,20
BMPR1A,78
BNIP2,149
BNIP3,27
BOLA3,105
BRI3BP,77
BRWD1,64
BST2,69
