gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
AARS1,12,True,True,True,True,4,True,0.0837317797936364,-0.24757447404502608,down
ABCA1,69,True,True,True,True,4,True,1.0303962813488823,1.0303962813488823,up
ABCG4,156,True,True,True,True,4,True,-0.0034218903893797523,-0.441495743368828,down
ACTL6B,156,True,True,True,True,4,True,-0.2379465493189672,-0.5014298500035088,down
ACTR1B,155,True,True,True,True,4,True,-0.29086667031482466,-0.5387780190170117,down
ACTR6,169,True,True,True,True,4,True,0.1493021103168554,-0.3555935825449845,down
ADAP2,42,True,True,True,True,4,True,0.810874537025375,0.810874537025375,up
AEBP1,71,True,True,True,True,4,True,0.7753471146596578,0.7753471146596578,up
ALDOC,169,True,True,True,True,4,True,0.10329543835260384,-0.33908116831852464,down
ANAPC5,31,True,True,True,True,4,True,0.10419824206598587,-0.32040831644837997,down
ANO6,97,True,True,True,True,4,True,0.6704436830014285,0.6704436830014285,up
APBA2,142,True,True,True,True,4,True,-0.1120479988772356,-0.26454672328367046,down
APOC1,61,True,True,True,True,4,True,0.9050275732561341,0.9050275732561341,up
ARHGAP26,160,True,True,True,True,4,True,-0.11024037892092468,-0.31032881060544604,down
ARHGAP45,87,True,True,True,True,4,True,0.6088935478746476,0.6088935478746476,up
ARMCX5,89,True,True,True,True,4,True,0.011399118847922404,0.011399118847922404,up
ASB13,143,True,True,True,True,4,True,-0.17072924352405097,-0.5531911043914866,down
ASXL2,165,True,True,True,True,4,True,0.3858883533733355,0.19899822484353802,up
ATP1A1,144,True,True,True,True,4,True,-0.309459256297103,-0.666187516996307,down
ATP2B2,144,True,True,True,True,4,True,-0.16134065081453564,-0.5319375559185726,down
ATP5F1A,89,True,True,True,True,4,True,0.1947665866426466,0.1947665866426466,up
ATP5F1B,157,True,True,True,True,4,True,0.027658698790912872,-0.4270202407420576,down
ATP6V1C1,9,True,True,True,True,4,True,-0.040415732875655586,-0.50631071354224,down
ATP6V1E1,156,True,True,True,True,4,True,-0.1265443800908308,-0.5004476271632852,down
ATPAF1,84,True,True,True,True,4,True,0.24163634304793055,0.24163634304793055,up
ATRNL1,35,True,True,True,True,4,True,-0.4746903840451253,-0.7062793845708244,down
ATXN7,22,True,True,True,True,4,True,0.22318459969858617,0.22318459969858617,up
AVPI1,156,True,True,True,True,4,True,-0.13640140775348972,-0.4687794314910321,down
B4GALT6,144,True,True,True,True,4,True,-0.31648527760735173,-0.5673506359846074,down
BAG3,70,True,True,True,True,4,True,1.555920761616972,1.555920761616972,up
BMP7,20,True,True,True,True,4,True,0.3518051773442539,0.47626861041360513,up
BST2,69,True,True,True,True,4,True,0.8618405843978599,0.8618405843978599,up
BTG3,53,True,True,True,True,4,True,0.6628301135918057,0.5914144140789962,up
C1QB,55,True,True,True,True,4,True,1.2419780277641732,1.2419780277641732,up
C3orf70,165,True,True,True,True,4,True,0.4933040262472191,0.2794843981160966,up
CACHD1,71,True,True,True,True,4,True,0.7161416247155135,0.7161416247155135,up
CADPS,9,True,True,True,True,4,True,-0.1900307582989651,-0.5017736859645092,down
CAMTA1,156,True,True,True,True,4,True,-0.013083650620616302,-0.42969198362711225,down
CBLN2,161,True,True,True,True,4,True,-0.353244543295171,-0.8227699976255187,down
CCDC25,145,True,True,True,True,4,True,0.030463513065308295,-0.3974587871347999,down
CD14,69,True,True,True,True,4,True,1.1477238826406753,1.1477238826406753,up
CD84,53,True,True,True,True,4,True,0.5509844205519027,0.7624343863377896,up
CDCA5,156,True,True,True,True,4,True,-0.12630897912811845,-0.48898235295242043,down
CEND1,160,True,True,True,True,4,True,-0.11701121777224739,-0.34279380406532933,down
CHCHD4,167,True,True,True,True,4,True,0.1450409177934834,-0.2835973719133382,down
CHCHD7,23,True,True,True,True,4,True,0.004211740522719332,-0.2909721327451016,down
CHST11,21,True,True,True,True,4,True,0.4350553611027501,0.4350553611027501,up
CHSY1,90,True,True,True,True,4,True,0.5153773718276226,0.3836273291695136,up
CIRBP,9,True,True,True,True,4,True,-0.012431649009328657,-0.4156977362911771,down
CNN3,70,True,True,True,True,4,True,0.9279821636024655,0.9279821636024655,up
CNTNAP1,157,True,True,True,True,4,True,-0.05267955000853005,-0.393553400077443,down
COPG1,156,True,True,True,True,4,True,-0.06594249739109603,-0.42457111363317734,down
COQ3,89,True,True,True,True,4,True,0.05307464503480378,0.05307464503480378,up
COQ6,170,True,True,True,True,4,True,0.22799511741647382,-0.21533781161079224,down
CORO2A,145,True,True,True,True,4,True,-0.23940610817364436,-0.610684247178841,down
COX7A1,156,True,True,True,True,4,True,-0.1503866685172325,-0.5222407232987285,down
CPEB1,153,True,True,True,True,4,True,-0.009109466746702951,-0.22322816199714546,down
CPLX2,35,True,True,True,True,4,True,-0.3378172958920261,-0.5023270260432877,down
CPNE3,42,True,True,True,True,4,True,0.6024400145533623,0.6024400145533623,up
CTSH,97,True,True,True,True,4,True,0.6927910475824574,0.6927910475824574,up
CXCL16,93,True,True,True,True,4,True,0.9764846260139954,0.8225178493621171,up
CYBA,70,True,True,True,True,4,True,0.8712628167693591,0.8712628167693591,up
CYC1,16,True,True,True,True,4,True,0.056569712233887515,-0.2711704963940589,down
DDAH2,20,True,True,True,True,4,True,0.49689415280044996,0.4863706950982756,up
DDX1,9,True,True,True,True,4,True,0.11901865397295157,-0.41776238715064373,down
DDX24,156,True,True,True,True,4,True,0.07932843486756447,-0.4265053021672829,down
DEPDC5,170,True,True,True,True,4,True,0.018321273074113797,-0.21183136998837515,down
DHX35,145,True,True,True,True,4,True,0.08035342943062036,-0.27013552103933747,down
DNAJB1,43,True,True,True,True,4,True,1.1009004077606257,1.131537005363971,up
DOK1,88,True,True,True,True,4,True,0.509805998347024,0.509805998347024,up
DOP1A,16,True,True,True,True,4,True,0.07700143262975523,-0.3080810100496274,down
DPP10,144,True,True,True,True,4,True,-0.24350988825275235,-0.5481711969525933,down
DPP8,156,True,True,True,True,4,True,0.01739966438109075,-0.391246006286051,down
DTNA,20,True,True,True,True,4,True,0.6668572213037116,0.5163805395469101,up
DTX2,88,True,True,True,True,4,True,0.6836233822783832,0.6140046312375034,up
DYNLT1,42,True,True,True,True,4,True,0.6837544287618078,0.6837544287618078,up
DYNLT5,143,True,True,True,True,4,True,-0.293883305684631,-0.5937928680837162,down
EFR3A,84,True,True,True,True,4,True,0.16132101914295896,0.16132101914295896,up
EHD4,71,True,True,True,True,4,True,0.7033896142682229,0.7033896142682229,up
ELF1,90,True,True,True,True,4,True,0.5847911392275088,0.42760121786407723,up
EMC1,152,True,True,True,True,4,True,-0.051971667944302524,-0.19942662646732945,down
ENO2,89,True,True,True,True,4,True,-0.038356628694890205,-0.038356628694890205,down
EPB41L2,22,True,True,True,True,4,True,0.4218036203881228,0.2939707114486736,up
EPB41L3,156,True,True,True,True,4,True,0.06285621916242452,-0.40281283175944527,down
EXOSC9,160,True,True,True,True,4,True,-0.10994300995706219,-0.26651713922108655,down
FAHD2B,89,True,True,True,True,4,True,0.08721153122710164,0.08721153122710164,up
FAM111A,90,True,True,True,True,4,True,0.5085993347332718,0.3782417866762894,up
FAM131B,35,True,True,True,True,4,True,-0.3684301430276194,-0.3966067175049153,down
FAM234B,144,True,True,True,True,4,True,-0.05548483243185073,-0.5125700459564024,down
FAM241B,132,True,True,True,True,4,True,-0.00949401122283966,-0.5300395249086298,down
FAM81A,168,True,True,True,True,4,True,-0.4250624316137929,-0.6411722817676102,down
FAR2,9,True,True,True,True,4,True,0.001129304399289784,-0.4011468316996445,down
FBLN7,144,True,True,True,True,4,True,-0.3198650698560505,-0.738431686165459,down
FERMT2,71,True,True,True,True,4,True,0.7512721128195037,0.7512721128195037,up
FH,145,True,True,True,True,4,True,0.130909427414409,-0.3868595644559192,down
FIBP,31,True,True,True,True,4,True,-0.03402525666354972,-0.32185753173019327,down
FOCAD,9,True,True,True,True,4,True,-0.05069482439166192,-0.4149851965057163,down
FXR2,12,True,True,True,True,4,True,0.12262311913294906,-0.07828081251508134,down
GABRG2,144,True,True,True,True,4,True,-0.16936471500584074,-0.6719486830945205,down
GBP2,55,True,True,True,True,4,True,1.0918681026386914,1.0918681026386914,up
GLMN,156,True,True,True,True,4,True,-0.08220995780828311,-0.4955494385764778,down
GLS2,168,True,True,True,True,4,True,-0.21304010621317845,-0.558996545840468,down
GMPR2,142,True,True,True,True,4,True,0.12077998543521318,-0.3067965535600239,down
GNA12,97,True,True,True,True,4,True,0.7174568342790835,0.7174568342790835,up
GNG5,93,True,True,True,True,4,True,0.7316728136854976,0.7043534834070567,up
GOT1,144,True,True,True,True,4,True,-0.2875157093865062,-0.6460352983074924,down
GOT2,8,True,True,True,True,4,True,0.025367868374810715,-0.418355461138634,down
GPRASP2,89,True,True,True,True,4,True,0.007095836022115165,0.007095836022115165,up
H2AC20,50,True,True,True,True,4,True,0.5451325989539498,0.4291545258254801,up
H2BC21,42,True,True,True,True,4,True,0.6956560608268275,0.6956560608268275,up
HACL1,16,True,True,True,True,4,True,0.024693570098906232,-0.32459549504181373,down
HAGH,155,True,True,True,True,4,True,0.11614116706640913,-0.31040274264390844,down
HEY2,90,True,True,True,True,4,True,0.5948938728413189,0.4540278714283642,up
HMCES,141,True,True,True,True,4,True,0.20155859337700446,-0.2060800308980233,down
HMG20A,145,True,True,True,True,4,True,0.10982404217533788,-0.22884080848995758,down
HSPA1A,70,True,True,True,True,4,True,1.6082401943627904,1.6082401943627904,up
HSPA5,21,True,True,True,True,4,True,0.6721930727006488,0.4340760210992225,up
HSPB1,7,True,True,True,True,4,True,1.3859630256405435,1.5195295648245162,up
HYLS1,156,True,True,True,True,4,True,-0.07538066273238304,-0.4168836787835071,down
ICA1,168,True,True,True,True,4,True,-0.11350185608173557,-0.5120255051646354,down
IDH1,42,True,True,True,True,4,True,0.6080770177215363,0.6080770177215363,up
IDH3A,154,True,True,True,True,4,True,-0.006092816571589961,-0.39788765974508467,down
IDH3B,89,True,True,True,True,4,True,0.17470381856409625,0.17470381856409625,up
IDH3G,168,True,True,True,True,4,True,0.059452049375725124,-0.2861438957836855,down
IFRD1,54,True,True,True,True,4,True,0.5781066609016818,0.5781066609016818,up
INA,144,True,True,True,True,4,True,-0.015036269409987923,-0.5631482793773497,down
IRF8,61,True,True,True,True,4,True,0.6559084880114144,0.9262261625580316,up
ITPR1,143,True,True,True,True,4,True,-0.2830043346949604,-0.7561466547870586,down
JUN,53,True,True,True,True,4,True,0.8364571547687726,0.6218879302918516,up
KCNS1,161,True,True,True,True,4,True,-0.567892044001517,-1.123636641691098,down
KCNS2,144,True,True,True,True,4,True,-0.1743676328742012,-0.5393729249261003,down
KCTD9,32,True,True,True,True,4,True,-0.06982949680876456,-0.33672355244754204,down
KIFBP,31,True,True,True,True,4,True,-0.022998976973261993,-0.3005041937325186,down
KLHDC2,167,True,True,True,True,4,True,0.05850475812597159,-0.39350423207652385,down
KLHDC9,156,True,True,True,True,4,True,-0.05966134445221464,-0.5611270885384798,down
KYAT3,144,True,True,True,True,4,True,-0.13723157588165247,-0.4951053319289449,down
LAPTM5,69,True,True,True,True,4,True,0.9794614741212201,0.9794614741212201,up
LCMT1,84,True,True,True,True,4,True,0.21644158215159295,0.21644158215159295,up
LHX2,97,True,True,True,True,4,True,0.6756608768470093,0.6756608768470093,up
LIMS1,29,True,True,True,True,4,True,0.8534256481104914,0.8534256481104914,up
LPCAT4,141,True,True,True,True,4,True,-0.08674649331465704,-0.36102882400716485,down
LPP,43,True,True,True,True,4,True,0.7580722549709517,1.0502278431551448,up
LRRC20,144,True,True,True,True,4,True,-0.007936740756374702,-0.5687313527932836,down
MAGEE1,168,True,True,True,True,4,True,-0.007932064620318554,-0.5001824009233764,down
MANF,90,True,True,True,True,4,True,0.6389588429198407,0.3830609957079105,up
MAP3K9,19,True,True,True,True,4,True,-0.10075978298009029,-0.36556458746448595,down
MAPKAPK2,87,True,True,True,True,4,True,0.4883339900103964,0.6539921268768489,up
MARF1,16,True,True,True,True,4,True,0.21726546578512038,-0.30515377291431767,down
MAT2B,84,True,True,True,True,4,True,0.12987738450444533,0.12987738450444533,up
MCL1,20,True,True,True,True,4,True,0.5001134507050479,0.5527097558170126,up
ME3,32,True,True,True,True,4,True,0.08339448509201326,-0.35467864383172776,down
MGST1,0,True,True,True,True,4,True,0.7473631271434336,0.8687649906250189,up
MPP1,156,True,True,True,True,4,True,-0.03525773929272239,-0.41560015395580807,down
MRPL2,167,True,True,True,True,4,True,0.01698690610955067,-0.3125198907393727,down
MRPL22,153,True,True,True,True,4,True,0.1544416072990941,-0.1943443117888768,down
MSN,69,True,True,True,True,4,True,1.0410114232284824,1.0410114232284824,up
MTMR7,32,True,True,True,True,4,True,0.04376659152798782,-0.36028986315672107,down
NCKIPSD,169,True,True,True,True,4,True,0.006878943084226208,-0.37235084732933466,down
NDEL1,12,True,True,True,True,4,True,0.23739965108637553,-0.21724518656362646,down
NDRG3,144,True,True,True,True,4,True,-0.265287398854855,-0.5395675907369588,down
NDRG4,157,True,True,True,True,4,True,-0.027159758556167663,-0.36161641888937535,down
NDUFAF5,16,True,True,True,True,4,True,-0.0049675334018468575,-0.31827070473796093,down
NECAP2,90,True,True,True,True,4,True,0.5490313181766936,0.4054687271251054,up
NEFH,154,True,True,True,True,4,True,-0.4452999572505589,-0.940441429067838,down
