gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
MGST1,0,4,0.8687649906250189,up
RHBDF2,0,4,0.8291246130348586,up
RHPN2,0,4,0.8514839124207318,up
HSPB1,7,4,1.5195295648245162,up
PIK3AP1,7,4,0.953136840672439,up
SLC16A3,7,4,1.0205165548423332,up
GOT2,8,4,-0.418355461138634,down
SLC16A14,8,4,-0.47034343272472423,down
SNAP25,8,4,-0.45084993522007544,down
ATP6V1C1,9,4,-0.50631071354224,down
CADPS,9,4,-0.5017736859645092,down
CIRBP,9,4,-0.4156977362911771,down
DDX1,9,4,-0.41776238715064373,down
FAR2,9,4,-0.4011468316996445,down
FOCAD,9,4,-0.4149851965057163,down
SEZ6L2,9,4,-0.4820854248276607,down
SPINT2,9,4,-0.4313405164238189,down
TMEM268,9,4,-0.4469928028962653,down
AARS1,12,4,-0.24757447404502608,down
FXR2,12,4,-0.07828081251508134,down
NDEL1,12,4,-0.21724518656362646,down
QRICH1,12,4,-0.18021878844793626,down
RCOR3,12,4,-0.2336033849215382,down
SNAP47,12,4,-0.25736014903469284,down
SPIN2B,12,4,-0.15712291807627315,down
CYC1,16,4,-0.2711704963940589,down
DOP1A,16,4,-0.3080810100496274,down
HACL1,16,4,-0.32459549504181373,down
MARF1,16,4,-0.30515377291431767,down
NDUFAF5,16,4,-0.31827070473796093,down
PIK3R4,16,4,-0.2764032857814649,down
MAP3K9,19,4,-0.36556458746448595,down
PRPF19,19,4,-0.36035083625773057,down
SHLD1,19,4,-0.33532952226075746,down
VPS36,19,4,-0.3824868463188613,down
BMP7,20,4,0.47626861041360513,up
DDAH2,20,4,0.4863706950982756,up
DTNA,20,4,0.5163805395469101,up
MCL1,20,4,0.5527097558170126,up
RPS2,20,4,0.4090537626377442,up
WWC1,20,4,0.40588069246392955,up
ZFHX3,20,4,0.46433465007810604,up
CHST11,21,4,0.4350553611027501,up
HSPA5,21,4,0.4340760210992225,up
P3H2,21,4,0.6170678759949252,up
SBF2,21,4,0.22849746929813364,up
SERF2,21,4,0.3273876524056971,up
ATXN7,22,4,0.22318459969858617,up
EPB41L2,22,4,0.2939707114486736,up
PDIA6,22,4,0.3330006023490957,up
ZFYVE21,22,4,0.2753867854175054,up
CHCHD7,23,4,-0.2909721327451016,down
N4BP2L1,23,3,-0.26699496360578,down
NAE1,23,3,-0.2862262762172867,down
RIOK1,23,4,-0.2413459817015653,down
SNX14,23,4,-0.27415390903181835,down
VPS39,23,4,-0.2122404574856267,down
LIMS1,29,4,0.8534256481104914,up
PARP9,29,4,0.8872580623238547,up
TRAM2,29,4,0.8597625869881054,up
ANKRD29,30,3,-0.42674862261869606,down
DTD1,30,3,-0.33258237848722416,down
EID1,30,3,-0.4120687237072107,down
RWDD2A,30,3,-0.328779634114305,down
TRPC1,30,3,-0.30758878495427755,down
TSNAX,30,3,-0.3858073159520803,down
UQCRC2,30,3,-0.39301786787663495,down
ZDHHC17,30,3,-0.3586913608090212,down
ANAPC5,31,4,-0.32040831644837997,down
FIBP,31,4,-0.32185753173019327,down
KIFBP,31,4,-0.3005041937325186,down
NTHL1,31,4,-0.33664118969848,down
PHYH,31,4,-0.29500516105148056,down
POMGNT2,31,4,-0.30373534334790353,down
KCTD9,32,4,-0.33672355244754204,down
ME3,32,4,-0.35467864383172776,down
MTMR7,32,4,-0.36028986315672107,down
TTC19,32,4,-0.3442998183915673,down
WDR54,32,4,-0.36308820399424313,down
ATRNL1,35,4,-0.7062793845708244,down
CPLX2,35,4,-0.5023270260432877,down
FAM131B,35,4,-0.3966067175049153,down
PELI3,35,4,-0.5306183304162113,down
SCN1B,35,4,-0.9079770994349725,down
SHD,35,4,-0.6831818527784126,down
ADAP2,42,4,0.810874537025375,up
CPNE3,42,4,0.6024400145533623,up
DYNLT1,42,4,0.6837544287618078,up
H2BC21,42,4,0.6956560608268275,up
IDH1,42,4,0.6080770177215363,up
PLXDC2,42,4,0.6773891119759394,up
SRGN,42,4,0.9915227039483142,up
DNAJB1,43,4,1.131537005363971,up
LPP,43,4,1.0502278431551448,up
S100A10,43,4,0.9743986319127096,up
S100A8,43,4,1.0868930479508583,up
GRPEL2,45,3,-0.30627673985679715,down
MAGED2,45,3,-0.3310780877696011,down
SLC33A2,45,3,-0.33572524388563396,down
FAM216A,46,3,-0.41340048293261966,down
NARS1,46,3,-0.3221561145324041,down
OBI1,46,3,-0.3411163565959301,down
PSMG3,46,3,-0.3687386321885815,down
VRK1,46,3,-0.33006907477141056,down
H2AC20,50,4,0.4291545258254801,up
NFE2L2,50,4,0.4359866935563055,up
PITPNC1,50,4,0.3577223241505134,up
PPP1R14B,50,4,0.48740064519479276,up
SEC14L2,50,4,0.3994649030841182,up
SOX2,50,4,0.4831731944781512,up
BTG3,53,4,0.5914144140789962,up
CD84,53,4,0.7624343863377896,up
JUN,53,4,0.6218879302918516,up
SFMBT2,53,4,0.47886403671148603,up
IFRD1,54,4,0.5781066609016818,up
P4HA1,54,4,0.6556598983712033,up
RPLP1,54,4,0.7138658784567312,up
SEC11A,54,4,0.5225412215647266,up
SLA,54,4,0.6587424625623977,up
UGDH,54,4,0.6406781414493237,up
C1QB,55,4,1.2419780277641732,up
CDKN1A,55,3,1.3171104542010474,up
GBP2,55,4,1.0918681026386914,up
IFITM3,55,3,1.0752152689345922,up
NQO1,55,3,1.2106474696273166,up
TIMP1,55,4,1.2910273915413155,up
YBX3,55,4,1.1938554767287959,up
ARL3,56,3,-0.23586885066873542,down
ELP2,56,3,-0.21051765460117,down
KIAA0232,56,3,-0.2304060879950165,down
NDUFB8,56,3,-0.24865766751199447,down
SAYSD1,56,3,-0.2425293189103177,down
MTRES1,57,3,-0.18459873674994953,down
SUPV3L1,57,3,-0.17728090669827345,down
VPS16,57,3,-0.20361474298800752,down
APOC1,61,4,0.9050275732561341,up
CEBPD,61,3,0.9446171802076411,up
IRF8,61,4,0.9262261625580316,up
CCN1,62,3,1.430493484144666,up
DEPP1,62,3,1.0515326527743845,up
GADD45B,62,3,1.0581376907773357,up
SERPINH1,62,3,1.6522811334500573,up
VIM,62,3,1.4056506993560343,up
ABCA1,69,4,1.0303962813488823,up
BST2,69,4,0.8618405843978599,up
CD14,69,4,1.1477238826406753,up
LAPTM5,69,4,0.9794614741212201,up
MSN,69,4,1.0410114232284824,up
PDYN,69,4,1.1875014001219033,up
YAP1,69,4,0.833031736527648,up
BAG3,70,4,1.555920761616972,up
CNN3,70,4,0.9279821636024655,up
CYBA,70,4,0.8712628167693591,up
HSPA1A,70,4,1.6082401943627904,up
PLIN2,70,4,1.0501228358988002,up
PNP,70,4,0.9351798081040412,up
RDH10,70,4,1.1296936467401586,up
AEBP1,71,4,0.7753471146596578,up
CACHD1,71,4,0.7161416247155135,up
EHD4,71,4,0.7033896142682229,up
FERMT2,71,4,0.7512721128195037,up
SLC15A3,71,4,0.8212648690848,up
ABCA5,72,3,-0.3687699603956238,down
NET1,72,3,-0.3894730584459798,down
SLC25A3,72,3,-0.34247619181957845,down
LYRM9,74,3,-0.38685155166413954,down
PIP4P2,74,3,-0.3382410347522957,down
TRMT11,74,3,-0.3335735021557018,down
B2M,82,3,0.9144057443435276,up
BIRC3,82,3,0.9171978421798311,up
TMIGD3,82,3,1.014264472990552,up
ATPAF1,84,4,0.24163634304793055,up
EFR3A,84,4,0.16132101914295896,up
LCMT1,84,4,0.21644158215159295,up
MAT2B,84,4,0.12987738450444533,up
ARHGAP45,87,4,0.6088935478746476,up
MAPKAPK2,87,4,0.6539921268768489,up
SIPA1,87,4,0.5585947407811618,up
DOK1,88,4,0.509805998347024,up
DTX2,88,4,0.6140046312375034,up
NFKBIZ,88,4,0.5927902293230398,up
PTPN13,88,4,0.5330151069949487,up
ARMCX5,89,4,0.011399118847922404,up
ATP5F1A,89,4,0.1947665866426466,up
COQ3,89,4,0.05307464503480378,up
ENO2,89,4,-0.038356628694890205,down
FAHD2B,89,4,0.08721153122710164,up
GPRASP2,89,4,0.007095836022115165,up
IDH3B,89,4,0.17470381856409625,up
NIF3L1,89,4,0.16541074371756018,up
PARP2,89,4,0.14883119183640847,up
PFKM,89,4,0.11470143048123423,up
RFX5,89,4,0.11792183028653695,up
TOX,89,4,0.10389571651146816,up
UBLCP1,89,4,0.10474986505346469,up
CHSY1,90,4,0.3836273291695136,up
ELF1,90,4,0.42760121786407723,up
FAM111A,90,4,0.3782417866762894,up
HEY2,90,4,0.4540278714283642,up
MANF,90,4,0.3830609957079105,up
NECAP2,90,4,0.4054687271251054,up
PLOD1,90,4,0.4434836987793829,up
RAB29,90,4,0.38427464658879207,up
NGFR,91,4,0.28721010586669715,up
PEA15,91,4,0.29505196168780046,up
RPL36,91,4,0.18955154649062678,up
RPL39,91,4,0.2933870005569905,up
SERP1,91,4,0.27269329384729346,up
UBE2L6,91,4,0.32525690817405994,up
CXCL16,93,4,0.8225178493621171,up
GNG5,93,4,0.7043534834070567,up
SDF2L1,93,4,0.7115182295658415,up
SOX4,93,4,0.6165383338334254,up
TUBB2B,93,4,0.7149160435721456,up
PALLD,96,4,0.8680254178088682,up
PTTG1IP,96,4,0.8541576412755431,up
RAB31,96,4,0.8796577786897295,up
SP110,96,4,0.8950186882162559,up
ANO6,97,4,0.6704436830014285,up
CTSH,97,4,0.6927910475824574,up
GNA12,97,4,0.7174568342790835,up
HK2,97,3,0.6210254029115868,up
LHX2,97,4,0.6756608768470093,up
LYN,97,3,0.9178880358934803,up
MAPKAPK3,97,3,0.7311594422895263,up
PLCE1,97,4,0.5356103967630004,up
PSME2,97,3,0.6445849969985433,up
PTPN1,97,4,0.5690167313474902,up
TIPARP,97,3,0.7934150897346082,up
WSCD1,97,3,0.6184854627492665,up
GPI,99,3,-0.30330736733466335,down
HPS6,99,3,-0.31179782087834385,down
RETREG2,99,3,-0.32297497666210395,down
CBX7,100,3,-0.2691092744787653,down
DPP6,100,3,-0.27279660069580647,down
EIF3K,100,3,-0.2101343631755963,down
GALNT17,100,3,-0.2897941655138929,down
HMGB3,100,3,-0.24459026192518518,down
LIN7B,100,3,-0.28228999812807953,down
PLPP6,100,3,-0.24808586697531965,down
SNX17,100,3,-0.2608379267989158,down
YPEL4,100,3,-0.287550101160464,down
DKK3,114,3,0.14699466793929142,up
HEATR5B,114,3,0.10080935013207792,up
KCNIP4,114,3,0.13956592403657334,up
NAPB,114,3,-0.009993630973912815,down
SLC45A1,114,3,-0.04806255805905598,down
SSX2IP,114,3,0.10524437438002703,up
SYT13,114,3,-0.07043659857022888,down
AGGF1,116,2,-0.25125977101098274,down
CCNB1IP1,116,2,-0.21259960922190024,down
SRGAP3,116,3,-0.2433601742610847,down
TTC1,116,2,-0.1806277131388625,down
ZNF425,116,2,-0.2540876891741679,down
GAREM1,120,3,0.3304696055692773,up
MDFIC,120,3,0.3784318299794607,up
MSI2,120,3,0.3478819241058573,up
NME4,120,3,0.32751611930801694,up
ATP6V1A,132,3,-0.6299214538507041,down
FAM241B,132,4,-0.5300395249086298,down
KRT222,132,3,-0.6446842389697196,down
RHBDL3,132,3,-0.6218545530639821,down
EXTL2,134,3,-0.49520169191380603,down
MICU3,134,3,-0.5195576661647716,down
NMNAT2,134,3,-0.5083146875348756,down
PARP14,138,3,0.5729377371745161,up
PTAFR,138,3,0.640669942324903,up
SLC25A37,138,3,0.6473786755201081,up
TXNIP,138,3,0.7214544982694329,up
CCL20,139,3,0.5617006480666915,up
KCNN3,139,3,0.5015211624569711,up
RASGEF1B,139,3,0.5520490041416599,up
SLC2A5,139,3,0.6291337341726642,up
HMCES,141,4,-0.2060800308980233,down
LPCAT4,141,4,-0.36102882400716485,down
ORC2,141,4,-0.2447153925128549,down
SLC37A4,141,4,-0.26175230379174175,down
SNU13,141,4,-0.3046751634736302,down
ZBTB24,141,4,-0.2663345105537791,down
APBA2,142,4,-0.26454672328367046,down
GMPR2,142,4,-0.3067965535600239,down
NFS1,142,4,-0.3226318759521698,down
PRC1,142,4,-0.37642665874211967,down
SDHA,142,4,-0.33885336306966884,down
ASB13,143,4,-0.5531911043914866,down
DYNLT5,143,4,-0.5937928680837162,down
ITPR1,143,4,-0.7561466547870586,down
NSG1,143,4,-0.8299597024654823,down
PTH2R,143,4,-0.7807750994895828,down
PVALB,143,4,-1.7674234542334433,down
SCN2B,143,4,-0.6491464428567344,down
ATP1A1,144,4,-0.666187516996307,down
ATP2B2,144,4,-0.5319375559185726,down
B4GALT6,144,4,-0.5673506359846074,down
DPP10,144,4,-0.5481711969525933,down
FAM234B,144,4,-0.5125700459564024,down
FBLN7,144,4,-0.738431686165459,down
GABRG2,144,4,-0.6719486830945205,down
GOT1,144,4,-0.6460352983074924,down
