gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
ACTL6B,3,2,-0.2379465493189672,-0.5014298500035088,True
ADA,3,3,0.7633016109554941,0.7633016109554941,True
ADCY1,3,3,0.1251204430769981,0.1251204430769981,False
ADSS2,3,2,0.005155545364091611,-0.4350261428739599,True
ANK3,3,2,0.18080234198995923,-0.2534278740667322,True
APBA2,3,2,-0.1120479988772356,-0.26454672328367046,True
ARHGAP30,3,2,0.7176410910413441,1.0368275628370163,True
ATP1A1,3,2,-0.309459256297103,-0.666187516996307,True
ATP2B1,3,2,0.08053932477449462,0.1786277385912287,False
ATP2B2,3,2,-0.16134065081453564,-0.5319375559185726,True
CACNG2,3,2,-0.021730617368090382,-0.36115414093439346,True
CADM1,3,2,0.5466440245457193,0.8102036299568338,True
CADPS,3,2,-0.1900307582989651,-0.5017736859645092,True
CADPS2,3,2,-0.32034674119615286,-0.9564520062909203,True
CDH10,3,2,0.17174896407136112,0.248512363815375,False
CDH11,3,2,0.49781015533200473,0.728910935714032,True
CDK5RAP2,3,2,0.5936840619798028,0.79735743174919,True
CLTC,3,2,-0.14129693987880346,-0.3731989740832713,True
CNOT3,3,2,0.2585722477159666,0.22444259320872462,False
CNTN6,3,2,-0.2238467247596582,-0.3724360987622144,False
CTPS1,3,2,0.1462826082071403,0.27291322549473884,False
CUL2,3,3,0.23430157714893132,0.23430157714893132,False
CUL3,3,2,-0.06699927344390814,-0.2762910341249376,True
DENR,3,2,0.2280093754293985,0.29903231356396986,False
DEPDC5,3,2,0.018321273074113797,-0.21183136998837515,True
DHX30,3,2,0.07483354985482471,-0.2210226790205434,True
DLL1,3,2,0.6323672442999677,0.8569569092922602,True
DMXL2,3,2,0.003974021904117109,-0.4225501432809802,True
DNM1,3,2,-0.19056527219691333,-0.4958643812512271,True
DPP10,3,2,-0.24350988825275235,-0.5481711969525933,True
DPP6,3,2,0.23966841046619317,-0.27279660069580647,True
DPYSL3,3,3,0.8338988347579891,0.8338988347579891,True
DYNC1H1,3,2,0.09165506928664276,-0.2103163287294718,True
EFR3A,3,3,0.16132101914295896,0.16132101914295896,False
ELP2,3,2,0.12966669354886987,-0.21051765460117,True
EN2,2,2,0.32790823643214795,0.32790823643214795,True
EPC2,3,2,0.05122026419323067,0.06183782642381841,False
EXOC3,3,2,0.0931959300119362,-0.17037548125267588,True
FAT1,3,2,0.47049417870121363,0.5577486945845478,True
FBXO11,3,2,0.2300790495185915,0.35952244794775856,False
FBXO33,3,3,0.23384481872175833,0.23384481872175833,False
FBXO40,2,2,-0.3907390015059853,-0.3907390015059853,False
FEZF2,3,2,0.023624373889095256,0.05352757495433247,False
FLNA,3,2,0.4318077542616188,0.5892164472946728,True
FRG1,3,2,0.11182226023731283,-0.27429130663415946,True
FRMPD4,3,2,-0.19705374264671752,-0.548772220230076,True
G3BP2,3,2,-0.1354104415756797,-0.5222086482057642,True
GABRG2,3,2,-0.16936471500584074,-0.6719486830945205,True
GATM,3,2,0.4189846507312784,0.24171005728505657,True
GPC4,3,2,0.5212890739605375,0.756039860320117,True
H2BC11,3,3,0.5530304561954079,0.5530304561954079,True
H4C11,2,2,-0.14154926625442465,-0.14154926625442465,False
HECTD1,3,2,0.2427982350045997,-0.22948509902573955,True
HECW2,3,2,0.26599785259539094,0.3723386309309076,False
HNRNPUL2,3,2,-0.02433321221257234,-0.08437025455591973,False
ICA1,3,2,-0.11350185608173557,-0.5120255051646354,True
HLA-DRB1,2,2,1.4183973023845746,1.4183973023845746,True
HMGN1,3,2,0.5288509043704185,0.7401684070748575,True
