gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
ACTL6B,0.1916004331833531,0.7072106361317033,0.0,0.33333333333333326,0.0
ADA,0.7241527329603739,0.13815626982688578,1.0,1.0,0.0
ADCY1,0.45542782247987545,0.42335735704085364,1.0,0.33333333333333326,0.0
ADSS2,0.21956166292831897,0.5856541880190167,0.0,0.33333333333333326,0.0
ANK3,0.2960289436706533,0.4498004779139935,0.0,0.33333333333333326,0.0
APBA2,0.2913470258848299,0.810592816564612,0.0,0.33333333333333326,0.0
ARHGAP30,0.8393288626130269,0.4640779276794412,0.0,1.0,0.0
ATP1A1,0.12222438208363634,0.5877963021258009,0.0,0.33333333333333326,0.0
ATP2B1,0.4779586396221525,0.3676825838771944,0.0,0.33333333333333326,0.0
ATP2B2,0.17875426824833301,0.5574606928516802,0.0,0.33333333333333326,0.0
CACNG2,0.25066763738729064,0.24773814404265018,0.0,0.33333333333333326,0.0
CADM1,0.7439022045710582,0.03430038163359378,0.0,1.0,0.0
CADPS,0.19145565096085823,0.44359881247358773,0.0,0.33333333333333326,0.0
CADPS2,0.0,0.5993774822436828,0.0,0.33333333333333326,0.0
CDH10,0.5073856120910383,0.17469083335125699,0.0,0.33333333333333326,0.0
CDH11,0.7096715298306299,0.03322814951775784,0.0,1.0,0.0
CDK5RAP2,0.7384929357973655,0.010728905300513562,0.0,1.0,0.0
CLTC,0.24559580689056093,0.18450276270332164,0.0,0.33333333333333326,0.0
CNOT3,0.49725032876223013,0.06875819877558198,0.0,0.33333333333333326,0.0
CNTN6,0.2459170379338402,0.24671874768924706,0.0,0.33333333333333326,0.0
CTPS1,0.5176603110330831,0.3028057413575373,0.0,0.33333333333333326,0.0
CUL2,0.5014017432979614,0.29717156588335253,1.0,0.33333333333333326,0.0
CUL3,0.28640173912563877,0.5782983668295374,0.0,0.33333333333333326,0.0
DENR,0.5286585196241782,0.07587799327097779,0.0,0.33333333333333326,0.0
DEPDC5,0.3135443725134022,0.621767840082495,0.0,0.33333333333333326,0.0
DHX30,0.3096741020930468,0.3627589119177431,0.0,0.33333333333333326,0.0
DLL1,0.7635890449801036,0.0,0.0,1.0,0.0
DMXL2,0.22481504871048377,0.2654494579950204,0.0,0.33333333333333326,0.0
DNM1,0.19394393714040445,0.30164401029923976,0.0,0.33333333333333326,0.0
DPP10,0.17191861725577615,0.5911623422564753,0.0,0.33333333333333326,0.0
DPP6,0.2878731728778207,0.2415340687645167,0.0,0.33333333333333326,0.0
DPYSL3,0.7538797659744679,0.17805801727764747,1.0,1.0,0.0
DYNC1H1,0.3141823250998542,0.4680636745462873,0.0,0.33333333333333326,0.0
EFR3A,0.4706711374698909,0.40421943776175057,1.0,0.33333333333333326,0.0
ELP2,0.31409755093293645,0.29980782201067724,0.0,0.33333333333333326,0.0
EN2,0.5408175744167043,0.034878114518118015,0.0,1.0,0.0
EPC2,0.42878081947972563,0.1778498837459935,0.0,0.33333333333333326,0.0
EXOC3,0.3310005911392569,0.31089872525090445,0.0,0.33333333333333326,0.0
FAT1,0.6375986448251618,0.159997915184518,0.0,1.0,0.0
FBXO11,0.554129666009262,0.08835867668526073,0.0,0.33333333333333326,0.0
FBXO33,0.5012094117569644,0.21399864898949494,1.0,0.33333333333333326,0.0
FBXO40,0.23821006356838928,0.2992681785859542,0.0,0.0,0.0
FEZF2,0.4252815442039732,0.11016391994512784,0.0,0.33333333333333326,0.0
FLNA,0.650849065639304,0.21986388384088598,0.0,1.0,0.0
FRG1,0.2872437830749003,0.601741856099454,0.0,0.33333333333333326,0.0
FRMPD4,0.1716655387655801,0.29557705924409977,0.0,0.33333333333333326,0.0
G3BP2,0.18285091037095866,0.3175433022869177,0.0,0.33333333333333326,0.0
GABRG2,0.1197984740156307,0.5135280194360544,0.0,0.33333333333333326,0.0
GATM,0.5045213012880458,0.05054787945991514,0.0,1.0,0.0
GPC4,0.7210949597328898,0.09315817063100426,0.0,1.0,0.0
H2BC11,0.6356118920775647,0.280053550836581,1.0,1.0,0.0
H4C11,0.3431387149742922,0.2940375786437071,0.0,0.0,0.0
HECTD1,0.306110751789395,0.3303424449103429,0.0,0.33333333333333326,0.0
HECW2,0.5595262959917753,0.5112008864687115,0.0,0.33333333333333326,0.0
HLA-DRB1,1.0,0.790517957580577,0.0,1.0,0.0
HMGN1,0.7144118185385075,0.13799607009113082,0.0,1.0,0.0
HNRNPUL2,0.36721561597581087,0.21687045599211296,0.0,0.33333333333333326,0.0
ICA1,0.1871388216097598,0.8600470247177334,0.0,0.33333333333333326,0.0
ITPR1,0.08434444693906763,0.631409601825292,0.0,0.33333333333333326,0.0
KANK1,0.5276122402869979,0.07490075601626148,0.0,1.0,0.0
KATNAL1,0.5919734402348285,0.19333029001332153,0.0,0.33333333333333326,0.0
KDM1A,0.3505902812746217,0.10079397281716208,0.0,0.33333333333333326,0.0
KIAA0232,0.3057229423541131,0.32319456843237215,0.0,0.33333333333333326,0.0
LAMB1,0.2626188010103134,0.24324057549842715,0.0,0.33333333333333326,0.0
LHX2,0.6872490297282038,0.35677067325897416,1.0,1.0,0.0
LIN7B,0.28387569927071943,0.2292428385958787,0.0,0.33333333333333326,0.0
LRRC4,0.34225160389328496,0.2977228172259084,0.0,0.0,0.0
MBD1,0.41088391285797976,0.20218153736261024,0.0,0.33333333333333326,0.0
MCM4,0.24856535102006488,0.5664842325934839,0.0,0.33333333333333326,0.0
MDGA2,0.2735246407813475,0.21082995920806127,0.0,0.33333333333333326,0.0
