gene,cluster_id
ACTL6B,4
ADA,3
ADCY1,2
ADSS2,11
ANK3,9
APBA2,4
ARHGAP30,1
ATP1A1,11
ATP2B1,7
ATP2B2,11
CACNG2,0
CADM1,1
CADPS,-1
CADPS2,11
CDH10,7
CDH11,1
CDK5RAP2,1
CLTC,0
CNOT3,7
CNTN6,0
CTPS1,7
CUL2,2
CUL3,10
DENR,7
DEPDC5,10
DHX30,6
DLL1,1
DMXL2,0
DNM1,5
DPP10,11
DPP6,0
DPYSL3,3
DYNC1H1,9
EFR3A,2
ELP2,6
EN2,1
EPC2,8
EXOC3,6
FAT1,1
FBXO11,7
FBXO33,2
FBXO40,6
FEZF2,8
FLNA,1
FRG1,10
FRMPD4,5
G3BP2,5
GABRG2,11
GATM,1
GPC4,1
H2BC11,3
H4C11,6
HECTD1,6
HECW2,7
HLA-DRB1,1
HMGN1,1
HNRNPUL2,8
ICA1,4
ITPR1,11
KANK1,1
KATNAL1,7
KDM1A,8
KIAA0232,6
LAMB1,0
LHX2,3
LIN7B,0
LRRC4,6
MBD1,8
MCM4,10
MDGA2,0
MEF2C,8
MYCBP2,7
MYH9,3
NAV2,1
NBEA,5
NEGR1,5
NFE2L3,1
NIPA2,8
NPAS3,1
NPTN,0
NR3C2,-1
NUP133,6
PABPC1,1
PAK1,5
PCDHA11,8
PCDHAC2,11
PER2,7
PHB1,1
PHF21A,1
PLAA,8
PPP2R5D,6
PPP3CA,11
PREX1,1
PRKCB,7
PRKD1,3
PRPF19,-1
PRR14L,1
PTGS2,1
PTPN4,0
QRICH1,9
RAB11FIP5,10
RBFOX1,1
RGS7,0
RPH3A,0
SAE1,7
SATB1,1
SEZ6L2,-1
SIK1,1
SLC12A5,11
SLC25A12,4
SLC25A27,4
SLC45A1,2
SNAP25,5
SNX14,6
SPTAN1,-1
SRGAP3,0
STK39,2
STXBP1,0
SUPT16H,2
SYP,5
SYT17,1
TBR1,1
TOP2B,6
TRIM23,5
TRPC5,9
TRRAP,1
TSC1,7
TSPAN7,7
U2AF2,1
UBR3,0
UNC79,9
UNC80,6
WASF1,5
WDR37,2
XRCC6,6
YWHAG,7
ZBTB20,1
ZFHX3,1
ZMIZ1,1
ZNF385B,-1
ZNF462,1
