gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
ACTL6B,4,True,True,True,True,4,True,-0.2379465493189672,-0.5014298500035088,down
APBA2,4,True,True,True,True,4,True,-0.1120479988772356,-0.26454672328367046,down
ATP1A1,11,True,True,True,True,4,True,-0.309459256297103,-0.666187516996307,down
ATP2B2,11,True,True,True,True,4,True,-0.16134065081453564,-0.5319375559185726,down
DPP10,11,True,True,True,True,4,True,-0.24350988825275235,-0.5481711969525933,down
EFR3A,2,True,True,True,True,4,True,0.16132101914295896,0.16132101914295896,up
GABRG2,11,True,True,True,True,4,True,-0.16936471500584074,-0.6719486830945205,down
ICA1,4,True,True,True,True,4,True,-0.11350185608173557,-0.5120255051646354,down
ITPR1,11,True,True,True,True,4,True,-0.2830043346949604,-0.7561466547870586,down
KIAA0232,6,True,True,True,True,4,True,0.12094080695335278,-0.2304060879950165,down
PPP3CA,11,True,True,True,True,4,True,-0.011051797295164553,-0.5174357198741291,down
SLC12A5,11,True,True,True,True,4,True,0.017919026513596375,-0.45088520377105556,down
SLC25A12,4,True,True,True,True,4,True,-0.13393152641041764,-0.6633811431832073,down
SNX14,6,True,True,True,True,4,True,0.1657591540444742,-0.27415390903181835,down
SLC25A27,4,True,True,True,True,4,True,-0.20903003126377762,-0.4710183189153154,down
UNC80,6,True,True,True,True,4,True,-0.07174017089276763,-0.07174017089276763,down
ZFHX3,1,True,True,True,True,4,True,0.5823425239793588,0.46433465007810604,up
ADCY1,2,True,False,True,True,4,False,0.1251204430769981,0.1251204430769981,up
ADSS2,11,True,False,True,True,4,False,0.005155545364091611,-0.4350261428739599,down
ANK3,9,True,False,True,True,4,False,0.18080234198995923,-0.2534278740667322,down
ARHGAP30,1,True,False,True,True,4,False,0.7176410910413441,1.0368275628370163,up
ATP2B1,7,True,False,True,True,4,False,0.08053932477449462,0.1786277385912287,up
CADPS2,11,True,False,True,True,4,False,-0.32034674119615286,-0.9564520062909203,down
CUL3,10,True,False,True,True,4,False,-0.06699927344390814,-0.2762910341249376,down
DEPDC5,10,True,True,True,True,4,False,0.018321273074113797,-0.21183136998837515,down
DHX30,6,True,False,True,True,4,False,0.07483354985482471,-0.2210226790205434,down
DYNC1H1,9,True,False,True,True,4,False,0.09165506928664276,-0.2103163287294718,down
FRG1,10,True,False,True,True,4,False,0.11182226023731283,-0.27429130663415946,down
HECTD1,6,True,False,True,True,4,False,0.2427982350045997,-0.22948509902573955,down
HECW2,7,True,False,True,True,4,False,0.26599785259539094,0.3723386309309076,up
HLA-DRB1,1,True,False,True,True,4,False,1.4183973023845746,1.4183973023845746,up
LHX2,3,True,True,True,True,4,False,0.6756608768470093,0.6756608768470093,up
MCM4,10,True,False,True,True,4,False,-0.09173288156995785,-0.36614675426023746,down
NBEA,5,True,False,True,True,4,False,-0.14304614647817124,-0.3734515268305998,down
NEGR1,5,True,False,True,True,4,False,-0.3779446907379252,-0.6160962730713222,down
