gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
DPP6,0,3,-0.27279660069580647,down
LIN7B,0,3,-0.28228999812807953,down
NPTN,0,3,-0.38653632378325753,down
RGS7,0,3,-0.42191076724476995,down
RPH3A,0,3,-0.5439118108855281,down
SRGAP3,0,3,-0.2433601742610847,down
NAV2,1,3,0.37688027800836776,up
NPAS3,1,3,0.3087010008871882,up
TBR1,1,3,-0.7956906570939317,down
ZFHX3,1,4,0.46433465007810604,up
EFR3A,2,4,0.16132101914295896,up
FBXO33,2,3,0.23384481872175833,up
SLC45A1,2,3,-0.04806255805905598,down
ACTL6B,4,4,-0.5014298500035088,down
APBA2,4,4,-0.26454672328367046,down
ICA1,4,4,-0.5120255051646354,down
SLC25A12,4,4,-0.6633811431832073,down
SLC25A27,4,4,-0.4710183189153154,down
ELP2,6,3,-0.21051765460117,down
KIAA0232,6,4,-0.2304060879950165,down
SNX14,6,4,-0.27415390903181835,down
UNC80,6,4,-0.07174017089276763,down
ATP1A1,11,4,-0.666187516996307,down
ATP2B2,11,4,-0.5319375559185726,down
DPP10,11,4,-0.5481711969525933,down
GABRG2,11,4,-0.6719486830945205,down
ITPR1,11,4,-0.7561466547870586,down
PPP3CA,11,4,-0.5174357198741291,down
SLC12A5,11,4,-0.45088520377105556,down
