gene,modal_cluster,modal_count,total_runs,modal_fraction,n_distinct_clusters
AARS1,4,7,50,0.140,25
ABCA1,23,3,50,0.060,41
ABCA5,95,2,50,0.040,47
ABCG4,34,2,50,0.040,47
ACTL6B,34,2,50,0.040,46
ACTR1B,68,2,50,0.040,44
ACTR6,77,3,50,0.060,41
ADAP2,26,3,50,0.060,38
ADGRG1,171,3,50,0.060,38
AEBP1,21,2,50,0.040,43
AGGF1,89,2,50,0.040,42
ALDOC,17,3,50,0.060,40
ANAPC5,19,3,50,0.060,40
ANKRD29,124,3,50,0.060,41
ANO6,46,3,50,0.060,37
APBA2,164,3,50,0.060,38
APOC1,89,2,50,0.040,38
ARHGAP26,57,2,50,0.040,40
ARL3,75,2,50,0.040,44
ARMCX5,168,2,50,0.040,45
ASB13,129,3,50,0.060,39
ASXL2,141,4,50,0.080,42
ATP1A1,173,3,50,0.060,41
ATP5F1A,10,2,50,0.040,46
ATP5F1B,99,2,50,0.040,44
ATP6V1A,139,2,50,0.040,45
ATP6V1C1,14,3,50,0.060,44
ATPAF1,102,3,50,0.060,42
ATRNL1,166,3,50,0.060,39
ATXN7,0,6,50,0.120,26
AVPI1,34,2,50,0.040,47
B2M,52,2,50,0.040,44
B4GALT6,124,2,50,0.040,43
BAG3,24,3,50,0.060,42
BIRC3,52,2,50,0.040,44
BMP7,0,9,50,0.180,27
BST2,23,3,50,0.060,41
BTG3,167,3,50,0.060,39
C1QB,4,3,50,0.060,42
CACHD1,21,2,50,0.040,43
CADPS,14,3,50,0.060,44
CBLN2,139,2,50,0.040,45
CBX7,36,3,50,0.060,37
CCDC25,52,2,50,0.040,43
CCL20,32,2,50,0.040,42
CCN1,93,3,50,0.060,46
CCNB1IP1,89,2,50,0.040,38
CD14,23,3,50,0.060,41
CD84,167,3,50,0.060,39
CDCA5,34,2,50,0.040,46
CDKN1A,4,3,50,0.060,42
CEBPD,89,2,50,0.040,40
CEND1,57,2,50,0.040,40
CHCHD4,167,3,50,0.060,37
CHCHD7,21,3,50,0.060,45
CHST11,2,4,50,0.080,33
CHSY1,29,2,50,0.040,41
CIRBP,59,3,50,0.060,44
CNN3,24,3,50,0.060,42
CNTNAP1,99,2,50,0.040,44
COLGALT1,17,2,50,0.040,37
COPG1,34,2,50,0.040,46
COQ3,35,3,50,0.060,44
COQ6,17,3,50,0.060,42
CORO2A,75,2,50,0.040,45
COX7A1,34,2,50,0.040,46
CPEB1,30,2,50,0.040,43
CPLX2,166,3,50,0.060,39
CPNE3,26,3,50,0.060,38
CTSH,46,3,50,0.060,38
CXCL16,27,3,50,0.060,41
CYBA,24,3,50,0.060,42
CYC1,79,3,50,0.060,38
DDAH2,0,9,50,0.180,27
DDX1,59,3,50,0.060,44
DDX24,34,2,50,0.040,47
DEPDC5,17,3,50,0.060,42
DHX35,52,2,50,0.040,43
DKK3,130,3,50,0.060,41
DNAJB1,104,3,50,0.060,42
DOK1,160,2,50,0.040,43
DOP1A,79,3,50,0.060,38
DPP6,36,3,50,0.060,37
DTD1,138,3,50,0.060,41
DTNA,0,9,50,0.180,27
DTX2,160,2,50,0.040,43
DYNLT1,26,3,50,0.060,38
DYNLT5,129,3,50,0.060,39
EFR3A,102,3,50,0.060,42
EHD4,21,2,50,0.040,43
EID1,124,3,50,0.060,41
EIF3K,131,2,50,0.040,36
ELF1,29,2,50,0.040,41
ELP2,75,2,50,0.040,44
EMC1,15,2,50,0.040,46
ENO2,168,2,50,0.040,45
EPB41L2,0,6,50,0.120,26
EXOSC9,57,2,50,0.040,40
EXTL2,139,3,50,0.060,43
FAHD2B,10,2,50,0.040,46
FAM111A,29,2,50,0.040,41
FAM216A,20,2,50,0.040,37
FAM234B,124,2,50,0.040,43
FAM241B,139,2,50,0.040,45
FAM81A,140,3,50,0.060,36
FAR2,72,2,50,0.040,45
FBLN7,152,3,50,0.060,42
FERMT2,21,2,50,0.040,43
FH,75,2,50,0.040,45
FOCAD,12,2,50,0.040,48
FXR2,4,7,50,0.140,25
GABRA1,139,2,50,0.040,45
GABRG2,152,3,50,0.060,42
GALNT17,36,3,50,0.060,39
GAREM1,103,3,50,0.060,43
GBP2,4,3,50,0.060,42
GLMN,34,2,50,0.040,46
GLS,167,3,50,0.060,43
GLS2,140,3,50,0.060,36
GMPR2,164,3,50,0.060,39
GNA12,46,3,50,0.060,37
GNG5,27,3,50,0.060,41
GOT1,152,3,50,0.060,42
GOT2,0,3,50,0.060,41
GPI,107,3,50,0.060,41
GPRASP2,35,3,50,0.060,45
H2AC20,10,3,50,0.060,43
H2BC21,26,3,50,0.060,37
HACL1,79,3,50,0.060,38
HAGH,68,2,50,0.040,44
HEATR5B,130,3,50,0.060,41
HEY2,29,2,50,0.040,41
HK2,46,3,50,0.060,39
HMCES,149,3,50,0.060,41
HMG20A,52,2,50,0.040,44
HMGB3,131,2,50,0.040,35
HPS6,107,3,50,0.060,41
HSPA1A,24,3,50,0.060,42
HSPA5,2,4,50,0.080,33
HSPB1,63,2,50,0.040,46
HYLS1,74,2,50,0.040,44
ICA1,140,3,50,0.060,36
IDH1,26,3,50,0.060,38
IDH3A,68,2,50,0.040,46
IDH3B,168,2,50,0.040,45
IFITM3,4,3,50,0.060,42
IFRD1,7,3,50,0.060,39
INA,124,2,50,0.040,43
IRF8,89,2,50,0.040,38
ITPR1,173,3,50,0.060,39
JUN,167,3,50,0.060,39
KCNN3,32,2,50,0.040,42
KCNS1,139,2,50,0.040,45
KCNS2,124,2,50,0.040,43
KCTD9,20,4,50,0.080,41
KIFBP,19,3,50,0.060,40
KLHDC2,167,3,50,0.060,37
KLHDC9,34,2,50,0.040,46
KRT222,139,2,50,0.040,45
KYAT3,124,2,50,0.040,43
LAPTM5,23,3,50,0.060,41
LCMT1,102,3,50,0.060,42
LHX2,46,3,50,0.060,39
LIMS1,26,3,50,0.060,43
LIN7B,36,3,50,0.060,38
LPCAT4,149,3,50,0.060,40
LPP,104,3,50,0.060,42
LYN,46,3,50,0.060,36
LYRM9,93,2,50,0.040,41
MAGED2,21,3,50,0.060,44
MAGEE1,140,3,50,0.060,36
MANF,29,2,50,0.040,41
MAP3K9,35,3,50,0.060,44
MAPKAPK3,46,3,50,0.060,38
MARF1,79,3,50,0.060,38
MAT2B,102,3,50,0.060,42
MCL1,0,9,50,0.180,27
MDFIC,103,3,50,0.060,41
ME3,20,4,50,0.080,41
MGST1,53,2,50,0.040,43
MICU3,139,3,50,0.060,43
MPP1,34,2,50,0.040,47
MPZL1,150,3,50,0.060,39
MRPL2,167,3,50,0.060,37
MRPL22,30,2,50,0.040,38
MSI2,103,3,50,0.060,43
MSN,23,3,50,0.060,41
MTMR7,20,4,50,0.080,41
MTRES1,118,2,50,0.040,43
N4BP2L1,21,3,50,0.060,45
NAE1,21,3,50,0.060,45
NAPB,130,3,50,0.060,41
NARS1,43,3,50,0.060,40
NCKIPSD,77,3,50,0.060,41
NDEL1,4,7,50,0.140,25
NDRG3,172,3,50,0.060,39
NDRG4,73,3,50,0.060,43
NDUFAF5,79,3,50,0.060,38
NDUFB8,75,2,50,0.040,44
NECAP2,29,2,50,0.040,41
NEFH,68,2,50,0.040,46
NET1,95,2,50,0.040,47
NFE2L2,10,3,50,0.060,43
NFKBIZ,160,2,50,0.040,43
NFS1,164,3,50,0.060,39
NGFR,17,2,50,0.040,39
NIF3L1,35,3,50,0.060,45
NME4,103,3,50,0.060,43
NMNAT2,139,3,50,0.060,43
NOMO1,73,3,50,0.060,44
NPAS3,150,3,50,0.060,39
NPTN,167,3,50,0.060,43
NQO1,4,3,50,0.060,42
NR3C2,57,2,50,0.040,40
NSG1,129,3,50,0.060,39
NTAQ1,163,2,50,0.040,44
NTHL1,19,3,50,0.060,40
NTN4,124,2,50,0.040,43
OBI1,43,3,50,0.060,41
OGDHL,68,2,50,0.040,46
OLA1,68,2,50,0.040,45
ORC2,149,3,50,0.060,41
P3H2,2,4,50,0.080,33
P4HA1,7,3,50,0.060,39
PABPC4,150,3,50,0.060,39
PALLD,88,3,50,0.060,39
PARL,52,2,50,0.040,43
PARN,52,2,50,0.040,42
PARP14,31,2,50,0.040,38
PARP2,168,2,50,0.040,45
PARP9,26,3,50,0.060,43
PDIA5,171,3,50,0.060,38
PDIA6,0,6,50,0.120,26
PDYN,23,3,50,0.060,41
PFKM,10,2,50,0.040,46
PFKP,99,2,50,0.040,44
PIGZ,17,3,50,0.060,41
PIK3AP1,63,2,50,0.040,46
PIK3R4,79,3,50,0.060,38
PIP4P2,93,2,50,0.040,41
PITPNC1,10,3,50,0.060,43
PLIN2,24,3,50,0.060,42
PLOD1,29,2,50,0.040,41
PLPP6,131,2,50,0.040,37
PLXDC2,26,3,50,0.060,37
PNP,24,3,50,0.060,42
POMGNT2,19,3,50,0.060,40
POU3F2,150,3,50,0.060,39
PPP1R14B,10,3,50,0.060,43
PPP3CA,124,2,50,0.040,43
PRC1,164,3,50,0.060,37
PRKCE,124,2,50,0.040,43
PRPF19,35,3,50,0.060,44
PRR14,171,3,50,0.060,38
PSME2,46,3,50,0.060,39
PSMG3,43,3,50,0.060,41
PTAFR,31,2,50,0.040,38
PTH2R,173,3,50,0.060,39
PTPN13,160,2,50,0.040,43
PTTG1IP,88,3,50,0.060,39
PYGB,68,2,50,0.040,46
QRICH1,4,7,50,0.140,25
RAB29,29,2,50,0.040,41
RAB31,88,3,50,0.060,39
RALGPS1,15,2,50,0.040,46
RASGEF1B,32,2,50,0.040,42
RCAN2,152,3,50,0.060,42
RCOR3,4,7,50,0.140,25
RDH10,24,3,50,0.060,42
RETREG2,107,3,50,0.060,41
RFX5,168,2,50,0.040,45
RHBDF2,53,2,50,0.040,43
RHBDL3,139,2,50,0.040,45
RHPN2,53,2,50,0.040,43
RIOK1,21,3,50,0.060,45
RMND1,57,2,50,0.040,40
RNMT,57,2,50,0.040,41
RPL12,141,4,50,0.080,42
RPL36,17,2,50,0.040,37
RPL39,17,2,50,0.040,37
RPLP1,7,3,50,0.060,39
RPS16,150,3,50,0.060,39
RPS2,0,9,50,0.180,27
RWDD2A,138,3,50,0.060,41
RWDD2B,74,2,50,0.040,48
S100A10,104,3,50,0.060,42
S100A8,142,2,50,0.040,45
SAYSD1,75,2,50,0.040,44
SBF2,2,4,50,0.080,33
SCN1B,166,3,50,0.060,39
SCN2B,173,3,50,0.060,39
SCN4B,34,2,50,0.040,46
SDF2L1,27,3,50,0.060,41
SDHA,164,3,50,0.060,39
SEC11A,7,3,50,0.060,39
SEC14L2,10,3,50,0.060,43
SEC61A1,113,3,50,0.060,39
SERF2,2,4,50,0.080,33
SERGEF,57,2,50,0.040,40
SERP1,17,2,50,0.040,39
SERPINH1,93,3,50,0.060,46
SERTAD1,3,3,50,0.060,40
SEZ6L2,14,3,50,0.060,44
SFMBT2,167,3,50,0.060,39
SH3GL2,152,3,50,0.060,43
SH3GLB1,141,4,50,0.080,42
SHLD1,35,3,50,0.060,43
SIPA1,159,3,50,0.060,43
SLA,7,3,50,0.060,39
SLC12A5,99,2,50,0.040,44
SLC15A3,21,2,50,0.040,43
SLC16A14,0,3,50,0.060,41
SLC16A3,63,2,50,0.040,46
SLC25A1,113,3,50,0.060,39
SLC25A12,75,2,50,0.040,45
SLC25A27,34,2,50,0.040,46
SLC25A3,95,2,50,0.040,47
SLC25A37,31,2,50,0.040,39
