cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
0,14,ATXN7|BMP7|DDAH2|DTNA|EPB41L2|GOT2|MCL1|PDIA6|RPS2|SLC16A14|SNAP25|WWC1|ZFHX3|ZFYVE21,3,9,6.9
2,5,CHST11|HSPA5|P3H2|SBF2|SERF2,4,4,4.0
3,3,SERTAD1|TRAF3IP2|YBX1,3,3,3.0
4,14,AARS1|C1QB|CDKN1A|FXR2|GBP2|IFITM3|NDEL1|NQO1|QRICH1|RCOR3|SNAP47|SPIN2B|TIMP1|YBX3,3,7,5.0
7,6,IFRD1|P4HA1|RPLP1|SEC11A|SLA|UGDH,3,3,3.0
10,9,ATP5F1A|FAHD2B|H2AC20|NFE2L2|PFKM|PITPNC1|PPP1R14B|SEC14L2|SOX2,2,3,2.7
12,1,FOCAD,2,2,2.0
14,4,ATP6V1C1|CADPS|SEZ6L2|TMEM268,3,3,3.0
15,4,EMC1|RALGPS1|SLC35B3|TTC13,2,2,2.0
17,12,ALDOC|COLGALT1|COQ6|DEPDC5|NGFR|PIGZ|RPL36|RPL39|SERP1|SPOCK2|TRIM44|UBE2L6,2,3,2.5
19,4,ANAPC5|KIFBP|NTHL1|POMGNT2,3,3,3.0
20,6,FAM216A|KCTD9|ME3|MTMR7|TTC19|WDR54,2,4,3.7
21,13,AEBP1|CACHD1|CHCHD7|EHD4|FERMT2|MAGED2|N4BP2L1|NAE1|RIOK1|SLC15A3|SLC33A2|SNX14|VPS39,2,3,2.6
23,7,ABCA1|BST2|CD14|LAPTM5|MSN|PDYN|YAP1,3,3,3.0
24,7,BAG3|CNN3|CYBA|HSPA1A|PLIN2|PNP|RDH10,3,3,3.0
26,10,ADAP2|CPNE3|DYNLT1|H2BC21|IDH1|LIMS1|PARP9|PLXDC2|SRGN|TRAM2,3,3,3.0
27,5,CXCL16|GNG5|SDF2L1|SOX4|TUBB2B,3,3,3.0
29,8,CHSY1|ELF1|FAM111A|HEY2|MANF|NECAP2|PLOD1|RAB29,2,2,2.0
30,5,CPEB1|MRPL22|SUV39H1|UBE4A|URGCP,2,2,2.0
31,4,PARP14|PTAFR|SLC25A37|TXNIP,2,2,2.0
32,4,CCL20|KCNN3|RASGEF1B|SLC2A5,2,2,2.0
34,14,ABCG4|ACTL6B|AVPI1|CDCA5|COPG1|COX7A1|DDX24|GLMN|KLHDC9|MPP1|SCN4B|SLC25A27|TBC1D4|UCHL5,2,2,2.0
35,9,COQ3|GPRASP2|MAP3K9|NIF3L1|PRPF19|SHLD1|TOX|UBLCP1|VPS36,3,3,3.0
36,6,CBX7|DPP6|GALNT17|LIN7B|SNX17|YPEL4,3,3,3.0
43,4,NARS1|OBI1|PSMG3|VRK1,3,3,3.0
46,10,ANO6|CTSH|GNA12|HK2|LHX2|LYN|MAPKAPK3|PSME2|TIPARP|WSCD1,3,3,3.0
52,8,B2M|BIRC3|CCDC25|DHX35|HMG20A|PARL|PARN|TMIGD3,2,2,2.0
53,3,MGST1|RHBDF2|RHPN2,2,2,2.0
57,8,ARHGAP26|CEND1|EXOSC9|NR3C2|RMND1|RNMT|SERGEF|ZNF385B,2,2,2.0
59,3,CIRBP|DDX1|SPINT2,3,3,3.0
63,3,HSPB1|PIK3AP1|SLC16A3,2,2,2.0
68,8,ACTR1B|HAGH|IDH3A|NEFH|OGDHL|OLA1|PYGB|TOB1,2,3,2.1
72,1,FAR2,2,2,2.0
73,2,NDRG4|NOMO1,3,3,3.0
74,3,HYLS1|RWDD2B|VDAC3,2,2,2.0
75,10,ARL3|CORO2A|ELP2|FH|NDUFB8|SAYSD1|SLC25A12|STAT4|TARBP1|VAMP1,2,2,2.0
77,4,ACTR6|NCKIPSD|SYNGR1|VPS33B,3,3,3.0
79,6,CYC1|DOP1A|HACL1|MARF1|NDUFAF5|PIK3R4,3,3,3.0
88,4,PALLD|PTTG1IP|RAB31|SP110,3,3,3.0
89,6,AGGF1|APOC1|CCNB1IP1|CEBPD|IRF8|TTC1,2,2,2.0
93,6,CCN1|LYRM9|PIP4P2|SERPINH1|TRMT11|VIM,2,3,2.5
95,3,ABCA5|NET1|SLC25A3,2,2,2.0
99,4,ATP5F1B|CNTNAP1|PFKP|SLC12A5,2,2,2.0
102,4,ATPAF1|EFR3A|LCMT1|MAT2B,3,3,3.0
103,4,GAREM1|MDFIC|MSI2|NME4,3,3,3.0
104,3,DNAJB1|LPP|S100A10,3,3,3.0
107,3,GPI|HPS6|RETREG2,3,3,3.0
113,3,SEC61A1|SLC25A1|UBTD1,3,3,3.0
118,3,MTRES1|SUPV3L1|VPS16,2,2,2.0
124,14,ANKRD29|B4GALT6|EID1|FAM234B|INA|KCNS2|KYAT3|NTN4|PPP3CA|PRKCE|SLC6A15|TSNAX|UQCRC2|ZNF25,2,3,2.4
129,3,ASB13|DYNLT5|NSG1,3,3,3.0
130,4,DKK3|HEATR5B|NAPB|SLC45A1,3,3,3.0
131,3,EIF3K|HMGB3|PLPP6,2,2,2.0
138,3,DTD1|RWDD2A|TRPC1,3,3,3.0
139,11,ATP6V1A|CBLN2|EXTL2|FAM241B|GABRA1|KCNS1|KRT222|MICU3|NMNAT2|RHBDL3|TMX4,2,3,2.3
140,5,FAM81A|GLS2|ICA1|MAGEE1|UQCRC1,3,3,3.0
141,4,ASXL2|RPL12|SH3GLB1|ZFAND3,4,4,4.0
142,1,S100A8,2,2,2.0
149,6,HMCES|LPCAT4|ORC2|SLC37A4|SNU13|ZBTB24,3,3,3.0
150,5,MPZL1|NPAS3|PABPC4|POU3F2|RPS16,3,3,3.0
152,5,FBLN7|GABRG2|GOT1|RCAN2|SH3GL2,3,3,3.0
159,1,SIPA1,3,3,3.0
160,4,DOK1|DTX2|NFKBIZ|PTPN13,2,2,2.0
163,2,NTAQ1|SPATA7,2,2,2.0
164,5,APBA2|GMPR2|NFS1|PRC1|SDHA,3,3,3.0
166,3,ATRNL1|CPLX2|SCN1B,3,3,3.0
167,10,BTG3|CD84|CHCHD4|GLS|JUN|KLHDC2|MRPL2|NPTN|SFMBT2|TMX3,3,3,3.0
168,5,ARMCX5|ENO2|IDH3B|PARP2|RFX5,2,2,2.0
171,3,ADGRG1|PDIA5|PRR14,3,3,3.0
172,1,NDRG3,3,3,3.0
173,6,ATP1A1|ITPR1|PTH2R|SCN2B|THEMIS|VSNL1,3,3,3.0
