run,success,core_gene_count,elapsed_seconds
1,True,425,419.1
2,True,414,399.4
3,True,413,374.6
4,True,418,373.8
5,True,417,372.5
6,True,428,372.6
7,True,424,370.6
8,True,422,376.4
9,True,414,375.5
10,True,424,379.1
11,True,418,378.1
12,True,425,375.4
13,True,432,373.8
14,True,431,378.4
15,True,420,372.7
16,True,418,378.7
17,True,418,373.7
18,True,420,371.8
19,True,418,377.4
20,True,418,379.9
21,True,415,374.3
22,True,421,371.9
23,True,415,373.7
24,True,420,371.7
25,True,425,373.0
26,True,419,376.8
27,True,423,381.1
28,True,426,347.9
29,True,420,341.7
30,True,433,337.4
31,True,434,335.7
32,True,415,340.3
33,True,420,338.3
34,True,417,331.9
35,True,413,333.8
36,True,415,334.7
37,True,411,337.2
38,True,410,334.1
39,True,413,336.6
40,True,419,341.4
41,True,422,338.1
42,True,419,338.1
43,True,424,337.2
44,True,426,340.3
45,True,427,346.1
46,True,422,346.7
47,True,417,346.8
48,True,421,342.9
49,True,419,344.5
50,True,425,343.2
