run_i,run_j,n_genes_i,n_genes_j,n_intersection,n_union,jaccard
1,2,425,414,402,437,0.919908466819222
1,3,425,413,404,434,0.9308755760368663
1,4,425,418,407,436,0.9334862385321101
1,5,425,417,405,437,0.9267734553775744
1,6,425,428,414,439,0.9430523917995444
1,7,425,424,413,436,0.9472477064220184
1,8,425,422,406,441,0.9206349206349206
1,9,425,414,404,435,0.9287356321839081
1,10,425,424,413,436,0.9472477064220184
1,11,425,418,405,438,0.9246575342465754
1,12,425,425,412,438,0.9406392694063926
1,13,425,432,414,443,0.9345372460496614
1,14,425,431,415,441,0.9410430839002267
1,15,425,420,409,436,0.9380733944954128
1,16,425,418,404,439,0.9202733485193622
1,17,425,418,408,435,0.9379310344827586
1,18,425,420,407,438,0.9292237442922374
1,19,425,418,407,436,0.9334862385321101
1,20,425,418,405,438,0.9246575342465754
1,21,425,415,405,435,0.9310344827586207
1,22,425,421,409,437,0.9359267734553776
1,23,425,415,406,434,0.9354838709677419
1,24,425,420,404,441,0.9160997732426304
1,25,425,425,409,441,0.927437641723356
1,26,425,419,410,434,0.9447004608294931
1,27,425,423,411,437,0.9405034324942791
1,28,425,426,408,443,0.9209932279909706
1,29,425,420,409,436,0.9380733944954128
1,30,425,433,419,439,0.9544419134396356
1,31,425,434,419,440,0.9522727272727273
1,32,425,415,406,434,0.9354838709677419
1,33,425,420,409,436,0.9380733944954128
1,34,425,417,410,432,0.9490740740740741
1,35,425,413,408,430,0.9488372093023256
1,36,425,415,409,431,0.9489559164733179
1,37,425,411,401,435,0.9218390804597701
1,38,425,410,401,434,0.923963133640553
1,39,425,413,403,435,0.9264367816091954
1,40,425,419,412,432,0.9537037037037037
1,41,425,422,410,437,0.9382151029748284
1,42,425,419,407,437,0.931350114416476
1,43,425,424,414,435,0.9517241379310345
1,44,425,426,413,438,0.9429223744292238
1,45,425,427,413,439,0.9407744874715261
1,46,425,422,409,438,0.9337899543378996
1,47,425,417,405,437,0.9267734553775744
1,48,425,421,407,439,0.9271070615034168
1,49,425,419,403,441,0.9138321995464853
1,50,425,425,412,438,0.9406392694063926
2,3,414,413,400,427,0.936768149882904
2,4,414,418,395,437,0.9038901601830663
2,5,414,417,393,438,0.8972602739726028
2,6,414,428,402,440,0.9136363636363637
2,7,414,424,399,439,0.908883826879271
2,8,414,422,399,437,0.9130434782608695
2,9,414,414,389,439,0.8861047835990888
2,10,414,424,400,438,0.91324200913242
2,11,414,418,394,438,0.8995433789954338
2,12,414,425,400,439,0.9111617312072893
2,13,414,432,403,443,0.909706546275395
2,14,414,431,403,442,0.9117647058823529
2,15,414,420,397,437,0.9084668192219679
2,16,414,418,400,432,0.9259259259259259
2,17,414,418,397,435,0.9126436781609195
2,18,414,420,398,436,0.9128440366972477
2,19,414,418,397,435,0.9126436781609195
2,20,414,418,393,439,0.8952164009111617
2,21,414,415,394,435,0.9057471264367816
2,22,414,421,398,437,0.9107551487414187
2,23,414,415,396,433,0.9145496535796767
2,24,414,420,391,443,0.8826185101580135
2,25,414,425,397,442,0.8981900452488688
2,26,414,419,399,434,0.9193548387096774
2,27,414,423,399,438,0.910958904109589
2,28,414,426,397,443,0.8961625282167043
2,29,414,420,395,439,0.8997722095671982
2,30,414,433,405,442,0.916289592760181
2,31,414,434,403,445,0.9056179775280899
2,32,414,415,394,435,0.9057471264367816
2,33,414,420,400,434,0.9216589861751152
2,34,414,417,395,436,0.9059633027522935
2,35,414,413,397,430,0.9232558139534883
2,36,414,415,390,439,0.8883826879271071
2,37,414,411,395,430,0.9186046511627907
2,38,414,410,390,434,0.8986175115207373
2,39,414,413,391,436,0.8967889908256881
2,40,414,419,397,436,0.9105504587155964
2,41,414,422,396,440,0.9
2,42,414,419,398,435,0.9149425287356322
2,43,414,424,405,433,0.9353348729792148
2,44,414,426,400,440,0.9090909090909091
2,45,414,427,403,438,0.9200913242009132
2,46,414,422,396,440,0.9
2,47,414,417,392,439,0.8929384965831435
2,48,414,421,395,440,0.8977272727272727
2,49,414,419,393,440,0.8931818181818182
2,50,414,425,398,441,0.9024943310657596
3,4,413,418,398,433,0.9191685912240185
3,5,413,417,394,436,0.9036697247706422
3,6,413,428,406,435,0.9333333333333333
3,7,413,424,406,431,0.9419953596287703
3,8,413,422,399,436,0.9151376146788991
3,9,413,414,394,433,0.9099307159353349
3,10,413,424,402,435,0.9241379310344827
3,11,413,418,401,430,0.9325581395348838
3,12,413,425,404,434,0.9308755760368663
3,13,413,432,409,436,0.9380733944954128
3,14,413,431,409,435,0.9402298850574713
3,15,413,420,404,429,0.9417249417249417
3,16,413,418,396,435,0.9103448275862069
3,17,413,418,402,429,0.9370629370629371
3,18,413,420,398,435,0.9149425287356322
3,19,413,418,403,428,0.9415887850467289
3,20,413,418,395,436,0.9059633027522935
3,21,413,415,398,430,0.9255813953488372
3,22,413,421,400,434,0.9216589861751152
3,23,413,415,401,427,0.9391100702576113
3,24,413,420,396,437,0.9061784897025171
3,25,413,425,403,435,0.9264367816091954
3,26,413,419,406,426,0.9530516431924883
3,27,413,423,408,428,0.9532710280373832
3,28,413,426,403,436,0.9243119266055045
3,29,413,420,397,436,0.9105504587155964
3,30,413,433,408,438,0.9315068493150684
3,31,413,434,409,438,0.9337899543378996
3,32,413,415,397,431,0.9211136890951276
3,33,413,420,403,430,0.9372093023255814
3,34,413,417,399,431,0.925754060324826
3,35,413,413,402,424,0.9481132075471698
3,36,413,415,400,428,0.9345794392523364
3,37,413,411,397,427,0.9297423887587822
3,38,413,410,397,426,0.931924882629108
3,39,413,413,397,429,0.9254079254079254
3,40,413,419,402,430,0.9348837209302325
3,41,413,422,399,436,0.9151376146788991
3,42,413,419,399,433,0.9214780600461894
3,43,413,424,405,432,0.9375
3,44,413,426,403,436,0.9243119266055045
3,45,413,427,409,431,0.9489559164733179
3,46,413,422,403,432,0.9328703703703703
3,47,413,417,397,433,0.9168591224018475
3,48,413,421,401,433,0.9260969976905312
3,49,413,419,401,431,0.9303944315545244
3,50,413,425,398,440,0.9045454545454545
4,5,418,417,403,432,0.9328703703703703
4,6,418,428,410,436,0.9403669724770642
4,7,418,424,407,435,0.9356321839080459
4,8,418,422,400,440,0.9090909090909091
4,9,418,414,399,433,0.9214780600461894
4,10,418,424,409,433,0.9445727482678984
4,11,418,418,402,434,0.9262672811059908
4,12,418,425,413,430,0.9604651162790697
4,13,418,432,415,435,0.9540229885057471
4,14,418,431,410,439,0.9339407744874715
4,15,418,420,407,431,0.9443155452436195
4,16,418,418,403,433,0.930715935334873
4,17,418,418,405,431,0.9396751740139211
4,18,418,420,404,434,0.9308755760368663
4,19,418,418,402,434,0.9262672811059908
4,20,418,418,402,434,0.9262672811059908
4,21,418,415,399,434,0.9193548387096774
4,22,418,421,405,434,0.9331797235023042
4,23,418,415,402,431,0.9327146171693735
