gene,appearance_count,appearance_rate,stability_class,total_runs
CCN1,50,1.0000,iron-clad,50
SERPINH1,50,1.0000,iron-clad,50
VIM,50,1.0000,iron-clad,50
ABCA5,50,1.0000,iron-clad,50
MAGED2,50,1.0000,iron-clad,50
NET1,50,1.0000,iron-clad,50
OBI1,50,1.0000,iron-clad,50
PSMG3,50,1.0000,iron-clad,50
SLC25A3,50,1.0000,iron-clad,50
SLC33A2,50,1.0000,iron-clad,50
TRMT11,50,1.0000,iron-clad,50
CHCHD7,50,1.0000,iron-clad,50
N4BP2L1,50,1.0000,iron-clad,50
NAE1,50,1.0000,iron-clad,50
RIOK1,50,1.0000,iron-clad,50
SNX14,50,1.0000,iron-clad,50
VPS39,50,1.0000,iron-clad,50
EMC1,50,1.0000,iron-clad,50
RALGPS1,50,1.0000,iron-clad,50
SLC35B3,50,1.0000,iron-clad,50
TTC13,50,1.0000,iron-clad,50
CPEB1,50,1.0000,iron-clad,50
SUV39H1,50,1.0000,iron-clad,50
UBE4A,50,1.0000,iron-clad,50
CCL20,50,1.0000,iron-clad,50
KCNN3,50,1.0000,iron-clad,50
RASGEF1B,50,1.0000,iron-clad,50
SLC2A5,50,1.0000,iron-clad,50
AARS1,50,1.0000,iron-clad,50
FXR2,50,1.0000,iron-clad,50
NDEL1,50,1.0000,iron-clad,50
QRICH1,50,1.0000,iron-clad,50
RCOR3,50,1.0000,iron-clad,50
SNAP47,50,1.0000,iron-clad,50
SPIN2B,50,1.0000,iron-clad,50
IFRD1,50,1.0000,iron-clad,50
P4HA1,50,1.0000,iron-clad,50
RPLP1,50,1.0000,iron-clad,50
SEC11A,50,1.0000,iron-clad,50
SLA,50,1.0000,iron-clad,50
UGDH,50,1.0000,iron-clad,50
C1QB,50,1.0000,iron-clad,50
CDKN1A,50,1.0000,iron-clad,50
GBP2,50,1.0000,iron-clad,50
IFITM3,50,1.0000,iron-clad,50
NQO1,50,1.0000,iron-clad,50
TIMP1,50,1.0000,iron-clad,50
YBX3,50,1.0000,iron-clad,50
CBX7,50,1.0000,iron-clad,50
DPP6,50,1.0000,iron-clad,50
GOT2,50,1.0000,iron-clad,50
SLC16A14,50,1.0000,iron-clad,50
SNAP25,50,1.0000,iron-clad,50
H2AC20,50,1.0000,iron-clad,50
NFE2L2,50,1.0000,iron-clad,50
PITPNC1,50,1.0000,iron-clad,50
PPP1R14B,50,1.0000,iron-clad,50
SEC14L2,50,1.0000,iron-clad,50
SOX2,50,1.0000,iron-clad,50
CHSY1,50,1.0000,iron-clad,50
ELF1,50,1.0000,iron-clad,50
FAM111A,50,1.0000,iron-clad,50
HEY2,50,1.0000,iron-clad,50
MANF,50,1.0000,iron-clad,50
NECAP2,50,1.0000,iron-clad,50
PLOD1,50,1.0000,iron-clad,50
RAB29,50,1.0000,iron-clad,50
ATXN7,50,1.0000,iron-clad,50
EPB41L2,50,1.0000,iron-clad,50
PDIA6,50,1.0000,iron-clad,50
ZFYVE21,50,1.0000,iron-clad,50
ARHGAP26,50,1.0000,iron-clad,50
CEND1,50,1.0000,iron-clad,50
EXOSC9,50,1.0000,iron-clad,50
NR3C2,50,1.0000,iron-clad,50
RMND1,50,1.0000,iron-clad,50
SERGEF,50,1.0000,iron-clad,50
ZNF385B,50,1.0000,iron-clad,50
ABCA1,50,1.0000,iron-clad,50
BST2,50,1.0000,iron-clad,50
CD14,50,1.0000,iron-clad,50
LAPTM5,50,1.0000,iron-clad,50
MSN,50,1.0000,iron-clad,50
YAP1,50,1.0000,iron-clad,50
BAG3,50,1.0000,iron-clad,50
CNN3,50,1.0000,iron-clad,50
CYBA,50,1.0000,iron-clad,50
HSPA1A,50,1.0000,iron-clad,50
PDYN,50,1.0000,iron-clad,50
PLIN2,50,1.0000,iron-clad,50
PNP,50,1.0000,iron-clad,50
RDH10,50,1.0000,iron-clad,50
AEBP1,50,1.0000,iron-clad,50
CACHD1,50,1.0000,iron-clad,50
EHD4,50,1.0000,iron-clad,50
FERMT2,50,1.0000,iron-clad,50
SLC15A3,50,1.0000,iron-clad,50
ASXL2,50,1.0000,iron-clad,50
RPL12,50,1.0000,iron-clad,50
SH3GLB1,50,1.0000,iron-clad,50
ZFAND3,50,1.0000,iron-clad,50
ARL3,50,1.0000,iron-clad,50
NDUFB8,50,1.0000,iron-clad,50
SAYSD1,50,1.0000,iron-clad,50
DTD1,50,1.0000,iron-clad,50
RWDD2A,50,1.0000,iron-clad,50
TRPC1,50,1.0000,iron-clad,50
ANKRD29,50,1.0000,iron-clad,50
EID1,50,1.0000,iron-clad,50
TSNAX,50,1.0000,iron-clad,50
UQCRC2,50,1.0000,iron-clad,50
MGST1,50,1.0000,iron-clad,50
RHBDF2,50,1.0000,iron-clad,50
RHPN2,50,1.0000,iron-clad,50
ADAP2,50,1.0000,iron-clad,50
CPNE3,50,1.0000,iron-clad,50
