Riker Engine — Stability Profiling Report
============================================================

Config: /home/kai001/riker-engine/disease_days/2026-04-28_asd_v033/blind_pc/config.yaml
Runs attempted: 50
Runs successful: 50
Total time: 18010.8s (300.2m)

Core gene counts across runs:
  Min: 410
  Max: 434
  Mean: 420.5
  Variance: ±12.0 genes (2.9%)

Unique genes seen: 457
  Iron-clad (>=90% of runs): 394
  Borderline (50-89%):       35
  Stochastic (<50%):         28

Iron-clad genes (394):
  AARS1: 50/50 (100%)
  ABCA1: 50/50 (100%)
  ABCA5: 50/50 (100%)
  ABCG4: 50/50 (100%)
  ACTL6B: 49/50 (98%)
  ACTR1B: 48/50 (96%)
  ACTR6: 50/50 (100%)
  ADAP2: 50/50 (100%)
  ADGRG1: 50/50 (100%)
  AEBP1: 50/50 (100%)
  AGGF1: 49/50 (98%)
  ALDOC: 50/50 (100%)
  ANAPC5: 50/50 (100%)
  ANKRD29: 50/50 (100%)
  ANO6: 47/50 (94%)
  APBA2: 48/50 (96%)
  APOC1: 45/50 (90%)
  ARHGAP26: 50/50 (100%)
  ARL3: 50/50 (100%)
  ARMCX5: 50/50 (100%)
  ASB13: 50/50 (100%)
  ASXL2: 50/50 (100%)
  ATP1A1: 49/50 (98%)
  ATP5F1A: 50/50 (100%)
  ATP5F1B: 50/50 (100%)
  ATP6V1A: 50/50 (100%)
  ATP6V1C1: 50/50 (100%)
  ATPAF1: 50/50 (100%)
  ATRNL1: 50/50 (100%)
  ATXN7: 50/50 (100%)
  AVPI1: 50/50 (100%)
  B2M: 48/50 (96%)
  B4GALT6: 50/50 (100%)
  BAG3: 50/50 (100%)
  BIRC3: 48/50 (96%)
  BMP7: 50/50 (100%)
  BST2: 50/50 (100%)
  BTG3: 50/50 (100%)
  C1QB: 50/50 (100%)
  CACHD1: 50/50 (100%)
  CADPS: 50/50 (100%)
  CBLN2: 49/50 (98%)
  CBX7: 50/50 (100%)
  CCDC25: 47/50 (94%)
  CCL20: 50/50 (100%)
  CCN1: 50/50 (100%)
  CCNB1IP1: 45/50 (90%)
  CD14: 50/50 (100%)
  CD84: 50/50 (100%)
  CDCA5: 49/50 (98%)
  CDKN1A: 50/50 (100%)
  CEBPD: 47/50 (94%)
  CEND1: 50/50 (100%)
  CHCHD4: 49/50 (98%)
  CHCHD7: 50/50 (100%)
  CHST11: 50/50 (100%)
  CHSY1: 50/50 (100%)
  CIRBP: 50/50 (100%)
  CNN3: 50/50 (100%)
  CNTNAP1: 50/50 (100%)
  COLGALT1: 45/50 (90%)
  COPG1: 50/50 (100%)
  COQ3: 49/50 (98%)
  COQ6: 50/50 (100%)
  CORO2A: 50/50 (100%)
  COX7A1: 50/50 (100%)
  CPEB1: 50/50 (100%)
  CPLX2: 50/50 (100%)
  CPNE3: 50/50 (100%)
  CTSH: 50/50 (100%)
  CXCL16: 50/50 (100%)
  CYBA: 50/50 (100%)
  CYC1: 50/50 (100%)
  DDAH2: 50/50 (100%)
  DDX1: 50/50 (100%)
  DDX24: 50/50 (100%)
  DEPDC5: 50/50 (100%)
  DHX35: 47/50 (94%)
  DKK3: 50/50 (100%)
  DNAJB1: 50/50 (100%)
  DOK1: 50/50 (100%)
  DOP1A: 50/50 (100%)
  DPP6: 50/50 (100%)
  DTD1: 50/50 (100%)
  DTNA: 50/50 (100%)
  DTX2: 50/50 (100%)
  DYNLT1: 50/50 (100%)
  DYNLT5: 50/50 (100%)
  EFR3A: 50/50 (100%)
  EHD4: 50/50 (100%)
  EID1: 50/50 (100%)
  EIF3K: 48/50 (96%)
  ELF1: 50/50 (100%)
  ELP2: 49/50 (98%)
  EMC1: 50/50 (100%)
  ENO2: 50/50 (100%)
  EPB41L2: 50/50 (100%)
  EXOSC9: 50/50 (100%)
  EXTL2: 50/50 (100%)
  FAHD2B: 50/50 (100%)
  FAM111A: 50/50 (100%)
  FAM216A: 46/50 (92%)
  FAM234B: 50/50 (100%)
  FAM241B: 50/50 (100%)
  FAM81A: 50/50 (100%)
  FAR2: 49/50 (98%)
  FBLN7: 50/50 (100%)
