gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
AAAS,0.5085176563088853,0.05527513270737235,0.0,0.0,0.0
AADAC,0.5977800976432656,0.18886182322594014,0.0,0.33333333333333326,0.0
AAMDC,0.439845232104372,0.3091392904478421,0.0,0.33333333333333326,0.0
AASDH,0.5141243832515829,0.3091622692332036,1.0,0.33333333333333326,0.0
AASS,0.3563605525172098,1.0,1.0,1.0,0.0
AATK,0.36807170432981423,1.0,0.0,1.0,0.0
ABAT,0.4597396757054456,0.11683257957952037,0.0,1.0,0.0
ABCA12,0.5581291763162936,1.0,1.0,1.0,0.0
ABCA13,0.6988075309572467,1.0,1.0,1.0,0.0
ABCA2,0.5416838693117298,0.1872179657423693,0.0,1.0,0.0
ABCA3,0.3165737794891481,1.0,1.0,1.0,0.0
ABCA8,0.4956315657951854,0.2036353800024593,0.0,0.33333333333333326,0.0
ABCB6,0.4020506150512877,0.9611893227653895,0.0,1.0,0.0
ABCC3,0.6236251950924414,1.0,1.0,1.0,0.0
ABCC4,0.4315520017375545,0.9761743646338787,0.0,1.0,0.0
ABCC5,0.5897991938736429,1.0,1.0,1.0,0.0
ABCC6,0.4448095895936921,0.34646583038328405,0.0,1.0,0.0
ABCC8,0.2890823395769723,0.7705616591602603,0.0,1.0,0.0
ABCD1,0.498860581046797,0.49742920673449453,0.0,0.33333333333333326,0.0
ABCG1,0.4308900673220349,0.9919322365748365,0.0,0.33333333333333326,0.0
ABHD10,0.5722511116900645,0.6774248629531537,0.0,1.0,0.0
ABHD12B,0.5275598350451667,0.48152162689507094,0.0,1.0,0.0
ABHD14A,0.5465091263779093,0.4768312374045674,0.0,1.0,0.0
ABHD2,0.5343085060215967,0.3242298767390118,0.0,1.0,0.0
ABHD5,0.4036491357654941,1.0,1.0,1.0,0.0
ABHD6,0.4403708821909635,0.1537986712354715,0.0,0.33333333333333326,0.0
ABI3,0.4629263377249156,0.4439485850750483,0.0,1.0,0.0
ABLIM1,0.4635319203517814,0.10190206648309828,0.0,0.33333333333333326,0.0
ABT1,0.4918270626534704,0.18146902024474054,0.0,0.0,0.0
ABTB1,0.43171318475058346,0.19596837623638347,0.0,1.0,0.0
ABTB3,0.5706469043910358,0.5756949163792293,0.0,1.0,0.0
ACAA2,0.46613335837340997,0.022586521117826133,0.0,0.33333333333333326,0.0
ACACA,0.44516939096820485,0.752723193045062,0.0,1.0,0.0
ACADL,0.2991726096460731,1.0,1.0,1.0,0.0
ACAN,0.6069514152530145,0.776246296356473,0.0,1.0,0.0
ACAT1,0.4159944309733356,1.0,0.0,1.0,0.0
ACAT2,0.36389532550271175,1.0,1.0,1.0,0.0
ACCS,0.4971777011553228,0.16479327024412185,0.0,0.33333333333333326,0.0
ACE,0.6007302777627238,0.26230931413033337,0.0,1.0,0.0
ACE2,0.39601829546542844,0.13034168446041575,0.0,1.0,0.0
ACER2,0.5892442734652424,0.859585992086279,1.0,1.0,0.0
ACKR4,0.4419843935514837,0.07014275108854127,0.0,0.33333333333333326,0.0
ACKR5,0.45006874915867096,0.16040544876704582,0.0,0.33333333333333326,0.0
ACLY,0.4563105967934371,0.403000016621759,0.0,0.33333333333333326,0.0
ACO1,0.5069924553442399,0.2275737471246686,0.0,0.33333333333333326,0.0
ACOT1,0.4594209854396044,0.29350962671891245,0.0,0.33333333333333326,0.0
ACOX2,0.5733520727386497,1.0,0.0,1.0,0.0
ACOXL,0.3945751573096039,0.9760241850733499,0.0,1.0,0.0
ACP3,0.4116239783405972,1.0,1.0,1.0,0.0
ACR,0.4400986623613422,0.4282904503491917,1.0,1.0,0.0
ACSF2,0.5032972160052449,0.04763412737446868,0.0,0.33333333333333326,0.0
ACSL1,0.32774145773367336,1.0,1.0,1.0,0.0
ACSL3,0.4645407706787748,0.40543029412085113,0.0,0.33333333333333326,0.0
ACSM3,0.4140568791418187,0.7518679272652563,1.0,1.0,0.0
ACSM5,0.39839047006866757,0.24269130262832875,0.0,1.0,0.0
ACSS2,0.37077271796226735,1.0,0.0,1.0,0.0
ACSS3,0.43813617345089284,0.3608827855113404,0.0,1.0,0.0
ACTC1,0.5437094443953004,0.3294763706256707,0.0,1.0,0.0
ACTG2,0.6442537700776456,1.0,0.0,1.0,0.0
ACTN1,0.5647196572531745,0.32734614059758266,1.0,1.0,0.0
ACTN4,0.5051860654240363,0.2609579721100661,0.0,0.0,0.0
ACTR1B,0.5077446190410708,0.12247748216345222,0.0,0.0,0.0
ACVR1,0.5489975621775472,0.19839949792619022,0.0,1.0,0.0
ACVR2A,0.5240722771413132,0.538015787448632,0.0,0.33333333333333326,0.0
ACVRL1,0.31816615323250597,1.0,0.0,1.0,0.0
ADA2,0.5818785404798347,0.34103708507613006,1.0,1.0,0.0
ADAM17,0.43861221706720827,0.7874888836109447,0.0,1.0,0.0
ADAM19,0.5043652173457197,0.15840784673316916,0.0,0.33333333333333326,0.0
ADAM23,0.5613610888112893,1.0,0.0,1.0,0.0
ADAM28,0.6290706049219442,1.0,0.0,1.0,0.0
ADAM8,0.5411979476841692,0.21717751675107075,0.0,0.33333333333333326,0.0
ADAMTS1,0.3134497862660246,1.0,0.0,1.0,0.0
ADAMTS14,0.5523776578748474,1.0,0.0,1.0,0.0
ADAMTS16,0.5908144995458303,1.0,0.0,1.0,0.0
ADAMTS18,0.5735418924573481,0.7741392513152967,0.0,1.0,0.0
ADAMTS2,0.3970388203166891,0.8953798290719398,1.0,1.0,0.0
ADAMTS5,0.5610574658078614,0.15184232029278785,0.0,1.0,0.0
ADAMTS8,0.3607268724909797,1.0,0.0,1.0,0.0
ADAMTSL1,0.5452576611724249,1.0,0.0,1.0,0.0
ADAMTSL3,0.3885467521012733,0.34215459201235926,0.0,1.0,0.0
ADAMTSL4,0.5247937281155305,0.3880608233134276,1.0,0.33333333333333326,0.0
ADAP1,0.46205793207230594,0.9147778806020103,0.0,1.0,0.0
ADARB1,0.3858940633044162,1.0,0.0,1.0,0.0
ADCK2,0.5009401286847509,0.07266231743009789,0.0,0.0,0.0
ADCY2,0.5523839974882607,1.0,0.0,0.33333333333333326,0.0
ADCY4,0.41910538985308865,0.6045280952898165,0.0,1.0,0.0
ADCY5,0.4916965520099076,0.1681978946552761,0.0,0.33333333333333326,0.0
ADCY9,0.44690431146028925,0.2784619113814129,0.0,1.0,0.0
ADCYAP1,0.6035657396945405,0.7711967706549102,0.0,1.0,0.0
ADD2,0.5329495984501457,0.6223931494486081,0.0,1.0,0.0
ADGRA2,0.5827643818262908,0.7152190495543576,1.0,1.0,0.0
ADGRA3,0.5727868314941723,1.0,0.0,0.33333333333333326,0.0
ADGRB1,0.4920657125017496,0.479029687565062,0.0,0.0,0.0
ADGRB3,0.42731247444435677,0.25275320794033673,0.0,1.0,0.0
ADGRD1,0.37261188511393223,1.0,1.0,1.0,0.0
ADGRE2,0.34250044664919455,1.0,0.0,0.33333333333333326,0.0
ADGRE3,0.5009300377360653,0.15962179801675147,0.0,0.33333333333333326,0.0
ADGRF1,0.690681972390359,0.5797139282767915,0.0,1.0,0.0
ADGRF5,0.39977333365860196,1.0,1.0,1.0,0.0
ADGRG3,0.2827448622600626,1.0,0.0,1.0,0.0
ADGRL2,0.3418368739001675,1.0,0.0,1.0,0.0
ADH1A,0.44562368836876215,0.33851824025223953,0.0,1.0,0.0
ADH1B,0.39895161591462697,0.5509798012198567,0.0,1.0,0.0
ADH7,0.5996728455318329,1.0,1.0,1.0,0.0
ADHFE1,0.38626016213151554,0.24108319098620873,0.0,1.0,0.0
ADI1,0.4405353571919044,0.6233201990708528,1.0,1.0,0.0
ADIPOQ,0.5151402305712922,0.08308377769127066,0.0,1.0,0.0
ADIPOR2,0.38566064566227953,1.0,1.0,1.0,0.0
ADM,0.21263804524173938,1.0,0.0,1.0,0.0
ADORA2B,0.5409632984894486,0.11452355423240501,0.0,1.0,0.0
ADORA3,0.37787787047312765,0.18016108043681134,0.0,1.0,0.0
ADPGK,0.4547120029685095,1.0,0.0,1.0,0.0
ADPRH,0.44207355951059957,0.9641455873858809,0.0,1.0,0.0
ADRA1A,0.34945015386867595,1.0,1.0,1.0,0.0
ADRA1B,0.28538210502681793,1.0,0.0,1.0,0.0
ADRA2A,0.6326372843063962,0.8184299126564704,1.0,1.0,0.0
ADRA2C,0.44952372960519843,0.041534335019827444,1.0,1.0,0.0
ADRB1,0.39147280428850334,0.9327116650578712,0.0,1.0,0.0
ADRB2,0.39984227584493165,1.0,1.0,1.0,0.0
ADSS2,0.5337052409933961,0.11367474587776627,0.0,0.33333333333333326,0.0
AEBP1,0.6033119551503288,0.43722789508470666,0.0,1.0,0.0
AFAP1,0.5534161751162754,0.92346144837547,1.0,1.0,0.0
AFAP1L1,0.39566786341940213,1.0,0.0,1.0,0.0
AFAP1L2,0.5580076655959549,0.9028490906782906,0.0,1.0,0.0
AFDN,0.4364415720865786,0.15148612333465436,0.0,1.0,0.0
AFF1,0.43679957938754127,0.11814084884194306,0.0,1.0,0.0
AFF2,0.3810547027941167,1.0,1.0,1.0,0.0
AFF3,0.26873241893457706,1.0,1.0,1.0,0.0
AFMID,0.45011719018573726,1.0,1.0,1.0,0.0
AGBL3,0.5456735603773427,0.14246316367823694,0.0,1.0,0.0
AGER,0.33128437622036533,1.0,1.0,1.0,0.0
AGFG1,0.4155475948419993,1.0,1.0,1.0,0.0
AGO2,0.4308654605924966,0.456142854692541,0.0,1.0,0.0
AGPAT2,0.42799081409578643,1.0,0.0,0.33333333333333326,0.0
AGPAT4,0.5404728578650625,0.30083913281343094,0.0,1.0,0.0
AGPS,0.5472970673046,0.3885751604045955,1.0,1.0,0.0
AGR2,0.6268955690661453,0.5238381952847903,1.0,1.0,0.0
AGR3,0.6267924546171254,1.0,0.0,1.0,0.0
AGRN,0.5952488634152835,1.0,1.0,1.0,0.0
AGTPBP1,0.3989133265053963,1.0,0.0,1.0,0.0
