gene,cluster_id
AAAS,44
AADAC,230
AAMDC,103
AASDH,64
AASS,11
AATK,26
ABAT,28
ABCA12,232
ABCA13,130
ABCA2,-1
ABCA3,132
ABCA8,60
ABCB6,168
ABCC3,135
ABCC4,134
ABCC5,93
ABCC6,97
ABCC8,240
ABCD1,176
ABCG1,271
ABHD10,182
ABHD12B,13
ABHD14A,13
ABHD2,315
ABHD5,0
ABHD6,62
ABI3,69
ABLIM1,107
ABT1,51
ABTB1,5
ABTB3,183
ACAA2,139
ACACA,240
ACADL,75
ACAN,37
ACAT1,38
ACAT2,11
ACCS,90
ACE,364
ACE2,-1
ACER2,296
ACKR4,107
ACKR5,61
ACLY,179
ACO1,127
ACOT1,103
ACOX2,143
ACOXL,168
ACP3,112
ACR,217
ACSF2,140
ACSL1,146
ACSL3,179
ACSM3,219
ACSM5,173
ACSS2,26
ACSS3,97
ACTC1,268
ACTG2,249
ACTN1,280
ACTN4,253
ACTR1B,306
ACVR1,331
ACVR2A,307
ACVRL1,148
ADA2,280
ADAM17,240
ADAM19,90
ADAM23,53
ADAM28,6
ADAM8,126
ADAMTS1,149
ADAMTS14,16
ADAMTS16,7
ADAMTS18,79
ADAMTS2,2
ADAMTS5,238
ADAMTS8,47
ADAMTSL1,9
ADAMTSL3,209
ADAMTSL4,66
ADAP1,169
ADARB1,39
ADCK2,87
ADCY2,191
ADCY4,255
ADCY5,90
ADCY9,210
ADCYAP1,37
ADD2,295
ADGRA2,248
ADGRA3,117
ADGRB1,254
ADGRB3,174
ADGRD1,193
ADGRE2,181
ADGRE3,90
ADGRF1,138
ADGRF5,0
ADGRG3,114
ADGRL2,81
ADH1A,208
ADH1B,257
ADH7,320
ADHFE1,173
ADI1,147
ADIPOQ,407
ADIPOR2,328
ADM,115
ADORA2B,346
ADORA3,186
ADPGK,387
ADPRH,134
ADRA1A,390
ADRA1B,114
ADRA2A,297
ADRA2C,369
ADRB1,270
ADRB2,0
ADSS2,110
AEBP1,447
AFAP1,299
AFAP1L1,348
AFAP1L2,372
AFDN,246
AFF1,317
AFF2,352
AFF3,77
AFMID,394
AGBL3,337
AGER,146
AGFG1,113
AGO2,33
AGPAT2,271
AGPAT4,293
AGPS,396
AGR2,277
AGR3,6
AGRN,398
AGTPBP1,349
AGTR1,187
AGTRAP,271
AHNAK2,338
AIDA,139
AIG1,375
AIM2,230
AIP,177
AJAP1,216
AK8,54
AKAP1,62
AKAP12,356
AKAP13,389
AKIRIN2,240
AKR1B10,369
AKR1C3,270
AKR1E2,177
AKT3,145
AKTIP,330
ALDH16A1,337
ALDH18A1,297
ALDH1A3,300
ALDH1B1,248
ALDH1L1,2
ALDH2,46
ALDH3A1,135
ALDH4A1,44
ALDH5A1,205
ALDH6A1,328
ALDH7A1,139
ALG13,340
ALKAL1,83
ALKAL2,132
ALKBH4,318
ALOX15,190
ALOX15B,105
ALOX5,378
ALOX5AP,168
ALPL,350
ALPP,147
ALS2CL,376
AMD1,241
AMOTL2,240
AMPD1,361
AMPD2,25
AMPD3,365
AMZ2,205
ANG,209
ANGPTL1,162
ANGPTL2,362
ANGPTL7,400
ANK2,442
ANKFN1,414
ANKH,163
ANKMY2,404
ANKRD11,363
ANKRD18A,96
ANKRD18B,152
ANKRD2,175
ANKRD29,240
ANKRD36,322
ANKRD36B,96
ANKRD42,17
ANKRD45,414
ANKRD65,447
ANKS1A,207
ANLN,285
ANO1,277
ANO3,24
ANO4,200
ANO5,182
ANP32B,175
ANTXR1,259
ANXA3,149
ANXA4,98
AOC1,282
AOC3,353
AOPEP,303
AOX1,147
AP1M1,44
AP3S1,343
AP5B1,214
AP5M1,-1
APBB2,216
APH1A,212
APLF,-1
APLNR,309
APOBEC3A_B,240
APOBEC3B,437
APOBEC3C,96
APOBEC3D,191
APOBEC3F,416
APOBEC3G,396
APOBEC3H,410
APOD,246
APOL3,62
APOLD1,240
APOO,13
APPL1,56
AQP1,347
AQP10,60
AQP3,275
AQP5,106
AR,447
ARAP1,20
ARAP2,316
ARAP3,329
ARC,400
ARFGAP1,419
ARG1,36
ARG2,63
ARHGAP1,184
ARHGAP10,210
ARHGAP15,138
ARHGAP20,441
ARHGAP22,324
ARHGAP27,56
ARHGAP29,241
ARHGAP31,27
