gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
AADAC,230,True,True,True,True,4,True,0.3845638023468722,0.7069984953781518,up
AAMDC,103,True,True,True,True,4,True,-0.2269663487889828,-0.378402565546219,down
AASS,11,True,True,True,True,4,True,-0.952147694499534,-0.952147694499534,down
AATK,26,True,True,True,True,4,True,-0.674241440518674,-0.8716632710084028,down
ABCA12,232,True,True,True,True,4,True,0.43449912085387504,0.43449912085387504,up
ABCA13,130,True,True,True,True,4,True,1.4013054992642395,1.4013054992642395,up
ABCA3,132,True,True,True,True,4,True,-1.2255807044183005,-1.2255807044183005,down
ABCB6,168,True,True,True,True,4,True,-0.4778539641409891,-0.6381445630252094,down
ABCC3,135,True,True,True,True,4,True,0.8846178962324931,0.8846178962324931,up
ABCC4,134,True,True,True,True,4,True,-0.3011833068636788,-0.4353974602955182,down
ABCC5,93,True,True,True,True,4,True,0.6521500527044816,0.6521500527044816,up
ABCC6,97,True,True,True,True,4,True,-0.3442852168067223,-0.3442852168067223,down
ABCC8,240,True,True,True,True,4,True,-1.2632316865256772,-1.4145145281512614,down
ABHD10,182,True,True,True,True,4,True,0.3625035387768442,0.5315515581652663,up
ABHD6,62,True,True,True,True,4,True,-0.21985503632259626,-0.3747900563025215,down
ABTB3,183,True,True,True,True,4,True,0.520526707519608,0.520526707519608,up
ACACA,240,True,True,True,True,4,True,-0.31586487757049503,-0.34181249621848747,down
ACADL,75,True,True,True,True,4,True,-1.345169549760037,-1.345169549760037,down
ACAN,37,True,True,True,True,4,True,0.5370965210308124,0.7700280096638649,up
ACAT1,38,True,True,True,True,4,True,-0.4788112568127921,-0.5423162445378149,down
ACER2,296,True,True,True,True,4,True,0.6483363843422034,0.6483363843422034,up
ACKR5,61,True,True,True,True,4,True,-0.20026206837768448,-0.3081418525665267,down
ACO1,127,True,True,True,True,4,True,0.021969364411297116,0.08306404661694566,up
ACOX2,143,True,True,True,True,4,True,0.38683524602474284,0.5391178690371143,up
ACP3,112,True,True,True,True,4,True,-0.5723520058506063,-0.5723520058506063,down
ACSL1,146,True,True,True,True,4,True,-1.1488312813361334,-1.1488312813361334,down
ACSS2,26,True,True,True,True,4,True,-0.6847683816125119,-0.8531006626050426,down
ACTC1,268,True,True,True,True,4,True,0.2858918768225955,0.3354000886554622,up
ACTN1,280,True,True,True,True,4,True,0.47979193809523907,0.47979193809523907,up
ACTN4,253,True,True,True,True,4,True,0.07064970397548975,0.07064970397548975,up
ACVR1,331,True,True,True,True,4,True,0.3717424670882353,0.3717424670882353,up
ACVR2A,307,True,True,True,True,4,True,0.07534423738095293,0.20044444033613534,up
ACVRL1,148,True,True,True,True,4,True,-1.0791288974477131,-1.2146371794117647,down
ADA2,280,True,True,True,True,4,True,0.5977156783342674,0.5977156783342674,up
ADAM17,240,True,True,True,True,4,True,-0.26583007116900054,-0.3868764121848744,down
ADAM23,53,True,True,True,True,4,True,0.3134724591237162,0.45671031050420163,up
ADAM28,6,True,True,True,True,4,True,0.7649150540018673,0.9220412579831938,up
ADAMTS1,149,True,True,True,True,4,True,-0.8480159821195148,-1.2470502231792722,down
ADAMTS16,7,True,True,True,True,4,True,0.468234809685341,0.6591277004201685,up
ADAMTS18,79,True,True,True,True,4,True,0.3864702418846874,0.5404223974789918,up
ADAMTS2,2,True,True,True,True,4,True,-0.6725879223398689,-0.6725879223398689,down
ADAMTS5,238,True,True,True,True,4,True,0.4605328635816995,0.4546236735294129,up
ADAMTSL3,209,True,True,True,True,4,True,-0.6508001992577035,-0.7309493222689081,down
ADAMTSL4,66,True,True,True,True,4,True,0.20540258336648123,0.20540258336648123,up
ADARB1,39,True,True,True,True,4,True,-0.7040274562787117,-0.749179820168068,down
ADCY4,255,True,True,True,True,4,True,-0.4089237028576105,-0.5209363037815133,down
ADCY9,210,True,True,True,True,4,True,-0.28268517945564864,-0.3298893243697475,down
ADCYAP1,37,True,True,True,True,4,True,0.5398495144056953,0.7467600894957982,up
ADGRA2,248,True,True,True,True,4,True,0.6038035876377221,0.6038035876377221,up
ADGRA3,117,True,True,True,True,4,True,0.3390505140938373,0.5352332711407559,up
ADGRB3,174,True,True,True,True,4,True,-0.5167050404122314,-0.4645334424369749,down
ADGRD1,193,True,True,True,True,4,True,-0.8404610597483656,-0.8404610597483656,down
ADGRF1,138,True,True,True,True,4,True,1.0124449325354807,1.3454629222689076,up
ADGRF5,0,True,True,True,True,4,True,-0.6537950885200742,-0.6537950885200742,down
ADGRG3,114,True,True,True,True,4,True,-1.0139932254070956,-1.4580685881106432,down
ADGRL2,81,True,True,True,True,4,True,-0.9317811787012135,-1.0519610962184869,down
ADH1B,257,True,True,True,True,4,True,-0.6424129704397771,-0.6594423109243706,down
ADH7,320,True,True,True,True,4,True,0.7200063297110173,0.7200063297110173,up
ADHFE1,173,True,True,True,True,4,True,-0.6750553044313724,-0.7466638205882354,down
ADI1,147,True,True,True,True,4,True,-0.37365970842203483,-0.37365970842203483,down
ADIPOR2,328,True,True,True,True,4,True,-0.7507839735989723,-0.7507839735989723,down
ADM,115,True,True,True,True,4,True,-1.3902557602745083,-1.9398748904117626,down
