gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
ADGRF5,0,4,-0.6537950885200742,down
ADRB2,0,4,-0.6533212860957051,down
BLVRB,0,4,-0.6296414919360412,down
BMAL1,0,4,-0.649585831711951,down
CARMIL1,0,4,-0.6458610357819801,down
GAB2,0,4,-0.6006889998534078,down
GALNT17,0,4,-0.6128932032651725,down
HAL,0,4,-0.6442811913235285,down
HSPA2,0,4,-0.5942278212301594,down
IL15RA,0,4,-0.6372174517063491,down
MKNK2,0,4,-0.618573120779646,down
PRKCZ,0,4,-0.5960472551125114,down
PRR16,0,4,-0.6280901117978525,down
RIMKLA,0,4,-0.6317737673281979,down
SLC22A15,0,4,-0.6226954539178342,down
SSH2,0,4,-0.6401812670718959,down
CD163L1,1,4,0.6705048546218483,up
CLDN16,1,4,0.6769503806722691,up
DRC7,1,4,0.6724883046722696,up
DUSP10,1,4,0.6634494579831922,up
FTO,1,4,0.6652606729740893,up
MBOAT1,1,4,0.6832858029572817,up
TTC3,1,4,0.6681314373949576,up
ADAMTS2,2,4,-0.6725879223398689,down
ALDH1L1,2,4,-0.6629179291946782,down
FBLN5,2,4,-0.6978629705929046,down
FLT3,2,4,-0.6994717323445386,down
FMN1,2,4,-0.7083405723001867,down
GRB10,2,4,-0.44877379428804903,down
MGST1,2,4,-0.8142420746825403,down
NCOA3,2,4,-0.6575274987492995,down
PARD6B,2,4,-0.6964191629229693,down
PON2,2,4,-0.5305364396825402,down
PRDX6,2,4,-0.5536705636134452,down
RYBP,2,4,-0.47472555578618075,down
SYTL4,2,4,-0.6195157729631187,down
DOCK9,3,4,-0.8784416727226892,down
HPCAL1,3,4,-0.876246030618581,down
IFNGR1,3,4,-0.8582426803921562,down
MAP2,3,4,-0.8870714389831936,down
MSMO1,3,4,-0.8853776932390289,down
NEBL,3,4,-0.8544179405340797,down
PDZD2,3,4,-0.8800999520256768,down
PFKFB2,3,4,-0.8639565753580767,down
SASH1,3,4,-0.870765269854342,down
SPRY4,3,4,-0.8619244922861812,down
VGLL3,3,4,-0.880541624038283,down
VSIG10,3,4,-0.8650058266223158,down
WWC2,3,4,-0.890143020943976,down
C5orf15,4,4,0.3233476165882348,up
GALNT7,4,4,0.378318513771009,up
GAS6,4,4,0.4365858411764716,up
NBPF1,4,4,0.3037782994117647,up
PIBF1,4,4,0.25298179285714295,up
SPDEF,4,4,0.46344328991596717,up
TRADD,4,4,0.38511269557352923,up
ZNF550,4,4,0.280804042016807,up
ZRANB2,4,4,0.41933266031512506,up
CHRAC1,5,4,-0.29143825547058855,down
FCHSD2,5,4,-0.25784588860294155,down
PCYOX1,5,4,-0.4492226508403358,down
RDX,5,4,-0.3542551773109238,down
TIPARP,5,4,-0.5520633257815115,down
ADAM28,6,4,0.9220412579831938,up
DLEC1,6,4,0.9196440192275919,up
GSTA3,6,4,0.9327236495798322,up
PLCH2,6,4,0.9153287239495803,up
PNOC,6,4,0.9378472907563026,up
SMO,6,4,0.9359678512605043,up
TP53INP1,6,4,0.914167760084033,up
ADAMTS16,7,4,0.6591277004201685,up
CSRNP3,7,4,0.6494233436974794,up
DYNLL1,7,4,0.6445343769047644,up
FUT8,7,4,0.6572501306722688,up
LRIG3,7,4,0.6454231529411774,up
ZDHHC13,7,4,0.6556789331932777,up
ARMH4,8,4,0.6361455752100833,up
ATP1B2,8,4,0.6360289436974791,up
CERCAM,8,4,0.6406097787934186,up
IFTAP,8,4,0.6374373569838938,up
TBC1D32,8,4,0.6296846031694678,up
CDK14,9,4,0.36385922384804115,up
ESRRG,9,4,0.37804281218487407,up
ICA1L,9,4,0.3584291987394952,up
INPP4B,9,4,0.3714455781512595,up
RAB9B,9,4,0.3656761126050425,up
CD4,10,4,0.788038388067227,up
NDNF,10,4,0.7906427006442573,up
