gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
ADRB2,0,-0.5769126356457902,0.17762835310850483,0.001162750577926355,-0.37729762168120623,0.04175315353147614,1.6193674839221873e-19,68.24715330599625,0.06308970760203698,6.298647863839191,3,down
BLVRB,0,-0.6147859344648733,0.09748800456417948,2.858353772950982e-10,-0.5473778726372791,0.03649145062491972,7.323424919032429e-51,62.36498289256084,0.01714266378224992,5.314199789760872,3,down
BMAL1,0,-0.649170719459195,0.07409401435758921,1.9276118673887755e-18,-0.649170719459195,0.07409401435758921,1.9276118673887755e-18,0.0,0.0,0.02011820141659327,3,down
CARMIL1,0,-0.5364221291920795,0.20237300509499812,0.008033454973821881,-0.3057601430991735,0.03449290275081215,7.68920174703768e-19,95.36957735627784,0.10154962409227435,43.1926014941976,3,down
GAB2,0,-0.5911302611838337,0.07140768958785626,1.2500513449128374e-16,-0.6036454407214149,0.04248003513770682,7.931501408059126e-46,51.81685937712338,0.007728828122460401,4.150829468867022,3,down
HAL,0,-0.6296002386739697,0.20242899680593665,0.0018694328017072395,-0.6320420498265477,0.0456820778055785,1.5528773183179621e-43,92.77819074366369,0.11001210640739947,27.69389122601418,3,down
HSPA2,0,-0.5325555308109696,0.055764949024538366,1.2969028110366536e-21,-0.5325555308109696,0.055764949024538366,1.2969028110366536e-21,0.0,0.0,1.2526647777316344,3,down
IL15RA,0,-0.5542571670845851,0.06257801726532204,8.215334041824616e-19,-0.5269811797467648,0.03977469167954397,4.5629300758631415e-40,21.87835338091519,0.0036408264817421967,2.560109888302595,3,down
MKNK2,0,-0.5832790680434773,0.13837314579646848,2.4948834029460687e-05,-0.5288113040784114,0.04347382275346266,4.8391037061552e-34,83.2688799013141,0.04581799973486563,11.95377230097753,3,down
PRKCZ,0,-0.5679519744080235,0.12444507750090555,5.021760818829784e-06,-0.5224056158933552,0.04952610464222089,5.184234567668183e-26,68.02219326116538,0.03117924584884874,6.254337629638472,3,down
PRR16,0,-0.604791471971924,0.1533498183127308,8.017773472108015e-05,-0.4478729079702807,0.04077807601955723,4.604302931472022e-28,81.27832164364821,0.05550588648432075,10.682802908647615,3,down
