gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
ABCA13,0.6988075309572467,1.0,1.0,1.0,0.0
ABCA3,0.3165737794891481,1.0,1.0,1.0,0.0
ACADL,0.2991726096460731,1.0,1.0,1.0,0.0
ACVRL1,0.31816615323250597,1.0,0.0,1.0,0.0
ADAM17,0.43861221706720827,0.7819616326433279,0.0,1.0,0.0
ADAMTS14,0.5523776578748474,1.0,0.0,1.0,0.0
AFF3,0.26873241893457706,1.0,1.0,1.0,0.0
AGER,0.33128437622036533,1.0,1.0,1.0,0.0
AKAP13,0.4328288838291783,1.0,0.0,1.0,0.0
ANXA3,0.3069438545911345,1.0,0.0,1.0,0.0
AOC3,0.3794301474149399,1.0,1.0,1.0,0.0
ASPN,0.893463259590976,1.0,1.0,1.0,0.0
ATP11A,0.44172220807220025,0.39710905694972504,0.0,1.0,0.0
BCHE,0.6740466688062733,1.0,1.0,1.0,0.0
BMP4,0.6132911983253213,1.0,1.0,1.0,0.0
BMP7,0.5173348434867675,0.8607329587054701,0.0,0.0,0.0
BMPR2,0.42075079602206344,0.4272862544485985,0.0,1.0,0.0
C12orf75,0.7100805905007194,1.0,1.0,1.0,0.0
CA2,0.32723077853042015,0.8925304757267668,0.0,1.0,0.0
CA4,0.1954353283456037,1.0,1.0,1.0,0.0
CACNA2D2,0.3352848896016098,1.0,1.0,1.0,0.0
CCL18,0.6522911191008904,0.9819818019326951,1.0,1.0,0.0
CCL2,0.7068256673171136,0.11677670624511012,0.0,0.33333333333333326,0.0
CCL21,0.6247607237224994,0.872250099475761,0.0,1.0,0.0
CDH13,0.33667703998656,1.0,1.0,1.0,0.0
CDH2,0.6862175171712872,1.0,0.0,1.0,0.0
CDH3,0.7759443663974158,1.0,1.0,1.0,0.0
CDH5,0.38187863949153633,1.0,0.0,1.0,0.0
CFH,0.6683799860096757,1.0,1.0,1.0,0.0
CHI3L2,0.2827722004664563,1.0,1.0,1.0,0.0
CLCA2,0.6731850258612343,1.0,1.0,1.0,0.0
CLDN1,0.7432778265963029,1.0,1.0,1.0,0.0
CLEC4E,0.20359540117172675,1.0,1.0,1.0,0.0
COL14A1,0.8306731264635175,1.0,1.0,1.0,0.0
COL15A1,0.7757834225365882,1.0,1.0,1.0,0.0
COL17A1,0.7313059276798638,1.0,1.0,1.0,0.0
COL1A1,0.7569228159115403,1.0,1.0,1.0,0.0
COL1A2,0.6439661531076932,1.0,1.0,1.0,0.0
COL3A1,0.708824682245999,1.0,1.0,1.0,0.0
COL5A1,0.607002682334038,1.0,0.0,1.0,0.0
COL5A2,0.6275103352569854,1.0,1.0,1.0,0.0
COL6A3,0.6500259797310826,1.0,1.0,1.0,0.0
COMP,0.7925942714952076,1.0,1.0,1.0,0.0
CPA3,0.6779728086572878,1.0,0.0,1.0,0.0
CRTAC1,0.29784904217882757,1.0,1.0,1.0,0.0
CSF3R,0.30823579549760544,1.0,1.0,1.0,0.0
CTSK,0.7102706506061637,1.0,1.0,1.0,0.0
CXCL1,0.669520778569335,0.1493474807481794,0.0,0.33333333333333326,0.0
CXCL12,0.7139172549782484,1.0,1.0,1.0,0.0
CXCL13,0.7162348747382035,1.0,0.0,1.0,0.0
CXCL14,0.9050344193629997,1.0,1.0,1.0,0.0
CXCL8,0.4130934102864758,0.10658372485199122,0.0,0.33333333333333326,0.0
CXCR2,0.2568982801759237,1.0,0.0,1.0,0.0
DCLK1,0.675899663708898,1.0,1.0,1.0,0.0
DIO2,0.7694018366133529,1.0,1.0,1.0,0.0
DNAH7,0.66217205472793,1.0,0.0,1.0,0.0
DNAH9,0.6543051492162143,1.0,0.0,1.0,0.0
DNAI3,0.6493133037526158,1.0,0.0,1.0,0.0
DNAI7,0.6575109062414365,1.0,1.0,1.0,0.0
DPP9,0.4656483402574381,0.48221050065705784,0.0,0.33333333333333326,0.0
DSP,0.5724247359602624,0.827404200955544,0.0,1.0,0.0
DZIP3,0.693583031144351,1.0,0.0,1.0,0.0
EDNRA,0.5672669498829478,0.7601212747059579,0.0,1.0,0.0
EDNRB,0.29539396175497656,1.0,1.0,1.0,0.0
EGFR,0.441778199483458,0.5020984429867342,0.0,1.0,0.0
ENG,0.4829420741882678,0.7943584627484646,1.0,0.33333333333333326,0.0
EPHA3,0.733663160743973,1.0,1.0,1.0,0.0
EZH1,0.4419534865487599,0.13684715278816656,0.0,1.0,0.0
FAM107A,0.22253616408045065,1.0,1.0,1.0,0.0
FAM13A,0.48803953134680467,0.3801419971909225,0.0,0.33333333333333326,0.0
FAM81B,0.7413896142992666,1.0,1.0,1.0,0.0
FANK1,0.6876692512596119,1.0,1.0,1.0,0.0
FAP,0.7319567251399901,1.0,0.0,1.0,0.0
FCN3,0.15145217566816388,1.0,0.0,1.0,0.0
FGF1,0.5626119695844783,0.6224569668641637,1.0,1.0,0.0
FGF7,0.5831043410297897,0.41998787426663403,0.0,0.33333333333333326,0.0
FKBP5,0.19885342589366184,1.0,1.0,1.0,0.0
FMO5,0.2114930358906114,1.0,1.0,1.0,0.0
FN1,0.5680846110558548,1.0,0.0,1.0,0.0
FNDC1,0.7855113236422169,1.0,1.0,1.0,0.0
FPR1,0.2863223379653124,1.0,1.0,1.0,0.0
GEM,0.7273885162654075,1.0,0.0,1.0,0.0
GPNMB,0.6048401250051318,0.23666205416042752,1.0,1.0,0.0
GPR4,0.3093538053409683,1.0,1.0,1.0,0.0
GPR87,0.7501235241222142,1.0,1.0,1.0,0.0
GPX3,0.2564114457998839,1.0,1.0,1.0,0.0
GREM1,0.6592419222555832,1.0,0.0,1.0,0.0
GREM2,0.6437105535318447,0.7185919800792242,0.0,0.33333333333333326,0.0
GSTA1,0.7543645534349147,1.0,1.0,1.0,0.0
HECTD2,0.5383122549146129,1.0,0.0,1.0,0.0
HGF,0.5872574743278005,0.6865688449825127,0.0,1.0,0.0
HHIP,0.2755040358602768,1.0,1.0,1.0,0.0
HHLA2,0.6409572103756759,1.0,1.0,1.0,0.0
HIF3A,0.2016793977478244,1.0,1.0,1.0,0.0
HMCN1,0.6602052413962657,1.0,1.0,1.0,0.0
HRAS,0.5100851180691794,0.0,0.0,0.0,0.0
HS6ST2,0.720416779169647,1.0,0.0,1.0,0.0
HSD17B6,0.29838200541941634,1.0,1.0,1.0,0.0
HSPA4L,0.6512024854498728,1.0,1.0,1.0,0.0
ID1,0.3292729887020021,1.0,1.0,1.0,0.0
IFNG,0.5427427960612795,0.25092831476254884,0.0,0.33333333333333326,0.0
IGF1,0.6689350446199186,0.6824946627820742,0.0,1.0,0.0
IGFL2,0.6106546360520528,0.5856559216052334,1.0,1.0,0.0
IL10,0.4061249484674539,0.507671052179783,0.0,0.33333333333333326,0.0
IL13RA2,0.8328455706744111,1.0,1.0,1.0,0.0
IL18R1,0.2274995974102684,1.0,1.0,1.0,0.0
IL18RAP,0.19428338124102923,1.0,1.0,1.0,0.0
IL1R2,0.0,1.0,1.0,1.0,0.0
IL1RL1,0.1402037966910999,1.0,1.0,1.0,0.0
IL1RN,0.6296084396169792,0.5310796553670134,0.0,1.0,0.0
