gene,cluster_id
ABCA13,2
ABCA3,0
ACADL,6
ACVRL1,13
ADAM17,22
ADAMTS14,14
AFF3,6
AGER,15
AKAP13,23
ANXA3,13
AOC3,16
ASPN,17
ATP11A,26
BCHE,8
BMP4,4
BMP7,9
BMPR2,26
C12orf75,2
CA2,22
CA4,11
CACNA2D2,15
CCL18,5
CCL2,19
CCL21,14
CDH13,15
CDH2,20
CDH3,25
CDH5,23
CFH,8
CHI3L2,6
CLCA2,8
CLDN1,29
CLEC4E,11
COL14A1,17
COL15A1,25
COL17A1,1
COL1A1,28
COL1A2,5
COL3A1,2
COL5A1,14
COL5A2,4
COL6A3,5
COMP,25
CPA3,20
CRTAC1,6
CSF3R,0
CTSK,2
CXCL1,19
CXCL12,2
CXCL13,21
CXCL14,17
CXCL8,19
CXCR2,13
DCLK1,8
DIO2,25
DNAH7,10
DNAH9,10
DNAI3,10
DNAI7,5
DPP9,18
DSP,24
DZIP3,20
EDNRA,24
EDNRB,6
EGFR,26
ENG,16
EPHA3,1
EZH1,27
FAM107A,6
FAM13A,18
FAM81B,29
FANK1,3
FAP,21
FCN3,7
FGF1,4
FGF7,18
FKBP5,11
FMO5,11
FN1,14
FNDC1,25
FPR1,6
GEM,21
GPNMB,4
GPR4,0
GPR87,28
GPX3,6
GREM1,10
GREM2,9
GSTA1,28
HECTD2,14
HGF,24
HHIP,6
HHLA2,5
HIF3A,12
HMCN1,5
HRAS,19
HS6ST2,21
HSD17B6,6
HSPA4L,5
ID1,15
IFNG,19
IGF1,24
IGFL2,4
IL10,18
IL13RA2,17
IL18R1,6
IL18RAP,11
IL1R2,12
IL1RL1,12
IL1RN,26
IL33,5
IL6,19
INMT,27
ITGA11,9
ITGA3,19
ITGA5,22
ITGAV,4
ITGB8,5
IVD,19
JAG2,27
KDR,16
KRT14,4
KRT15,25
KRT17,25
KRT19,27
KRT5,17
LAMA3,13
LAMC2,27
LEF1,14
LIN7A,16
LOXL2,24
LPL,13
LRRC17,29
LRRC32,15
LRRC46,21
LRRN1,1
LTBP1,5
LUM,10
MAFK,23
MARCKS,19
MGAM,11
MME,13
MMP1,17
MMP10,2
MMP13,8
MMP2,24
MMP3,14
MMP7,17
MMP8,27
MNS1,3
MS4A2,2
MSMB,17
MUC5B,1
MXRA5,1
NEK11,4
NELL2,3
NLRP3,19
NOTCH1,23
NPR1,0
OGN,3
P2RY1,13
PAPSS2,0
PDGFRA,0
PEBP4,6
PECAM1,23
PGC,6
PLA2G1B,11
PLA2G4F,13
PLLP,0
PLOD2,18
POSTN,21
PPP1R14A,23
PROK2,7
PRSS12,3
PSD3,8
PTPRB,6
RRM2,26
S100A12,12
S100A8,6
S100A9,0
SACK1D,20
SCN7A,0
SERPINB3,21
SERPIND1,25
SERPINE1,18
SERPINI2,4
SFRP2,17
SFRP4,29
SFTPA2,22
SFTPC,26
SFTPD,23
SLAMF7,25
SLC27A2,20
SLC39A8,6
SLC6A4,7
SLCO2A1,0
SLCO4A1,12
SLITRK6,2
SLN,3
SMAD6,9
SMAD7,9
SOX2,1
SPAG17,21
SPARC,19
SPATA17,10
SPATA18,28
SPP1,21
STOML3,10
STX11,15
SULF1,25
SYNPO2,20
SYTL2,4
TAGLN,27
TAMALIN,15
TDO2,21
TEKT1,10
TGFB2,4
THBS1,9
THBS2,21
THY1,25
TIMP2,19
TIMP3,15
TLR2,13
TLR3,19
TMEM100,7
TMEM45A,2
TMPRSS4,29
TNNC1,22
TP63,25
TRIM2,5
TSPAN1,21
VCAM1,28
VEGFA,16
VIPR1,7
VSIG1,2
WDR49,5
WNT5A,14
ZBTB16,6
ZBTB7C,14
ZG16B,27
ZKSCAN1,9
