gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
ABCA3,0,True,True,True,True,4,True,-1.2255807044183005,-1.2255807044183005,down
ABCA13,2,True,True,True,True,4,True,1.4013054992642395,1.4013054992642395,up
ACADL,6,True,True,True,True,4,True,-1.345169549760037,-1.345169549760037,down
ACVRL1,13,True,True,True,True,4,True,-1.0791288974477131,-1.2146371794117647,down
ADAM17,22,True,True,True,True,4,True,-0.26583007116900054,-0.3868764121848744,down
ADAMTS14,14,True,True,True,True,4,True,0.28005969325536867,0.39497203988305296,up
AFF3,6,True,True,True,True,4,True,-1.5543685456895429,-1.5543685456895429,down
AGER,15,True,True,True,True,4,True,-1.124482715418768,-1.124482715418768,down
AKAP13,23,True,True,True,True,4,True,-0.37348837526610534,-0.42662213907562885,down
ANXA3,13,True,True,True,True,4,True,-1.115486341664331,-1.291761978991596,down
AOC3,16,True,True,True,True,4,True,-0.7936028241718018,-0.7936028241718018,down
ASPN,17,True,True,True,True,4,True,2.7390692264383745,2.7390692264383745,up
BCHE,8,True,True,True,True,4,True,1.231137462229692,1.231137462229692,up
BMP4,4,True,True,True,True,4,True,0.8135979158352006,0.8135979158352006,up
C12orf75,2,True,True,True,True,4,True,1.478779151118114,1.478779151118114,up
CA2,22,True,True,True,True,4,True,-0.955354476896825,-1.152340903781511,down
CA4,11,True,True,True,True,4,True,-2.0580998757950506,-2.0580998757950506,down
CACNA2D2,15,True,True,True,True,4,True,-1.0969893468492067,-1.0969893468492067,down
CCL21,14,True,True,True,True,4,True,0.8635966715667599,0.8924217714285712,up
CDH2,20,True,True,True,True,4,True,1.0742225272264232,1.3147811319327727,up
CDH3,25,True,True,True,True,4,True,1.9314253226321192,1.9314253226321192,up
CDH5,23,True,True,True,True,4,True,-0.5636214475298785,-0.7767756600840332,down
CDH13,15,True,True,True,True,4,True,-1.0874218488832863,-1.0874218488832863,down
CFH,8,True,True,True,True,4,True,1.1921934108426706,1.1921934108426706,up
CHI3L2,6,True,True,True,True,4,True,-1.4578807073781517,-1.4578807073781517,down
CLCA2,8,True,True,True,True,4,True,1.225215855474323,1.225215855474323,up
CLDN1,29,True,True,True,True,4,True,1.706925831428104,1.706925831428104,up
CLEC4E,11,True,True,True,True,4,True,-2.0020201009304377,-2.0020201009304377,down
COL1A1,28,True,True,True,True,4,True,1.8007004759850602,1.8007004759850602,up
COL1A2,5,True,True,True,True,4,True,1.024410318473391,1.024410318473391,up
COL3A1,2,True,True,True,True,4,True,1.4701479717553696,1.4701479717553696,up
COL5A1,14,True,True,True,True,4,True,0.6729002270882353,0.7703803406323528,up
COL5A2,4,True,True,True,True,4,True,0.9113183669743226,0.9113183669743226,up
COL6A3,5,True,True,True,True,4,True,1.066056235121382,1.066056235121382,up
COL14A1,17,True,True,True,True,4,True,2.30754654220028,2.30754654220028,up
COL15A1,25,True,True,True,True,4,True,1.9303192423711482,1.9303192423711482,up
COL17A1,1,True,True,True,True,4,True,1.624649433871148,1.624649433871148,up
COMP,25,True,True,True,True,4,True,2.0458511309915965,2.0458511309915965,up
CPA3,20,True,True,True,True,4,True,1.1334929947871142,1.2581197016806716,up
CRTAC1,6,True,True,True,True,4,True,-1.3542657143608776,-1.3542657143608776,down
CSF3R,0,True,True,True,True,4,True,-1.2828831666676008,-1.2828831666676008,down
CTSK,2,True,True,True,True,4,True,1.4800853316083098,1.4800853316083098,up
CXCL1,19,True,True,True,True,4,True,0.6039517383912232,1.2000334621848743,up
CXCL8,19,True,True,True,True,4,True,-0.3117508449271705,-0.5622533934411756,down
CXCL12,2,True,True,True,True,4,True,1.5051464746353869,1.5051464746353869,up
CXCL13,21,True,True,True,True,4,True,1.7397698457212887,1.5210742239495803,up
CXCL14,17,True,True,True,True,4,True,2.8185915602170866,2.8185915602170866,up
DCLK1,8,True,True,True,True,4,True,1.2438720957530347,1.2438720957530347,up
DIO2,25,True,True,True,True,4,True,1.886462047774976,1.886462047774976,up
EDNRB,6,True,True,True,True,4,True,-1.3711381566022414,-1.3711381566022414,down
ENG,16,True,True,True,True,4,True,-0.08222123813165261,-0.08222123813165261,down
EPHA3,1,True,True,True,True,4,True,1.640849424037348,1.640849424037348,up
SACK1D,20,True,True,True,True,4,True,1.0698584700438845,1.352755512605042,up
FAM107A,6,True,True,True,True,4,True,-1.8718504636834732,-1.8718504636834732,down
FAP,21,True,True,True,True,4,True,1.3659723810126048,1.6291220134453779,up
FCN3,7,True,True,True,True,4,True,-2.117171281148926,-2.360372337394958,down
FGF1,4,True,True,True,True,4,True,0.46530693870074735,0.46530693870074735,up
FKBP5,11,True,True,True,True,4,True,-2.034609136797387,-2.034609136797387,down
FMO5,11,True,True,True,True,4,True,-1.94774392148506,-1.94774392148506,down
FN1,14,True,True,True,True,4,True,0.4322616325490191,0.5029174488235286,up
FNDC1,25,True,True,True,True,4,True,1.9971738545214759,1.9971738545214759,up
FPR1,6,True,True,True,True,4,True,-1.4334825290877669,-1.4334825290877669,down
GEM,21,True,True,True,True,4,True,1.2594021722464996,1.5977271802521014,up
GPNMB,4,True,True,True,True,4,True,0.7555182516876765,0.7555182516876765,up
GPR4,0,True,True,True,True,4,True,-1.275199688633987,-1.275199688633987,down
GPR87,28,True,True,True,True,4,True,1.7539726144929972,1.7539726144929972,up
GPX3,6,True,True,True,True,4,True,-1.6390439418814198,-1.6390439418814198,down
TAMALIN,15,True,True,True,True,4,True,-1.0904893450718958,-1.0904893450718958,down
GREM2,9,True,True,True,True,4,True,0.6765762859444449,1.0226537205882358,up
GSTA1,28,True,True,True,True,4,True,1.7831189192035481,1.7831189192035481,up
HGF,24,True,True,True,True,4,True,0.615149733755369,0.6346821865546219,up
HHIP,6,True,True,True,True,4,True,-1.5078308785933698,-1.5078308785933698,down
HHLA2,5,True,True,True,True,4,True,1.003731479621382,1.003731479621382,up
HIF3A,12,True,True,True,True,4,True,-2.0151877580018662,-2.0151877580018662,down
HMCN1,5,True,True,True,True,4,True,1.1360128047054154,1.1360128047054154,up
HS6ST2,21,True,True,True,True,4,True,1.0411794635154061,1.5498141952731093,up
HSD17B6,6,True,True,True,True,4,True,-1.3506029457581696,-1.3506029457581696,down
HSPA4L,5,True,True,True,True,4,True,1.0741417237245565,1.0741417237245565,up
ID1,15,True,True,True,True,4,True,-1.138305895873015,-1.138305895873015,down
IFNG,19,True,True,True,True,4,True,0.023010503157329814,0.3287568365546221,up
IGFL2,4,True,True,True,True,4,True,0.7954782468258643,0.7954782468258643,up
IGF1,24,True,True,True,True,4,True,1.2030187297983201,1.1960080289915973,up
IL1R2,12,True,True,True,True,4,True,-3.4012213708786185,-3.4012213708786185,down
IL1RL1,12,True,True,True,True,4,True,-2.4376763730410835,-2.4376763730410835,down
IL6,19,True,True,True,True,4,True,-0.9634137056386548,-2.0329793084579824,down
IL13RA2,17,True,True,True,True,4,True,2.322476578346872,2.322476578346872,up
IL18R1,6,True,True,True,True,4,True,-1.8377394661932775,-1.8377394661932775,down
IL18RAP,11,True,True,True,True,4,True,-2.066016586302054,-2.066016586302054,down
IL33,5,True,True,True,True,4,True,1.0158303987810466,1.0158303987810466,up
ITGA5,22,True,True,True,True,4,True,-0.33988986297572393,-0.4443194373949583,down
ITGA11,9,True,True,True,True,4,True,0.2818092539150327,0.4388929558823525,up
ITGAV,4,True,True,True,True,4,True,0.4601800979038277,0.4601800979038277,up
