gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
ABCA3,0,4,-1.2255807044183005,down
CSF3R,0,4,-1.2828831666676008,down
GPR4,0,4,-1.275199688633987,down
NPR1,0,4,-1.2251826158333328,down
PAPSS2,0,4,-1.2339764311951449,down
PDGFRA,0,4,-1.2027503305256766,down
PLLP,0,4,-1.2120597920639593,down
SCN7A,0,4,-1.2496016709295046,down
SLCO2A1,0,4,-1.2719772585326792,down
COL17A1,1,4,1.624649433871148,up
EPHA3,1,4,1.640849424037348,up
LRRN1,1,4,1.6054233586162463,up
MUC5B,1,4,1.5798866565242757,up
MXRA5,1,4,1.5740131173720828,up
SOX2,1,4,1.6472572486083097,up
ABCA13,2,4,1.4013054992642395,up
C12orf75,2,4,1.478779151118114,up
COL3A1,2,4,1.4701479717553696,up
CTSK,2,4,1.4800853316083098,up
CXCL12,2,4,1.5051464746353869,up
MMP10,2,4,1.521083770530346,up
MS4A2,2,4,1.4621332885845006,up
TMEM45A,2,4,1.4769905351937436,up
VSIG1,2,4,1.5251974121400558,up
NELL2,3,4,1.328880441698413,up
OGN,3,4,1.286565568190475,up
PRSS12,3,4,1.3806909987913165,up
SLN,3,4,1.3051328369654531,up
BMP4,4,4,0.8135979158352006,up
COL5A2,4,4,0.9113183669743226,up
FGF1,4,4,0.46530693870074735,up
GPNMB,4,4,0.7555182516876765,up
IGFL2,4,4,0.7954782468258643,up
ITGAV,4,4,0.4601800979038277,up
KRT14,4,4,0.7392473825037357,up
NEK11,4,4,0.7793529775270769,up
SERPINI2,4,4,0.9239662783366013,up
SYTL2,4,4,0.7896117030424832,up
TGFB2,4,4,0.9079257347469659,up
COL1A2,5,4,1.024410318473391,up
COL6A3,5,4,1.066056235121382,up
HHLA2,5,4,1.003731479621382,up
HMCN1,5,4,1.1360128047054154,up
HSPA4L,5,4,1.0741417237245565,up
IL33,5,4,1.0158303987810466,up
ITGB8,5,4,1.1408277848295987,up
LTBP1,5,4,1.0887981835424836,up
TRIM2,5,4,1.0658298035499534,up
WDR49,5,4,1.0871581909197008,up
ACADL,6,4,-1.345169549760037,down
AFF3,6,4,-1.5543685456895429,down
CHI3L2,6,4,-1.4578807073781517,down
CRTAC1,6,4,-1.3542657143608776,down
EDNRB,6,4,-1.3711381566022414,down
FAM107A,6,4,-1.8718504636834732,down
FPR1,6,4,-1.4334825290877669,down
GPX3,6,4,-1.6390439418814198,down
