gene,n_runs_in_phase6,median_random_effect,std_random_effect,iqr_random_effect,median_random_p,direction,direction_concordance
AADAC,50,0.457398,0.000000,0.000000,8.244399e-02,up,1.0000
AAMDC,50,-0.235966,0.000000,0.000000,1.346711e-01,down,1.0000
AASS,0,0,0,0,1.0,none,0.0
AATK,50,-0.603903,0.000000,0.000000,2.821707e-03,down,1.0000
ABCA12,50,0.486632,0.000000,0.000000,2.163032e-36,up,1.0000
ABCA13,50,1.317724,0.000000,0.000000,1.260312e-23,up,1.0000
ABCA3,49,-1.282040,0.000000,0.000000,1.413282e-07,down,1.0000
ABCB6,0,0,0,0,1.0,none,0.0
ABCC3,50,0.862916,0.000000,0.000000,1.200212e-03,up,1.0000
ABCC4,0,0,0,0,1.0,none,0.0
ABCC5,50,0.680728,0.000000,0.000000,8.159853e-44,up,1.0000
ABCC8,45,-1.149861,0.000000,0.000000,1.408880e-02,down,1.0000
ABHD10,50,0.309702,0.000000,0.000000,2.981480e-02,up,1.0000
ABTB3,50,0.478206,0.000000,0.000000,1.066725e-14,up,1.0000
ACADL,50,-1.316765,0.000000,0.000000,1.192425e-29,down,1.0000
ACAN,50,0.492355,0.000000,0.000000,1.810368e-02,up,1.0000
ACAT1,0,0,0,0,1.0,none,0.0
ACER2,50,0.633588,0.000000,0.000000,5.635625e-03,up,1.0000
ACKR5,50,-0.172383,0.000000,0.000000,1.004990e-01,down,1.0000
ACOX2,0,0,0,0,1.0,none,0.0
ACP3,50,-0.569991,0.000000,0.000000,2.558135e-04,down,1.0000
ACSL1,0,0,0,0,1.0,none,0.0
ACSS2,50,-0.695193,0.000000,0.000000,2.395578e-06,down,1.0000
ACTC1,50,0.281318,0.000000,0.000000,5.563677e-03,up,1.0000
ACTN1,0,0,0,0,1.0,none,0.0
ACTN4,0,0,0,0,1.0,none,0.0
ACVR2A,50,0.111931,0.000000,0.000000,1.957900e-01,up,1.0000
ACVRL1,50,-1.115807,0.000000,0.000000,5.858385e-45,down,1.0000
ADA2,50,0.483180,0.000000,0.000000,8.050504e-04,up,1.0000
ADAM17,0,0,0,0,1.0,none,0.0
ADAM23,50,0.329167,0.000000,0.000000,1.110194e-02,up,1.0000
ADAM28,50,0.895624,0.000000,0.000000,3.010672e-27,up,1.0000
ADAMTS1,0,0,0,0,1.0,none,0.0
ADAMTS14,45,0.274258,0.000000,0.000000,3.152803e-02,up,1.0000
ADAMTS16,45,0.466585,0.000000,0.000000,7.716119e-03,up,1.0000
ADAMTS18,49,0.380672,0.000000,0.000000,6.987835e-02,up,1.0000
ADAMTS2,50,-0.657605,0.000000,0.000000,8.638325e-06,down,1.0000
ADAMTS5,50,0.395364,0.000000,0.000000,3.189959e-03,up,1.0000
ADAMTSL3,50,-0.584388,0.000000,0.000000,8.863005e-03,down,1.0000
ADAMTSL4,0,0,0,0,1.0,none,0.0
ADARB1,50,-0.674004,0.000000,0.000000,1.713271e-04,down,1.0000
ADCY4,47,-0.356063,0.000000,0.000000,7.181783e-04,down,1.0000
ADCY9,50,-0.274980,0.000000,0.000000,1.193711e-02,down,1.0000
ADCYAP1,50,0.585186,0.000000,0.000000,1.181018e-01,up,1.0000
ADGRA2,0,0,0,0,1.0,none,0.0
ADGRA3,50,0.328745,0.000000,0.000000,1.326244e-01,up,1.0000
ADGRD1,50,-0.858092,0.000000,0.000000,1.625435e-06,down,1.0000
ADGRF1,50,0.952391,0.000000,0.000000,6.154145e-03,up,1.0000
ADGRF5,0,0,0,0,1.0,none,0.0
ADGRG3,50,-0.951743,0.000000,0.000000,2.732285e-02,down,1.0000
ADGRL2,50,-0.949873,0.000000,0.000000,2.077092e-04,down,1.0000
ADH1A,49,-0.253695,0.000000,0.000000,5.563850e-03,down,1.0000
ADH1B,0,0,0,0,1.0,none,0.0
ADH7,49,0.734040,0.000000,0.000000,1.723523e-03,up,1.0000
ADHFE1,50,-0.657346,0.000000,0.000000,2.641941e-04,down,1.0000
ADI1,50,-0.355433,0.000000,0.000000,1.426261e-13,down,1.0000
ADIPOR2,50,-0.734766,0.000000,0.000000,2.077732e-04,down,1.0000
ADM,50,-1.326044,0.000000,0.000000,7.504181e-03,down,1.0000
ADPRH,50,-0.298807,0.000000,0.000000,1.090461e-04,down,1.0000
ADRA1B,50,-0.866433,0.000000,0.000000,5.864751e-03,down,1.0000
ADRA2A,0,0,0,0,1.0,none,0.0
ADRB1,50,-0.699116,0.000000,0.000000,1.610000e-03,down,1.0000
ADRB2,50,-0.576913,0.000000,0.000000,1.162751e-03,down,1.0000
AEBP1,0,0,0,0,1.0,none,0.0
AFAP1,50,0.389968,0.000000,0.000000,5.570984e-07,up,1.0000
AFAP1L1,50,-0.568338,0.000000,0.000000,2.551859e-03,down,1.0000
AFAP1L2,48,0.333443,0.000000,0.000000,2.260224e-05,up,1.0000
AFF2,50,-0.768329,0.000000,0.000000,3.146755e-42,down,1.0000
AFF3,50,-1.461994,0.000000,0.000000,1.517304e-05,down,1.0000
AFMID,50,-0.315200,0.000000,0.000000,4.083074e-05,down,1.0000
AGER,50,-1.149702,0.000000,0.000000,7.164845e-05,down,1.0000
AGFG1,0,0,0,0,1.0,none,0.0
AGPAT2,46,-0.308543,0.000000,0.000000,2.156173e-02,down,1.0000
AGPAT4,50,0.265193,0.000000,0.000000,9.924761e-04,up,1.0000
AGTPBP1,0,0,0,0,1.0,none,0.0
AGTR1,50,-0.998337,0.000000,0.000000,2.627453e-04,down,1.0000
AGTRAP,50,-0.363137,0.000000,0.000000,4.948366e-16,down,1.0000
AHNAK2,50,0.592551,0.000000,0.000000,1.930592e-02,up,1.0000
AIG1,50,0.614463,0.000000,0.000000,4.228368e-16,up,1.0000
AIM2,50,0.392871,0.000000,0.000000,2.110554e-01,up,1.0000
AKAP13,0,0,0,0,1.0,none,0.0
AKR1C3,0,0,0,0,1.0,none,0.0
ALDH18A1,50,0.605850,0.000000,0.000000,3.623242e-09,up,1.0000
ALDH1A3,50,1.669655,0.000000,0.000000,1.725741e-02,up,1.0000
ALDH1B1,50,0.484773,0.000000,0.000000,4.534030e-04,up,1.0000
ALDH1L1,0,0,0,0,1.0,none,0.0
ALDH3A1,50,0.826211,0.000000,0.000000,2.468150e-12,up,1.0000
ALDH5A1,50,0.259352,0.000000,0.000000,4.965452e-02,up,1.0000
ALDH6A1,0,0,0,0,1.0,none,0.0
ALG13,50,0.014109,0.000000,0.000000,9.513339e-01,up,1.0000
ALKAL1,49,0.491618,0.000000,0.000000,2.064741e-03,up,1.0000
ALKAL2,50,-1.154720,0.000000,0.000000,7.969086e-11,down,1.0000
ALOX15,50,0.798153,0.000000,0.000000,7.740872e-02,up,1.0000
ALOX15B,50,-1.237675,0.000000,0.000000,4.484564e-07,down,1.0000
ALOX5AP,50,-0.520633,0.000000,0.000000,2.815862e-11,down,1.0000
ALPP,50,-0.785628,0.000000,0.000000,3.789257e-03,down,1.0000
ALS2CL,50,-0.199738,0.000000,0.000000,2.450026e-01,down,1.0000
AMD1,0,0,0,0,1.0,none,0.0
AMOTL2,50,-0.397539,0.000000,0.000000,7.042922e-13,down,1.0000
AMPD1,50,1.294029,0.000000,0.000000,5.659256e-16,up,1.0000
AMPD2,0,0,0,0,1.0,none,0.0
AMPD3,50,0.481521,0.000000,0.000000,2.535868e-02,up,1.0000
AMZ2,0,0,0,0,1.0,none,0.0
ANG,50,-0.605789,0.000000,0.000000,1.385653e-11,down,1.0000
ANGPTL2,0,0,0,0,1.0,none,0.0
ANK2,50,0.768704,0.000000,0.000000,5.990291e-03,up,1.0000
ANKH,50,0.451826,0.000000,0.000000,9.126602e-40,up,1.0000
ANKMY2,50,0.480610,0.000000,0.000000,2.841869e-12,up,1.0000
