gene,modal_cluster,modal_count,total_runs,modal_fraction,n_distinct_clusters
AADAC,8,3,50,0.060,42
AAMDC,10,3,50,0.060,43
AASS,176,2,50,0.040,47
AATK,43,3,50,0.060,43
ABCA12,26,2,50,0.040,47
ABCA13,33,2,50,0.040,40
ABCA3,139,3,50,0.060,45
ABCB6,141,2,50,0.040,47
ABCC3,183,2,50,0.040,48
ABCC4,142,2,50,0.040,48
ABCC5,4,3,50,0.060,45
ABCC8,425,3,50,0.060,41
ABHD10,101,2,50,0.040,45
ABTB3,164,2,50,0.040,46
ACADL,134,2,50,0.040,47
ACAN,423,2,50,0.040,47
ACAT1,162,2,50,0.040,49
ACER2,436,2,50,0.040,48
ACKR5,86,2,50,0.040,48
ACOX2,184,2,50,0.040,48
ACP3,6,2,50,0.040,49
ACSL1,140,2,50,0.040,48
ACSS2,43,3,50,0.060,43
ACTC1,68,2,50,0.040,47
ACTN1,283,2,50,0.040,45
ACTN4,173,2,50,0.040,45
ACVR2A,54,2,50,0.040,47
ACVRL1,250,3,50,0.060,44
ADA2,283,2,50,0.040,45
ADAM17,353,2,50,0.040,49
ADAM23,2,2,50,0.040,48
ADAM28,0,4,50,0.080,44
ADAMTS1,251,3,50,0.060,47
ADAMTS14,311,2,50,0.040,42
ADAMTS16,154,2,50,0.040,43
ADAMTS18,231,2,50,0.040,45
ADAMTS2,0,2,50,0.040,47
ADAMTS5,272,2,50,0.040,48
ADAMTSL3,233,2,50,0.040,48
ADAMTSL4,123,2,50,0.040,49
ADARB1,248,2,50,0.040,49
ADCY4,269,2,50,0.040,45
ADCY9,239,2,50,0.040,47
ADCYAP1,423,2,50,0.040,47
ADGRA2,320,2,50,0.040,49
ADGRA3,210,2,50,0.040,47
ADGRD1,46,2,50,0.040,46
ADGRF1,233,2,50,0.040,46
ADGRF5,7,3,50,0.060,46
ADGRG3,205,2,50,0.040,46
ADGRL2,84,2,50,0.040,49
ADH1A,294,2,50,0.040,48
ADH1B,196,2,50,0.040,49
ADH7,367,2,50,0.040,47
ADHFE1,212,2,50,0.040,47
ADI1,58,2,50,0.040,47
ADIPOR2,369,2,50,0.040,46
ADM,253,2,50,0.040,47
ADPRH,142,2,50,0.040,48
ADRA1B,205,2,50,0.040,46
ADRA2A,338,2,50,0.040,49
ADRB1,141,2,50,0.040,47
ADRB2,7,3,50,0.060,46
AEBP1,412,2,50,0.040,44
AFAP1,281,3,50,0.060,47
AFAP1L1,389,2,50,0.040,47
AFAP1L2,283,2,50,0.040,46
AFF2,401,2,50,0.040,47
AFF3,136,2,50,0.040,47
AFMID,246,1,50,0.020,50
AGER,140,2,50,0.040,48
AGFG1,323,2,50,0.040,46
AGPAT2,114,2,50,0.040,44
AGPAT4,423,2,50,0.040,47
AGTPBP1,407,2,50,0.040,49
AGTR1,377,2,50,0.040,48
AGTRAP,187,3,50,0.060,48
AHNAK2,64,2,50,0.040,46
AIG1,10,2,50,0.040,48
AIM2,8,3,50,0.060,42
AKAP13,372,2,50,0.040,48
AKR1C3,141,2,50,0.040,47
ALDH18A1,338,2,50,0.040,49
ALDH1A3,212,1,50,0.020,50
ALDH1B1,320,2,50,0.040,49
ALDH1L1,0,2,50,0.040,47
ALDH3A1,183,2,50,0.040,48
ALDH5A1,230,2,50,0.040,47
ALDH6A1,369,2,50,0.040,46
ALG13,90,2,50,0.040,45
ALKAL1,253,3,50,0.060,46
ALKAL2,139,3,50,0.060,46
ALOX15,154,2,50,0.040,48
ALOX15B,140,3,50,0.060,45
ALOX5AP,141,2,50,0.040,47
ALPP,58,2,50,0.040,47
ALS2CL,337,2,50,0.040,47
AMD1,276,2,50,0.040,45
AMOTL2,353,2,50,0.040,49
AMPD1,22,2,50,0.040,48
AMPD2,113,3,50,0.060,47
AMPD3,204,2,50,0.040,46
AMZ2,230,2,50,0.040,47
ANG,233,2,50,0.040,47
ANGPTL2,361,2,50,0.040,46
ANK2,414,2,50,0.040,49
ANKH,336,3,50,0.060,47
ANKMY2,177,2,50,0.040,49
ANKRD18A,220,3,50,0.060,43
ANKRD29,320,1,50,0.020,46
ANKRD36,89,2,50,0.040,49
ANKRD42,311,2,50,0.040,42
ANKRD45,373,2,50,0.040,48
ANKRD65,343,2,50,0.040,46
ANKS1A,197,2,50,0.040,47
ANO1,383,2,50,0.040,46
ANO4,241,2,50,0.040,49
ANTXR1,437,2,50,0.040,44
ANXA3,251,3,50,0.060,46
AOC1,286,2,50,0.040,47
AOC3,402,2,50,0.040,46
AOX1,58,2,50,0.040,47
AP3S1,287,2,50,0.040,49
AP5B1,142,3,50,0.060,47
AP5M1,86,2,50,0.040,45
APH1A,122,2,50,0.040,43
APLF,32,2,50,0.040,47
APOBEC3C,220,3,50,0.060,43
APOBEC3F,427,2,50,0.040,48
APOBEC3G,118,2,50,0.040,47
APOBEC3H,272,2,50,0.040,44
AQP1,55,2,50,0.040,47
AQP5,386,2,50,0.040,47
AR,343,2,50,0.040,46
ARAP1,292,2,50,0.040,45
ARAP3,357,2,50,0.040,47
ARG1,237,3,50,0.060,43
ARHGAP1,165,2,50,0.040,46
ARHGAP10,239,2,50,0.040,47
ARHGAP15,233,2,50,0.040,46
ARHGAP29,275,2,50,0.040,46
ARHGAP31,184,2,50,0.040,43
ARHGAP39,275,2,50,0.040,44
ARHGAP45,423,2,50,0.040,48
ARHGAP6,140,2,50,0.040,47
ARHGEF10,210,2,50,0.040,45
ARHGEF26,84,2,50,0.040,49
ARID3B,29,2,50,0.040,46
ARID5A,122,3,50,0.060,45
ARL1,255,2,50,0.040,46
ARL14EP,241,2,50,0.040,49
ARL4C,359,2,50,0.040,45
ARL6IP5,387,2,50,0.040,47
ARMC1,297,2,50,0.040,45
ARMCX2,341,2,50,0.040,47
ARMH1,427,2,50,0.040,48
ARMH4,154,2,50,0.040,47
ARRB1,44,3,50,0.060,43
ARRDC2,44,3,50,0.060,43
ARSJ,214,2,50,0.040,47
ASB13,77,2,50,0.040,48
ASB2,183,2,50,0.040,48
ASB5,256,3,50,0.060,46
ASCC3,229,2,50,0.040,49
ASPM,375,2,50,0.040,48
ASPN,320,2,50,0.040,46
ASRGL1,401,2,50,0.040,47
ASXL2,332,2,50,0.040,47
ATF7,9,2,50,0.040,42
ATIC,297,2,50,0.040,46
ATOH8,72,2,50,0.040,48
ATP11C,68,2,50,0.040,46
ATP13A4,233,2,50,0.040,48
ATP1A1,323,2,50,0.040,46
ATP1B1,384,2,50,0.040,46
ATP1B2,154,2,50,0.040,47
ATP2A2,123,2,50,0.040,46
ATP2B1,248,2,50,0.040,48
ATP2C2,176,2,50,0.040,46
ATP6AP1,341,2,50,0.040,46
ATP6V1E1,294,2,50,0.040,48
ATP8B4,76,2,50,0.040,46
ATP9A,111,2,50,0.040,48
ATXN1,439,2,50,0.040,46
AURKA,378,2,50,0.040,45
AVPR1A,249,2,50,0.040,48
B3GALNT1,210,2,50,0.040,46
B3GALNT2,336,3,50,0.060,47
B3GAT3,80,3,50,0.060,42
B3GNT3,108,2,50,0.040,46
B3GNT7,157,2,50,0.040,47
BAAT,85,2,50,0.040,48
BACE2,18,2,50,0.040,49
BAG6,77,2,50,0.040,48
BAIAP2,351,3,50,0.060,41
BBOX1,133,2,50,0.040,47
BBS1,68,2,50,0.040,47
BBS2,123,2,50,0.040,47
BBS5,184,2,50,0.040,48
BBS9,394,1,50,0.020,50
BCAP29,120,2,50,0.040,47
BCAS1,421,2,50,0.040,48
BCAS3,110,2,50,0.040,45
BCAT2,0,3,50,0.060,44
BCHE,5,2,50,0.040,47
BCKDHA,353,2,50,0.040,49
BCL6,6,2,50,0.040,49
BDKRB2,383,2,50,0.040,42
BEAN1,341,2,50,0.040,46
BEND5,308,2,50,0.040,47
BEST4,287,2,50,0.040,49
BFAR,423,2,50,0.040,48
BHLHE22,338,2,50,0.040,48
BHLHE41,188,2,50,0.040,46
BICC1,386,2,50,0.040,46
BIRC3,210,2,50,0.040,48
BLID,399,2,50,0.040,43
BLK,210,2,50,0.040,46
BLNK,2,2,50,0.040,48
BLVRB,7,3,50,0.060,46
BMAL1,7,3,50,0.060,46
BMAL2,108,2,50,0.040,46
BMP2K,320,2,50,0.040,49
BMP4,18,2,50,0.040,49
BMX,167,2,50,0.040,49
BNC2,368,2,50,0.040,48
BNIP3,369,2,50,0.040,46
BOC,333,2,50,0.040,45
BPHL,230,2,50,0.040,43
BRINP3,18,2,50,0.040,49
BTC,368,2,50,0.040,49
BTLA,159,2,50,0.040,44
BTN3A3,8,3,50,0.060,43
BTNL8,140,3,50,0.060,44
BTNL9,237,3,50,0.060,44
BUB1B,101,2,50,0.040,45
C11orf96,367,2,50,0.040,44
C12orf75,72,2,50,0.040,47
C16orf89,341,2,50,0.040,45
C1QTNF2,233,2,50,0.040,44
C1QTNF6,400,2,50,0.040,48
C1orf162,423,2,50,0.040,48
C1orf21,53,1,50,0.020,46
C1orf210,357,2,50,0.040,47
C1orf54,386,2,50,0.040,47
C2,378,2,50,0.040,47
C2CD3,315,2,50,0.040,48
C4B_2,343,2,50,0.040,47
C5orf15,115,2,50,0.040,45
C6orf132,198,2,50,0.040,46
C6orf141,33,3,50,0.060,45
C8orf34,18,2,50,0.040,49
CA11,272,2,50,0.040,47
CA2,141,2,50,0.040,47
CA4,315,2,50,0.040,47
CACHD1,256,3,50,0.060,46
CACNA1C,249,2,50,0.040,48
CACNA1H,227,1,50,0.020,50
CACNA2D2,140,2,50,0.040,47
CACNA2D3,389,2,50,0.040,47
CACNB1,55,2,50,0.040,47
CACNB3,12,3,50,0.060,45
CACNB4,113,2,50,0.040,47
CADM3,69,2,50,0.040,46
CALCOCO1,297,2,50,0.040,48
CALCOCO2,6,2,50,0.040,49
CALM2,203,2,50,0.040,48
CALML4,341,2,50,0.040,49
CAMK1D,342,1,50,0.020,50
CAMSAP3,316,2,50,0.040,49
