cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
0,44,ADAM28|ADAMTS2|ALDH1L1|BCAT2|CCDC125|CDKL2|CEACAM4|CLIC2|DGAT2|DLEC1|DLG2|DMD|DNM1|DSEL|FBLN5|FMN1|GPRIN2|GRB10|GSTA3|GSTA4|KLF6|MEGF9|MERTK|NEDD9|PARD6B|PHACTR1|PLCH2|PNOC|PON2|PRDX6|RNF145|RNF150|RPGR|SERPINI1|SH3BP5|SMO|STARD13|STX3|SUSD4|TENT5C|TP53INP1|TRAF5|TRERF1|VEPH1,2,4,3.1
1,1,PINK1,2,2,2.0
2,17,ADAM23|BLNK|CPNE4|ELK3|HP|IL7|JHY|KIF2A|KLF12|KNTC1|PLA2R1|POLR1H|RBKS|SLC12A8|TMEM156|TRMT6|UGT2B17,2,3,2.2
3,3,CYP27A1|MICAL1|RDH10,3,3,3.0
4,16,ABCC5|CBLN4|CCNJL|CDH26|CHAC1|EMC3|GUCD1|IL17RE|NCOR2|PARP12|PLEKHO1|RAD21|RCAN2|SNRK|SPAG16|TRMT10C,2,3,2.3
5,14,BCHE|CDKN2A|CEP126|CLCA2|CYP24A1|DCLK1|DSG3|FAM169A|FRK|KLRG1|PSD3|RAB30|SSPN|TNS4,2,2,2.0
6,21,ACP3|BCL6|CALCOCO2|CCND2|CD207|ECM2|ETS2|HSD17B4|INTU|ITM2C|LAMC1|LNX2|NELL2|NPC1|OGN|PAMR1|ROBO2|SLN|TTC8|VILL|VTCN1,2,2,2.0
7,21,ADGRF5|ADRB2|BLVRB|BMAL1|CARMIL1|CLGN|FCRL2|FOLR1|GAB2|GALNT17|GPR18|HAL|HSPA2|IL15RA|IRAG2|MKNK2|PRKCZ|PRR16|RIMKLA|SLC22A15|SSH2,1,3,2.5
8,22,AADAC|AIM2|BTN3A3|CD1E|CERS2|CWH43|EFCAB12|ENTREP1|FAM171B|KANK3|KMT2A|LIPG|LRRC70|MAP3K20|MCM8|MTARC2|NDRG3|PPP1R9B|SV2B|TALDO1|TNFRSF19|ZNF514,2,4,3.0
9,3,ATF7|KATNAL1|PHACTR4,2,2,2.0
10,12,AAMDC|AIG1|CAP2|CDK2|DCUN1D3|DDX3X|ENTPD1|GATM|GLRX5|IVD|PCNX2|PRKACB,2,3,2.5
11,6,MCEMP1|NEDD4L|ORM2|RGS2|VSNL1|ZFP36,2,2,2.0
12,13,CACNB3|CD200R1|CHIT1|COL1A1|DIO2|GPR87|GSTA1|KRT15|NRK|PLEKHS1|SLAMF7|SULF1|VCAM1,2,3,2.2
15,10,EPAS1|FIBIN|KCNMB4|MFSD2A|OTULINL|P3H2|PDGFRA|PLLP|SIGLEC10|SULT1B1,2,2,2.0
16,13,CD36|CNOT8|FGL1|KIF1C|PCDH12|PLEKHM3|PLIN5|PLXNA2|PRKD1|SECISBP2L|SLC16A12|SLC7A11|THSD1,2,3,2.2
17,5,FMO1|HHAT|NEK11|PMEPA1|ZNF711,2,2,2.0
18,14,BACE2|BMP4|BRINP3|C8orf34|CRABP2|CRYM|ENPP5|FREM1|GRN|MSC|SLC9A1|SPARC|SYTL2|WFDC2,2,2,2.0
19,3,DCAF7|EIF2D|TMBIM6,2,2,2.0
22,8,AMPD1|CFH|CNTN3|CTSE|DSC3|MMP13|MUC16|PLXDC1,2,2,2.0
26,6,ABCA12|GLB1L2|MORN3|NAB1|SLC25A12|SNX9,2,2,2.0
27,12,CCN1|CDC25B|CMTM8|DDIT3|DOK4|FAM89A|FDPS|MT1B|PXMP4|RRAS|THRA|TSPAN14,2,3,2.4
28,3,PNPLA3|VARS1|ZNF484,2,2,2.0
29,4,ARID3B|GBE1|KCNJ8|NEDD4,2,2,2.0
30,4,ESRP2|GCNT2|SEPTIN10|UBD,2,2,2.0
31,6,CD27|CYP2F1|DTHD1|NREP|P4HA3|RASGRP1,3,3,3.0
32,15,APLF|COL8A2|CPA3|EBF3|EPHX1|FAM13C|GPR135|KIF19|LY9|MMP12|PDCD4|PODNL1|SLC7A5|SLITRK3|UGCG,2,2,2.0
33,13,ABCA13|C6orf141|CCDC80|CHSY3|CPXM2|CRIP1|DERL3|KLHL13|PCDH7|PRSS12|SBNO2|ZFP3|ZNF107,2,3,2.4
37,1,CIRSR,3,3,3.0
40,4,COMMD9|CPNE2|RALA|TMEM141,2,2,2.0
43,6,AATK|ACSS2|CASKIN2|PRKCE|SERTM1|TMEM245,3,3,3.0
44,11,ARRB1|ARRDC2|CECR2|CLDN5|CNR1|GIMAP8|MAP3K6|MAP3K8|SLIT2|TNS2|UNC13B,3,3,3.0
46,11,ADGRD1|FZD4|INSIG1|LSS|MTARC1|NID1|PTPRM|REPS2|SIGLEC5|TMEM97|USP53,2,3,2.1
51,9,DLG5|FES|KRT6B|PAG1|PDPN|SPEG|STING1|TFE3|TMEM120A,1,2,1.6
52,6,CCDC60|CKMT1A|DAPP1|FLNC|PDE1A|TSPAN2,3,3,3.0
53,11,C1orf21|EFHC1|HMCN1|NBEA|NFATC2|PDGFRL|PIK3R1|PRKAA2|TM7SF2|ZMAT3|ZNF521,1,3,2.5
54,3,ACVR2A|SLC15A3|VASN,2,2,2.0
55,5,AQP1|CACNB1|DENND4B|GABARAPL1|PECAM1,2,2,2.0
56,3,HS6ST1|MARCKS|RELN,2,2,2.0
58,11,ADI1|ALPP|AOX1|DIO3|GLO1|JPH1|LGI4|SLAIN1|TSC22D3|WNT7A|ZNF438,2,2,2.0
59,3,NNMT|PNPLA6|RNPEPL1,2,2,2.0
62,3,CD6|PLAU|RHBDL2,2,2,2.0
64,6,AHNAK2|CCND1|CNN1|KCNMA1|SRD5A2|ZBED8,2,2,2.0
65,4,CD5L|CHKA|CXCL8|PRPSAP1,2,2,2.0
66,3,CXorf65|IER3|TNFRSF11B,3,3,3.0
68,5,ACTC1|ATP11C|BBS1|SYT11|TAPBP,2,2,2.0
69,6,CADM3|EGR3|GAA|NFATC1|TAGLN2|ZNF546,2,2,2.0
72,16,ATOH8|C12orf75|CCDC146|COL3A1|CTSK|GADD45B|MS4A2|NAMPT|PADI4|PFKFB3|SCG5|SMAD6|THBS1|TMEM125|TMEM45A|XYLT1,2,2,2.0
73,9,CLIC6|CXCL12|DUOXA1|KLF4|MMP10|STX11|SVEP1|TPPP3|VSIG1,2,2,2.0
74,14,EPB41L5|FOXF1|GATA2|GGTLC1|HEY1|LPL|MUCL3|PER1|PREX1|RHOBTB2|SH2D3C|SLC27A3|STARD8|SYT15,3,3,3.0
