run,success,core_gene_count,elapsed_seconds
1,True,2430,693.5
2,True,2448,662.3
3,True,2450,663.5
4,True,2428,667.3
5,True,2442,722.6
6,True,2433,659.4
7,True,2444,665.4
8,True,2434,658.3
9,True,2444,680.8
10,True,2461,669.0
11,True,2450,671.4
12,True,2454,664.8
13,True,2455,667.6
14,True,2423,669.5
15,True,2433,659.7
16,True,2471,657.3
17,True,2431,661.6
18,True,2456,661.5
19,True,2447,652.1
20,True,2428,662.2
21,True,2444,660.9
22,True,2435,654.0
23,True,2437,658.9
24,True,2435,669.0
25,True,2448,665.1
26,True,2447,663.4
27,True,2446,666.5
28,True,2451,652.6
29,True,2448,655.3
30,True,2454,659.3
31,True,2416,655.9
32,True,2438,669.5
33,True,2453,664.5
34,True,2419,665.0
35,True,2426,676.4
36,True,2446,656.0
37,True,2443,651.8
38,True,2445,669.6
39,True,2446,671.3
40,True,2453,673.4
41,True,2449,672.3
42,True,2450,666.7
43,True,2429,660.4
44,True,2455,660.8
45,True,2461,656.0
46,True,2431,664.0
47,True,2443,681.6
48,True,2443,663.7
49,True,2429,660.5
50,True,2450,658.2
