run_i,run_j,n_genes_i,n_genes_j,n_intersection,n_union,jaccard
1,2,2430,2448,2382,2496,0.9543269230769231
1,3,2430,2450,2390,2490,0.9598393574297188
1,4,2430,2428,2370,2488,0.952572347266881
1,5,2430,2442,2366,2506,0.9441340782122905
1,6,2430,2433,2363,2500,0.9452
1,7,2430,2444,2376,2498,0.9511609287429944
1,8,2430,2434,2374,2490,0.9534136546184739
1,9,2430,2444,2384,2490,0.957429718875502
1,10,2430,2461,2389,2502,0.9548361310951239
1,11,2430,2450,2372,2508,0.9457735247208932
1,12,2430,2454,2384,2500,0.9536
1,13,2430,2455,2380,2505,0.9500998003992016
1,14,2430,2423,2362,2491,0.9482135688478522
1,15,2430,2433,2360,2503,0.9428685577307231
1,16,2430,2471,2402,2499,0.9611844737895158
1,17,2430,2431,2377,2484,0.9569243156199678
1,18,2430,2456,2388,2498,0.955964771817454
1,19,2430,2447,2382,2495,0.9547094188376753
1,20,2430,2428,2358,2500,0.9432
1,21,2430,2444,2380,2494,0.9542902967121091
1,22,2430,2435,2375,2490,0.9538152610441767
1,23,2430,2437,2378,2489,0.9554037766171153
1,24,2430,2435,2367,2498,0.9475580464371497
1,25,2430,2448,2379,2499,0.9519807923169268
1,26,2430,2447,2375,2502,0.9492406075139888
1,27,2430,2446,2384,2492,0.956661316211878
1,28,2430,2451,2382,2499,0.9531812725090036
1,29,2430,2448,2384,2494,0.9558941459502807
1,30,2430,2454,2391,2493,0.9590854392298436
1,31,2430,2416,2362,2484,0.9508856682769726
1,32,2430,2438,2375,2493,0.9526674689129563
1,33,2430,2453,2383,2500,0.9532
1,34,2430,2419,2362,2487,0.9497386409328509
1,35,2430,2426,2365,2491,0.9494179044560418
1,36,2430,2446,2381,2495,0.9543086172344689
1,37,2430,2443,2376,2497,0.9515418502202643
1,38,2430,2445,2373,2502,0.9484412470023981
1,39,2430,2446,2385,2491,0.9574468085106383
1,40,2430,2453,2380,2503,0.9508589692369157
1,41,2430,2449,2372,2507,0.9461507778220981
