Riker Engine — Stability Profiling Report
============================================================

Config: /home/kai001/riker-engine/disease_days/2026-04-29_ipf_v0332/blind_pc/config.yaml
Runs attempted: 50
Runs successful: 50
Total time: 33272.5s (554.5m)

Core gene counts across runs:
  Min: 2416
  Max: 2471
  Mean: 2442.6
  Variance: ±27.5 genes (1.1%)

Unique genes seen: 2545
  Iron-clad (>=90% of runs): 2309
  Borderline (50-89%):       180
  Stochastic (<50%):         56

Iron-clad genes (2309):
  AADAC: 50/50 (100%)
  AAMDC: 50/50 (100%)
  AASS: 50/50 (100%)
  AATK: 50/50 (100%)
  ABCA12: 50/50 (100%)
  ABCA13: 50/50 (100%)
  ABCA3: 49/50 (98%)
  ABCB6: 50/50 (100%)
  ABCC3: 50/50 (100%)
  ABCC4: 50/50 (100%)
  ABCC5: 50/50 (100%)
  ABCC8: 45/50 (90%)
  ABHD10: 50/50 (100%)
  ABTB3: 50/50 (100%)
  ACADL: 50/50 (100%)
  ACAN: 50/50 (100%)
  ACAT1: 50/50 (100%)
  ACER2: 50/50 (100%)
  ACKR5: 50/50 (100%)
  ACOX2: 50/50 (100%)
  ACP3: 50/50 (100%)
  ACSL1: 50/50 (100%)
  ACSS2: 50/50 (100%)
  ACTC1: 50/50 (100%)
  ACTN1: 50/50 (100%)
  ACTN4: 48/50 (96%)
  ACVR2A: 50/50 (100%)
  ACVRL1: 50/50 (100%)
  ADA2: 50/50 (100%)
  ADAM17: 50/50 (100%)
  ADAM23: 50/50 (100%)
  ADAM28: 50/50 (100%)
  ADAMTS1: 50/50 (100%)
  ADAMTS14: 45/50 (90%)
  ADAMTS16: 45/50 (90%)
  ADAMTS18: 49/50 (98%)
  ADAMTS2: 50/50 (100%)
  ADAMTS5: 50/50 (100%)
  ADAMTSL3: 50/50 (100%)
  ADAMTSL4: 50/50 (100%)
  ADARB1: 50/50 (100%)
  ADCY4: 47/50 (94%)
  ADCY9: 50/50 (100%)
  ADCYAP1: 50/50 (100%)
  ADGRA2: 50/50 (100%)
  ADGRA3: 50/50 (100%)
  ADGRD1: 50/50 (100%)
  ADGRF1: 50/50 (100%)
  ADGRF5: 50/50 (100%)
  ADGRG3: 50/50 (100%)
  ADGRL2: 50/50 (100%)
  ADH1A: 49/50 (98%)
  ADH1B: 50/50 (100%)
  ADH7: 49/50 (98%)
  ADHFE1: 50/50 (100%)
  ADI1: 50/50 (100%)
  ADIPOR2: 50/50 (100%)
  ADM: 50/50 (100%)
  ADPRH: 50/50 (100%)
  ADRA1B: 50/50 (100%)
  ADRA2A: 50/50 (100%)
  ADRB1: 50/50 (100%)
  ADRB2: 50/50 (100%)
  AEBP1: 47/50 (94%)
  AFAP1: 50/50 (100%)
  AFAP1L1: 50/50 (100%)
  AFAP1L2: 48/50 (96%)
  AFF2: 50/50 (100%)
  AFF3: 50/50 (100%)
  AFMID: 50/50 (100%)
  AGER: 50/50 (100%)
  AGFG1: 50/50 (100%)
  AGPAT2: 46/50 (92%)
  AGPAT4: 50/50 (100%)
  AGTPBP1: 50/50 (100%)
  AGTR1: 50/50 (100%)
  AGTRAP: 50/50 (100%)
  AHNAK2: 50/50 (100%)
  AIG1: 50/50 (100%)
  AIM2: 50/50 (100%)
  AKAP13: 50/50 (100%)
  AKR1C3: 50/50 (100%)
  ALDH18A1: 50/50 (100%)
  ALDH1A3: 50/50 (100%)
  ALDH1B1: 50/50 (100%)
  ALDH1L1: 50/50 (100%)
  ALDH3A1: 50/50 (100%)
  ALDH5A1: 50/50 (100%)
  ALDH6A1: 50/50 (100%)
  ALG13: 50/50 (100%)
  ALKAL1: 49/50 (98%)
  ALKAL2: 50/50 (100%)
  ALOX15: 50/50 (100%)
  ALOX15B: 50/50 (100%)
  ALOX5AP: 50/50 (100%)
  ALPP: 50/50 (100%)
  ALS2CL: 50/50 (100%)
  AMD1: 48/50 (96%)
  AMOTL2: 50/50 (100%)
  AMPD1: 50/50 (100%)
  AMPD2: 50/50 (100%)
  AMPD3: 50/50 (100%)
  AMZ2: 50/50 (100%)
  ANG: 50/50 (100%)
