gene,appearance_count,appearance_rate,stability_class,total_runs
ADGRF5,50,1.0000,iron-clad,50
ADRB2,50,1.0000,iron-clad,50
BLVRB,50,1.0000,iron-clad,50
BMAL1,50,1.0000,iron-clad,50
CARMIL1,50,1.0000,iron-clad,50
GAB2,50,1.0000,iron-clad,50
GALNT17,50,1.0000,iron-clad,50
HAL,50,1.0000,iron-clad,50
HSPA2,50,1.0000,iron-clad,50
IL15RA,50,1.0000,iron-clad,50
MKNK2,50,1.0000,iron-clad,50
PRKCZ,50,1.0000,iron-clad,50
PRR16,50,1.0000,iron-clad,50
RIMKLA,50,1.0000,iron-clad,50
SLC22A15,50,1.0000,iron-clad,50
SSH2,50,1.0000,iron-clad,50
ALG13,50,1.0000,iron-clad,50
CLPTM1L,50,1.0000,iron-clad,50
EDEM1,50,1.0000,iron-clad,50
FOSL2,50,1.0000,iron-clad,50
CADM3,50,1.0000,iron-clad,50
EGR3,50,1.0000,iron-clad,50
FAM20C,50,1.0000,iron-clad,50
GAA,50,1.0000,iron-clad,50
HIBCH,50,1.0000,iron-clad,50
NFATC1,50,1.0000,iron-clad,50
PBK,50,1.0000,iron-clad,50
PLOD2,50,1.0000,iron-clad,50
ZNF546,50,1.0000,iron-clad,50
ZNF831,50,1.0000,iron-clad,50
ATP6AP1,50,1.0000,iron-clad,50
BEAN1,50,1.0000,iron-clad,50
ENG,50,1.0000,iron-clad,50
HMBOX1,50,1.0000,iron-clad,50
ILDR1,50,1.0000,iron-clad,50
MITF,50,1.0000,iron-clad,50
PIM1,50,1.0000,iron-clad,50
PLOD3,50,1.0000,iron-clad,50
RMDN3,50,1.0000,iron-clad,50
SLC2A3,50,1.0000,iron-clad,50
BCHE,50,1.0000,iron-clad,50
CEP126,50,1.0000,iron-clad,50
CLCA2,50,1.0000,iron-clad,50
CYP24A1,50,1.0000,iron-clad,50
DCLK1,50,1.0000,iron-clad,50
EYA2,50,1.0000,iron-clad,50
GXYLT2,50,1.0000,iron-clad,50
PLPP2,50,1.0000,iron-clad,50
PSD3,50,1.0000,iron-clad,50
SSPN,50,1.0000,iron-clad,50
TGFB3,50,1.0000,iron-clad,50
TNS4,50,1.0000,iron-clad,50
ECM2,50,1.0000,iron-clad,50
NELL2,50,1.0000,iron-clad,50
OGN,50,1.0000,iron-clad,50
PAMR1,50,1.0000,iron-clad,50
ROBO2,50,1.0000,iron-clad,50
SLN,50,1.0000,iron-clad,50
VTCN1,50,1.0000,iron-clad,50
CLGN,50,1.0000,iron-clad,50
FCRL2,50,1.0000,iron-clad,50
FOLR1,50,1.0000,iron-clad,50
GPR18,50,1.0000,iron-clad,50
IRAG2,50,1.0000,iron-clad,50
LIPG,50,1.0000,iron-clad,50
NDRG3,50,1.0000,iron-clad,50
PPP1R9B,50,1.0000,iron-clad,50
ATF7,50,1.0000,iron-clad,50
KATNAL1,50,1.0000,iron-clad,50
PHACTR4,50,1.0000,iron-clad,50
AAMDC,50,1.0000,iron-clad,50
DCUN1D3,50,1.0000,iron-clad,50
DDX3X,50,1.0000,iron-clad,50
IVD,50,1.0000,iron-clad,50
ACKR5,50,1.0000,iron-clad,50
