gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
A1CF,3,3,-1.2453534046411028,-1.2453534046411028,True
A2M,3,3,-0.9070437495579746,-0.9070437495579746,True
A4GNT,2,2,-0.4890870884931293,-0.4890870884931293,True
AAAS,3,2,0.4718943889021485,0.6403921018056042,True
AADAT,3,3,0.6979437156402616,0.6979437156402616,True
AAK1,3,2,-0.33128154662652953,-0.5054133235266933,True
AAR2,3,3,0.9209049085954666,0.9209049085954666,True
AARS1,3,3,0.9472533451978021,0.9472533451978021,True
AARS2,3,2,0.26892533382011913,0.26521054129078525,True
AASDHPPT,3,2,0.6757260660618609,1.0063446696880298,True
AATF,3,3,0.8751504880613247,0.8751504880613247,True
ABAT,3,2,-0.38868918175960143,-0.5518927508555334,True
ABCA1,3,2,-0.6192172949448341,-0.9524161730660929,True
ABCA5,3,2,-1.3114922824127266,-1.5938291351596425,True
ABCA6,2,2,-1.624900899535339,-1.624900899535339,True
ABCA7,3,2,0.10568417942814919,0.21966036074999984,True
ABCA8,3,3,-4.5113661077028056,-4.5113661077028056,True
ABCA9,2,2,-1.467882140578937,-1.467882140578937,True
ABCB1,3,3,-1.8963828424935574,-1.8963828424935574,True
ABCB11,2,2,-1.6158397441439483,-1.6158397441439483,True
ABCB4,3,3,-1.5766256642378653,-1.5766256642378653,True
ABCB6,3,2,0.6979140618420531,0.9745445660964134,True
ABCC1,3,3,1.5497042608539193,1.5497042608539193,True
ABCC10,3,3,0.8237514878913729,0.8237514878913729,True
ABCC3,3,2,-0.7038742549461396,-1.05597407139871,True
ABCD3,3,2,-0.8050049991008782,-1.0623069011085366,True
ABCD4,3,2,-0.4029523717398078,-0.4582637544256656,True
ABCE1,3,3,0.9271778612928913,0.9271778612928913,True
ABCF1,3,3,0.39230937231802826,0.39230937231802826,True
ABCF2,3,3,0.5665313545764595,0.5665313545764595,True
ABCG1,3,2,-0.320144700154561,-0.5953450790085792,True
ABCG2,3,3,-4.2963092007769275,-4.2963092007769275,True
ABHD11,3,2,0.29940561935087445,0.3802942525674182,True
ABHD13,3,2,0.2945065685931407,0.6008952580087588,True
ABHD15,3,2,-0.4275984496363166,-0.5563416575328501,True
ABHD16A,3,2,0.32389933804925725,0.41636197439531486,True
ABHD17C,3,2,-0.6114075980504884,-0.8275256839193155,True
ABHD18,3,2,-0.2885575723757805,-0.4041815923943304,True
