gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
A1CF,0.43326826735287827,0.5313464736188268,1.0,1.0,0.0
A2M,0.4611037929198634,0.71264084354033,1.0,1.0,0.0
A4GNT,0.4954925345657487,0.2545194102428451,0.0,1.0,0.0
AAAS,0.5884241030461485,0.27734633752325405,0.0,1.0,0.0
AADAT,0.5931593489791155,0.2928107827871519,1.0,1.0,0.0
AAK1,0.4941492405572531,0.5448845351120981,0.0,0.33333333333333326,0.0
AAR2,0.6115042052186608,1.0,1.0,1.0,0.0
AARS1,0.6136721084093462,1.0,1.0,1.0,0.0
AARS2,0.5575548217145071,0.05093323616282209,0.0,1.0,0.0
AASDHPPT,0.6185340390368672,0.6997483408630211,0.0,1.0,0.0
AATF,0.6077396116770789,0.8656223358232168,1.0,1.0,0.0
ABAT,0.4903249947271042,0.10779400548146649,0.0,1.0,0.0
ABCA1,0.4573706294241719,0.8856448493760584,0.0,0.33333333333333326,0.0
ABCA5,0.40459629491408045,1.0,0.0,1.0,0.0
ABCA6,0.40203976459135427,1.0,0.0,1.0,0.0
ABCA7,0.5538070326816689,0.057458711637260323,0.0,0.33333333333333326,0.0
ABCA8,0.1645464654999749,1.0,1.0,1.0,0.0
ABCA9,0.41495899291888527,0.9234085429567193,0.0,1.0,0.0
ABCB1,0.37970270606923945,1.0,1.0,1.0,0.0
ABCB11,0.40278530057820483,1.0,0.0,1.0,0.0
ABCB4,0.4060117663541915,1.0,1.0,1.0,0.0
ABCB6,0.6159175822397955,0.3590734806351113,0.0,1.0,0.0
ABCC1,0.6632407140155886,1.0,1.0,1.0,0.0
ABCC10,0.6035105920146144,0.6245999470102317,1.0,1.0,0.0
ABCC3,0.4488500670240462,1.0,0.0,0.33333333333333326,0.0
ABCD3,0.44832901289316146,0.9181410270025229,0.0,1.0,0.0
ABCD4,0.49802862447806234,0.24070206404206004,0.0,1.0,0.0
ABCE1,0.6120203327738934,0.6804516289667345,1.0,1.0,0.0
ABCF1,0.5680122908036569,0.3403714410692342,1.0,1.0,0.0
ABCF2,0.5823469701975801,0.5048711619223548,1.0,1.0,0.0
ABCG1,0.48674981331245637,0.3132133759732658,0.0,0.33333333333333326,0.0
ABCG2,0.18224097093648428,1.0,1.0,1.0,0.0
ABHD11,0.5670237078058518,0.23159837679725898,0.0,1.0,0.0
ABHD13,0.5851743719527448,0.14306954083718507,0.0,0.33333333333333326,0.0
ABHD15,0.489958946481951,0.41337268649199654,0.0,1.0,0.0
ABHD16A,0.5699912967528378,0.19439158123273684,0.0,1.0,0.0
ABHD17C,0.46764640001329155,0.8011420645504821,0.0,1.0,0.0
ABHD18,0.5024784099965134,0.4413415692862972,0.0,1.0,0.0
ABHD3,0.40109274951742446,1.0,1.0,1.0,0.0
ABHD5,0.4582684977164936,0.6645659043723225,0.0,1.0,0.0
ABHD6,0.48821505360743017,0.587779982120974,1.0,1.0,0.0
ABI2,0.6198774709889654,0.744487935852931,0.0,1.0,0.0
ABI3,0.5081366040654356,0.1932263014417399,1.0,1.0,0.0
ABI3BP,0.2964638942349304,1.0,1.0,1.0,0.0
ABL2,0.5889078923633491,0.24477896856191228,0.0,0.33333333333333326,0.0
ABO,0.47536844562991587,0.23820038248347652,0.0,1.0,0.0
ABR,0.5033596661635021,0.285736811959876,0.0,0.33333333333333326,0.0
ABRACL,0.5262521828820668,0.7146764844295187,0.0,0.33333333333333326,0.0
ABT1,0.582957026020463,0.36541551996084476,0.0,0.33333333333333326,0.0
ABTB1,0.5824780861265375,0.024300295666151044,0.0,0.33333333333333326,0.0
ACAA1,0.4626282211003315,0.6919943740354921,1.0,1.0,0.0
ACAA2,0.4262123079201087,1.0,1.0,1.0,0.0
ACACA,0.6169152903895448,0.8191381091872958,1.0,1.0,0.0
ACACB,0.46990665306567597,0.3932475458773621,0.0,1.0,0.0
ACAD8,0.4811499821518923,1.0,1.0,1.0,0.0
ACAD9,0.5695963407249693,0.5352118900708941,1.0,1.0,0.0
ACADM,0.4213492957291524,1.0,0.0,1.0,0.0
ACADS,0.4026690069004578,1.0,1.0,1.0,0.0
ACADSB,0.4207422306837852,1.0,0.0,0.33333333333333326,0.0
ACADVL,0.462798659794954,1.0,1.0,1.0,0.0
ACAP2,0.48846675785511195,0.7909605997184826,0.0,0.33333333333333326,0.0
ACAT1,0.4214475369953081,1.0,0.0,1.0,0.0
ACBD4,0.4865700834550157,0.4155393598239079,1.0,1.0,0.0
ACBD5,0.5504628490785466,0.20981381305779098,0.0,0.33333333333333326,0.0
