gene,cluster_id
A1CF,25
A2M,189
A4GNT,66
AAAS,67
AADAT,-1
AAK1,35
AAR2,156
AARS1,208
AARS2,493
AASDHPPT,608
AATF,444
ABAT,318
ABCA1,267
ABCA5,161
ABCA6,126
ABCA7,165
ABCA8,72
ABCA9,166
ABCB1,74
ABCB11,126
ABCB4,97
ABCB6,270
ABCC1,212
ABCC10,392
ABCC3,99
ABCD3,167
ABCD4,-1
ABCE1,218
ABCF1,221
ABCF2,222
ABCG1,645
ABCG2,49
ABHD11,169
ABHD13,459
ABHD15,395
ABHD16A,280
ABHD17C,509
ABHD18,334
ABHD3,38
ABHD5,511
ABHD6,308
ABI2,614
ABI3,404
ABI3BP,234
ABL2,340
ABO,311
ABR,456
ABRACL,287
ABT1,289
ABTB1,71
ACAA1,146
ACAA2,2
ACACA,7
ACACB,397
ACAD8,103
ACAD9,174
ACADM,104
ACADS,39
ACADSB,40
ACADVL,50
ACAP2,518
ACAT1,104
ACBD4,285
ACBD5,412
ACBD6,351
ACD,353
ACER1,346
ACER2,354
ACER3,335
ACKR1,111
ACKR3,295
ACKR4,476
ACLY,520
ACO1,617
ACO2,522
ACOD1,-1
ACOT1,647
ACOT11,406
ACOT13,467
ACOT4,464
ACOT9,442
ACOX1,511
ACOX2,417
ACOX3,504
ACP1,226
ACP2,-1
ACP6,264
ACRBP,417
ACSF2,85
ACSL4,357
ACSL6,359
ACSM3,98
ACSS1,420
ACSS2,482
ACTL10,772
ACTL6A,275
ACTL8,243
ACTN1,422
ACTR10,87
ACTR2,278
ACTR3B,652
ACTR5,597
ACVR1,239
ACVR1C,629
ACVR2A,355
ACVR2B,756
ACVRL1,691
ACYP1,374
ADA,452
ADA2,285
ADAM10,693
ADAM12,297
ADAM15,631
ADAM17,219
ADAM19,205
ADAM28,244
ADAMDEC1,361
ADAMTS1,267
ADAMTS12,180
ADAMTS17,448
ADAMTS2,10
ADAMTS5,140
ADAMTS6,246
ADAMTS9,534
ADAMTSL1,536
ADAMTSL2,346
ADAMTSL3,164
ADAP1,282
ADAP2,90
ADAR,538
ADAT1,130
ADAT2,169
ADAT3,173
ADCK2,211
ADCK5,459
ADCY3,658
ADCY6,85
ADD1,724
ADD3,291
ADGRA3,135
ADGRB3,162
ADGRE5,773
ADGRF4,461
ADGRG1,273
ADGRG5,759
ADGRG6,456
ADGRG7,166
ADGRL1,169
ADGRL2,467
ADGRL3,751
ADGRV1,400
ADH1A,765
ADH1B,72
ADH1C,72
ADH5,504
ADH6,763
ADHFE1,167
ADIPOR1,440
ADIRF,514
ADISSP,654
ADK,790
ADNP,598
ADO,778
ADORA2B,133
ADORA3,283
ADPGK,178
ADPRM,800
ADRA1A,120
ADRA2A,111
ADRB1,74
ADRB2,40
ADRM1,699
ADSL,222
ADSS1,601
ADSS2,344
ADTRP,363
AEBP1,202
AEBP2,501
AEN,689
AFAP1L2,805
AFF1,712
AFF3,151
AFF4,350
AFG1L,90
AFG2A,767
AFG2B,661
