gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
A1CF,25,True,True,True,True,4,True,-1.2453534046411028,-1.2453534046411028,down
A2M,189,True,True,True,True,4,True,-0.9070437495579746,-0.9070437495579746,down
AAR2,156,True,True,True,True,4,True,0.9209049085954666,0.9209049085954666,up
AARS1,208,True,True,True,True,4,True,0.9472533451978021,0.9472533451978021,up
AASDHPPT,608,True,True,True,True,4,True,0.6757260660618609,1.0063446696880298,up
AATF,444,True,True,True,True,4,True,0.8751504880613247,0.8751504880613247,up
ABAT,318,True,True,True,True,4,True,-0.38868918175960143,-0.5518927508555334,down
ABCA1,267,True,True,True,True,4,True,-0.6192172949448341,-0.9524161730660929,down
ABCA5,161,True,True,True,True,4,True,-1.3114922824127266,-1.5938291351596425,down
ABCA8,72,True,True,True,True,4,True,-4.5113661077028056,-4.5113661077028056,down
ABCA9,166,True,True,True,True,4,True,-1.467882140578937,-1.467882140578937,down
ABCB1,74,True,True,True,True,4,True,-1.8963828424935574,-1.8963828424935574,down
ABCB11,126,True,True,True,True,4,True,-1.6158397441439483,-1.6158397441439483,down
ABCB4,97,True,True,True,True,4,True,-1.5766256642378653,-1.5766256642378653,down
ABCB6,270,True,True,True,True,4,True,0.6979140618420531,0.9745445660964134,up
ABCC1,212,True,True,True,True,4,True,1.5497042608539193,1.5497042608539193,up
ABCC10,392,True,True,True,True,4,True,0.8237514878913729,0.8237514878913729,up
ABCC3,99,True,True,True,True,4,True,-0.7038742549461396,-1.05597407139871,down
ABCD3,167,True,True,True,True,4,True,-0.8050049991008782,-1.0623069011085366,down
ABCE1,218,True,True,True,True,4,True,0.9271778612928913,0.9271778612928913,up
ABCF1,221,True,True,True,True,4,True,0.39230937231802826,0.39230937231802826,up
ABCF2,222,True,True,True,True,4,True,0.5665313545764595,0.5665313545764595,up
ABCG2,49,True,True,True,True,4,True,-4.2963092007769275,-4.2963092007769275,down
ABHD11,169,True,True,True,True,4,True,0.29940561935087445,0.3802942525674182,up
ABHD15,395,True,True,True,True,4,True,-0.4275984496363166,-0.5563416575328501,down
ABHD17C,509,True,True,True,True,4,True,-0.6114075980504884,-0.8275256839193155,down
ABHD18,334,True,True,True,True,4,True,-0.2885575723757805,-0.4041815923943304,down
ABHD3,38,True,True,True,True,4,True,-1.6364108077010286,-1.6364108077010286,down
ABHD5,511,True,True,True,True,4,True,-0.7350421267582762,-0.9415035890175387,down
ABHD6,308,True,True,True,True,4,True,-0.5775367233655867,-0.5775367233655867,down
ABI2,614,True,True,True,True,4,True,0.7247569755700051,1.022672581271674,up
ABI3BP,234,True,True,True,True,4,True,-2.9080574255161515,-2.9080574255161515,down
ABO,311,True,True,True,True,4,True,-0.4983097584804546,-0.7336728632563965,down
ABRACL,287,True,True,True,True,4,True,-0.08527369331772998,-0.11523799455992734,down
ABT1,289,True,True,True,True,4,True,0.341739220587787,0.5739459002269189,up
