gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
ALG3,0,4,0.9156879107204814,up
CKAP5,0,4,1.043874498050905,up
DNAAF11,0,4,1.038304034998899,up
HYAL2,0,4,0.9226291288289431,up
PPP1R13L,0,4,1.0230191717242807,up
TNRC18,0,4,0.9192542068672184,up
WFS1,0,4,0.9635620113219948,up
AMIGO2,1,4,1.5702878701916259,up
ANXA5,1,4,0.9765139432959948,up
CCNH,1,4,0.5133251751623744,up
CUL1,1,4,0.6815777122738593,up
DUSP2,1,4,2.7146049485612727,up
EXOSC1,1,4,0.5875384777907673,up
FUNDC2,1,4,0.5489088557775501,up
FZR1,1,4,0.6882723758419629,up
GYG1,1,4,0.9309372937530576,up
HNRNPDL,1,4,0.7088873959852044,up
HSF2,1,4,0.973222005940614,up
IDO1,1,4,1.3873639322076472,up
IGFBP5,1,4,2.0101785680395037,up
LDLR,1,4,1.7007999641914173,up
MX2,1,4,1.1133406642613144,up
NEDD4,1,4,1.2516491648324362,up
PLCG1,1,4,1.0163008478643345,up
PLEKHA8,1,4,1.0357834151333458,up
PRXL2C,1,4,1.0290548390950822,up
RAB23,1,4,1.4021801069890305,up
RHOB,1,4,0.34722647586503896,up
S1PR3,1,4,1.2420537979982886,up
SLC19A2,1,4,1.3804415757867723,up
STK38L,1,4,0.7156669662619901,up
TASOR2,1,4,0.8669087993388889,up
TTC8,1,4,0.7738774189968609,up
UIMC1,1,4,0.6957528723750799,up
WDR90,1,4,1.0381736462606717,up
XPNPEP3,1,4,0.8718599170724066,up
ACAA2,2,4,-1.3311106933345151,down
CEACAM1,2,4,-1.3287316909029752,down
CPNE5,2,4,-1.3063687932014805,down
CYP4F12,2,4,-1.32323554900235,down
DDX60,2,4,-1.336247005476535,down
GATM,2,4,-1.318667788769255,down
GNAI1,2,4,-1.3304815664818903,down
GNG2,2,4,-1.3067233442927337,down
MXD1,2,4,-1.3548894652662868,down
NOVA1,2,4,-1.3263378083076798,down
PLCD1,2,4,-1.3446704848786222,down
PTGER2,2,4,-1.3471782749971972,down
RAVER2,2,4,-1.3341360880476112,down
RIMS3,2,4,-1.3067248637456583,down
RIOK3,2,4,-1.3412661103616326,down
SAMD13,2,4,-1.3159068827953482,down
SLC22A5,2,4,-1.317755995289529,down
SLC44A4,2,4,-1.321425562620415,down
SPPL2A,2,4,-1.344458223449232,down
TMEM255A,2,4,-1.3661125305820176,down
ZNF536,2,4,-1.3203811812967465,down
AOC1,3,4,-1.3980978704202673,down
ASAP3,3,4,-1.3658709686544324,down
BCAR3,3,4,-1.3836884135839158,down
CASD1,3,4,-1.3781005799652366,down
CASP7,3,4,-1.3796261254919926,down
CMA1,3,4,-1.403964646485873,down
GRAMD1C,3,4,-1.4126398829200475,down
GSTM4,3,4,-1.4128226318458539,down
LANCL3,3,4,-1.3976023690450337,down
MEF2C,3,4,-1.4062570646632497,down
NDRG2,3,4,-1.3763541656836924,down
P2RX4,3,4,-1.4209102006424619,down
PDE4D,3,4,-1.3833555704083667,down
PITPNM3,3,4,-1.3735883729437413,down
PLPP1,3,4,-1.3882845108421666,down
PTPN21,3,4,-1.4098434129838007,down
SELENOP,3,4,-1.402054342138199,down
SLC22A23,3,4,-1.3659864219913898,down
TTC22,3,4,-1.3910277498377248,down
ALKBH2,4,4,1.1145949719255122,up
AUNIP,4,4,1.1026205765019526,up
DDX56,4,4,1.0970727510660927,up
ESPL1,4,4,1.1125418407074168,up
GTPBP4,4,4,1.112827242114393,up
IER5L,4,4,1.1148929283631903,up
ME1,4,4,1.1094119791714576,up
NOP58,4,4,1.109125464482237,up
PA2G4,4,4,1.1164102259762958,up
POFUT1,4,4,1.0973467578198919,up
TACC3,4,4,1.1106791214542036,up
TXLNG,4,4,1.1184268923021172,up
ATIC,5,4,1.0810209393289956,up
FGFR4,5,4,1.083123932216003,up
LAS1L,5,4,1.08414367231926,up
NOC3L,5,4,1.0825344776330683,up
PTRH1,5,4,1.0892164455631068,up
RPN2,5,4,1.0855906746527086,up
RRP1B,5,4,1.0869372480037054,up
TIMELESS,5,4,1.0835862508526122,up
AMZ2,6,4,0.9921775489047819,up
ITPRIP,6,4,0.9929511757593552,up
LRRC58,6,4,0.9844047886663483,up
NUP153,6,4,0.9816642460434775,up
PPHLN1,6,4,0.9772162048535238,up
ACACA,7,4,0.986670591854506,up
BCL2L12,7,4,0.9144528294993455,up
C1GALT1,7,4,0.9205854491395199,up
CEP164,7,4,0.8847740451493818,up
FBXO45,7,4,0.9197383205771947,up
GPC4,7,4,0.8513041827829074,up
GSPT1,7,4,0.9248429139994675,up
HSPBP1,7,4,0.9847381728584711,up
MSH6,7,4,0.9189614867489372,up
NFXL1,7,4,0.9869583023158874,up
NICOL1,7,4,0.9993413581197504,up
NTHL1,7,4,0.8801252241386255,up
PEX10,7,4,0.7931570665517128,up
PPA1,7,4,0.9239235629996069,up
PRPF19,7,4,0.8670256053043822,up
TOMM5,7,4,0.9341780342672278,up
UBE3D,7,4,0.9711364803594584,up
ZMIZ2,7,4,1.0285773513994514,up
CCNB1IP1,8,4,0.952914098371278,up
CCT4,8,4,0.8970471013137556,up
DIMT1,8,4,0.8700288104650221,up
GADD45GIP1,8,4,0.7978107276799952,up
ZNF598,8,4,1.0429379597497286,up
MCM4,9,4,1.1216125160807435,up
NOTCH3,9,4,1.1250812911387482,up
RPGRIP1L,9,4,1.1777385948859156,up
SLC7A6,9,4,1.220797686440184,up
TRMT1,9,4,1.1329707965845597,up
ADAMTS2,10,4,2.525238683675672,up
BOK,10,4,1.291633839314434,up
C5orf34,10,4,1.208660939501886,up
