gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
ABCB1,0.2414668968667764,1.0,1.0,1.0,0.0
ABCC1,0.5881925188034149,1.0,1.0,1.0,0.0
ABCG2,0.0,1.0,1.0,1.0,0.0
ACLY,0.5353725740900819,1.0,1.0,1.0,0.0
ACVR2A,0.3926774958118365,0.34208037824997345,0.0,1.0,0.0
ADAM10,0.38738448899641253,0.6139291097469768,0.0,0.0,0.0
ADAM17,0.5005828008704507,0.6576947730835792,1.0,1.0,0.0
AKT2,0.5216947409052937,0.17005658586749248,0.0,1.0,0.0
ALCAM,0.5096490674294494,0.5417214615956136,1.0,1.0,0.0
ALDH1A1,0.23235212733534194,0.9605669510368656,1.0,1.0,0.0
ANGPT2,0.5173275180758494,0.8338872033326037,1.0,1.0,0.0
ANPEP,0.057952713372872694,1.0,1.0,1.0,0.0
APC,0.32218652451776547,1.0,1.0,1.0,0.0
ASCL2,0.7708939546463885,1.0,1.0,1.0,0.0
ATM,0.4926755745124694,0.10554962068733026,0.0,0.0,0.0
ATR,0.5265301167593731,1.0,1.0,1.0,0.0
AURKA,0.6255013596392861,1.0,1.0,1.0,0.0
AURKB,0.5216321088248799,0.9352323522010141,1.0,1.0,0.0
AXIN1,0.4967403778544164,0.32650481374404833,0.0,1.0,0.0
AXIN2,0.64726052022541,1.0,1.0,1.0,0.0
B2M,0.38230263028029426,0.6325767678308825,0.0,1.0,0.0
BAK1,0.38418093108167595,0.20452224554249998,0.0,0.0,0.0
BCL2,0.27307624325142005,1.0,1.0,1.0,0.0
BCL2L1,0.5411481130995296,0.6936156912647875,1.0,1.0,0.0
BIRC5,0.594128530677549,1.0,1.0,1.0,0.0
BLM,0.5406178186787791,0.7804987695507843,1.0,1.0,0.0
BMP2,0.26735164198158584,1.0,1.0,1.0,0.0
BMP4,0.5487556594749529,0.04831897463038107,1.0,1.0,0.0
BMP7,0.5098586520554115,0.3042769326205891,1.0,1.0,0.0
BMPR2,0.4168207620212461,0.30517513429521403,0.0,0.0,0.0
BRCA1,0.5466439795400961,0.9596033661750046,1.0,1.0,0.0
BRCA2,0.5948025689173982,1.0,1.0,1.0,0.0
BRD4,0.5040359386313383,0.3731461478268626,1.0,1.0,0.0
BUB1,0.5897843350535263,0.7725100817264817,1.0,1.0,0.0
BUB1B,0.5537923814686091,0.5492107108595436,1.0,1.0,0.0
CASP9,0.42698250614274796,0.4646797802325693,1.0,0.0,0.0
CCL20,0.6560235204841441,0.4283531378000198,0.0,1.0,0.0
CCL5,0.28841230492371256,0.7600558338567137,1.0,1.0,0.0
CCNA2,0.5374258456523086,0.43350443348996376,1.0,1.0,0.0
CCNB1,0.5823757268777873,0.6871283281416142,1.0,1.0,0.0
CCND1,0.5973208526394858,0.8000936176250553,1.0,1.0,0.0
CCNE1,0.5783302067923356,1.0,1.0,1.0,0.0
CCNE2,0.5309579540682862,0.526400157589834,1.0,1.0,0.0
CD274,0.4708371752498878,0.48176251574464096,0.0,0.0,0.0
CD3E,0.3759028937618914,0.2584828641220069,0.0,1.0,0.0
CD4,0.37287831901735397,0.1616128209235838,0.0,1.0,0.0
CD40,0.4632920824246757,0.5889785920223852,0.0,0.0,0.0
CD44,0.5561097026663323,0.6313972486661927,0.0,1.0,0.0
CD8A,0.2746326945435856,0.606345060184786,0.0,1.0,0.0
CDA,0.17913897209028481,1.0,0.0,1.0,0.0
CDC20,0.5709019065180126,1.0,1.0,1.0,0.0
CDC25A,0.6208541442459611,0.6841828065353291,0.0,1.0,0.0
CDH2,0.4411132778650729,0.0,0.0,0.0,0.0
CDH3,1.0,1.0,1.0,1.0,0.0
CDK1,0.605563066709038,0.8508844110308966,1.0,1.0,0.0
CDK2,0.5301291648750995,1.0,1.0,1.0,0.0
CDK4,0.5594207160787023,1.0,1.0,1.0,0.0
CDK8,0.5258379558555121,1.0,1.0,1.0,0.0
CDKN1A,0.3432631302672098,0.6320927885272485,1.0,1.0,0.0
CDKN2A,0.5062315996339032,0.6027807579516289,0.0,1.0,0.0
CDKN2B,0.11734825533804508,1.0,1.0,1.0,0.0
CDX1,0.38807383144554425,0.11195896366732312,0.0,1.0,0.0
CEACAM5,0.46350495565072203,0.5956663007221288,0.0,0.0,0.0
CFLAR,0.48050714080048157,0.4621593791182914,0.0,0.0,0.0
CHD4,0.5060214790404975,0.7961282723042018,0.0,1.0,0.0
CHEK1,0.5623659521521901,0.7802113491473462,1.0,1.0,0.0
CHEK2,0.5348124797187807,0.6293453901328175,1.0,1.0,0.0
CLDN1,0.8395934773663916,1.0,1.0,1.0,0.0
CLDN7,0.34375691653767787,1.0,1.0,1.0,0.0
CSF1,0.379983415877118,0.44799834528993737,0.0,0.0,0.0
CSF1R,0.31179678672027183,0.5030589351491713,0.0,1.0,0.0
CSNK2A1,0.48539332741408553,0.2874193509806248,1.0,1.0,0.0
CTNNB1,0.4813816383408869,0.5720436435360232,0.0,1.0,0.0
CXCL1,0.7535588591047899,1.0,1.0,1.0,0.0
CXCL10,0.6618002722078231,0.9736827984473836,0.0,0.0,0.0
CXCL12,0.07939610520268568,1.0,1.0,1.0,0.0
CXCL2,0.7334110296481015,1.0,1.0,1.0,0.0
CXCL5,0.7409386939697826,0.9401493582210244,1.0,1.0,0.0
CXCL8,0.8558369785896145,1.0,1.0,1.0,0.0
CXCL9,0.6414955978004566,0.6260295853744419,0.0,0.0,0.0
CXCR4,0.43718040855094814,0.20181375589284778,0.0,0.0,0.0
CYP3A4,0.3065197494824214,0.428612796463197,0.0,0.0,0.0
DCLK1,0.28823235098926875,1.0,1.0,1.0,0.0
DDR2,0.31163035057534405,0.8474063261157113,0.0,1.0,0.0
DKK2,0.6546533901317191,0.5957226380542197,0.0,0.0,0.0
DKK3,0.5200207873253185,0.123778028141652,0.0,1.0,0.0
DKK4,0.5358360098242808,0.14186589134805597,0.0,1.0,0.0
DLL1,0.3726822145197874,0.2397696724008973,0.0,0.0,0.0
DLL4,0.4937193328408849,0.10217912337996082,0.0,0.0,0.0
DNMT1,0.5396945742704684,1.0,1.0,1.0,0.0
DNMT3A,0.4908379597407592,0.3504072016470307,0.0,1.0,0.0
DNMT3B,0.5597370887442942,0.8355297578545832,1.0,1.0,0.0
DPEP1,0.8703607377370104,1.0,1.0,1.0,0.0
DPYD,0.2629220476531526,1.0,1.0,1.0,0.0
DUSP4,0.628362712891345,1.0,1.0,1.0,0.0
DUSP6,0.4844189630286122,0.16470805766223245,0.0,0.0,0.0
DVL1,0.47549077404843854,0.2161881411047371,1.0,1.0,0.0
DVL3,0.4841139559143817,0.1915634732889143,0.0,1.0,0.0
E2F1,0.5223085121765801,0.8846755280373595,1.0,1.0,0.0
E2F3,0.5541882862316635,0.660572498005025,1.0,1.0,0.0
EGFR,0.3600258168569048,0.3881337144286419,0.0,0.0,0.0
EPAS1,0.3331781085876005,1.0,0.0,1.0,0.0
EPCAM,0.42880708713028026,0.15729650894113636,0.0,0.0,0.0
EPHA2,0.5983957127355229,1.0,0.0,1.0,0.0
EPHB2,0.5505665871408151,0.7072462506999119,1.0,1.0,0.0
