gene,cluster_id
ABCB1,23
ABCC1,25
ABCG2,15
ACLY,40
ACVR2A,16
ADAM10,37
ADAM17,7
AKT2,10
ALCAM,12
ALDH1A1,23
ANGPT2,21
ANPEP,15
APC,23
ASCL2,2
ATM,20
ATR,39
AURKA,13
AURKB,-1
AXIN1,42
AXIN2,14
B2M,5
BAK1,34
BCL2,23
BCL2L1,8
BIRC5,25
BLM,22
BMP2,23
BMP4,33
BMP7,31
BMPR2,35
BRCA1,27
BRCA2,25
BRD4,30
BUB1,22
BUB1B,12
CASP9,4
CCL20,-1
CCL5,0
CCNA2,12
CCNB1,8
CCND1,22
CCNE1,25
CCNE2,12
CD274,37
CD3E,16
CD4,10
CD40,38
CD44,36
CD8A,5
CDA,28
CDC20,26
CDC25A,36
CDH2,6
CDH3,3
CDK1,21
CDK2,40
CDK4,26
CDK8,39
CDKN1A,0
CDKN2A,36
CDKN2B,15
CDX1,11
CEACAM5,38
CFLAR,38
CHD4,-1
CHEK1,22
CHEK2,7
CLDN1,3
CLDN7,23
CSF1,-1
CSF1R,5
CSNK2A1,31
CTNNB1,36
CXCL1,2
CXCL10,18
CXCL12,15
CXCL2,2
CXCL5,2
CXCL8,3
CXCL9,38
CXCR4,34
CYP3A4,-1
DCLK1,23
DDR2,28
DKK2,38
DKK3,10
DKK4,10
DLL1,34
DLL4,20
DNMT1,40
DNMT3A,42
DNMT3B,21
DPEP1,3
DPYD,23
DUSP4,13
DUSP6,20
DVL1,32
DVL3,10
E2F1,21
E2F3,8
EGFR,17
EPAS1,28
EPCAM,29
EPHA2,1
EPHB2,8
EPHB3,12
EPHB4,26
ERCC1,42
ERCC2,11
ERRFI1,4
ETS1,34
ETS2,1
ETV4,14
EXO1,27
EZH2,22
FABP1,24
FADD,17
FANCA,12
FANCD2,38
FAS,28
FASN,25
FGFR2,24
FGFR4,40
FN1,20
FOS,4
FOXA2,27
FOXM1,13
FOXO1,19
FZD10,11
FZD7,17
GADD45A,5
GADD45B,19
GDF15,2
GLS,12
GPA33,23
GSTP1,9
GZMA,5
GZMB,1
H2AX,21
HDAC2,39
HES1,33
HIF1A,6
HK2,37
HLA-A,4
HLA-B,4
HLA-C,35
HRAS,30
IDH2,33
IDO1,18
IFNGR1,4
IGF1,0
IGF2R,36
IL17A,10
IL1B,1
IL1R1,5
IL23A,31
IL23R,16
IL33,38
IL6,36
IL6R,24
IL6ST,18
INHBA,3
IRS1,10
IRS2,1
ITGA5,38
JAG1,29
JAG2,25
JAK1,4
JAK2,5
JUN,18
KDM6A,4
KLF4,23
KMT2D,11
KRAS,16
KRT20,23
LDHA,31
LEF1,12
LGR4,18
LGR5,14
LRP5,41
LRP6,11
MAPK1,29
MAPK3,0
MCL1,29
MET,13
MKI67,12
MLKL,42
MMP1,2
MMP11,14
MMP13,41
MMP14,7
MMP3,3
MMP7,3
MMP9,10
MRE11,12
MSH2,36
MSH6,21
MTAP,41
MTHFR,16
MUC2,24
MUC5AC,6
MYC,13
NBN,42
NFKB1,28
NFKBIA,33
NKD1,39
NKD2,26
NOTCH1,-1
NOTCH3,21
NR1H4,15
NRP2,17
NTHL1,21
NTRK2,33
ODC1,1
PALB2,9
PCNA,21
PDGFA,6
PDGFRA,19
PDGFRB,9
PFKFB3,36
PHGDH,25
PIK3R2,30
PKM,12
PLA2G2A,32
PLAUR,1
PLCG1,18
PLK1,9
PMAIP1,1
PMS1,12
POLD1,7
POLE,32
POT1,39
PPARD,28
PPP2CA,35
PRF1,34
PROM1,35
PSAT1,2
PTEN,18
PTGES,36
PTGS2,17
PTK2,39
PTPN11,21
PTTG1,8
RAC1,11
RAD21,32
RAD50,33
RAD51,31
RAD51C,41
RAD51D,30
RAF1,29
RB1,41
REG1A,2
RELA,42
RHEB,40
RICTOR,6
RIPK1,37
RIPK3,0
RNF43,14
ROCK1,35
RRM1,12
RSPO2,23
SATB2,5
SCD,14
SERPINE1,36
SETD2,20
SFRP1,24
SFRP2,37
SFRP4,25
SHC1,11
SHH,27
SKP2,26
SLC1A5,39
SLC26A3,15
SLC2A1,22
SLC7A11,13
SMAD2,19
SMAD4,28
SMAD7,28
SMARCA4,39
SMC1A,39
SMC3,17
SNAI2,33
SOX4,26
SOX9,13
SPARC,21
SPP1,14
SPRY2,20
SQLE,14
SRM,25
STAG2,39
STAT1,17
STK11,29
TAP1,9
TAP2,38
TCF7,9
TCF7L2,19
TEK,19
TET2,28
TFF3,29
TGFB2,41
TGFBI,14
TGFBR1,38
TGFBR2,4
TIAM1,0
TIGIT,29
TIMP1,8
TIMP2,29
TIMP3,17
TLR4,29
TNFRSF10A,12
TNFRSF10B,40
TOP1,39
TOP2A,8
TP53,11
TP53BP1,30
TP53BP2,17
TSC1,17
TTK,8
TWIST1,32
TYMP,32
UGT1A1,24
UMPS,7
VDR,28
VEGFA,27
WEE1,1
WNT11,21
WNT2,14
WNT5A,25
WNT7B,35
ZEB2,23
ZNRF3,9
