gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
ABCB1,23,True,True,True,True,4,True,-1.8963828424935574,-1.8963828424935574,down
ABCC1,25,True,True,True,True,4,True,1.5497042608539193,1.5497042608539193,up
ABCG2,15,True,True,True,True,4,True,-4.2963092007769275,-4.2963092007769275,down
ACLY,40,True,True,True,True,4,True,1.0247297024135655,1.0247297024135655,up
ACVR2A,16,True,True,True,True,4,True,-0.3891312913022575,-0.3935089216004446,down
ADAM17,7,True,True,True,True,4,True,0.6789560380650362,0.6789560380650362,up
AKT2,10,True,True,True,True,4,True,0.6685801684985178,0.8887864621172068,up
ALCAM,12,True,True,True,True,4,True,0.7690651684199459,0.7690651684199459,up
ALDH1A1,23,True,True,True,True,4,True,-1.986974041254175,-1.986974041254175,down
ANGPT2,21,True,True,True,True,4,True,0.8453808718815293,0.8453808718815293,up
ANPEP,15,True,True,True,True,4,True,-3.720320333721856,-3.720320333721856,down
APC,23,True,True,True,True,4,True,-1.0941148523710484,-1.0941148523710484,down
ASCL2,2,True,True,True,True,4,True,3.365563897372484,3.365563897372484,up
ATR,39,True,True,True,True,4,True,0.9368449998090836,0.9368449998090836,up
AURKA,13,True,True,True,True,4,True,1.9205148012668642,1.9205148012668642,up
AXIN1,42,True,True,True,True,4,True,0.5518001658680748,0.6407664046390378,up
AXIN2,14,True,True,True,True,4,True,2.136777915185833,2.136777915185833,up
B2M,5,True,True,True,True,4,True,-0.33537731954813427,-0.49662414598886695,down
BAK1,34,True,True,True,True,4,True,-0.31535666731978235,-0.47795581645586394,down
BCL2,23,True,True,True,True,4,True,-1.5822192675234055,-1.5822192675234055,down
BCL2L1,8,True,True,True,True,4,True,1.082132470585614,1.082132470585614,up
BIRC5,25,True,True,True,True,4,True,1.6087019601024302,1.6087019601024302,up
BLM,22,True,True,True,True,4,True,1.0768619031723432,1.0768619031723432,up
BMP2,23,True,True,True,True,4,True,-1.6391157682711566,-1.6391157682711566,down
BMP7,31,True,True,True,True,4,True,0.7711482186212941,0.7711482186212941,up
BRCA1,27,True,True,True,True,4,True,1.1367555883026477,1.1367555883026477,up
BRCA2,25,True,True,True,True,4,True,1.6154011895177056,1.6154011895177056,up
BRD4,30,True,True,True,True,4,True,0.7132765865073765,0.7132765865073765,up
BUB1,22,True,True,True,True,4,True,1.565525236009342,1.565525236009342,up
BUB1B,12,True,True,True,True,4,True,1.2078031663783586,1.2078031663783586,up
CASP9,4,True,True,True,True,4,True,-0.052553289244092305,-0.052553289244092305,down
CCL5,0,True,True,True,True,4,True,-1.4297949844553184,-1.4297949844553184,down
CCNA2,12,True,True,True,True,4,True,1.0451370568246352,1.0451370568246352,up
CCNB1,8,True,True,True,True,4,True,1.491891482191072,1.491891482191072,up
CCND1,22,True,True,True,True,4,True,1.6404302745007635,1.6404302745007635,up
CCNE1,25,True,True,True,True,4,True,1.451683278035464,1.451683278035464,up
CCNE2,12,True,True,True,True,4,True,0.980853034060312,0.980853034060312,up
CD3E,16,True,True,True,True,4,True,-0.4795907811712099,-0.5602307792619057,down
CD4,10,True,True,True,True,4,True,-0.6097988157947709,-0.590291863187701,down
CD40,38,True,True,True,True,4,True,0.1726014022154129,0.30832561510185874,up
CD44,36,True,True,True,True,4,True,0.9316968437996671,1.230834895759024,up
CD8A,5,True,True,True,True,4,True,-1.180572582173215,-1.5667497827620505,down
CDA,28,True,True,True,True,4,True,-1.9388621391210075,-2.5158566977886534,down
