gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
CCL5,0,4,-1.4297949844553184,down
CDKN1A,0,4,-0.8846356138601662,down
IGF1,0,4,-1.2654644112608027,down
MAPK3,0,4,-0.5772926394244973,down
RIPK3,0,4,-0.7777943781132413,down
TIAM1,0,4,-1.3831449023039954,down
EPHA2,1,4,1.6511132505501473,up
ETS2,1,4,1.2830858351350551,up
GZMB,1,4,2.467200590737743,up
IL1B,1,4,1.9574559513133951,up
IRS2,1,4,1.5762989559251555,up
ODC1,1,4,1.396577444374513,up
PLAUR,1,4,1.2913144752838215,up
PMAIP1,1,4,1.895212763794952,up
WEE1,1,4,1.1418334348035177,up
ASCL2,2,4,3.365563897372484,up
CXCL1,2,4,3.1932713253741105,up
CXCL2,2,4,2.9930231439350514,up
CXCL5,2,4,3.0678401903142043,up
GDF15,2,4,2.927832047960443,up
MMP1,2,4,3.5441565144151532,up
PSAT1,2,4,2.8579217034081204,up
REG1A,2,4,3.511866726488355,up
CDH3,3,4,5.642636424583355,up
CLDN1,3,4,4.048364718174798,up
CXCL8,3,4,4.209807993597884,up
DPEP1,3,4,4.35415884603968,up
INHBA,3,4,4.842972118007009,up
MMP3,3,4,4.4364662934154415,up
MMP7,3,4,4.524354716618873,up
CASP9,4,4,-0.052553289244092305,down
ERRFI1,4,4,0.3775557955337276,up
FOS,4,4,0.6785389985256233,up
HLA-A,4,4,0.01630176809935217,up
HLA-B,4,4,0.037928567052331864,up
IFNGR1,4,4,-0.05769418458058281,down
JAK1,4,4,0.09143695347398466,up
KDM6A,4,4,-0.1428835738584683,down
TGFBR2,4,4,0.33397296518391545,up
B2M,5,4,-0.49662414598886695,down
CD8A,5,4,-1.5667497827620505,down
CSF1R,5,4,-1.1973778914020885,down
GADD45A,5,4,-0.8328544897285388,down
GZMA,5,4,-1.7407568874113402,down
IL1R1,5,4,-1.1760618226432928,down
JAK2,5,4,-0.896153372159183,down
SATB2,5,4,-0.9050962401158036,down
ADAM17,7,4,0.6789560380650362,up
CHEK2,7,4,1.019162954912132,up
MMP14,7,4,0.543882755502552,up
POLD1,7,4,0.6925201000336582,up
UMPS,7,4,0.8763141592989406,up
BCL2L1,8,4,1.082132470585614,up
CCNB1,8,4,1.491891482191072,up
E2F3,8,4,1.211738042291177,up
EPHB2,8,4,1.1757421719558172,up
PTTG1,8,4,1.1708284442138794,up
TIMP1,8,4,1.9648700334718032,up
TOP2A,8,4,1.4575334261575768,up
TTK,8,4,1.5004328456989235,up
GSTP1,9,4,0.7437922444909576,up
PALB2,9,4,0.9916022828238956,up
PDGFRB,9,4,1.009704973256278,up
PLK1,9,4,1.2144894527513928,up
TAP1,9,4,0.8031078165802471,up
TCF7,9,4,0.7063521649101574,up
ZNRF3,9,4,1.3064600332445153,up
AKT2,10,4,0.8887864621172068,up
CD4,10,4,-0.590291863187701,down
DKK3,10,4,0.8721491285064573,up
DKK4,10,4,1.029335764976618,up
DVL3,10,4,0.5152730835341774,up
IL17A,10,4,1.1212303818464735,up
IRS1,10,4,0.9902101746032579,up
ALCAM,12,4,0.7690651684199459,up
BUB1B,12,4,1.2078031663783586,up
CCNA2,12,4,1.0451370568246352,up
CCNE2,12,4,0.980853034060312,up
EPHB3,12,4,1.0570033469290478,up
FANCA,12,4,0.8823344901998369,up
GLS,12,4,0.949915538262094,up
LEF1,12,4,1.2982702686743919,up
MKI67,12,4,1.4147643733688293,up
MRE11,12,4,1.151535568678136,up
PKM,12,4,0.7947451554212529,up
PMS1,12,4,0.631633318283952,up
RRM1,12,4,0.6851054704977292,up
TNFRSF10A,12,4,0.7049180687116309,up
AURKA,13,4,1.9205148012668642,up
DUSP4,13,4,1.9489536356540256,up
FOXM1,13,4,2.0177884663713868,up
MET,13,4,1.8486933180453218,up
MYC,13,4,1.9060304979965188,up
SLC7A11,13,4,2.2082790594064927,up
SOX9,13,4,1.801210222366712,up
AXIN2,14,4,2.136777915185833,up
ETV4,14,4,2.4313152997482264,up
LGR5,14,4,2.2271978063703237,up
MMP11,14,4,2.5125672166241197,up
RNF43,14,4,2.286315359859699,up
SCD,14,4,2.1357912226745577,up
SPP1,14,4,2.171421565601458,up
SQLE,14,4,2.0107380542305067,up
TGFBI,14,4,2.4956044629674756,up
WNT2,14,4,2.100196206637394,up
ABCG2,15,4,-4.2963092007769275,down
ANPEP,15,4,-3.720320333721856,down
CDKN2B,15,4,-3.129991271741203,down
CXCL12,15,4,-3.50719562830205,down
NR1H4,15,4,-3.272612323928305,down
SLC26A3,15,4,-3.5784139272353985,down
ACVR2A,16,4,-0.3935089216004446,down
CD3E,16,4,-0.5602307792619057,down
KRAS,16,4,-0.5814220259060381,down
EGFR,17,4,-0.7180321833102306,down
PTGS2,17,4,1.5280185985954744,up
SMC3,17,4,0.6808251173399231,up
STAT1,17,4,0.879496945514683,up
TIMP3,17,4,0.26547301356399045,up
TSC1,17,4,-0.34807913119032685,down
CXCL10,18,4,2.2812877195452606,up
IDO1,18,4,1.3873639322076472,up
IL6ST,18,4,-0.9251829343894711,down
JUN,18,4,1.3274745139888156,up
LGR4,18,4,-1.1908575100889838,down
PLCG1,18,4,1.0163008478643345,up
PTEN,18,4,-0.7804996505856252,down
FOXO1,19,4,-0.9261231950210447,down
GADD45B,19,4,0.02609584544435828,up
PDGFRA,19,4,-1.265939646774581,down
SMAD2,19,4,-0.6893579365878106,down
TEK,19,4,-0.9865723493034291,down
ANGPT2,21,4,0.8453808718815293,up
CDK1,21,4,1.722349191970624,up
DNMT3B,21,4,1.266887288750076,up
E2F1,21,4,0.8948867014089311,up
H2AX,21,4,0.8880640052231291,up
MSH6,21,4,0.9189614867489372,up
NOTCH3,21,4,1.1250812911387482,up
NTHL1,21,4,0.8801252241386255,up
PCNA,21,4,0.8804617983695664,up
PTPN11,21,4,0.7205040662606219,up
SPARC,21,4,1.353833711801202,up
WNT11,21,4,1.480027398101365,up
BLM,22,4,1.0768619031723432,up
BUB1,22,4,1.565525236009342,up
CCND1,22,4,1.6404302745007635,up
CHEK1,22,4,1.2930154192176528,up
EZH2,22,4,1.141073796036227,up
SLC2A1,22,4,1.2820490531659352,up
ABCB1,23,4,-1.8963828424935574,down
ALDH1A1,23,4,-1.986974041254175,down
APC,23,4,-1.0941148523710484,down
BCL2,23,4,-1.5822192675234055,down
BMP2,23,4,-1.6391157682711566,down
CLDN7,23,4,-0.8797278989674341,down
DCLK1,23,4,-1.4315835368248255,down
DPYD,23,4,-1.6831412654438591,down
GPA33,23,4,-1.6738081031571965,down
KLF4,23,4,-1.9670786659214183,down
KRT20,23,4,-1.8380807103854835,down
RSPO2,23,4,-1.7159524227223726,down
ZEB2,23,4,-1.250722895597247,down
FABP1,24,4,-2.363019461288557,down
FGFR2,24,4,-2.20571970751081,down
IL6R,24,4,-2.4018787894220734,down
MUC2,24,4,-2.2244660025839527,down
SFRP1,24,4,-2.5093877976308456,down
UGT1A1,24,4,-2.331881474788989,down
ABCC1,25,4,1.5497042608539193,up
BIRC5,25,4,1.6087019601024302,up
BRCA2,25,4,1.6154011895177056,up
CCNE1,25,4,1.451683278035464,up
FASN,25,4,1.6171970199507915,up
JAG2,25,4,1.487023524033295,up
PHGDH,25,4,1.466129495289404,up
SFRP4,25,4,1.4780346109667561,up
SRM,25,4,1.4487594320027908,up
WNT5A,25,4,1.4936031142057835,up
CDC20,26,4,1.377853805520119,up
CDK4,26,4,1.2637428780294073,up
EPHB4,26,4,1.2963836545280965,up
NKD2,26,4,1.3809379318668231,up
SKP2,26,4,1.2097028708541104,up
SOX4,26,4,1.3320459941468623,up
BRCA1,27,4,1.1367555883026477,up
EXO1,27,4,1.325750007242083,up
FOXA2,27,4,1.4323034843293512,up
SHH,27,4,1.158877515457269,up
VEGFA,27,4,1.1806137547914173,up
CDA,28,4,-2.5158566977886534,down
DDR2,28,4,-1.1990320911966204,down
EPAS1,28,4,-0.9848700959643821,down
FAS,28,4,-1.5411391265013994,down
PPARD,28,4,-1.148780242139865,down
SMAD4,28,4,-1.0743061416028108,down
SMAD7,28,4,-0.9280980990581451,down
TET2,28,4,-0.9132975231042497,down
VDR,28,4,-1.045527678867713,down
BRD4,30,4,0.7132765865073765,up
HRAS,30,4,0.43622672045629357,up
PIK3R2,30,4,0.6106150914516814,up
TP53BP1,30,4,0.431041484993532,up
BMP7,31,4,0.7711482186212941,up
CSNK2A1,31,4,0.5279886873043699,up
IL23A,31,4,0.6622786575408338,up
LDHA,31,4,0.4139126211099864,up
RAD51,31,4,0.5824187999424201,up
PLA2G2A,32,4,-1.826965696406834,down
POLE,32,4,0.4787020445336004,up
RAD21,32,4,0.3598227605700964,up
TWIST1,32,4,1.0986433843239563,up
TYMP,32,4,0.6132252931371749,up
IDH2,33,4,0.32334384998831806,up
NTRK2,33,4,-1.1241920782345203,down
SNAI2,33,4,-0.8404076638038426,down
BAK1,34,4,-0.47795581645586394,down
CXCR4,34,4,0.04880310828373968,up
DLL1,34,4,-0.5922409351259041,down
ETS1,34,4,-0.5476458368196102,down
PRF1,34,4,-0.02123907157581062,down
CD44,36,4,1.230834895759024,up
CDC25A,36,4,1.8743263801632697,up
CDKN2A,36,4,0.7350991418235928,up
CTNNB1,36,4,0.48811672773999604,up
IGF2R,36,4,0.6921009666843094,up
IL6,36,4,1.4892835742116564,up
MSH2,36,4,0.9043168335150753,up
PFKFB3,36,4,1.2196736694715655,up
PTGES,36,4,1.1016876570210812,up
SERPINE1,36,4,1.8888600438761478,up
CD40,38,4,0.30832561510185874,up
CXCL9,38,4,2.0794806646698003,up
DKK2,38,4,2.2102552472000006,up
FANCD2,38,4,1.2744730197220857,up
ITGA5,38,4,1.1326803117663276,up
TAP2,38,4,1.1191824075381636,up
ATR,39,4,0.9368449998090836,up
CDK8,39,4,0.9299656502216083,up
HDAC2,39,4,0.8319361333455877,up
NKD1,39,4,0.9387767607090511,up
POT1,39,4,0.8945864311614677,up
PTK2,39,4,0.6635462394674464,up
SLC1A5,39,4,0.7416822043839689,up
SMARCA4,39,4,0.8888692415963749,up
SMC1A,39,4,0.8419095457370762,up
