gene,n_runs_in_phase6,median_random_effect,std_random_effect,iqr_random_effect,median_random_p,direction,direction_concordance
A1CF,50,-1.275646,0.000000,0.000000,1.727247e-20,down,1.0000
A2M,50,-0.955755,0.000000,0.000000,1.410671e-18,down,1.0000
AARS1,50,0.935555,0.000000,0.000000,6.777205e-11,up,1.0000
AASDHPPT,46,0.654598,0.000000,0.000000,5.554887e-02,up,1.0000
AATF,50,0.876718,0.000000,0.000000,1.416047e-05,up,1.0000
ABAT,50,-0.450626,0.000000,0.000000,8.969729e-04,down,1.0000
ABCA1,48,-0.651535,0.000000,0.000000,2.958760e-02,down,1.0000
ABCA5,50,-1.385593,0.000000,0.000000,6.188262e-06,down,1.0000
ABCA8,50,-4.514811,0.000000,0.000000,1.477021e-122,down,1.0000
ABCA9,50,-1.486518,0.000000,0.000000,4.373878e-21,down,1.0000
ABCB1,50,-1.921080,0.000000,0.000000,8.673144e-06,down,1.0000
ABCB11,50,-1.608063,0.000000,0.000000,1.652609e-01,down,1.0000
ABCB4,50,-1.599126,0.000000,0.000000,2.690033e-04,down,1.0000
ABCB6,50,0.605644,0.000000,0.000000,3.266567e-02,up,1.0000
ABCC1,50,1.527481,0.000000,0.000000,4.389562e-06,up,1.0000
ABCC10,50,0.698005,0.000000,0.000000,2.008002e-04,up,1.0000
ABCC3,50,-0.760892,0.000000,0.000000,8.855630e-02,down,1.0000
ABCD3,50,-0.839185,0.000000,0.000000,1.448363e-02,down,1.0000
ABCE1,50,0.912855,0.000000,0.000000,2.341133e-05,up,1.0000
ABCF1,50,0.379354,0.000000,0.000000,1.780948e-06,up,1.0000
ABCF2,50,0.586409,0.000000,0.000000,2.900026e-16,up,1.0000
ABCG2,50,-4.325449,0.000000,0.000000,1.616869e-05,down,1.0000
ABHD11,50,0.288650,0.000000,0.000000,9.469965e-04,up,1.0000
ABHD15,50,-0.420877,0.000000,0.000000,1.905813e-03,down,1.0000
ABHD17C,48,-0.653446,0.000000,0.000000,1.080466e-02,down,1.0000
ABHD18,50,-0.394320,0.000000,0.000000,1.999819e-11,down,1.0000
ABHD5,46,-0.740692,0.000000,0.000000,1.853822e-02,down,1.0000
ABHD6,50,-0.590286,0.000000,0.000000,2.621883e-05,down,1.0000
ABI2,50,0.720216,0.000000,0.000000,3.589294e-02,up,1.0000
ABI3BP,50,-2.928761,0.000000,0.000000,1.444560e-11,down,1.0000
ABO,48,-0.480709,0.000000,0.000000,6.596427e-02,down,1.0000
ABRACL,50,-0.090364,0.000000,0.000000,7.758637e-01,down,1.0000
ABT1,50,0.337795,0.000000,0.000000,1.447895e-01,up,1.0000
ACAA1,50,-0.884568,0.000000,0.000000,1.639844e-02,down,1.0000
ACAA2,50,-1.330060,0.000000,0.000000,4.321552e-03,down,1.0000
ACACA,50,0.978801,0.000000,0.000000,1.762852e-31,up,1.0000
ACACB,50,-0.506920,0.000000,0.000000,3.209579e-02,down,1.0000
ACAD8,50,-0.676475,0.000000,0.000000,9.560846e-08,down,1.0000
ACAD9,50,0.369048,0.000000,0.000000,3.381387e-07,up,1.0000
ACADM,50,-1.042348,0.000000,0.000000,3.631001e-03,down,1.0000
ACADS,50,-1.613731,0.000000,0.000000,7.557055e-06,down,1.0000
ACADSB,50,-0.964773,0.000000,0.000000,3.549021e-03,down,1.0000
ACADVL,50,-0.892109,0.000000,0.000000,6.052890e-05,down,1.0000
ACAP2,45,-0.409379,0.000000,0.000000,3.526322e-02,down,1.0000
ACAT1,50,-1.130654,0.000000,0.000000,2.508771e-03,down,1.0000
ACBD4,50,-0.576127,0.000000,0.000000,7.807319e-06,down,1.0000
ACBD6,50,1.107560,0.000000,0.000000,4.954701e-05,up,1.0000
ACD,50,1.327334,0.000000,0.000000,1.061064e-13,up,1.0000
ACER2,50,-0.645988,0.000000,0.000000,1.062791e-03,down,1.0000
ACER3,50,-0.489638,0.000000,0.000000,4.448331e-02,down,1.0000
ACKR1,49,-1.622563,0.000000,0.000000,7.918843e-11,down,1.0000
ACKR3,50,0.523683,0.000000,0.000000,4.467612e-01,up,1.0000
ACKR4,49,-0.774784,0.000000,0.000000,1.282598e-01,down,1.0000
ACLY,47,0.982550,0.000000,0.000000,2.152737e-06,up,1.0000
ACO2,50,-0.817457,0.000000,0.000000,1.132445e-02,down,1.0000
ACOT1,50,-0.672916,0.000000,0.000000,2.977917e-06,down,1.0000
ACOT11,50,-0.650978,0.000000,0.000000,4.293042e-03,down,1.0000
ACOT13,50,-0.632083,0.000000,0.000000,2.337930e-08,down,1.0000
ACOX1,50,-0.858401,0.000000,0.000000,5.123183e-03,down,1.0000
ACOX3,50,-0.359972,0.000000,0.000000,2.681389e-01,down,1.0000
ACP1,50,0.305153,0.000000,0.000000,5.182386e-02,up,1.0000
ACP2,48,-0.482817,0.000000,0.000000,2.286548e-04,down,1.0000
ACP6,50,0.714227,0.000000,0.000000,1.002912e-05,up,1.0000
ACSF2,50,-1.062553,0.000000,0.000000,3.010604e-11,down,1.0000
ACSL4,48,1.055285,0.000000,0.000000,8.702161e-03,up,1.0000
ACSL6,0,0,0,0,1.0,none,0.0
ACSM3,50,-1.647451,0.000000,0.000000,6.291657e-50,down,1.0000
ACSS1,50,0.473354,0.000000,0.000000,6.761449e-07,up,1.0000
ACTL10,50,0.633260,0.000000,0.000000,2.415093e-03,up,1.0000
ACTN1,50,0.819336,0.000000,0.000000,2.491139e-03,up,1.0000
ACTR10,50,-0.403157,0.000000,0.000000,3.462415e-06,down,1.0000
ACTR3B,50,1.010014,0.000000,0.000000,1.892077e-05,up,1.0000
ACTR5,50,0.808633,0.000000,0.000000,2.335756e-16,up,1.0000
ACVR1,50,0.537366,0.000000,0.000000,7.353779e-02,up,1.0000
ACVR1C,50,-1.576852,0.000000,0.000000,2.025455e-17,down,1.0000
ACVR2A,50,-0.390107,0.000000,0.000000,3.403124e-07,down,1.0000
ACVR2B,48,0.509692,0.000000,0.000000,6.064783e-07,up,1.0000
ACVRL1,50,-1.292792,0.000000,0.000000,4.426643e-09,down,1.0000
ADA,50,1.177656,0.000000,0.000000,1.179966e-03,up,1.0000
ADA2,50,-1.090627,0.000000,0.000000,4.310186e-10,down,1.0000
ADAM12,0,0,0,0,1.0,none,0.0
ADAM17,50,0.642268,0.000000,0.000000,1.426426e-03,up,1.0000
ADAM19,50,0.467788,0.000000,0.000000,8.961133e-04,up,1.0000
ADAM28,50,-2.668757,0.000000,0.000000,1.032211e-06,down,1.0000
ADAMDEC1,50,-3.559817,0.000000,0.000000,5.020769e-67,down,1.0000
ADAMTS1,0,0,0,0,1.0,none,0.0
ADAMTS12,50,2.250288,0.000000,0.000000,8.483930e-14,up,1.0000
ADAMTS2,48,2.419547,0.000000,0.000000,1.587371e-08,up,1.0000
ADAMTS9,50,1.319026,0.000000,0.000000,1.850299e-02,up,1.0000
ADAMTSL1,50,-1.097287,0.000000,0.000000,7.980751e-04,down,1.0000
ADAMTSL3,50,-1.148623,0.000000,0.000000,6.526760e-02,down,1.0000
ADAR,50,0.425237,0.000000,0.000000,2.566621e-03,up,1.0000
ADAT1,50,0.523946,0.000000,0.000000,1.185876e-02,up,1.0000
ADCK2,50,0.274433,0.000000,0.000000,2.218694e-08,up,1.0000
ADCY3,50,0.911503,0.000000,0.000000,1.155555e-04,up,1.0000
ADCY6,50,-0.882690,0.000000,0.000000,1.504988e-09,down,1.0000
ADD1,50,-0.403196,0.000000,0.000000,2.288266e-04,down,1.0000
ADGRA3,50,-0.856024,0.000000,0.000000,2.277323e-14,down,1.0000
ADGRB3,50,-1.590777,0.000000,0.000000,3.599498e-04,down,1.0000
ADGRE5,0,0,0,0,1.0,none,0.0
ADGRG1,50,1.524434,0.000000,0.000000,2.904513e-18,up,1.0000
ADGRG5,49,-0.048473,0.000000,0.000000,8.683007e-01,down,1.0000
ADGRG6,0,0,0,0,1.0,none,0.0
ADGRG7,50,-1.501519,0.000000,0.000000,6.870313e-03,down,1.0000
ADGRL1,0,0,0,0,1.0,none,0.0
ADGRL3,50,-1.818270,0.000000,0.000000,1.610223e-36,down,1.0000
ADH1A,50,-2.295398,0.000000,0.000000,1.830991e-03,down,1.0000
ADH1B,50,-4.508496,0.000000,0.000000,2.157859e-69,down,1.0000
ADH1C,50,-4.545921,0.000000,0.000000,6.058658e-24,down,1.0000
ADH5,50,-0.395853,0.000000,0.000000,5.347911e-03,down,1.0000
ADH6,50,-1.749788,0.000000,0.000000,3.237951e-06,down,1.0000
ADHFE1,50,-1.002494,0.000000,0.000000,9.981964e-25,down,1.0000
ADIRF,48,-1.153121,0.000000,0.000000,3.613170e-11,down,1.0000
ADISSP,50,1.225054,0.000000,0.000000,2.595447e-06,up,1.0000
ADK,49,0.811429,0.000000,0.000000,1.155322e-04,up,1.0000
ADNP,50,0.959604,0.000000,0.000000,1.141663e-08,up,1.0000
ADO,50,0.612926,0.000000,0.000000,1.063854e-05,up,1.0000
ADORA3,50,-1.314034,0.000000,0.000000,4.037704e-19,down,1.0000
ADPGK,50,0.318011,0.000000,0.000000,2.071376e-02,up,1.0000
ADPRM,50,-0.291142,0.000000,0.000000,6.426657e-02,down,1.0000
ADRA2A,50,-1.777548,0.000000,0.000000,1.991175e-26,down,1.0000
ADRB1,50,-1.921070,0.000000,0.000000,4.129622e-03,down,1.0000
ADRB2,50,-1.106072,0.000000,0.000000,2.276749e-02,down,1.0000
ADRM1,50,1.319163,0.000000,0.000000,1.131861e-20,up,1.0000
AEBP1,47,0.672911,0.000000,0.000000,3.686801e-02,up,1.0000
AEBP2,48,0.553918,0.000000,0.000000,2.417360e-03,up,1.0000
AEN,50,1.170591,0.000000,0.000000,7.860620e-03,up,1.0000
AFF1,46,-0.700729,0.000000,0.000000,2.515342e-06,down,1.0000
AFF3,50,-2.144601,0.000000,0.000000,7.757229e-05,down,1.0000
AFF4,50,-0.315036,0.000000,0.000000,1.632044e-01,down,1.0000
AFG3L2,50,-0.729338,0.000000,0.000000,8.100979e-04,down,1.0000
AGA,50,-0.294393,0.000000,0.000000,5.134323e-02,down,1.0000
AGAP3,49,0.978239,0.000000,0.000000,8.584912e-17,up,1.0000
AGFG1,50,0.537126,0.000000,0.000000,2.309005e-03,up,1.0000
AGK,50,0.469451,0.000000,0.000000,4.491539e-04,up,1.0000
AGL,50,-0.835552,0.000000,0.000000,9.963392e-08,down,1.0000
AGMAT,50,0.707448,0.000000,0.000000,4.127166e-04,up,1.0000
AGO2,50,0.704871,0.000000,0.000000,6.464977e-06,up,1.0000
AGR2,50,-0.700333,0.000000,0.000000,1.469619e-03,down,1.0000
AGR3,50,-2.386751,0.000000,0.000000,3.026786e-05,down,1.0000
AGRN,50,0.937816,0.000000,0.000000,6.106623e-24,up,1.0000
AGT,48,1.698400,0.000000,0.000000,7.839169e-05,up,1.0000
AGTPBP1,50,0.652431,0.000000,0.000000,5.679731e-03,up,1.0000
AGTRAP,50,0.761942,0.000000,0.000000,3.665746e-03,up,1.0000
AHCTF1,50,0.512656,0.000000,0.000000,2.484203e-03,up,1.0000
AHCY,50,1.550851,0.000000,0.000000,4.094176e-23,up,1.0000
AHCYL2,50,-2.134884,0.000000,0.000000,9.466048e-04,down,1.0000
AHNAK,50,-1.245695,0.000000,0.000000,2.402544e-38,down,1.0000
AHNAK2,50,0.124861,0.000000,0.000000,8.427430e-01,up,1.0000
AHRR,50,-0.819362,0.000000,0.000000,3.396425e-02,down,1.0000
AHSA1,50,0.446390,0.000000,0.000000,7.055461e-04,up,1.0000
AIG1,50,0.507407,0.000000,0.000000,1.459144e-02,up,1.0000
AIMP2,50,0.492804,0.000000,0.000000,1.679701e-06,up,1.0000
AIRIM,50,0.814800,0.000000,0.000000,7.705414e-13,up,1.0000
AJUBA,48,2.954983,0.000000,0.000000,9.389581e-51,up,1.0000
AK2,50,0.036912,0.000000,0.000000,8.739116e-01,up,1.0000
AK3,50,-0.349697,0.000000,0.000000,3.734823e-02,down,1.0000
AKAP11,50,0.687494,0.000000,0.000000,3.020794e-02,up,1.0000
AKAP13,50,-0.719809,0.000000,0.000000,1.251574e-03,down,1.0000
AKAP17A,50,0.276511,0.000000,0.000000,7.792031e-04,up,1.0000
AKAP19,50,-3.679465,0.000000,0.000000,7.559957e-13,down,1.0000
AKAP7,50,-1.745723,0.000000,0.000000,2.821222e-29,down,1.0000
AKAP9,50,-1.296282,0.000000,0.000000,3.654287e-09,down,1.0000
AKIP1,50,0.607723,0.000000,0.000000,1.709473e-06,up,1.0000
AKIRIN1,50,-0.331365,0.000000,0.000000,3.935729e-02,down,1.0000
AKR1B10,50,-3.666951,0.000000,0.000000,3.662025e-05,down,1.0000
AKR1C1,50,-1.071921,0.000000,0.000000,1.409477e-03,down,1.0000
AKR1C3,50,-1.075971,0.000000,0.000000,8.111604e-02,down,1.0000
AKT2,50,0.498044,0.000000,0.000000,1.204089e-02,up,1.0000
AKTIP,50,-0.224740,0.000000,0.000000,2.633890e-01,down,1.0000
ALAD,50,-0.839727,0.000000,0.000000,3.206043e-08,down,1.0000
ALAS1,48,-0.159045,0.000000,0.000000,6.748448e-01,down,1.0000
ALCAM,50,0.703979,0.000000,0.000000,4.144345e-04,up,1.0000
ALDH1A1,50,-1.961331,0.000000,0.000000,2.875725e-33,down,1.0000
ALDH1A3,47,0.881691,0.000000,0.000000,2.002319e-01,up,1.0000
ALDH1B1,49,0.728924,0.000000,0.000000,3.122925e-02,up,1.0000
ALDH3A2,50,-0.649094,0.000000,0.000000,5.092396e-03,down,1.0000
ALDH4A1,50,1.684422,0.000000,0.000000,1.377762e-02,up,1.0000
ALDH6A1,50,-0.819223,0.000000,0.000000,9.724621e-04,down,1.0000
ALG1,49,0.579474,0.000000,0.000000,6.556118e-04,up,1.0000
ALG3,50,0.916523,0.000000,0.000000,1.545808e-09,up,1.0000
ALG5,49,0.789459,0.000000,0.000000,1.819680e-03,up,1.0000
ALG8,50,0.738164,0.000000,0.000000,8.905697e-05,up,1.0000
ALKAL2,50,-2.141054,0.000000,0.000000,9.414577e-07,down,1.0000
ALKBH2,50,1.085236,0.000000,0.000000,1.215712e-07,up,1.0000
ALKBH7,50,-0.691711,0.000000,0.000000,5.599301e-10,down,1.0000
ALPI,50,-1.083770,0.000000,0.000000,1.789236e-02,down,1.0000
AMIGO2,49,1.006613,0.000000,0.000000,1.254510e-01,up,1.0000
AMMECR1,50,0.846210,0.000000,0.000000,7.687700e-07,up,1.0000
AMN,50,-1.799648,0.000000,0.000000,3.522861e-05,down,1.0000
AMOTL2,50,1.266450,0.000000,0.000000,3.545223e-04,up,1.0000
AMPD1,50,-2.256450,0.000000,0.000000,5.289277e-10,down,1.0000
AMPD2,50,0.809600,0.000000,0.000000,4.486089e-27,up,1.0000
AMT,50,-1.091338,0.000000,0.000000,2.852505e-31,down,1.0000
AMZ2,50,0.668429,0.000000,0.000000,1.707722e-02,up,1.0000
ANAPC10,50,0.343808,0.000000,0.000000,5.329312e-02,up,1.0000
ANAPC11,50,0.675068,0.000000,0.000000,9.056822e-06,up,1.0000
ANAPC13,50,0.381512,0.000000,0.000000,2.608320e-02,up,1.0000
ANAPC5,50,0.421669,0.000000,0.000000,1.659782e-03,up,1.0000
ANAPC7,50,0.782999,0.000000,0.000000,4.112836e-16,up,1.0000
ANG,50,-0.711548,0.000000,0.000000,4.907442e-07,down,1.0000
ANGEL1,50,0.693469,0.000000,0.000000,7.045030e-03,up,1.0000
ANGPT2,50,0.876856,0.000000,0.000000,6.391054e-19,up,1.0000
ANGPTL1,50,-3.265876,0.000000,0.000000,4.053578e-03,down,1.0000
ANGPTL2,50,0.670754,0.000000,0.000000,1.344308e-01,up,1.0000
ANK2,50,-2.300784,0.000000,0.000000,3.146586e-06,down,1.0000
ANK3,50,-1.310717,0.000000,0.000000,3.280427e-04,down,1.0000
ANKEF1,50,0.688050,0.000000,0.000000,4.865650e-03,up,1.0000
ANKFY1,50,-0.420791,0.000000,0.000000,1.462452e-02,down,1.0000
ANKIB1,50,0.412845,0.000000,0.000000,3.129997e-03,up,1.0000
ANKLE2,50,0.616287,0.000000,0.000000,2.008103e-04,up,1.0000
ANKMY2,50,-0.632137,0.000000,0.000000,1.263557e-04,down,1.0000
ANKRA2,49,-0.160038,0.000000,0.000000,4.418917e-01,down,1.0000
ANKRD10,50,0.303860,0.000000,0.000000,1.025133e-02,up,1.0000
ANKRD12,50,-1.042993,0.000000,0.000000,3.629724e-04,down,1.0000
ANKRD13A,50,-0.520222,0.000000,0.000000,2.466334e-03,down,1.0000
ANKRD13B,50,0.523244,0.000000,0.000000,1.101031e-04,up,1.0000
ANKRD13C,50,-0.475702,0.000000,0.000000,1.864144e-12,down,1.0000
ANKRD16,50,0.650704,0.000000,0.000000,1.791931e-19,up,1.0000
ANKRD22,46,0.885790,0.000000,0.000000,5.340348e-03,up,1.0000
ANKRD35,50,-0.814879,0.000000,0.000000,1.562951e-02,down,1.0000
ANKRD39,50,0.555658,0.000000,0.000000,1.460681e-03,up,1.0000
ANKRD40,50,0.293684,0.000000,0.000000,1.242509e-01,up,1.0000
