gene,modal_cluster,modal_count,total_runs,modal_fraction,n_distinct_clusters
A1CF,0,6,50,0.120,34
A2M,219,2,50,0.040,45
AARS1,69,2,50,0.040,48
AASDHPPT,260,2,50,0.040,43
AATF,110,2,50,0.040,47
ABAT,136,2,50,0.040,48
ABCA1,3,2,50,0.040,46
ABCA5,1,3,50,0.060,45
ABCA8,165,2,50,0.040,48
ABCA9,333,2,50,0.040,48
ABCB1,289,2,50,0.040,48
ABCB11,9,2,50,0.040,45
ABCB4,244,2,50,0.040,47
ABCB6,108,2,50,0.040,48
ABCC1,112,2,50,0.040,49
ABCC10,419,2,50,0.040,49
ABCC3,158,2,50,0.040,47
ABCD3,334,2,50,0.040,48
ABCE1,318,1,50,0.020,50
ABCF1,176,2,50,0.040,49
ABCF2,621,2,50,0.040,48
ABCG2,0,5,50,0.100,42
ABHD11,554,1,50,0.020,50
ABHD15,455,2,50,0.040,49
ABHD17C,579,2,50,0.040,47
ABHD18,469,2,50,0.040,49
ABHD5,511,2,50,0.040,44
ABHD6,80,2,50,0.040,48
ABI2,212,2,50,0.040,49
ABI3BP,420,2,50,0.040,47
ABO,307,2,50,0.040,47
ABRACL,559,2,50,0.040,49
ABT1,764,2,50,0.040,49
ACAA1,157,2,50,0.040,45
ACAA2,542,2,50,0.040,49
ACACA,611,1,50,0.020,50
ACACB,474,2,50,0.040,47
ACAD8,353,2,50,0.040,48
ACAD9,780,2,50,0.040,49
ACADM,612,2,50,0.040,49
ACADS,12,2,50,0.040,49
ACADSB,617,1,50,0.020,50
ACADVL,475,2,50,0.040,48
ACAP2,492,1,50,0.020,45
ACAT1,612,2,50,0.040,49
ACBD4,464,2,50,0.040,49
ACBD6,734,1,50,0.020,50
ACD,140,2,50,0.040,48
ACER2,460,1,50,0.020,50
ACER3,656,2,50,0.040,49
ACKR1,318,2,50,0.040,46
ACKR3,1,2,50,0.040,48
ACKR4,787,2,50,0.040,46
ACLY,782,1,50,0.020,47
ACO2,38,2,50,0.040,49
ACOT1,738,2,50,0.040,47
ACOT11,289,2,50,0.040,48
ACOT13,506,1,50,0.020,50
ACOX1,511,2,50,0.040,48
ACOX3,285,2,50,0.040,46
ACP1,319,2,50,0.040,48
ACP2,619,2,50,0.040,46
ACP6,665,2,50,0.040,46
ACSF2,230,2,50,0.040,48
ACSL4,658,2,50,0.040,47
ACSL6,492,2,50,0.040,49
ACSM3,245,2,50,0.040,47
ACSS1,2,2,50,0.040,49
ACTL10,547,1,50,0.020,50
ACTN1,469,1,50,0.020,50
ACTR10,142,2,50,0.040,48
ACTR3B,709,2,50,0.040,47
ACTR5,478,2,50,0.040,49
ACVR1,590,2,50,0.040,48
ACVR1C,89,2,50,0.040,49
ACVR2A,518,2,50,0.040,49
