cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
0,17,A1CF|ABCG2|CD79A|CDKL2|CHP2|CWH43|CYTIP|GCNT2|GSTM2|HSPA2|LYPD8|PKIB|SI|SLC30A10|SORBS2|SYNPO|TRPM6,5,6,5.5
1,36,ABCA5|ACKR3|ANK3|ANO5|ARL4C|C9orf72|CALD1|CALU|CD55|CIMIP2C|COQ9|COX6B2|E2F5|ECSCR|ETS2|EZR|HLA-B|HOXB6|KIAA0513|MYADM|NAT1|PGAP3|PLAUR|PLSCR4|PNKD|POLA1|SAMD8|SLC38A2|SLCO2B1|SOCS1|TAC1|THAP4|TM4SF1|UTP20|ZBTB21|ZNF575,2,3,2.2
2,16,ACSS1|ADGRB3|ATP8B1|BLNK|EPHX1|ERN2|GALNT12|GTSE1|HSPA5|LRRC31|RAB27B|RASSF6|SQOR|TGFA|TLCD4|TRAF7,2,3,2.4
3,27,ABCA1|ADAMTS1|ADCK2|ANKFY1|ATE1|CDT1|COL4A4|COX8A|GGCT|MAP2K4|NCEH1|PARD6A|PDE3B|RAP1B|RPF2|RPL15|RRAS2|SEC13|SKP2|SLC11A2|SPECC1|SPIDR|TEX30|TTC14|WDR12|WSB1|ZNF703,2,2,2.0
4,21,BMP3|C7|CLECL1|DST|FAS|GABARAPL2|GULP1|IFNAR1|IGLL1|KCTD9|LMO3|MS4A1|MUC5B|NCOA4|PDLIM1|PTGER4|PTPN22|RNF7|SAMD9|UBR1|ZNF518A,2,2,2.0
5,5,CSNK1G3|N4BP2L1|TANK|TDRD7|TSPYL1,2,2,2.0
7,10,HSPE1|HYOU1|LYRM1|MRPS10|NDC1|PAAF1|PDCD2|PRPS2|RPL36|WDR5,2,2,2.0
8,8,BRAT1|IFT22|MCM8|NSUN5|PRRC2A|RPL7L1|YARS1|ZNF280C,2,2,2.0
9,25,ABCB11|ARMC10|CCNO|CPSF3|CTPS2|EGLN3|EIF4E3|ENPP2|FOXA1|LIF|NMB|NOL6|OLA1|PCMTD2|PERP|PPP1R36|RAN|RARRES1|RELL1|SLCO4C1|TMEM147|UBFD1|UCHL3|WWOX|ZZEF1,2,4,3.2
11,14,CDC6|CST2|EDNRA|HOXB8|KIF14|PPAT|PPBP|RNF183|S100P|SLC4A11|STMN3|TNFSF15|UBE2S|ULBP2,2,2,2.0
12,8,ACADS|APPL2|FFAR4|ITPKA|ORMDL2|PAQR5|TNFRSF11A|ZNF415,1,2,1.9
