run,success,core_gene_count,elapsed_seconds
1,True,6025,1802.4
2,True,6045,1643.9
3,True,6037,1510.6
4,True,6021,1453.2
5,True,6013,1457.6
6,True,6047,1460.6
7,True,6032,1438.4
8,True,6026,1414.8
9,True,6010,1436.8
10,True,6014,1445.6
11,True,6030,1417.0
12,True,6049,1401.3
13,True,6040,1426.7
14,True,6030,1404.7
15,True,5995,1398.9
16,True,6030,1394.3
17,True,6032,1418.6
18,True,6030,1399.6
19,True,6029,1377.8
20,True,6023,1331.0
21,True,6006,1339.6
22,True,6015,1321.4
23,True,6057,1329.5
24,True,6037,1365.8
25,True,6007,1367.6
26,True,6019,1385.1
27,True,6031,1369.8
28,True,6044,1373.1
29,True,6009,1365.9
30,True,6046,1364.9
31,True,6041,1362.7
32,True,6027,1381.7
33,True,6023,1352.8
34,True,6034,1396.3
35,True,6001,1386.0
36,True,6036,1392.2
37,True,6043,1406.6
38,True,6005,1429.9
39,True,5994,1439.4
40,True,6020,1425.0
41,True,6053,1438.9
42,True,6039,1391.3
43,True,6037,1405.6
44,True,6024,1435.8
45,True,6029,1418.8
46,True,6029,1422.6
47,True,6013,1433.2
48,True,6035,1406.8
49,True,6018,1418.5
50,True,6042,1403.6
