run_i,run_j,n_genes_i,n_genes_j,n_intersection,n_union,jaccard
1,2,6025,6045,5927,6143,0.9648380270226273
1,3,6025,6037,5904,6158,0.9587528418317636
1,4,6025,6021,5906,6140,0.9618892508143323
1,5,6025,6013,5908,6130,0.9637846655791191
1,6,6025,6047,5931,6141,0.9658036150464093
1,7,6025,6032,5914,6143,0.9627217971675077
1,8,6025,6026,5910,6141,0.9623839765510503
1,9,6025,6010,5895,6140,0.9600977198697068
1,10,6025,6014,5897,6142,0.9601107131227613
1,11,6025,6030,5912,6143,0.9623962233436432
1,12,6025,6049,5930,6144,0.9651692708333334
1,13,6025,6040,5924,6141,0.9646637355479564
1,14,6025,6030,5903,6152,0.9595253576072822
1,15,6025,5995,5893,6127,0.9618083890974376
1,16,6025,6030,5927,6128,0.9671997389033943
1,17,6025,6032,5924,6133,0.9659220609815751
1,18,6025,6030,5916,6139,0.9636748656132921
1,19,6025,6029,5907,6147,0.9609565641776476
1,20,6025,6023,5924,6124,0.9673416067929458
1,21,6025,6006,5896,6135,0.9610431947840261
1,22,6025,6015,5894,6146,0.958997722095672
1,23,6025,6057,5939,6143,0.9667914699658148
1,24,6025,6037,5907,6155,0.9597075548334687
1,25,6025,6007,5895,6137,0.9605670523056868
1,26,6025,6019,5906,6138,0.9622026718800912
1,27,6025,6031,5907,6149,0.960644007155635
1,28,6025,6044,5925,6144,0.96435546875
1,29,6025,6009,5891,6143,0.9589776981930653
1,30,6025,6046,5921,6150,0.9627642276422764
1,31,6025,6041,5914,6152,0.9613133940182055
1,32,6025,6027,5899,6153,0.9587193239070372
1,33,6025,6023,5910,6138,0.9628543499511242
1,34,6025,6034,5919,6140,0.9640065146579805
1,35,6025,6001,5897,6129,0.9621471691956274
1,36,6025,6036,5916,6145,0.9627339300244101
1,37,6025,6043,5920,6148,0.962914769030579
1,38,6025,6005,5884,6146,0.9573706475756589
1,39,6025,5994,5882,6137,0.9584487534626038
1,40,6025,6020,5903,6142,0.9610875936177141
1,41,6025,6053,5926,6152,0.9632639791937582
1,42,6025,6039,5908,6156,0.9597141000649773
1,43,6025,6037,5916,6146,0.9625772860397006
1,44,6025,6024,5914,6135,0.9639771801140994
1,45,6025,6029,5912,6142,0.9625529143601432
1,46,6025,6029,5902,6152,0.9593628088426528
1,47,6025,6013,5912,6126,0.9650669278485146
1,48,6025,6035,5915,6145,0.9625711960943857
1,49,6025,6018,5893,6150,0.9582113821138212
1,50,6025,6042,5917,6150,0.9621138211382114
2,3,6045,6037,5926,6156,0.9626380766731644
2,4,6045,6021,5916,6150,0.9619512195121951
2,5,6045,6013,5920,6138,0.9644835451287064
2,6,6045,6047,5951,6141,0.969060413613418
2,7,6045,6032,5927,6150,0.963739837398374
2,8,6045,6026,5918,6153,0.9618072484966683
2,9,6045,6010,5908,6147,0.9611192451602407
2,10,6045,6014,5922,6137,0.9649665960567052
2,11,6045,6030,5934,6141,0.9662921348314607
2,12,6045,6049,5940,6154,0.9652258693532662
2,13,6045,6040,5939,6146,0.9663195574357305
2,14,6045,6030,5929,6146,0.9646924829157175
2,15,6045,5995,5904,6136,0.9621903520208605
2,16,6045,6030,5931,6144,0.96533203125
2,17,6045,6032,5933,6144,0.9656575520833334
2,18,6045,6030,5935,6140,0.9666123778501629
2,19,6045,6029,5929,6145,0.9648494711147274
2,20,6045,6023,5924,6144,0.9641927083333334
2,21,6045,6006,5917,6134,0.9646234104988588
2,22,6045,6015,5916,6144,0.962890625
2,23,6045,6057,5959,6143,0.9700472082044603
2,24,6045,6037,5924,6158,0.962000649561546
2,25,6045,6007,5903,6149,0.9599934948772159
2,26,6045,6019,5926,6138,0.9654610622352557
2,27,6045,6031,5935,6141,0.9664549747598111
