gene,appearance_count,appearance_rate,stability_class,total_runs
A1CF,50,1.0000,iron-clad,50
CD79A,50,1.0000,iron-clad,50
CDKL2,50,1.0000,iron-clad,50
CYTIP,50,1.0000,iron-clad,50
GSTM2,50,1.0000,iron-clad,50
HSPA2,50,1.0000,iron-clad,50
SORBS2,50,1.0000,iron-clad,50
SYNPO,50,1.0000,iron-clad,50
ABCA5,50,1.0000,iron-clad,50
ANK3,50,1.0000,iron-clad,50
KIAA0513,50,1.0000,iron-clad,50
NAT1,50,1.0000,iron-clad,50
PLSCR4,50,1.0000,iron-clad,50
ZNF575,50,1.0000,iron-clad,50
ADGRB3,50,1.0000,iron-clad,50
ATP8B1,50,1.0000,iron-clad,50
GALNT12,50,1.0000,iron-clad,50
LRRC31,50,1.0000,iron-clad,50
RAB27B,50,1.0000,iron-clad,50
RASSF6,50,1.0000,iron-clad,50
SQOR,50,1.0000,iron-clad,50
CDT1,50,1.0000,iron-clad,50
GGCT,50,1.0000,iron-clad,50
RPF2,50,1.0000,iron-clad,50
SKP2,50,1.0000,iron-clad,50
SLC11A2,50,1.0000,iron-clad,50
TEX30,50,1.0000,iron-clad,50
WDR12,50,1.0000,iron-clad,50
ZNF703,50,1.0000,iron-clad,50
ANKS6,50,1.0000,iron-clad,50
CLCN5,50,1.0000,iron-clad,50
CLNS1A,50,1.0000,iron-clad,50
E2F1,50,1.0000,iron-clad,50
GPALPP1,50,1.0000,iron-clad,50
PCNA,50,1.0000,iron-clad,50
PTPN13,50,1.0000,iron-clad,50
RHBDF1,50,1.0000,iron-clad,50
SPICE1,50,1.0000,iron-clad,50
THUMPD2,50,1.0000,iron-clad,50
ZNF146,50,1.0000,iron-clad,50
AZI2,50,1.0000,iron-clad,50
CRK,50,1.0000,iron-clad,50
ENTPD4,50,1.0000,iron-clad,50
GABARAPL2,50,1.0000,iron-clad,50
IFNAR1,50,1.0000,iron-clad,50
NCOA4,50,1.0000,iron-clad,50
PDLIM1,50,1.0000,iron-clad,50
RNF103,50,1.0000,iron-clad,50
RNF7,50,1.0000,iron-clad,50
UBR1,50,1.0000,iron-clad,50
ATP5F1B,50,1.0000,iron-clad,50
C11orf71,50,1.0000,iron-clad,50
CBFA2T3,50,1.0000,iron-clad,50
DLD,50,1.0000,iron-clad,50
EIF2AK3,50,1.0000,iron-clad,50
ERBIN,50,1.0000,iron-clad,50
FEZ2,50,1.0000,iron-clad,50
SCOC,50,1.0000,iron-clad,50
TOGARAM1,50,1.0000,iron-clad,50
YPEL5,50,1.0000,iron-clad,50
ENPP3,50,1.0000,iron-clad,50
FBXL3,50,1.0000,iron-clad,50
MFSD11,50,1.0000,iron-clad,50
NDUFA5,50,1.0000,iron-clad,50
NRBF2,50,1.0000,iron-clad,50
PNRC2,50,1.0000,iron-clad,50
RALB,50,1.0000,iron-clad,50
SLC35B3,50,1.0000,iron-clad,50
TSC22D3,50,1.0000,iron-clad,50
ADAM12,50,1.0000,iron-clad,50
ANO6,50,1.0000,iron-clad,50
AQP9,50,1.0000,iron-clad,50
CCDC74B,50,1.0000,iron-clad,50
CCL20,50,1.0000,iron-clad,50
ZNF251,50,1.0000,iron-clad,50
CD46,50,1.0000,iron-clad,50
COMMD7,50,1.0000,iron-clad,50
EIF2S1,50,1.0000,iron-clad,50
ELAVL1,50,1.0000,iron-clad,50
MED27,50,1.0000,iron-clad,50
POLR2I,50,1.0000,iron-clad,50
PUF60,50,1.0000,iron-clad,50
ZNF7,50,1.0000,iron-clad,50
EAF1,50,1.0000,iron-clad,50
HUS1,50,1.0000,iron-clad,50
LFNG,50,1.0000,iron-clad,50
NPAS2,50,1.0000,iron-clad,50
PAPOLG,50,1.0000,iron-clad,50
STRN4,50,1.0000,iron-clad,50
TMEM165,50,1.0000,iron-clad,50
ABHD6,50,1.0000,iron-clad,50
CADM1,50,1.0000,iron-clad,50
COX4I1,50,1.0000,iron-clad,50
MYCT1,50,1.0000,iron-clad,50
SASH1,50,1.0000,iron-clad,50
CNGA1,50,1.0000,iron-clad,50
GPR34,50,1.0000,iron-clad,50
HRCT1,50,1.0000,iron-clad,50
IGK,50,1.0000,iron-clad,50
IRF4,50,1.0000,iron-clad,50
MAB21L2,50,1.0000,iron-clad,50
RNASE1,50,1.0000,iron-clad,50
SLC13A2,50,1.0000,iron-clad,50
SLC16A7,50,1.0000,iron-clad,50
TMEM61,50,1.0000,iron-clad,50
AATF,50,1.0000,iron-clad,50
AGRN,50,1.0000,iron-clad,50
CDK5RAP1,50,1.0000,iron-clad,50
KIF9,50,1.0000,iron-clad,50
KNTC1,50,1.0000,iron-clad,50
LRRC36,50,1.0000,iron-clad,50
MYL6B,50,1.0000,iron-clad,50
NAA16,50,1.0000,iron-clad,50
PDZK1IP1,50,1.0000,iron-clad,50
RAB15,50,1.0000,iron-clad,50
RAD23A,50,1.0000,iron-clad,50
TBC1D24,50,1.0000,iron-clad,50
WDR35,50,1.0000,iron-clad,50
WDR74,50,1.0000,iron-clad,50
BHLHE41,50,1.0000,iron-clad,50
CYB5D2,50,1.0000,iron-clad,50
DHRS4L2,50,1.0000,iron-clad,50
FAM149A,50,1.0000,iron-clad,50
FLI1,50,1.0000,iron-clad,50
HECTD3,50,1.0000,iron-clad,50
MAPK3,50,1.0000,iron-clad,50
PPP1R3C,50,1.0000,iron-clad,50
PRICKLE2,50,1.0000,iron-clad,50
SPAG7,50,1.0000,iron-clad,50
STPG1,50,1.0000,iron-clad,50
ZSCAN18,50,1.0000,iron-clad,50
KAZN,50,1.0000,iron-clad,50
NDC80,50,1.0000,iron-clad,50
ACVRL1,50,1.0000,iron-clad,50
AKAP9,50,1.0000,iron-clad,50
C1orf210,50,1.0000,iron-clad,50
CFHR1,50,1.0000,iron-clad,50
CLIC2,50,1.0000,iron-clad,50
COL4A6,50,1.0000,iron-clad,50
ECI2,50,1.0000,iron-clad,50
FAM107B,50,1.0000,iron-clad,50
RAPGEFL1,50,1.0000,iron-clad,50
SMIM31,50,1.0000,iron-clad,50
SOWAHA,50,1.0000,iron-clad,50
SSPN,50,1.0000,iron-clad,50
SYNE1,50,1.0000,iron-clad,50
TFCP2L1,50,1.0000,iron-clad,50
ZEB2,50,1.0000,iron-clad,50
ENY2,50,1.0000,iron-clad,50
MIER2,50,1.0000,iron-clad,50
PPM1G,50,1.0000,iron-clad,50
PRDX1,50,1.0000,iron-clad,50
TBCB,50,1.0000,iron-clad,50
TSEN2,50,1.0000,iron-clad,50
CHAF1A,50,1.0000,iron-clad,50
OXLD1,50,1.0000,iron-clad,50
PAM16,50,1.0000,iron-clad,50
PARP1,50,1.0000,iron-clad,50
TCF7,50,1.0000,iron-clad,50
TENT4A,50,1.0000,iron-clad,50
ASNS,50,1.0000,iron-clad,50
CBFB,50,1.0000,iron-clad,50
