Riker Engine — Stability Profiling Report
============================================================

Config: /home/kai001/riker-engine/disease_days/2026-05-02_crc_v0332/blind_pc/config.yaml
Runs attempted: 50
Runs successful: 50
Total time: 70764.4s (1179.4m)

Core gene counts across runs:
  Min: 5994
  Max: 6057
  Mean: 6027.4
  Variance: ±31.5 genes (0.5%)

Unique genes seen: 6192
  Iron-clad (>=90% of runs): 5748
  Borderline (50-89%):       393
  Stochastic (<50%):         51

Iron-clad genes (5748):
  A1CF: 50/50 (100%)
  A2M: 50/50 (100%)
  AARS1: 50/50 (100%)
  AASDHPPT: 46/50 (92%)
  AATF: 50/50 (100%)
  ABAT: 50/50 (100%)
  ABCA1: 48/50 (96%)
  ABCA5: 50/50 (100%)
  ABCA8: 50/50 (100%)
  ABCA9: 50/50 (100%)
  ABCB1: 50/50 (100%)
  ABCB11: 50/50 (100%)
  ABCB4: 50/50 (100%)
  ABCB6: 50/50 (100%)
  ABCC1: 50/50 (100%)
  ABCC10: 50/50 (100%)
  ABCC3: 50/50 (100%)
  ABCD3: 50/50 (100%)
  ABCE1: 50/50 (100%)
  ABCF1: 50/50 (100%)
  ABCF2: 50/50 (100%)
  ABCG2: 50/50 (100%)
  ABHD11: 50/50 (100%)
  ABHD15: 50/50 (100%)
  ABHD17C: 48/50 (96%)
  ABHD18: 50/50 (100%)
  ABHD5: 46/50 (92%)
  ABHD6: 50/50 (100%)
  ABI2: 50/50 (100%)
  ABI3BP: 50/50 (100%)
  ABO: 48/50 (96%)
  ABRACL: 50/50 (100%)
  ABT1: 50/50 (100%)
  ACAA1: 50/50 (100%)
  ACAA2: 50/50 (100%)
  ACACA: 50/50 (100%)
  ACACB: 50/50 (100%)
  ACAD8: 50/50 (100%)
  ACAD9: 50/50 (100%)
  ACADM: 50/50 (100%)
  ACADS: 50/50 (100%)
  ACADSB: 50/50 (100%)
  ACADVL: 50/50 (100%)
  ACAP2: 45/50 (90%)
  ACAT1: 50/50 (100%)
  ACBD4: 50/50 (100%)
  ACBD6: 50/50 (100%)
  ACD: 50/50 (100%)
  ACER2: 50/50 (100%)
  ACER3: 50/50 (100%)
  ACKR1: 49/50 (98%)
  ACKR3: 50/50 (100%)
  ACKR4: 49/50 (98%)
  ACLY: 47/50 (94%)
  ACO2: 50/50 (100%)
  ACOT1: 50/50 (100%)
  ACOT11: 50/50 (100%)
  ACOT13: 50/50 (100%)
  ACOX1: 50/50 (100%)
  ACOX3: 50/50 (100%)
  ACP1: 50/50 (100%)
  ACP2: 48/50 (96%)
  ACP6: 50/50 (100%)
  ACSF2: 50/50 (100%)
  ACSL4: 48/50 (96%)
  ACSL6: 50/50 (100%)
  ACSM3: 50/50 (100%)
  ACSS1: 50/50 (100%)
  ACTL10: 50/50 (100%)
  ACTN1: 50/50 (100%)
  ACTR10: 50/50 (100%)
  ACTR3B: 50/50 (100%)
  ACTR5: 50/50 (100%)
  ACVR1: 50/50 (100%)
  ACVR1C: 50/50 (100%)
  ACVR2A: 50/50 (100%)
  ACVR2B: 48/50 (96%)
  ACVRL1: 50/50 (100%)
  ADA: 50/50 (100%)
  ADA2: 50/50 (100%)
  ADAM12: 50/50 (100%)
  ADAM17: 50/50 (100%)
  ADAM19: 50/50 (100%)
  ADAM28: 50/50 (100%)
  ADAMDEC1: 50/50 (100%)
  ADAMTS1: 48/50 (96%)
  ADAMTS12: 50/50 (100%)
  ADAMTS2: 48/50 (96%)
  ADAMTS9: 50/50 (100%)
  ADAMTSL1: 50/50 (100%)
  ADAMTSL3: 50/50 (100%)
  ADAR: 50/50 (100%)
  ADAT1: 50/50 (100%)
  ADCK2: 50/50 (100%)
  ADCY3: 50/50 (100%)
  ADCY6: 50/50 (100%)
  ADD1: 50/50 (100%)
  ADGRA3: 50/50 (100%)
  ADGRB3: 50/50 (100%)
  ADGRE5: 50/50 (100%)
  ADGRG1: 50/50 (100%)
  ADGRG5: 49/50 (98%)
  ADGRG6: 50/50 (100%)
  ADGRG7: 50/50 (100%)
  ADGRL1: 50/50 (100%)
  ADGRL3: 50/50 (100%)
