gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
A2M,0.30897051422008587,0.6673512939564127,1.0,1.0,0.0
A2ML1,0.49799687162506984,1.0,1.0,1.0,0.0
AACS,0.2887135048377363,1.0,1.0,1.0,0.0
AADAT,0.31089851775705724,0.368345945096631,1.0,1.0,0.0
AAGAB,0.3432235670578851,0.1166016732440616,1.0,0.0,0.0
AAMDC,0.2495757978362746,1.0,1.0,1.0,0.0
AASS,0.4292646352952445,1.0,1.0,1.0,0.0
AATF,0.3554628321506726,0.4417538991931674,1.0,1.0,0.0
ABAT,0.2815814197968851,0.7208549515902045,1.0,1.0,0.0
ABCA1,0.3726336894258282,0.8176745135126636,1.0,1.0,0.0
ABCA12,0.5366125530318743,1.0,1.0,1.0,0.0
ABCA13,0.28575932515906083,0.37853653164181167,1.0,1.0,0.0
ABCA2,0.31203820056244314,0.8862845049677107,1.0,1.0,0.0
ABCA3,0.30313249711832035,1.0,1.0,1.0,0.0
ABCA4,0.3304956802041667,0.3324642071085039,1.0,0.0,0.0
ABCA5,0.3031302940731568,0.7022023070882855,1.0,1.0,0.0
ABCA6,0.27375992161690565,0.9124815711501644,1.0,1.0,0.0
ABCA7,0.3697384668012581,0.5550269839648035,1.0,1.0,0.0
ABCA8,0.2785127586923438,0.9493613259528328,1.0,1.0,0.0
ABCA9,0.23916749446468594,1.0,1.0,1.0,0.0
ABCB4,0.3143815709836722,0.30043016637263814,1.0,1.0,0.0
ABCB6,0.3988917473123809,1.0,1.0,1.0,0.0
ABCC1,0.3940593343260447,1.0,1.0,1.0,0.0
ABCC10,0.3636350897614029,0.3362175983270761,1.0,1.0,0.0
ABCC2,0.3467726882380634,0.1633962090063795,1.0,1.0,0.0
ABCC3,0.24679762659793167,1.0,1.0,1.0,0.0
ABCC9,0.3039408453655907,0.8486709853333115,1.0,1.0,0.0
ABCE1,0.3677190639142857,1.0,1.0,1.0,0.0
ABCF1,0.36840774341460436,1.0,1.0,1.0,0.0
ABCF2,0.3758852327635436,1.0,1.0,0.0,0.0
ABCF3,0.366601963321921,0.40578298959822356,1.0,1.0,0.0
ABCG1,0.36307017740946673,1.0,1.0,0.0,0.0
ABCG4,0.38850322899200035,1.0,1.0,1.0,0.0
ABHD10,0.30604815664038504,1.0,1.0,1.0,0.0
ABHD11,0.27623106931915975,1.0,1.0,1.0,0.0
ABHD14A,0.31709358950225075,0.589560274142185,1.0,1.0,0.0
ABHD14B,0.29618390751221474,1.0,1.0,1.0,0.0
ABHD15,0.3207345010399879,0.7189695515159603,1.0,1.0,0.0
ABHD17C,0.4532334031987369,1.0,1.0,1.0,0.0
ABHD2,0.2650351921364602,1.0,1.0,1.0,0.0
ABHD5,0.37118877243947607,0.877062384605744,1.0,0.0,0.0
ABHD6,0.2838345184488594,1.0,1.0,1.0,0.0
ABI2,0.32816883784115664,1.0,1.0,0.0,0.0
ABI3,0.3464977568783861,0.15434310056554512,1.0,1.0,0.0
ABI3BP,0.2708491538657284,1.0,1.0,1.0,0.0
ABITRAM,0.39341756023222213,1.0,1.0,1.0,0.0
ABL1,0.30953849487400076,0.5866422650245694,1.0,1.0,0.0
ABLIM1,0.330475620565881,0.2509893622343964,1.0,1.0,0.0
ABLIM2,0.23006076024981653,1.0,1.0,0.0,0.0
ABLIM3,0.2585208887799828,1.0,1.0,1.0,0.0
ABRACL,0.37610666704176876,1.0,1.0,1.0,0.0
ABRAXAS1,0.3413531978319105,0.30448326276601595,1.0,0.0,0.0
ABT1,0.3728428193462044,0.7936851978976505,1.0,1.0,0.0
ACAA1,0.3644735817692958,0.42447041988574286,1.0,1.0,0.0
ACAA2,0.2925725162304544,0.37333574319339224,1.0,1.0,0.0
ACACB,0.2502956887147907,1.0,1.0,1.0,0.0
ACADL,0.23522554755817354,1.0,1.0,1.0,0.0
ACADM,0.299282296761652,0.30355466717610546,1.0,1.0,0.0
ACADSB,0.2604114121027352,1.0,1.0,1.0,0.0
ACAP1,0.38378470372097734,1.0,1.0,1.0,0.0
ACAP3,0.34982332063148736,0.609510883336665,1.0,0.0,0.0
ACAT1,0.27127717333274504,1.0,1.0,1.0,0.0
ACBD3,0.352001474854918,0.0796568057037863,1.0,1.0,0.0
ACBD4,0.33378017711718727,0.07560706598234895,1.0,1.0,0.0
ACBD6,0.34292872640260236,0.16249217019701873,1.0,0.0,0.0
ACCS,0.30929815048384934,0.297805668872046,1.0,1.0,0.0
ACE2,0.39294824464078826,1.0,1.0,1.0,0.0
ACKR1,0.30071704306805475,0.4360282970067128,1.0,1.0,0.0
ACKR3,0.3063602656867472,0.393648615966895,1.0,1.0,0.0
ACKR4,0.270757641872932,1.0,1.0,1.0,0.0
ACO2,0.3684212787736622,0.7957542361712819,1.0,1.0,0.0
ACOT1,0.1499793246591253,1.0,1.0,1.0,0.0
ACOT11,0.2617613851917522,1.0,1.0,1.0,0.0
ACOT13,0.3583364469772579,0.1151520726400849,1.0,1.0,0.0
ACOT4,0.2811618198048893,0.4649827296075457,1.0,1.0,0.0
ACOT7,0.42597578423628923,1.0,1.0,1.0,0.0
ACOT8,0.3060575043549202,0.30593683630609014,1.0,1.0,0.0
ACOX1,0.30878487721638637,1.0,1.0,1.0,0.0
ACOX2,0.20042771231226864,1.0,1.0,1.0,0.0
ACOX3,0.41508973222674567,1.0,1.0,1.0,0.0
ACP3,0.5140665454946529,1.0,1.0,1.0,0.0
ACP5,0.45835291471549694,1.0,1.0,1.0,0.0
ACSBG1,0.16293533104518593,1.0,1.0,1.0,0.0
ACSF2,0.26133898802975597,1.0,1.0,1.0,0.0
ACSL1,0.29284559129941473,1.0,1.0,1.0,0.0
ACSL5,0.31642288058550266,0.1323004504325696,1.0,1.0,0.0
ACSM1,0.3412687267850869,0.06355000755038824,1.0,0.0,0.0
ACSM3,0.22104118942470585,0.5355964969786369,1.0,1.0,0.0
ACSS1,0.2943284962211344,1.0,1.0,1.0,0.0
ACSS2,0.2929724371314494,0.542633842922145,1.0,1.0,0.0
ACSS3,0.2197973804150193,1.0,1.0,1.0,0.0
ACTA1,0.2728818018031592,0.37644636063039544,1.0,1.0,0.0
ACTA2,0.2989448892863971,0.7491415168547776,1.0,1.0,0.0
ACTB,0.3358067357773369,0.01573046468586444,1.0,1.0,0.0
ACTC1,0.23213137055979075,0.30412750485495565,1.0,1.0,0.0
ACTG2,0.23764411372632033,1.0,1.0,1.0,0.0
ACTL10,0.3504874853849917,0.26104733918978906,1.0,1.0,0.0
ACTN1,0.3174084859133356,0.5032512941548986,1.0,1.0,0.0
ACTR2,0.3426169274424192,0.08550917382150842,1.0,0.0,0.0
