gene,cluster_id
A2M,1
A2ML1,65
AACS,68
AADAT,327
AAGAB,266
AAMDC,180
AASS,220
AATF,383
ABAT,388
ABCA1,502
ABCA12,155
ABCA13,381
ABCA2,188
ABCA3,157
ABCA4,334
ABCA5,784
ABCA6,336
ABCA7,132
ABCA8,337
ABCA9,94
ABCB4,130
ABCB6,71
ABCC1,20
ABCC10,46
ABCC2,112
ABCC3,225
ABCC9,32
ABCE1,394
ABCF1,396
ABCF2,400
ABCF3,550
ABCG1,190
ABCG4,134
ABHD10,114
ABHD11,96
ABHD14A,160
ABHD14B,277
ABHD15,785
ABHD17C,80
ABHD2,165
ABHD5,231
ABHD6,283
ABI2,276
ABI3,75
ABI3BP,346
ABITRAM,166
ABL1,192
ABLIM1,439
ABLIM2,139
ABLIM3,81
ABRACL,404
ABRAXAS1,201
ABT1,150
ACAA1,386
ACAA2,381
ACACB,182
ACADL,168
ACADM,741
ACADSB,287
ACAP1,239
ACAP3,293
ACAT1,243
ACBD3,552
ACBD4,460
ACBD6,557
ACCS,-1
ACE2,200
ACKR1,462
ACKR3,177
ACKR4,346
ACO2,150
ACOT1,419
ACOT11,202
ACOT13,423
ACOT4,357
ACOT7,245
ACOT8,741
ACOX1,247
ACOX2,363
ACOX3,300
ACP3,169
ACP5,203
ACSBG1,251
ACSF2,202
ACSL1,364
ACSL5,204
ACSM1,269
ACSM3,358
ACSS1,170
ACSS2,164
ACSS3,172
ACTA1,381
ACTA2,208
ACTB,554
ACTC1,546
ACTG2,50
ACTL10,308
ACTN1,372
ACTR2,218
ACTR3,432
ACTR3B,523
ACTR3C,525
ACTR5,311
ACTR8,21
ACTRT3,409
ACVR1B,186
ACVR1C,358
ACVR2A,743
ACVR2B,403
ACVRL1,-1
ADA,335
ADA2,77
ADAM10,709
ADAM17,471
ADAM19,569
ADAM22,94
ADAM23,433
ADAM28,219
ADAM33,714
ADAM8,716
ADAMDEC1,717
ADAMTS12,522
ADAMTS15,463
ADAMTS17,336
ADAMTS2,610
ADAMTS3,644
ADAMTSL1,358
ADAMTSL3,287
ADAMTSL4,611
ADAP2,527
ADAR,528
ADAT2,475
ADAT3,434
ADCY1,559
ADCY2,476
ADCY4,307
ADCY5,358
ADCY6,198
ADCY7,78
ADCY9,224
ADCYAP1R1,336
ADD1,559
ADD3,531
ADGRA2,68
ADGRA3,642
ADGRB1,648
ADGRD1,685
ADGRF1,766
ADGRF5,551
ADGRG2,272
ADGRL3,429
ADGRL4,778
ADH1B,685
ADH7,751
ADHFE1,336
ADIPOQ,358
ADIPOR1,567
ADIPOR2,568
ADIRF,137
ADISSP,113
