gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
ARG1,0.27023279643242903,1.0,1.0,1.0,0.0
BCL2,0.0,1.0,1.0,1.0,0.0
CAMP,0.14407080863919394,0.6415089520569953,1.0,1.0,0.0
CARD14,0.23664193059681238,1.0,1.0,1.0,0.0
CASP3,0.14352045891368365,0.4965424627461937,1.0,1.0,0.0
CASP5,0.26909367180272,1.0,1.0,1.0,0.0
CCL20,0.6378224571011668,1.0,1.0,1.0,0.0
CST6,0.025532532257801128,1.0,1.0,1.0,0.0
CXCL1,0.6329125205559801,1.0,1.0,1.0,0.0
CXCL8,0.6744975691455126,1.0,1.0,1.0,0.0
DEFB4B,0.6725692688622876,1.0,1.0,1.0,0.0
ELANE,0.08425792528972961,0.11087438754818554,1.0,1.0,0.0
FABP5,0.27614268612753257,1.0,1.0,1.0,0.0
FBXL19,0.20642066745211582,1.0,1.0,1.0,0.0
GATA3,0.012045374773917884,1.0,1.0,1.0,0.0
HLA-C,0.126962006320628,0.0,1.0,1.0,0.0
IFIH1,0.2552668639595147,1.0,1.0,1.0,0.0
IFNG,0.1496829574917797,1.0,1.0,1.0,0.0
IL12B,0.2810351330172514,1.0,1.0,1.0,0.0
IL17F,0.13984974548019583,0.5256451372553012,1.0,1.0,0.0
IL19,0.4804613814522985,1.0,1.0,1.0,0.0
IL1B,0.32768202842057753,1.0,1.0,1.0,0.0
IL20,0.2128349940833717,1.0,1.0,1.0,0.0
IL22,0.14132821189074543,0.25409462966001795,1.0,1.0,0.0
IL24,0.22946605947994098,0.9369544492969895,1.0,1.0,0.0
IL36A,0.361020312224176,1.0,1.0,1.0,0.0
IL36G,0.6966061788895245,1.0,1.0,1.0,0.0
IL36RN,0.4199301577511277,1.0,1.0,1.0,0.0
IVL,0.3321768958411232,1.0,1.0,1.0,0.0
KLK5,0.20236404011925604,0.6585498817333464,1.0,1.0,0.0
KLK7,0.20334758979684228,1.0,1.0,1.0,0.0
KRT16,0.47911471463244937,1.0,1.0,1.0,0.0
KRT17,0.2289422721420367,1.0,1.0,1.0,0.0
KRT6A,0.3085634381778767,1.0,1.0,1.0,0.0
KYNU,0.53479407436514,1.0,1.0,1.0,0.0
LCE3D,0.5009612443895167,1.0,1.0,1.0,0.0
LTF,0.5299055749403672,1.0,1.0,1.0,0.0
NOS2,0.14696768387720324,1.0,1.0,1.0,0.0
PI3,0.5840985044406255,1.0,1.0,1.0,0.0
REL,0.21598003379305208,1.0,1.0,1.0,0.0
RNASE7,0.23171850405869918,0.6011477989871791,1.0,1.0,0.0
RNF114,0.09811826898752861,0.1958401197151165,1.0,1.0,0.0
S100A1,0.006958374284398316,1.0,1.0,1.0,0.0
S100A12,1.0,1.0,1.0,1.0,0.0
S100A2,0.23589413241066823,1.0,1.0,1.0,0.0
S100A4,0.06451472806637741,1.0,1.0,1.0,0.0
S100A7,0.3389698797581774,1.0,1.0,1.0,0.0
S100A7A,0.5326523515568163,1.0,1.0,1.0,0.0
S100A9,0.7102457844267991,1.0,1.0,1.0,0.0
SERPINB3,0.697190168283192,1.0,1.0,1.0,0.0
SERPINB4,0.8238885146863025,1.0,1.0,1.0,0.0
SLPI,0.23511270660432038,1.0,1.0,1.0,0.0
SPRR1B,0.3146578455647054,1.0,1.0,1.0,0.0
STAT3,0.15782365441305163,1.0,1.0,1.0,0.0
TGM1,0.566836021591453,1.0,1.0,1.0,0.0
TGM3,0.41240769479952677,1.0,1.0,1.0,0.0
TNF,0.16944995710682717,0.7262041697852917,1.0,1.0,0.0
TNIP1,0.14887590353024843,1.0,1.0,0.0,0.0
TRAF3IP2,0.16770012082759195,1.0,1.0,1.0,0.0
TYK2,0.13034279276597865,0.06513535834659502,1.0,0.0,0.0
