gene,n_runs_in_phase6,median_random_effect,std_random_effect,iqr_random_effect,median_random_p,direction,direction_concordance
A2M,47,-0.288342,0.000000,0.000000,8.283819e-09,down,1.0000
A2ML1,50,1.528121,0.000000,0.000000,1.155263e-01,up,1.0000
AACS,50,-0.491017,0.000000,0.000000,1.251458e-02,down,1.0000
AADAT,50,-0.263010,0.000000,0.000000,3.185167e-02,down,1.0000
AAMDC,50,-0.867892,0.000000,0.000000,1.300431e-01,down,1.0000
AASS,50,0.859670,0.000000,0.000000,1.383316e-01,up,1.0000
ABAT,50,-0.544460,0.000000,0.000000,8.770748e-02,down,1.0000
ABCA12,50,1.901809,0.000000,0.000000,2.908998e-02,up,1.0000
ABCA13,50,-0.484289,0.000000,0.000000,4.872599e-08,down,1.0000
ABCA2,50,-0.260673,0.000000,0.000000,6.044972e-02,down,1.0000
ABCA3,50,-0.344839,0.000000,0.000000,2.123638e-15,down,1.0000
ABCA5,49,-0.341749,0.000000,0.000000,9.639294e-06,down,1.0000
ABCA6,50,-0.625387,0.000000,0.000000,5.242808e-02,down,1.0000
ABCA8,50,-0.578194,0.000000,0.000000,3.333086e-11,down,1.0000
ABCA9,50,-0.962946,0.000000,0.000000,1.417897e-01,down,1.0000
ABCB6,50,0.569242,0.000000,0.000000,1.947144e-01,up,1.0000
ABCC1,50,0.528654,0.000000,0.000000,6.692746e-03,up,1.0000
ABCC2,47,0.063793,0.000000,0.000000,1.103262e-01,up,1.0000
ABCC3,50,-0.888023,0.000000,0.000000,1.411662e-01,down,1.0000
ABCC9,50,-0.343532,0.000000,0.000000,1.202964e-05,down,1.0000
ABCE1,50,0.274961,0.000000,0.000000,2.654812e-02,up,1.0000
ABCF1,50,0.276764,0.000000,0.000000,1.447019e-01,up,1.0000
ABCF2,49,0.351926,0.000000,0.000000,5.776376e-01,up,1.0000
ABCF3,48,0.250250,0.000000,0.000000,1.548438e-01,up,1.0000
ABCG1,50,0.227860,0.000000,0.000000,6.793870e-01,up,1.0000
ABCG4,50,0.470061,0.000000,0.000000,1.568970e-02,up,1.0000
ABHD10,50,-0.323226,0.000000,0.000000,1.522895e-05,down,1.0000
ABHD11,50,-0.606874,0.000000,0.000000,1.364660e-01,down,1.0000
ABHD14A,50,-0.215436,0.000000,0.000000,5.252400e-07,down,1.0000
ABHD14B,50,-0.416975,0.000000,0.000000,2.145428e-04,down,1.0000
ABHD15,50,-0.188723,0.000000,0.000000,1.414443e-07,down,1.0000
ABHD17C,50,1.096090,0.000000,0.000000,6.882519e-02,up,1.0000
ABHD2,50,-0.712302,0.000000,0.000000,9.750958e-02,down,1.0000
ABHD5,50,0.302076,0.000000,0.000000,6.930626e-01,up,1.0000
ABHD6,50,-0.538722,0.000000,0.000000,1.056255e-02,down,1.0000
ABI2,50,-0.110676,0.000000,0.000000,6.860310e-01,down,1.0000
ABI3,50,0.059742,0.000000,0.000000,4.269082e-02,up,1.0000
ABI3BP,50,-0.651013,0.000000,0.000000,8.709173e-05,down,1.0000
ABITRAM,50,0.513546,0.000000,0.000000,3.371550e-02,up,1.0000
ABL1,50,-0.263212,0.000000,0.000000,8.404021e-06,down,1.0000
ABLIM3,50,-0.774892,0.000000,0.000000,1.415939e-01,down,1.0000
ABRACL,47,0.354571,0.000000,0.000000,1.944322e-04,up,1.0000
ABRAXAS1,50,0.010534,0.000000,0.000000,9.696953e-01,up,1.0000
