cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
0,15,ABCA12|ACOT7|ALAS1|CDCA5|CIMAP1B|CMPK2|COMTD1|IRF9|MCM2|MMP1|NCF2|SOST|SOX7|TMEM86A|WFDC12,1,2,1.5
1,17,AKAP12|BEND3|C8orf88|CAMSAP3|DAAM2|DPYSL3|DTX4|FIGN|GSDMC|IFRD2|MALL|PTPN21|SHC4|SLC12A9|SMAD9|STRBP|ZNF521,1,2,1.7
2,8,CAND1|CLN5|ELAVL1|FBXO9|HNRNPA2B1|HNRNPDL|TXNL1|ZRANB1,2,2,2.0
4,14,ACAT1|ADGRF1|ALCAM|GCH1|HAL|HINT3|LAMTOR4|PMCH|PRELID3B|RPL22L1|SGO2|SMIM5|SNX1|ZNF35,2,3,2.4
5,7,AXL|CAPS|CLMN|COL8A2|NR3C1|SPATS2|TPM1,1,1,1.0
7,17,ABCG4|CCRL2|CSRNP1|DDX41|ESRP1|IMPA2|INTS13|LILRA4|MFSD1|NDEL1|RANGAP1|RCC2|RNF187|RPS19BP1|SNX11|WDR77|ZNRD2,2,3,2.5
8,21,ATG2A|CCDC51|CCNF|CDC6|DPH2|FAAH2|FHDC1|IRF8|KCTD11|LY6D|PANX1|PITPNC1|PPP6R1|PRMT3|PYGL|RHOG|SEMA7A|SERPINB12|TACC3|TXNDC17|UBALD2,2,2,2.0
9,14,ADRB2|FUT1|HMBS|ITM2A|KCNK5|NOCT|OMD|PRSS22|PRSS8|PUSL1|TK1|WDR53|XAF1|YBX2,2,2,2.0
11,5,LRRK1|PCCB|PTPN23|SELENOT|SUGP2,2,2,2.0
12,4,BDKRB2|FEN1|PRRG4|RELL2,2,2,2.0
16,14,ACSS2|ANKFN1|ATG101|C1QTNF3|CLYBL|EPHA3|KIF5C|LGI1|MCM4|MYO10|PAX8|RNF112|TBC1D10C|TLCD5,2,2,2.0
17,12,AVPI1|CEP170B|FIGNL1|GLMN|HSD17B10|NAPRT|NOP10|SCNN1A|SLC13A4|SNRPD1|TAF13|TRMT1,1,2,1.4
18,7,FURIN|HOXC13|KRT80|LRRC8D|PPP4C|SOX15|YARS1,2,2,2.0
19,6,CKMT1A|OLFM1|PIK3R5|RAC2|SPNS2|TENM2,3,3,3.0
20,12,ACVR1B|BAZ2B|CFAP300|L3MBTL3|LATS2|LUC7L|NUDT13|PMP2|RASEF|SLF2|TBCEL|ZNF436,2,2,2.0
21,19,ACAA1|ATP6V0B|ATP6V1A|BCL2L11|CFAP298|FERMT2|GLI2|IL17RD|IRAG1|LUZP1|MAP1B|NDNF|NTN1|PACSIN3|PEX13|RTRAF|SREBF2|ZBED3|ZNF626,2,2,2.0
22,5,FLVCR2|FUT3|OAS2|RGS20|TMC5,2,2,2.0
23,3,AMER1|MYNN|ZSWIM9,2,2,2.0
24,8,CDH12|CHD6|CTDSPL2|FAM124A|GLI3|NEURL1B|RCOR3|TLE5,2,2,2.0
25,5,ACACB|EN1|NEXMIF|RBPMS2|TUB,2,2,2.0
26,17,BCL2|C3orf70|CD99L2|CDON|FIBIN|FOXC1|GAN|PAIP2B|SLITRK6|SOX13|TBX18|TMEM200A|TMPRSS2|TNNI2|VIT|ZBTB10|ZNF423,1,2,1.7
31,5,NOS3|NUP155|PREP|TIFAB|TMEM65,2,2,2.0
32,14,CD81|CFD|EFEMP2|FCGBP|KLHDC1|MACIR|MIB1|PWWP3A|SERINC1|TCEAL7|WDFY3|ZNF182|ZNF320|ZNF880,2,2,2.0
33,4,BAIAP3|EDC3|FIS1|RLIM,2,2,2.0
34,11,ADRA1A|AGTR1|ANG|C7|ENTREP1|GREB1L|MPZ|MYOC|OGN|SNTB1|SOX5,2,2,2.0
35,8,CARD6|GALNT6|GK3|MYO18A|PABPC1L|PBK|RIOX2|SCO2,2,2,2.0
36,14,ACTG2|DIP2C|ETV1|F3|FAM117A|FAM149A|IGSF11|LDB3|MAML2|MB|NCAM1|PDGFRL|PEX11A|ZFPM2,1,1,1.0
37,18,AR|ATOH8|CAMK2N1|CRIP2|GNG11|GSTA1|HACL1|IER2|LRRN4CL|MLPH|OXCT1|PELI2|PHYHD1|RHOB|SAAL1|SSPN|STON1|TRAM1L1,1,2,1.6
38,4,ABCE1|COPS5|CPSF3|SEM1,1,1,1.0
39,9,AGO4|DCAF16|DOCK4|KLHL24|MPHOSPH6|NFIX|PDGFA|SRGAP2C|VAMP2,2,2,2.0
40,6,C2CD2|NKTR|TMEM167B|TSPAN4|ZNF25|ZNF506,2,2,2.0
43,30,CASP5|CBX1|CCL2|CCL3L3|CENPW|CFB|CLIC3|CTPS1|DLG5|FHIP1A|FPR3|GPAT3|HERPUD1|LGALS3BP|MTCL1|PAFAH1B1|PARPBP|PRMT6|PSAP|RAB38|RPS11|SERPINB7|SPIN4|STAT1|STIM1|TMBIM6|TMED10|TMEM54|TMSB4X|TOM1,2,3,2.3
44,4,CSDE1|MT-ND2|NPTN|STK3,3,3,3.0
46,6,CALM3|KLHL12|MINDY3|MRPS25|RTL8C|SAMD4B,2,2,2.0
48,5,CCL22|CYP4F22|KRT6C|PNPT1|PRSS53,2,2,2.0
49,26,ADAT3|CDC25A|CHST1|CLSTN1|CTNNB1|ELOVL7|FKBPL|HMGN3|HYKK|LNP1|NFE2L3|NUSAP1|PINK1|PRXL2A|RNF13|RPAIN|RPS25|SCPEP1|SPOP|STK38|TNFRSF21|TTC5|UBE2F|USF2|ZNF680|ZSCAN25,1,2,1.7
50,24,A2ML1|CDH26|CERS3|CYBB|DOLPP1|DSC2|EPN3|FAM43A|FMNL1|GBP5|IL1B|MMP9|PARP10|PI15|POGLUT1|PRF1|PTAFR|RASGRP1|RIPOR3|RRM2|SHCBP1|TOR2A|TPX2|TYRO3,2,3,2.3
51,16,BHLHE41|EPCAM|GATA6|GNA15|GPC6|GREM2|IGFBP6|IL7R|PLAAT3|PPM1M|PUDP|RAI2|SHROOM2|THAP2|WNT5A|ZNF667,1,3,1.9
52,5,ASPM|CD2|FBXO6|HSD17B2|IL4R,3,3,3.0
54,3,ADPRH|TRAFD1|ZC3H18,1,1,1.0
55,4,ATXN2L|FREM3|RBM7|TAF8,2,2,2.0
59,11,CHCHD7|DENND4C|PRKD2|RAB8B|STAM2|TLE4|TMEM219|TMEM50B|ZNF250|ZNF358|ZNF70,2,2,2.0
60,6,ARHGEF26|ASPN|GATA3|MYO15B|TCEAL3|ZNF514,2,2,2.0
61,7,AIM2|DHRS9|LIPG|PLAT|SLC5A1|SLC7A11|ZBED2,2,2,2.0
62,17,ARHGAP6|CCN5|CDKN3|CENPE|CRYAB|CTLA4|GFRA1|KCNMB4|KIF20A|LYPD5|MX1|NEGR1|PGLYRP4|SLC6A14|SUSD2|TEX101|TGM3,2,2,2.0
63,17,ABCA3|ASPA|DBN1|FBLN5|FNIP2|GABPB2|GLUD1|MAL|MARVELD1|P4HA2|PTPRU|RETREG1|RGPD6|SEMA3G|SERTM1|SLC8A1|SRGAP1,2,2,2.0
65,6,APOBEC2|ARPC5|CEP290|PAQR6|RBM42|THTPA,2,2,2.0
67,35,AP1B1|ATP6V1G1|BAG3|BBS1|BIK|CAV1|CCDC146|COBL|CREBL2|DNAJB2|ENPP4|FRZB|ITGA3|LAMB4|LARP6|LYAR|MRPL17|MRPL53|MRPS7|NOTCH2NLA|PDGFD|PHAF1|RAD54L|RCOR1|SLC22A17|SRSF11|ST6GAL1|SUN1|TLE2|UBE2D4|USP12|VRK2|ZFP28|ZHX2|ZNF415,2,3,2.3
68,11,ARHGAP28|ARHGEF10L|COG4|DTNBP1|MCM9|NAA20|NAP1L4|RABGGTB|SLC25A5|TBC1D9B|UBE2D2,2,3,2.5
69,28,AACS|ADGRA2|ANKS6|B4GAT1|BACH1|CAMTA1|COCH|COX20|DEF8|GPS2|GTF2A2|HNMT|IDI1|LRCH3|MAP3K7|MIA3|PALM2AKAP2|RAB11FIP1|RBM18|RPP30|SLC25A4|SMIM11|TMEM242|TTC27|ZCCHC24|ZFTRAF1|ZNF300|ZNF562,1,3,1.9
70,13,EID3|FECH|ID4|MERTK|NEDD4L|NMT1|NSUN7|PPP1R9A|PSMD11|PTN|SFXN1|SIRAL1|TMCC1,2,3,2.5
71,20,ADK|BLOC1S3|CEBPB|CHD2|CKB|DNAJB11|DUSP7|FLNC|HDGF|HENMT1|KIF22|NOSIP|NUP62CL|RNF7|SLC17A7|SOCS1|TIMM8B|TRMT10B|TXNDC16|TXNRD1,1,2,1.3
72,4,CLCN6|NIBAN1|SLC25A17|THUMPD1,2,2,2.0
73,9,CDC42EP5|ETHE1|FKBP1B|HMOX2|IFITM10|IL26|PLEK|SLC16A6|SLCO4A1,2,2,2.0
74,20,ARHGAP12|CD151|COL6A1|CXCL12|CYP3A4|FAM111B|FRA10AC1|GLCE|IL2RG|NAMPT|OIP5|PAN2|PGM2|RPTN|SCAI|SENP7|SERGEF|SFPQ|TMEM40|U2SURP,2,2,2.0
76,33,A2M|ARHGEF15|CACNB1|CDH11|DDX19B|DYNLT2B|FADS3|FASN|FBXL7|GIMAP1|GIPC2|INSYN1|KANSL1L|KAT8|KLB|LCORL|LIF|LOX|MEST|MFAP4|MRAS|NR1D1|PPCDC|RARRES2|RIN1|SFSWAP|ST6GAL2|TFCP2L1|TFR2|TMEM181|TSNARE1|ZBTB47|ZNF829,2,3,2.2
77,6,CERCAM|DUSP4|FAT4|MRGPRF|TMEM100|UNKL,2,2,2.0
78,4,CYS1|LDAF1|PNLDC1|UBE2QL1,2,2,2.0
79,2,CRACDL|ZSCAN18,2,2,2.0
