run,success,core_gene_count,elapsed_seconds
1,True,6278,1582.1
2,True,6297,1532.1
3,True,6283,1544.0
4,True,6308,1547.6
5,True,6307,1561.7
6,True,6305,1583.5
7,True,6271,1625.6
8,True,6267,1590.0
9,True,6314,1572.7
10,True,6296,1598.5
11,True,6280,1588.4
12,True,6325,1560.3
13,True,6317,1574.4
14,True,6291,1568.8
15,True,6302,1572.9
16,True,6328,1623.4
17,True,6317,1591.2
18,True,6292,1597.8
19,True,6335,1561.5
20,True,6289,1577.2
21,True,6308,1533.3
22,True,6298,1589.9
23,True,6292,1573.2
24,True,6325,1576.5
25,True,6311,1579.1
26,True,6277,1624.2
27,True,6279,1597.2
28,True,6302,1585.9
29,True,6312,1604.7
30,True,6284,1647.1
31,True,6300,1557.7
32,True,6304,1557.6
33,True,6306,1545.5
34,True,6299,1551.4
35,True,6309,1538.1
36,True,6291,1544.8
37,True,6308,1556.9
38,True,6329,1522.8
39,True,6296,1552.5
40,True,6305,1522.4
41,True,6303,1522.2
42,True,6302,1515.1
43,True,6293,1495.8
44,True,6301,1477.7
45,True,6316,1500.6
46,True,6309,1496.5
47,True,6292,1493.7
48,True,6293,1508.1
49,True,6332,1531.2
50,True,6308,1449.4
