run_i,run_j,n_genes_i,n_genes_j,n_intersection,n_union,jaccard
1,2,6278,6297,6188,6387,0.9688429622671051
1,3,6278,6283,6174,6387,0.9666510098637858
1,4,6278,6308,6199,6387,0.9705652105839987
1,5,6278,6307,6197,6388,0.970100187852223
1,6,6278,6305,6187,6396,0.9673233270794246
1,7,6278,6271,6172,6377,0.9678532225184255
1,8,6278,6267,6163,6382,0.9656847383265434
1,9,6278,6314,6194,6398,0.9681150359487339
1,10,6278,6296,6185,6389,0.9680701205196431
1,11,6278,6280,6174,6384,0.9671052631578947
1,12,6278,6325,6209,6394,0.9710666249609008
1,13,6278,6317,6201,6394,0.9698154519862371
1,14,6278,6291,6180,6389,0.9672875254343403
1,15,6278,6302,6191,6389,0.9690092346220066
1,16,6278,6328,6217,6389,0.9730787290655815
1,17,6278,6317,6193,6402,0.9673539518900344
1,18,6278,6292,6187,6383,0.9692934356885478
1,19,6278,6335,6219,6394,0.9726305911792306
1,20,6278,6289,6170,6397,0.9645146162263561
1,21,6278,6308,6202,6384,0.9714912280701754
1,22,6278,6298,6189,6387,0.9689995302959136
1,23,6278,6292,6179,6391,0.966828352370521
1,24,6278,6325,6204,6399,0.9695264885138303
1,25,6278,6311,6199,6390,0.9701095461658842
1,26,6278,6277,6168,6387,0.9657116016909347
1,27,6278,6279,6170,6387,0.9660247377485518
1,28,6278,6302,6195,6385,0.9702427564604542
1,29,6278,6312,6205,6385,0.9718089271730619
1,30,6278,6284,6186,6376,0.9702007528230866
1,31,6278,6300,6187,6391,0.9680801126584259
1,32,6278,6304,6188,6394,0.9677822959024085
1,33,6278,6306,6189,6395,0.9677873338545739
1,34,6278,6299,6197,6380,0.9713166144200627
1,35,6278,6309,6197,6390,0.9697965571205008
1,36,6278,6291,6180,6389,0.9672875254343403
1,37,6278,6308,6189,6397,0.9674847584805377
1,38,6278,6329,6210,6397,0.9707675472877911
1,39,6278,6296,6183,6391,0.9674542325144735
1,40,6278,6305,6193,6390,0.9691705790297339
1,41,6278,6303,6196,6385,0.9703993735317149
1,42,6278,6302,6210,6370,0.9748822605965463
1,43,6278,6293,6183,6388,0.9679085785848466
1,44,6278,6301,6190,6389,0.968852715604946
1,45,6278,6316,6199,6395,0.9693510555121189
1,46,6278,6309,6199,6388,0.9704132748904195
1,47,6278,6292,6184,6386,0.9683683056686502
1,48,6278,6293,6175,6396,0.9654471544715447
1,49,6278,6332,6214,6396,0.9715447154471545
1,50,6278,6308,6195,6391,0.9693318729463308
2,3,6297,6283,6200,6380,0.9717868338557993
2,4,6297,6308,6213,6392,0.9719962453066333
2,5,6297,6307,6205,6399,0.9696827629317081
2,6,6297,6305,6193,6409,0.9662973942892807
2,7,6297,6271,6173,6395,0.9652853792025019
2,8,6297,6267,6166,6398,0.9637386683338544
