gene,appearance_count,appearance_rate,stability_class,total_runs
ACOT7,50,1.0000,iron-clad,50
ALAS1,50,1.0000,iron-clad,50
CIMAP1B,50,1.0000,iron-clad,50
COMTD1,50,1.0000,iron-clad,50
IRF9,50,1.0000,iron-clad,50
MCM2,50,1.0000,iron-clad,50
NCF2,50,1.0000,iron-clad,50
SOX7,50,1.0000,iron-clad,50
BEND3,50,1.0000,iron-clad,50
GSDMC,50,1.0000,iron-clad,50
IFRD2,50,1.0000,iron-clad,50
MALL,50,1.0000,iron-clad,50
MPHOSPH6,50,1.0000,iron-clad,50
SLC12A9,50,1.0000,iron-clad,50
ACOX1,50,1.0000,iron-clad,50
DENND2A,50,1.0000,iron-clad,50
EIF1B,50,1.0000,iron-clad,50
GNB1,50,1.0000,iron-clad,50
SDHA,50,1.0000,iron-clad,50
SH3GLB1,50,1.0000,iron-clad,50
CACNA2D1,50,1.0000,iron-clad,50
EGF,50,1.0000,iron-clad,50
FXYD1,50,1.0000,iron-clad,50
JADE1,50,1.0000,iron-clad,50
PEG3,50,1.0000,iron-clad,50
RCAN2,50,1.0000,iron-clad,50
RHOBTB3,50,1.0000,iron-clad,50
TMEM47,50,1.0000,iron-clad,50
ADGRF1,50,1.0000,iron-clad,50
GCH1,50,1.0000,iron-clad,50
HAL,50,1.0000,iron-clad,50
PMCH,50,1.0000,iron-clad,50
PRELID3B,50,1.0000,iron-clad,50
RPL22L1,50,1.0000,iron-clad,50
SGO2,50,1.0000,iron-clad,50
SMIM5,50,1.0000,iron-clad,50
ZNF35,50,1.0000,iron-clad,50
AXL,50,1.0000,iron-clad,50
CAPS,50,1.0000,iron-clad,50
CLMN,50,1.0000,iron-clad,50
COL8A2,50,1.0000,iron-clad,50
NR3C1,50,1.0000,iron-clad,50
SPATS2,50,1.0000,iron-clad,50
TPM1,50,1.0000,iron-clad,50
AACS,50,1.0000,iron-clad,50
ADGRA2,50,1.0000,iron-clad,50
B4GAT1,50,1.0000,iron-clad,50
HNMT,50,1.0000,iron-clad,50
LRCH3,50,1.0000,iron-clad,50
MIA3,50,1.0000,iron-clad,50
PALM2AKAP2,50,1.0000,iron-clad,50
SLC25A4,50,1.0000,iron-clad,50
SMIM11,50,1.0000,iron-clad,50
ZCCHC24,50,1.0000,iron-clad,50
C1orf198,50,1.0000,iron-clad,50
CLDN3,50,1.0000,iron-clad,50
PRDM5,50,1.0000,iron-clad,50
UFSP2,50,1.0000,iron-clad,50
VPS11,50,1.0000,iron-clad,50
CCDC50,50,1.0000,iron-clad,50
ELF2,50,1.0000,iron-clad,50
JAM3,50,1.0000,iron-clad,50
NIPBL,50,1.0000,iron-clad,50
SRPK2,50,1.0000,iron-clad,50
ZNF284,50,1.0000,iron-clad,50
ZNF570,50,1.0000,iron-clad,50
ADRB2,50,1.0000,iron-clad,50
ITM2A,50,1.0000,iron-clad,50
KCNK5,50,1.0000,iron-clad,50
OMD,50,1.0000,iron-clad,50
YBX2,50,1.0000,iron-clad,50
GTF2IRD2,50,1.0000,iron-clad,50
OSBPL2,50,1.0000,iron-clad,50
PSMA5,50,1.0000,iron-clad,50
STX3,50,1.0000,iron-clad,50
TEFM,50,1.0000,iron-clad,50
ZC3H8,50,1.0000,iron-clad,50
ARMC5,50,1.0000,iron-clad,50
EIF4H,50,1.0000,iron-clad,50
MTFP1,50,1.0000,iron-clad,50
PPP1CA,50,1.0000,iron-clad,50
SF3B5,50,1.0000,iron-clad,50
TSPAN17,50,1.0000,iron-clad,50
UTP3,50,1.0000,iron-clad,50
ZDHHC5,50,1.0000,iron-clad,50
ZSWIM6,50,1.0000,iron-clad,50
ACOX2,50,1.0000,iron-clad,50
ADRB1,50,1.0000,iron-clad,50
FILIP1,50,1.0000,iron-clad,50
GPC3,50,1.0000,iron-clad,50
PPP1R1A,50,1.0000,iron-clad,50
SEMA3E,50,1.0000,iron-clad,50
SGK2,50,1.0000,iron-clad,50
STK32A,50,1.0000,iron-clad,50
STXBP6,50,1.0000,iron-clad,50
TMEM139,50,1.0000,iron-clad,50
UST,50,1.0000,iron-clad,50
AP1S3,50,1.0000,iron-clad,50
CD24,50,1.0000,iron-clad,50
DDA1,50,1.0000,iron-clad,50
IFI30,50,1.0000,iron-clad,50
LMNB1,50,1.0000,iron-clad,50
MEAK7,50,1.0000,iron-clad,50
PNKP,50,1.0000,iron-clad,50
SQLE,50,1.0000,iron-clad,50
WDR4,50,1.0000,iron-clad,50
ADRA1A,50,1.0000,iron-clad,50
AGTR1,50,1.0000,iron-clad,50
ANG,50,1.0000,iron-clad,50
C7,50,1.0000,iron-clad,50
ENTREP1,50,1.0000,iron-clad,50
GREB1L,50,1.0000,iron-clad,50
MPZ,50,1.0000,iron-clad,50
MYOC,50,1.0000,iron-clad,50
OGN,50,1.0000,iron-clad,50
SNTB1,50,1.0000,iron-clad,50
SOX5,50,1.0000,iron-clad,50
ADD3,50,1.0000,iron-clad,50
CYP2U1,50,1.0000,iron-clad,50
HSF2,50,1.0000,iron-clad,50
RASAL2,50,1.0000,iron-clad,50
SLC46A1,50,1.0000,iron-clad,50
TIMP2,50,1.0000,iron-clad,50
EPB41L2,50,1.0000,iron-clad,50
KLF12,50,1.0000,iron-clad,50
PHF1,50,1.0000,iron-clad,50
PXDC1,50,1.0000,iron-clad,50
TACC2,50,1.0000,iron-clad,50
AVPI1,50,1.0000,iron-clad,50
FIGNL1,50,1.0000,iron-clad,50
GLMN,50,1.0000,iron-clad,50
HSD17B10,50,1.0000,iron-clad,50
NOP10,50,1.0000,iron-clad,50
SNRPD1,50,1.0000,iron-clad,50
TAF13,50,1.0000,iron-clad,50
CHD7,50,1.0000,iron-clad,50
CMC2,50,1.0000,iron-clad,50
DARS2,50,1.0000,iron-clad,50
E2F3,50,1.0000,iron-clad,50
ELOF1,50,1.0000,iron-clad,50
FBXW11,50,1.0000,iron-clad,50
GIPC1,50,1.0000,iron-clad,50
MFSD2B,50,1.0000,iron-clad,50
NUDT1,50,1.0000,iron-clad,50
RPP38,50,1.0000,iron-clad,50
SEC61G,50,1.0000,iron-clad,50
TDRD7,50,1.0000,iron-clad,50
ZCCHC9,50,1.0000,iron-clad,50
CDHR1,50,1.0000,iron-clad,50
LMOD1,50,1.0000,iron-clad,50
LRRC17,50,1.0000,iron-clad,50
PLLP,50,1.0000,iron-clad,50
PPARGC1A,50,1.0000,iron-clad,50
SERHL2,50,1.0000,iron-clad,50
SLITRK4,50,1.0000,iron-clad,50
TMEM132C,50,1.0000,iron-clad,50
ACOX3,50,1.0000,iron-clad,50
ASL,50,1.0000,iron-clad,50
PDCD2L,50,1.0000,iron-clad,50
TPBG,50,1.0000,iron-clad,50
GTF3C6,50,1.0000,iron-clad,50
HES2,50,1.0000,iron-clad,50
HYLS1,50,1.0000,iron-clad,50
NME1,50,1.0000,iron-clad,50
ADGRD1,50,1.0000,iron-clad,50
ADH1B,50,1.0000,iron-clad,50
FGF1,50,1.0000,iron-clad,50
NBEA,50,1.0000,iron-clad,50
PDK4,50,1.0000,iron-clad,50
TMEM178A,50,1.0000,iron-clad,50
ZNF573,50,1.0000,iron-clad,50
COL28A1,50,1.0000,iron-clad,50
ELAPOR2,50,1.0000,iron-clad,50
MUC1,50,1.0000,iron-clad,50
NRN1,50,1.0000,iron-clad,50
PDE9A,50,1.0000,iron-clad,50
RGMB,50,1.0000,iron-clad,50
ZNF677,50,1.0000,iron-clad,50
B3GALT5,50,1.0000,iron-clad,50
CASQ2,50,1.0000,iron-clad,50
CHL1,50,1.0000,iron-clad,50
CRACDL,50,1.0000,iron-clad,50
CRY2,50,1.0000,iron-clad,50
GPC4,50,1.0000,iron-clad,50
GPD1,50,1.0000,iron-clad,50
PIEZO2,50,1.0000,iron-clad,50
RORC,50,1.0000,iron-clad,50
FIBIN,50,1.0000,iron-clad,50
FOXC1,50,1.0000,iron-clad,50
SLITRK6,50,1.0000,iron-clad,50
TNNI2,50,1.0000,iron-clad,50
VIT,50,1.0000,iron-clad,50
A2ML1,50,1.0000,iron-clad,50
CDH26,50,1.0000,iron-clad,50
FAM43A,50,1.0000,iron-clad,50
IL1B,50,1.0000,iron-clad,50
PTAFR,50,1.0000,iron-clad,50
RIPOR3,50,1.0000,iron-clad,50
RRM2,50,1.0000,iron-clad,50
TPX2,50,1.0000,iron-clad,50
GNA15,50,1.0000,iron-clad,50
IL7R,50,1.0000,iron-clad,50
PUDP,50,1.0000,iron-clad,50
SHROOM2,50,1.0000,iron-clad,50
THAP2,50,1.0000,iron-clad,50
WNT5A,50,1.0000,iron-clad,50
ASPM,50,1.0000,iron-clad,50
CD2,50,1.0000,iron-clad,50
FBXO6,50,1.0000,iron-clad,50
HSD17B2,50,1.0000,iron-clad,50
IL4R,50,1.0000,iron-clad,50
COXFA4L3,50,1.0000,iron-clad,50
CXCL17,50,1.0000,iron-clad,50
CYP2C18,50,1.0000,iron-clad,50
EPHX3,50,1.0000,iron-clad,50
EPSTI1,50,1.0000,iron-clad,50
FOXM1,50,1.0000,iron-clad,50
HMMR,50,1.0000,iron-clad,50
MUC4,50,1.0000,iron-clad,50
MX2,50,1.0000,iron-clad,50
PLA2G3,50,1.0000,iron-clad,50
ANKRD27,50,1.0000,iron-clad,50
CFAP68,50,1.0000,iron-clad,50
ECI1,50,1.0000,iron-clad,50
LPGAT1,50,1.0000,iron-clad,50
MARCHF8,50,1.0000,iron-clad,50
MTIF3,50,1.0000,iron-clad,50
ZNF701,50,1.0000,iron-clad,50
INPP5F,50,1.0000,iron-clad,50
NAV1,50,1.0000,iron-clad,50
PPFIA2,50,1.0000,iron-clad,50
RPL6,50,1.0000,iron-clad,50
CFHR2,50,1.0000,iron-clad,50
FEZ2,50,1.0000,iron-clad,50
METTL17,50,1.0000,iron-clad,50
TBC1D17,50,1.0000,iron-clad,50
ABCA12,50,1.0000,iron-clad,50
CDCA5,50,1.0000,iron-clad,50
CMPK2,50,1.0000,iron-clad,50
MMP1,50,1.0000,iron-clad,50
SOST,50,1.0000,iron-clad,50
TMEM86A,50,1.0000,iron-clad,50
WFDC12,50,1.0000,iron-clad,50
CARD6,50,1.0000,iron-clad,50
GALNT6,50,1.0000,iron-clad,50
GK3,50,1.0000,iron-clad,50
PBK,50,1.0000,iron-clad,50
SCO2,50,1.0000,iron-clad,50
ACTG2,50,1.0000,iron-clad,50
DIP2C,50,1.0000,iron-clad,50
ETV1,50,1.0000,iron-clad,50
FAM117A,50,1.0000,iron-clad,50
IGSF11,50,1.0000,iron-clad,50
LDB3,50,1.0000,iron-clad,50
