gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
A1BG,3,2,-0.02085691114820612,-0.03018187627154818,False
A2M,3,3,0.1568912042392954,0.1568912042392954,True
A2ML1,3,2,0.08901628716966141,0.09245643559056288,True
A4GALT,3,3,0.3043142366737089,0.3043142366737089,True
A4GNT,3,3,-0.07503087819747363,-0.07503087819747363,False
AAAS,3,2,0.045942561636499075,0.05255919143831099,True
AACS,3,2,-0.09736130616842154,-0.111123008284588,True
AADACL4,3,2,-0.07665826962472445,-0.11219108246373109,True
AADAT,3,2,-0.009824507712848976,-0.07832978655312846,True
AAGAB,3,2,-0.12721569373052485,-0.15424223322299432,True
AAK1,3,2,-0.10619987062029206,-0.04639689767618797,True
AAMDC,3,2,0.09775845569045338,0.09541107700593232,True
AANAT,3,2,0.04708919035553475,0.021098802810253663,True
AAR2,3,2,0.042082426525269855,0.03218913937983978,True
AARD,3,2,-0.1434863826400615,-0.13951764178403403,True
AARS1,3,3,-0.08724635170958904,-0.08724635170958904,True
AARSD1,2,2,-0.09645069351590405,-0.09645069351590405,True
AASDH,3,2,0.05597396009299427,0.04575941296425245,True
AASDHPPT,3,3,-0.1344843313332775,-0.1344843313332775,True
AASS,3,3,0.13331766171268625,0.13331766171268625,True
AATF,3,2,0.051109218953546615,0.0900453411683758,True
AATK,3,2,0.056208736578151446,0.04804965339847285,True
ABAT,3,2,-0.04531779159545835,-0.09818365024115884,True
ABCA1,3,3,0.27879275411294707,0.27879275411294707,True
ABCA10,3,2,-0.034000367889582134,-0.048629379318762836,True
ABCA2,3,2,0.04964877926764988,0.12949947990775046,True
ABCA3,3,3,-0.05608966797248088,-0.05608966797248088,True
ABCA5,3,3,-0.16863278477186702,-0.16863278477186702,True
ABCA6,3,2,0.11211899892859349,0.11715600666724434,True
ABCA7,3,2,0.09826660607929205,0.12238079780400492,True
ABCA8,3,3,0.19732718121877904,0.19732718121877904,True
ABCB1,3,2,0.1109064122915367,0.17198567556881936,True
ABCB10,3,2,-0.0385081060270478,-0.03033729229385786,True
ABCB11,3,2,-0.04774280986297899,-0.02568584394512639,True
ABCB6,3,3,-0.009156256646655944,-0.009156256646655944,False
ABCB7,3,2,0.0784074794616779,0.10268587616036765,True
ABCB8,3,2,-0.058491807972256595,-0.03189086727169291,True
ABCC1,2,2,-0.035290097646803326,-0.035290097646803326,True
ABCC10,3,3,-0.036232553022416375,-0.036232553022416375,False
ABCC11,3,2,-0.022975614898204655,-0.06343902222600967,True
ABCC12,3,3,-0.05719981128003134,-0.05719981128003134,False
ABCC2,3,3,0.12876296763475065,0.12876296763475065,True
ABCC3,3,3,0.11095070567522121,0.11095070567522121,True
ABCC4,3,3,0.29189980604349525,0.29189980604349525,True
