gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
A1BG,0.46297176311713684,0.11640164131795104,0.0,0.33333333333333326,0.0
A2M,0.595345941027679,0.9819959247460215,1.0,1.0,0.0
A2ML1,0.5497514626268301,1.0,0.0,1.0,0.0
A4GALT,0.6996634765613579,1.0,1.0,1.0,0.0
A4GNT,0.4312363058090044,0.705843830083285,1.0,0.33333333333333326,0.0
AAAS,0.5215199026336519,0.8731569698087867,0.0,1.0,0.0
AACS,0.40569727028194913,1.0,0.0,1.0,0.0
AADACL4,0.4049414937638875,0.08322624178327262,0.0,1.0,0.0
AADAT,0.42890197592899415,1.0,0.0,0.33333333333333326,0.0
AAGAB,0.3751858148775975,1.0,0.0,1.0,0.0
AAK1,0.4514979042253087,1.0,0.0,1.0,0.0
AAMDC,0.5518421868898397,1.0,0.0,1.0,0.0
AANAT,0.49925831871140575,0.5160730007135831,0.0,1.0,0.0
AAR2,0.5071059159292486,0.7047504620372383,0.0,1.0,0.0
AARD,0.3856050354382382,1.0,0.0,1.0,0.0
AARS1,0.4225925540755178,1.0,1.0,1.0,0.0
AARSD1,0.4160794995168853,1.0,0.0,1.0,0.0
AASDH,0.5167083333634002,1.0,0.0,1.0,0.0
AASDHPPT,0.3891666399794582,1.0,1.0,1.0,0.0
AASS,0.5786651427862762,0.7315724425707486,1.0,1.0,0.0
AATF,0.5480453558950108,1.0,0.0,0.33333333333333326,0.0
AATK,0.5183289229953747,0.2934607487133565,0.0,1.0,0.0
ABAT,0.4148532476091617,1.0,0.0,0.33333333333333326,0.0
ABCA1,0.6816043027678131,1.0,1.0,1.0,0.0
ABCA10,0.4499181851052234,0.5608456476957767,0.0,1.0,0.0
ABCA2,0.5759633714990274,1.0,0.0,0.33333333333333326,0.0
ABCA3,0.44463923436140423,0.36228350495776335,1.0,1.0,0.0
ABCA5,0.36500296320401915,1.0,1.0,1.0,0.0
ABCA6,0.5672290462914086,1.0,0.0,1.0,0.0
ABCA7,0.5709261438620176,1.0,0.0,1.0,0.0
ABCA8,0.6239587120156379,1.0,1.0,1.0,0.0
ABCB1,0.6060268911022899,1.0,0.0,0.33333333333333326,0.0
ABCB10,0.4628617896878696,0.39015376218758313,0.0,1.0,0.0
ABCB11,0.46615318602119177,0.44591918637106426,0.0,1.0,0.0
ABCB6,0.47784963386852775,1.0,1.0,0.33333333333333326,0.0
ABCB7,0.5569898840085433,1.0,0.0,1.0,0.0
ABCB8,0.46176246951870514,0.12688171614439456,0.0,1.0,0.0
ABCC1,0.4593571510987323,1.0,0.0,1.0,0.0
ABCC10,0.4586902632962571,1.0,1.0,0.33333333333333326,0.0
ABCC11,0.439438781549981,1.0,0.0,0.33333333333333326,0.0
ABCC12,0.4438536894433508,1.0,1.0,0.33333333333333326,0.0
ABCC2,0.5754422104298179,1.0,1.0,1.0,0.0
ABCC3,0.5628381333109655,0.2666093435975249,1.0,1.0,0.0
ABCC4,0.6908789414245308,1.0,1.0,1.0,0.0
ABCC5,0.3716201858424553,0.4353837476069085,0.0,0.33333333333333326,0.0
ABCC6,0.43730972350487735,0.2719154711573621,0.0,0.33333333333333326,0.0
ABCC8,0.30460559284001243,1.0,1.0,1.0,0.0
ABCC9,0.6941806413709413,1.0,1.0,1.0,0.0
ABCD1,0.5317019740955516,1.0,0.0,1.0,0.0
ABCD2,0.43002601903279813,1.0,0.0,0.33333333333333326,0.0
ABCD3,0.5215489426802998,1.0,0.0,0.33333333333333326,0.0
ABCD4,0.4748947447376442,0.6275602745243996,0.0,0.33333333333333326,0.0
ABCE1,0.3770104667782732,1.0,1.0,1.0,0.0
ABCF1,0.4653540715283958,0.7524136326166616,0.0,1.0,0.0
ABCF2,0.4713515653773371,1.0,0.0,0.33333333333333326,0.0
ABCF3,0.45060801827651176,1.0,0.0,1.0,0.0
ABCG1,0.5206642122473112,1.0,0.0,0.33333333333333326,0.0
ABCG2,0.5740119353866141,0.37467786686062526,0.0,0.33333333333333326,0.0
ABCG4,0.42912070923865114,1.0,0.0,1.0,0.0
ABCG5,0.5132826615485567,1.0,0.0,1.0,0.0
ABCG8,0.45922499282001017,1.0,0.0,1.0,0.0
ABHD1,0.4548732298422434,0.08719813889245927,1.0,0.33333333333333326,0.0
ABHD10,0.3734076592871351,1.0,0.0,1.0,0.0
ABHD12B,0.32112390095966525,1.0,0.0,1.0,0.0
ABHD13,0.4101028485541219,1.0,0.0,0.33333333333333326,0.0
ABHD14A,0.42686555392613557,1.0,0.0,1.0,0.0
ABHD14B,0.5986142389746557,1.0,1.0,1.0,0.0
ABHD16A,0.46962634501329986,0.44684548334781066,0.0,1.0,0.0
ABHD17B,0.5135363129263307,0.899258937403928,0.0,1.0,0.0
ABHD17C,0.5006117302137071,0.22191120311221843,0.0,0.33333333333333326,0.0
ABHD2,0.4766950253459536,1.0,0.0,0.33333333333333326,0.0
ABHD3,0.5628424753989267,1.0,0.0,0.33333333333333326,0.0
ABHD4,0.6422025796589164,1.0,1.0,1.0,0.0
ABHD5,0.5530483292733575,1.0,0.0,1.0,0.0
ABHD6,0.3733175629197566,1.0,0.0,0.33333333333333326,0.0
ABI1,0.46493450947863596,0.4636867725853164,0.0,0.33333333333333326,0.0
ABI2,0.3977743836857954,1.0,0.0,1.0,0.0
ABI3,0.5759453186719549,1.0,0.0,1.0,0.0
ABI3BP,0.5702257138871665,1.0,0.0,1.0,0.0
ABL1,0.6030439528272159,1.0,1.0,1.0,0.0
ABLIM2,0.36710045499915317,1.0,1.0,1.0,0.0
ABLIM3,0.4235191513088192,1.0,0.0,1.0,0.0
ABO,0.3879207413338689,1.0,0.0,0.33333333333333326,0.0
ABR,0.4443845873410044,1.0,0.0,1.0,0.0
ABRA,0.5179097174049978,0.2049621912700121,1.0,0.33333333333333326,0.0
