gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
ABCA1,3,3,0.27879275411294707,0.27879275411294707,True
ABCA7,3,2,0.09826660607929205,0.12238079780400492,True
ABI3,3,2,0.14065697038750538,0.12947396739446632,True
ACE,3,3,-0.05587649945788321,-0.05587649945788321,False
ADAM17,3,3,-0.020418738212340786,-0.020418738212340786,False
ADAMTS1,3,3,0.31851977128225095,0.31851977128225095,True
ANK3,3,3,-0.17171273864944805,-0.17171273864944805,True
ANKH,3,3,-0.1774216663235325,-0.1774216663235325,True
APH1B,3,3,0.13458969994634143,0.13458969994634143,True
APP,3,3,-0.13260939861027662,-0.13260939861027662,True
BCKDK,3,2,-0.06396476959253686,-0.08128497628481111,True
BIN1,3,2,0.04023332287640085,0.08429982331647014,True
BLNK,3,2,0.11376029676370059,0.09611238215285944,True
CD2AP,3,2,0.07088585005612208,0.05619401776117136,True
CLNK,3,2,0.048716185613007564,0.05635495173744069,True
CLU,3,2,0.16396079568992838,0.2909613859979803,True
COX7C,3,2,-0.05332239377493225,-0.06184137341393195,True
CR1,3,2,0.07084690737037824,0.1326451124528903,True
CTSH,3,3,0.1802339953106209,0.1802339953106209,True
DOC2A,3,2,-0.1526516518586208,-0.15492971414231405,True
EED,3,3,0.11617206982749356,0.11617206982749356,True
EPDR1,3,3,-0.255775950485978,-0.255775950485978,True
FERMT2,3,3,0.1809441548416769,0.1809441548416769,True
FOXF1,3,3,0.29741096857580107,0.29741096857580107,True
GRN,3,2,0.09700624854727291,0.07106737952627663,True
HS3ST5,3,2,-0.08486069686419213,-0.07742255881178416,True
ICA1,3,3,-0.1610654360967429,-0.1610654360967429,True
IDUA,3,2,0.04387065776379755,0.040827884516701565,True
IL34,3,3,0.03806500650166906,0.03806500650166906,False
INPP5D,3,3,0.05526270796578155,0.05526270796578155,False
JAZF1,3,2,-0.07556764915079844,-0.1647552333425378,True
KLF16,3,3,0.07924251642731146,0.07924251642731146,False
LILRB2,3,3,0.26848267468044357,0.26848267468044357,True
MAF,3,2,0.11196683327922491,0.1684834720712021,True
MINDY2,3,3,0.09072508219087701,0.09072508219087701,True
MS4A4A,3,2,0.270354857905313,0.31221032161687334,True
MYO15A,3,2,-0.08749138932322938,-0.056497492116520935,True
NCK2,3,2,-0.08263980265762609,-0.0979388619755,True
PLCG2,3,3,0.1998300716578414,0.1998300716578414,True
PLEKHA1,3,2,-0.09243143014510713,-0.12472296911406426,True
PRKD3,3,3,0.2190363641022235,0.2190363641022235,True
PSEN2,3,2,-0.08453341895634192,-0.11114122902063557,True
RASGEF1C,3,3,0.08359955293743891,0.08359955293743891,False
RBCK1,3,2,0.09551629798676119,0.12074780818515593,True
RHOH,3,3,-0.003857473565786492,-0.003857473565786492,False
SCIMP,3,2,0.06742617895561552,0.05754113063511871,True
SEC61G,3,3,-0.1282291335391015,-0.1282291335391015,True
SHARPIN,3,2,-0.0284225957706799,0.029555500290375937,True
SLC24A4,3,2,0.09507921656042355,0.046679932655932024,True
SLC2A4RG,3,2,0.023476910169640264,0.07772915442673772,True
SORL1,3,3,-0.10583987736760204,-0.10583987736760204,True
SORT1,3,2,0.04497636562808322,0.11089643787502239,True
SPI1,3,2,0.09337453103571514,0.06770671220315588,True
SPPL2A,3,3,0.1522652525966592,0.1522652525966592,True
TMEM106B,3,2,0.009324238112557356,0.025497902967617808,True
TNIP1,3,2,0.08383087576579751,0.07401109733076083,True
TPCN1,3,2,0.07595813445353071,0.07944346028575842,True
TREM2,3,3,0.28565135053474155,0.28565135053474155,True
TSPAN14,3,2,0.03076921028921605,0.0925765684891861,True
TSPOAP1,3,3,-0.09458971501287479,-0.09458971501287479,True
UNC5CL,3,2,0.048432868362614206,0.058209151083681174,True
WDR12,3,2,-0.06802136865549453,-0.02930679623934572,True
WDR81,3,3,-0.08629731863854317,-0.08629731863854317,False
WNT3,3,2,0.014341884943431438,-0.04611698558734189,True
ABCA8,3,3,0.19732718121877904,0.19732718121877904,True
ADAMTS4,3,2,-0.017712869120541156,-0.038986435481911594,False
AHCYL1,3,2,0.045784909695422836,0.03236631461908492,True
AK4,3,3,0.17255558362595447,0.17255558362595447,True
AP2A2,3,2,-0.006664062504633102,-0.09649534291743844,True
APOC1,3,3,0.17847173564707083,0.17847173564707083,True
APOE,3,2,0.08594979543860809,0.12553945267066494,True
ARHGAP26,3,2,0.04106189682912719,0.035262993009090964,True
ASAH1,3,2,-0.0035774368051285275,0.028638507217429,True
ATL3,3,3,0.15844991113662812,0.15844991113662812,True
ATP1B1,3,3,-0.344045959525953,-0.344045959525953,True
ATP2B1,3,3,-0.2619075865351404,-0.2619075865351404,True
ATP5PO,3,3,-0.10961582563005849,-0.10961582563005849,True
ATP6V1A,3,3,-0.3892983375120824,-0.3892983375120824,True
ATP6V1B2,3,3,-0.4406624957820442,-0.4406624957820442,True
C1QTNF4,3,3,-0.014426680742474662,-0.014426680742474662,False
